external_name,internal_name,category_label,match
Grey Speck Gran Vinyl Floor Tiles,"Update your floor with a peel and stick vinyl flooring that is functional and easy to lay.An easy to fit, easy to clean, hardwearing, serviceable and economical floorcovering. Suitable for any room in the house or any domestic location.

Easy to install, product is able to be cut with a utility knife
Peel and stick product means there is no need for any additional glue
Little to no mess when installing as there is no dust or wood splinters
Beautiful colour and design pattern to bring life to any room
Most suitable for small rooms with light traffic",Flooring & Tiling Clearance,1
Decorative Aggregates Blue Slate - 17kg,"Blue Slate chips 30-50mm. This decorative surfacing is ideal for your alpines and rock gardens, as well as on beds and borders. This product is also fish friendly making it a great option for aquatic use (wash prior to use).The weight given of 17kg is an approximate weight. Significant variances to weight can occur due to the nature of this product. Products made up of natural materials will vary in size and colour, some significantly.

Stylish finish adding colour
Natural product
Fish friendly
Low maintenance surface
Helps drainage","Fencing, Decking & Landscaping Deals",1
Decorative Aggregates Plum Slate - 17kg,"Purple tones give this slate a rich but bright feel that shines when wet. These 10-30mm decorative chips are ideal for alpines and rock gardens whilst also being a great addition to borders and beds. This product is also fish friendly making it suitable for aquatic use (wash prior to use). The weight given of 17kg is an approximate weight. Significant variances to weight can occur due to the nature of this product. Products made up of natural materials will vary in size and colour, some significantly.

Stylish finish adding colour
Natural product
Fish friendly
Low maintenance surface
Helps drainage","Fencing, Decking & Landscaping Deals",1
Dec Aggs Cotswold Buff 10-20mm - 17kg,"These creamy buff 10-20mm stones chips will brighten up any area in your garden. Decorative stone chippings are ideal for paths, patios and driveways. They are also a great addition to borders, beds and plant pot toppings.The weight given of 17kg is an approximate weight. Significant variances to weight can occur due to the nature of this product. Products made up of natural materials will vary in size and colour, some significantly.

Suitable for use on driveways.
Low maintenance surface.
Natural product.
Helps drainage.","Fencing, Decking & Landscaping Deals",1
Artificial Grass Rubber Tile - 0.3m,"This grass topped tile is made from recycled rubber designed to provide a robust, durable surface ideal for absorbing impact. The tiles are an ideal way to make a safe floor, balcony or roof terrace, and can also been used as a sound and vibration buffer. The porous nature of this product allows water to flow through and around the tiles.  The rubber have an interlocking system allowing for easy installation.

Easy Installation
Durable
Made from recycled rubber","Fencing, Decking & Landscaping Deals",1
Dremel Glue Gun (940),"The Dremel 940 is a high temperature glue gun with a drip-controlling exchangeable tip, ideal for light DIY jobs in and around the home

Removable cord- use the glue gun either as a corded or cordless product
Quick 5 minute heating time- get to work on your projects quickly
Maximum temperature of 195c
Ergonomic t-grip handle for comfortable handling
Extendable kickstand, for stable resting of the tool when not in use",Tools Clearance,1
Colron Medium Steel Wool,"Colron Steel Wool is ideal for the stripping, preparation and finishing of interior wood. There are three grades for each task - coarse, medium and fine.",Tools Clearance,1
Colron Coarse Steel Wool,"Colron Steel Wool is ideal for the stripping, preparation and finishing of interior wood. There are three grades for each task - coarse, medium and fine.",Tools Clearance,1
Energizer MAX Alkaline AA Batteries - 12 Pack,"Long-lasting power and innovation is what the Energizer MAX family is all about. Count on Energizer MAX batteries to deliver long-lasting power to your everyday devices They also hold their power for up to 10 years while in storage, so you have power when you need it most. Plus, Energizer MAX AA batteries are designed to protect your devices from leakage of fully used batteries for up to 2 years. So, when it comes to toys, torches, wireless mice, and other valuable devices you can feel confident knowing you have the long-lasting energy and protection you expect from Energizer.* Of fully used batteries in devices up to 2 years

12-pack of Energizer MAX Alkaline AA batteries
No leaks guaranteed; protects* your devices from damaging leaks
Non-stop energy for your non-stop family's must-have devices think toys, torches, wireless mice, remotes, and more
Holds power up to 10 years in storage so you're never left powerless
From the makers of the world's longest-lasting AA battery: Energizer Ultimate Lithium",Electrical Deals,1
Energizer MAX Alkaline AAA Batteries - 12 Pack,"Long-lasting power and innovation is what the Energizer MAX family is all about. Count on Energizer MAX batteries to deliver long-lasting power to your everyday devices They also hold their power for up to 10 years while in storage, so you have power when you need it most. Plus, Energizer MAX AAA batteries are designed to protect your devices from leakage of fully used batteries for up to 2 years. So, when it comes to toys, torches, wireless mice, and other valuable devices you can feel confident knowing you have the long-lasting energy and protection you expect from Energizer.* Of fully used batteries in devices up to 2 years

12-pack of Energizer MAX Alkaline AAA batteries
Protects* your devices from damaging leaks
Non-stop energy for your non-stop family's must-have devices- think toys, torches, wireless mice, remotes and more
Holds power up to 10 years in storage so you're never left powerless
From the makers of the world's longest-lasting AA battery: Energizer Ultimate Lithium",Electrical Deals,1
