ï»¿id,name,price,category,link,image,description,source,sub_category
4,"Wintaplas Smart adhesives Orange Frostproofer, 5L Plastic jerry can",8.45,Additives & chemicals,https://www.diy.com/departments/wintaplas-smart-adhesives-orange-frostproofer-5l-plastic-jerry-can/255944_BQ.prd,https://media.diy.com/is/image/Kingfisher/wintaplas-smart-adhesives-orange-frostproofer-5l-plastic-jerry-can~5011734010628_01c_bq?wid=284&hei=284,"Guarantee - StatutoryCE markedKeep out of reach of children. Refer to safety data sheet for full precautions.Features and benefitsBostik Frostproofer & Accelerator accelerates the setting of mortar mixes year round but particularly in cold weather and during the winter months. It also plasticises the mix to improve workability and is ideal for bricklaying, rendering, blockwork and mortars containing embedded metal.Plasticises and accelerates setting time of mortar mixesChloride free, ideal for mortars with embedded metalIdeal for Winter & cold weather use",BQ,building_supplies
5,"Sika Latex SBR White Specialist building primer, 5L, 5.2kg",35,Additives & chemicals,https://www.diy.com/departments/sika-latex-sbr-white-specialist-building-primer-5l-5-2kg/5055492703040_BQ.prd,https://media.diy.com/is/image/Kingfisher/wintaplas-smart-adhesives-orange-frostproofer-5l-plastic-jerry-can~5011734010628_01c_bq?wid=284&hei=284,"This latex-based, water resistant bonding agent & admixture from Sika is suitable for use in areas which will be subject to high levels of humidity, dampness and continuous water contact. Improves water resistance of cement mixtures by forming a reinforcing polymer that increases long term durability and flexibility of the mix on renderings and floor screeds.Not CE markedGuarantee - StatutoryGuarantee - StatutoryFeatures and benefitsUses include: As an admixture for mortar/screeds/renders, as a bonding agent for screeds/renders, as a primer/sealer in tiling applications & as a flexibiliser for cementitious-based tile adhesive when tiling on wooden/asphalt floorsSikaLatex® SBR is more suitable for use in exterior applications as it is not adversely affected in wet conditionsGreatly improved adhesion to a wide range of substrates including dense concrete, steel, tilesMixes may be applied in much thinner sectionsExcellent resistance to water and water vapourA high level of resistance to salt permeationImproved toughness and flexibilityReduced surface dusting of concreteReduced water:cement ratio for equivalent workabilityImproved frost resistance & freeze thaw stable",BQ,building_supplies
6,"Blue Circle Hydrated lime, 25kg Bag",17.42,Additives & chemicals,https://www.diy.com/departments/blue-circle-hydrated-lime-25kg-bag/35712_BQ.prd,https://www.bradfords.co.uk/media/catalog/product/cache/f7c81111a4a19ad296e9f8fd0fc16840/0/7/07497f8a508a56a238def91e12c6ee43.jpg,"Blue Circle Hydralime is a hydrated lime used for increased plasticity & cohesiveness in cement, mortars & rendersPreparation: 1 part Portland cement, 1 part hydralime & 5 to 6 parts sandFeatures and benefitsBlue Circle Hydralime is a hydrated lime used for increased plasticity & cohesiveness in cement, mortars & rendersFine, white, dry powder which lightens and brightens mortarsA high calcium, non hydraulic, hydrated limeMakes floating renders and pointing mortars easierHydralime can be used for traditional nominal mixes for mortars and renders in conjunction with standard Portland based cements or in lime-washes without cement",BQ,building_supplies
6,Blue Circle Hydralime Hydrated Lime (25kg),20.64,Additives & chemicals,https://www.bradfords.co.uk/blue-circle-hydralime-hydrated-lime-25kg-hdl025,https://www.bradfords.co.uk/media/catalog/product/cache/f7c81111a4a19ad296e9f8fd0fc16840/0/7/07497f8a508a56a238def91e12c6ee43.jpg,"Blue Circle Hydralime Hydrated Lime is used for increased plasticity and cohesiveness in cement, mortars and renders. Features & Benefits:   Fully conforms to the requirements set by BS EN 459-1. It is independently certified by a third party and also carries CE marking.  Must be mixed with sand and cement for mortars and renders.  Improves the water retention of Portland cement mortars and renders (not generally compatible with waterproofing admixtures or for use without Portland cement).  Easily mixed to form a putty.  Supplied in paper bags.  Size: 25kg",Bradfords,building_supplies
6,Breedon Hydrated Lime 25Kg,15.54,Additives & chemicals,https://www.builderdepot.co.uk/breedon-hydrated-lime-25kg,"https://www.builderdepot.co.uk/media/catalog/product/H/0/H004814_s_01_5e9f.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=400&width=400&canvas=400:400","Breedon’s Hydrated Lime is a fine white calcium hydroxide powder to EN 459-1 CL-S which is made by the reaction of quicklime and water.Benefits:Excellent workability.Water retention.Application:Suitable for use in concrete, mortar, soil stabilisation, and render. Trial mixes are advised before commencement of work.",Builderdepot,building_supplies
6,Hanson Hydrated Lime Paper Handy Bag 25kg,20.9,Additives & chemicals,https://www.jewson.co.uk/p/hanson-hydrated-lime-25kg-paper-bag-CCASTLIM,"https://media.jewson.co.uk/f_auto,q_auto/t_Regular/global/product-images/65296",A handy 25kg bag of Hanson Hydrated Lime. A traditional lime that offers excellent workability and good water retention. It is not suitable for use in mortars and renders without Portland cement as it is a non-hydraulic product. Supplied in paper bag – store in a dry place.Features & benefitsConforms to BS EN 9001Traditional limeExcellent workability and good water retentionNot suitable for use in mortars and renders without Portland cementSupplied in paper bag – store in a dry place.,Jewson,building_supplies
7,"Sika Clear Masonry waterproofer, 5L Jerry can",22,Additives & chemicals,https://www.diy.com/departments/sika-clear-masonry-waterproofer-5l-jerry-can/5055492702975_BQ.prd,https://media.diy.com/is/image/Kingfisher/blue-circle-hydrated-lime-25kg-bag~5018719500099_08c?wid=284&hei=284,"This ready to use Sikagard facade from Sika is a water based impregnation emulsion. Sikagard Facade makes walls and facades water repellent and provides long lasting protection against water ingress. It is vapour permeable and allows the substrate to breathe.Not CE markedGuarantee - StatutoryPlease refer to Safety Data Sheet (SDS)Features and benefitsStrong water repellent capabilityImproves resistance to dirt pick up, and reduces fungal, algal and lichens growthWater-based and environmental friendlyCan be applied on mortar, masonry, fibre-cement & stone",BQ,building_supplies
8,Sika Sikacem White PVA primer & sealer 5L,45,Additives & chemicals,https://www.diy.com/departments/sika-sikacem-white-pva-primer-sealer-5l/5055492703033_BQ.prd,https://media.diy.com/is/image/Kingfisher/sika-clear-masonry-waterproofer-5l-jerry-can~5055492702975_02c?wid=284&hei=284,"This SikaCem® PVA is a water based, multi purpose, economic adhesive, sealer and mortar admixture. It adheres to most common building materials (except PVC and rubber). It is ideal for priming unsound surfaces prior to plastering or painting, as an adhesive on wood, cork, textiles, as a general dust sealer and as cement admixture.Guarantee - 1 yearPlease refer to Safety Data Sheet (SDS)Features and benefitsEasy to useImproves flexibility of mortars and screeds",BQ,building_supplies
8,Sika SikaCem PVA Primer White 5Ltr,25.99,Additives & chemicals,https://www.screwfix.com/p/sika-sikacem-pva-primer-white-5ltr/784hf,https://media.screwfix.com/is/image/ae235/784HF_P?$autoprodblock$=&wid=136&hei=136&dpr=on,"Multipurpose solution for a wide variety of building and DIY tasks. Ideal for priming and dust sealing on flaking surfaces. Acts as a general purpose adhesive on materials like wood, cork paper and textiles. Improves adhesion to most common building surfaces and is particularly useful as a primer prior to plastering or tiling applications. May be used as an admixture for mortar, screeds and renders, and as a bonding agent for screeds and renders to different substrates. Not suitable for use in exterior applications or in areas subject to constant dampness.Container: Jerry CanStorage Life: 12 MonthsFor Indoor UseDirt-ResistantColour: White1 Year GuaranteeSeal Coat for Porous SurfacesAdhesive for Most Common Building MaterialsAdmixture in Cement Renders & ScreedsDries Clear",Screwfix,building_supplies
9,"Bostik Smart adhesives Dark brown Mortar plasticiser, 5L Plastic jerry can",6.5,Additives & chemicals,https://www.diy.com/departments/bostik-smart-adhesives-dark-brown-mortar-plasticiser-5l-plastic-jerry-can/35597_BQ.prd,https://media.diy.com/is/image/Kingfisher/sika-sikacem-white-pva-primer-sealer-5l~5055492703033_02c?wid=284&hei=284,Guarantee - StatutoryCE markedFeatures and benefitsBostik Mortar Plasticiser improves the workability of mortar without the addition of lime. It helps reduce grittiness to provide a smooth mortar with improved durability and protection against frost. It also reduces the water content of the mortar.Improves workability and durability of mortarMinimises cracking and crazingReduces water content of mortarComplies with EN 934-4,BQ,building_supplies
