product,price,category,link,image,description
Armitage Shanks Monaco 2 Doc M Assisted Living Pack White,£614.98,N/A,https://www.toolstation.com/armitage-shanks-monaco-2-doc-m-assisted-living-pack/p99434,https://cdn.toolstation.com/assets/toolstation-logo-halo.svg,"Complete with: • Armitage Shanks Sandringham 21 Raised Height WC pan and cistern with lever handle• Armitage Shanks Bakasan toilet seat (no cover)• Armitage Shanks handrinse basin with bottle trap and 1 1/4"" waste • 1 x hinged arm support rail• Armitage Shanks Sandringham 21 Basin Mixer Tap• 1 x 45cm Grab Rail • 4 x 60cm Grab Rail• BS8300 compliant• Left or right hand single tap hole basin"
Croydex Double Door MDF Bathroom Cabinet 450 x 600 x 140mm,£63.98,N/A,https://www.toolstation.com/croydex-double-door-mdf-bathroom-cabinet/p43881,https://cdn.toolstation.com/assets/toolstation-logo-halo.svg,• Simple self assembly format• One adjustable shelf• Easy to install• Magnetic push catch opening• All fittings included• Mirrored• Dimensions are HWD
Rhinovent Ultra Breathable Membrane Classic 1 x 50m,£74.99,N/A,https://www.toolstation.com/rhinovent-ultra-breathable-membrane/p83455,https://cdn.toolstation.com/assets/toolstation-logo-halo.svg,"The Rhinovent Ultra Breathable membrane is a medium weight, breathable underlay for roof tiles. It can also be used to line walls made from OSB boards or timber on small outdoor buildings such as sheds and summer houses.The membrane is flexible and easy to use thanks to its non-woven spun-bond polypropylene layers. The Rhinovent underlay can be used for both warm non-ventilated and cold ventilated systems. It also provides good weatherproofing for those unexpected breaks, whether it be rain, wind or snow. It also protects from small debris and dust. The membrane can handle all the loads associated with roofing, while also ensuring long-lasting durability.• 1x 50 m roll• Underlay width of 1000 mm• BBA-certified medium weight breathable roof tile underlay• Suitable for warm and cold roof applications• Requires no ventilation if installed in accordance with instructions"
Automatic Hand Dryer Brushed Chrome 2500W,£137.98,N/A,https://www.toolstation.com/automatic-hand-dryer/p61305,https://cdn.toolstation.com/assets/toolstation-logo-halo.svg,"• 360° rotating nozzle• Air velocity: 30 m/s• Automatic operation• 10-15 seconds drying time• Vandal proof• CE, RoHS approved• IP21• Dimensions: 270x240x200mm• Weight: 6kg• Sound Level: 80-85 dB• BS EN60335-2:2003• 220-240V"
Draper Booster Cables 3.5m x 29mm² 6V/12V,£24.99,N/A,https://www.toolstation.com/draper-booster-cables-35m-x-29mm2/p42266,https://cdn.toolstation.com/assets/toolstation-logo-halo.svg,"Suitable for petrol engines up to 5.5L and diesel engines up to 3L. Cables insulated with PVC for added durability. Heavy duty handles. Supplied in zip bag.For 6V/12V systems and petrol engines commonly found in motorbikes, cars and light commercial vehicles. Includes 2 year warranty."
YBS General Purpose ThermaWrap Insulation 600mm x 7.5m,£19.99,N/A,https://www.toolstation.com/ybs-general-purpose-thermawrap-insulation/p16779,https://cdn.toolstation.com/assets/toolstation-logo-halo.svg,"Keep rooms warmer in the winter and cooler in the summer by installing YBS ThermaWrap. This general purpose insulation can be used for almost any DIY application – use it anywhere from roofs, walls and floors to motorhomes, boats and cellars.ThermaWrap reflects radiant heat back into the living space – this helps to retain warmth, cutting down on unnecessary energy use and saving you money. Its core bubble profile traps air within the small bubble pockets to offer great thermal benefits, while the outer aluminium foil layers increase the overall performance, due to their high reflectiveness. • General purpose insulation for use in almost any DIY application• Suitable for roofs, walls, floors and many more installations• Retains heat in your home, helping to save energy and money• Built-in airtight vapour control layer reduces risk of condensation• Up to 66% reduction in heat loss (based on a single layer in a pitched roof)• Thin, flexible and lightweight – easy to install• R-Value up to 1.47m²K/W (equivalent to 65mm of Mineral Wool)• Zero fibres removes the need for PPE• CE-marked to industry standards• Made in Britain"
"Minotaur Adjustable Wide Jaw Wrench 10"" OJC 50mm",£13.98,N/A,https://www.toolstation.com/minotaur-adjustable-wide-jaw-wrench/p71469,https://cdn.toolstation.com/assets/toolstation-logo-halo.svg,"This Minotaur adjustable wide jaw wrench is a really practical bit of kit that deserves a place in every toolbox. Its jaws are made from chromium-vanadium steel (Cr-V), so they’re hard and strong. You'll find that they won’t rust and won’t deform under pressure. The jaws open extra-wide and the measurements are laser etched, meaning they won't fade with use either. The soft-grip handle is ergonomically designed to sit comfortably in the hand. This wrench's jaws can be set to a full 50 mm wide, and it's 10"" (approximately 25 cm) in length.• Adjustable jaw can be opened up to 50mm• Slimline angled jaw ideal for use in confined spaces• Easy-to-read laser etched markings• Hardened Cr-V construction for long-lasting performance• Ergonomic soft-grip handle is comfortable to hold"
Hook Up Unit 2 x 16A Socket & RCBO,£99.12,N/A,https://www.toolstation.com/hook-up-unit/p26149,https://cdn.toolstation.com/assets/toolstation-logo-halo.svg,"• IP44 Hook Up Point • 2 gang unmetered  • Made to the latest UK regulations• Pre wired with Tri rated cables • Double Pole RCBOs 30mA• Compliant MID approved meters (where fitted, enabling you to charge for electricity usage)• Pre fitted with 35mm loop in and out terminals as standard • Galvanised mounting stake (88559) also available"
Water Storage Tank LWH: 508 x 860 x 515mm 25 Gallon,£61.78,N/A,https://www.toolstation.com/water-storage-tank/p12098,https://cdn.toolstation.com/assets/toolstation-logo-halo.svg,WRAS approved. Made to BS4213 : 2004.Lid available separately  47335 .
Duck Cloth Duct Tape White 50mm x 25m,£5.99,N/A,https://www.toolstation.com/duck-cloth-duct-tape/p89629,https://cdn.toolstation.com/assets/toolstation-logo-halo.svg,"• Sticks firmly to most surfaces• Waterproof • Tears easily • Interior and exterior useIdeal for hundreds of uses around the home, garage and garden. High strength adhesive sticks firmly to most surfaces. Waterproof and temperature resistant."
