id,name,price,category,link,image,description,source
1,"20mm Gravel, Bulk Bag",£70,Aggregates & sand,https://www.diy.com/departments/20mm-gravel-bulk-bag/35693_BQ.prd,https://media.diy.com/is/image/Kingfisher/20mm-gravel-bulk-bag~5030349002675_02c?wid=284&hei=284,"Features and benefitsCoverage will be dependent on depth laid, ground conditions etcUse to create higher strength concrete mixesExcellent drainage propertiesIdeal for pathways and drivesPlease note that product supplied comes from a natural source and may vary in colour, size and textureNot for decorative use",bqProducts.csv
1,Bradfords 20mm Gravel Bulk Bag,£62.38,Aggregates & sand,https://www.bradfords.co.uk/20mm-gravel-abb044,https://www.bradfords.co.uk/media/catalog/product/cache/f7c81111a4a19ad296e9f8fd0fc16840/c/8/c8d6945c26b44ba4e466a35a95f2c5ac_1.jpg,"20mm gravel is suitable for general building and landscaping projects. Supplied in strong bulk bags, which can be recycled - just return the empty bag to any one of our branches and we will recycle it for you!This gravel is locally sourced and may vary in colour and texture depending on location. If you require an exact match, please call in to your local branch. Features & Benefits:   Ideal for drainage & pipe bedding.  Locally sourced.  Recyclable bulk bag.  800kg min packaged weight (+/-5%).  Size: 20mm",bradfordsProducts.csv
1,20mm Pea Gravel/Shingle Bulk Bag,£59.94,Aggregates & sand,https://www.builderdepot.co.uk/20mm-pea-gravel-shingle-bulk-bag,"https://www.builderdepot.co.uk/media/catalog/product/H/0/H000419_s_01_3f9e.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=400&width=400&canvas=400:400","Our Pea Gravel/ Shingle contains stones between 15mm and 20mm in diameter. It is suitable for a variety of applications, both functional and decorative, but are generally used on driveways, borders and bedding drainage pipes. 20mm shingle is much easier spread across a large area and hide mounds, the larger particle size also means that it is less likely to get stuck in tyres or shoes, so is less likely to transfer to unwanted areas. Pea Shingle effectively prevents weeds growing through when placed around flowerbeds.Key Features:Bulk Bag15-20mm in variationIdeal for driveways, paths, borders and bedding drainage pipesSuitable for use in fine concreteActs as a weed suppressantThis is a natural product and colour may vary",builderdepotProducts.csv
1,Jewson Pea Gravel/Pipe Bedding Single Trip - Large Bulk Bag,£80.40,Aggregates & sand,https://www.jewson.co.uk/p/pea-gravelpipe-bedding-bulk-bag-AGSTB016,"https://media.jewson.co.uk/f_auto,q_auto/t_Regular/global/product-images/70139",Jewson Pea Gravel/Pipe Bedding Single Trip - Large Bulk Bag are small rounded stones that are each the size of a pea. The pea gravel prevents weeds and improves drainage. It is also easily maintained by raking the stones into place. This product is made with naturally occurring materials - colour and texture will differ due to the various locations it is sourced from. This should be considered if using this product for decorative purposes.Features & benefitsStops erosionCan be used as rodent barrier,jewsonProducts.csv
1,Travis Perkins Gravel and Shingle Bulk Bag 20mm,£76.38,Aggregates & sand,https://www.travisperkins.co.uk/bagged-aggregates/travis-perkins-gravel-and-shingle-bulk-bag-20mm/p/938191,https://dam-assets.apps.travisperkins.group/x21jked/GPID_1000134562_IMG_00.png?width=300&height=300,"This bulk bag of 20mm construction aggregate consists of gravel and shingle that is ideal for mixing with other products when concreting and floor screeding. This can also be used for landscaping and backfilling drains.Minimum packed weight of 800kg +/- 5%Please note that this product is not suitable for decorative use. This gravel and shingle is quarried locally, so colour may vary from branch to branch. Please check with your local branch for details.",tpProducts.csv
1,Tarmac 20mm Gravel - Jumbo Bag,£68.50,Aggregates & sand,https://www.wickes.co.uk/Tarmac-20mm-Gravel---Jumbo-Bag/p/131894,https://media.wickes.co.uk/is/image/wickes/R1478_131894_00?$normal$,"Tarmac 20mm Gravel is suitable for all general building use.Combine with cement, sand and water to make concrete Can be used for ground drainage and bedding underground pipes Ideal for landscaping projects Can be used as a top coat dressing for paths and driveways This is a natural product and colour may vary Actual bag weights may vary due to the level of moisture within the product Unsuitable for use in ponds or water features containing fish or other aquatic animals ",wickesProducts.csv
2,"10mm Gravel, Bulk Bag",£70,Aggregates & sand,https://www.diy.com/departments/10mm-gravel-bulk-bag/35699_BQ.prd,https://media.diy.com/is/image/Kingfisher/20mm-gravel-bulk-bag~5030349002675_02c?wid=284&hei=284,"Features and benefitsCoverage will be dependent on depth laid, ground conditions etcUse to create finer concrete mixes and bed pipesNot for decorative usePlease note that product supplied comes from a natural source and may vary in colour, size and texture",bqProducts.csv
2,Bradfords 10mm Gravel Bulk Bag,£62.38,Aggregates & sand,https://www.bradfords.co.uk/10mm-gravel-abb036,https://www.bradfords.co.uk/media/catalog/product/cache/f7c81111a4a19ad296e9f8fd0fc16840/b/e/be7a0560c5afc3e69bb31974ac9641a2_1.jpg,"10mm gravel is suitable for general building and landscaping projects. The sand is supplied in strong bulk bags, which can be recycled - just return the empty bag to any one of our branches and we will recycle it for you!This gravel is locally sourced and may vary in colour and texture depending on location. If you require an exact match please call in to your local branch. Features & Benefits:   Ideal for drainage & pipe bedding.  Locally sourced.  Recyclable bulk bag.  800kg min packaged weight (+/-5%).  Size: 10mm",bradfordsProducts.csv
2,10mm Pea Gravel/Shingle Bulk Bag,£59.94,Aggregates & sand,https://www.builderdepot.co.uk/10mm-pea-gravel-shingle-bulk-bag,"https://www.builderdepot.co.uk/media/catalog/product/H/0/H000420_s_01_68c4.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=400&width=400&canvas=400:400","Our Pea Gravel/ Shingle contains stones between 6mm and 10mm in diameter. It is suitable for a variety of applications, both functional and decorative, but are generally used in or with other materials such as fine concrete, for decorative, borders and for the bedding of drainage pipes. Pea Shingle also effectively prevent weeds growing through when placed around flowerbeds.Key Features:Bulk Bag6-10mm in variationIdeal for paths, borders and bedding drainage pipesSuitable for use with fine concreteActs as a weed suppressantThis is a natural product and colour may vary",builderdepotProducts.csv
2,Jewson Pea Gravel/Pipe Bedding Single Trip - Large Bulk Bag,£80.40,Aggregates & sand,https://www.jewson.co.uk/p/pea-gravelpipe-bedding-bulk-bag-AGSTB016,"https://media.jewson.co.uk/f_auto,q_auto/t_Regular/global/product-images/70139",Jewson Pea Gravel/Pipe Bedding Single Trip - Large Bulk Bag are small rounded stones that are each the size of a pea. The pea gravel prevents weeds and improves drainage. It is also easily maintained by raking the stones into place. This product is made with naturally occurring materials - colour and texture will differ due to the various locations it is sourced from. This should be considered if using this product for decorative purposes.Features & benefitsStops erosionCan be used as rodent barrier,jewsonProducts.csv
