id,name,price,category,link,image,description,source
1360,Yale P-M236-CH-63 64mm Polished Chrome effect Metal 2 lever Sashlock,12.5,Door locks & latches,https://www.diy.com/departments/yale-p-m236-ch-63-64mm-polished-chrome-effect-metal-2-lever-sashlock/251724_BQ.prd,https://media.diy.com/is/image/Kingfisher/b-q-satin-nickel-effect-metal-tubular-mortice-latch-l-64mm-pack-of-3~05067718_07c?wid=284&hei=284,"This Bathroom Sashlock is ideal for internal use with wooden doors. Suitable for use with left hand or right hand opening doors.Guarantee - 2 yearsReversible latchOnly fixings includedComes with lock setSuitable for Timber doorsFeatures and benefitsEmergency release function, great for bathroom furniture",BQ
1361,"Yale Steel Multipoint lock, (L)1550mm (W)16mm",86,Door locks & latches,https://www.diy.com/departments/yale-steel-multipoint-lock-l-1550mm-w-16mm/1314122_BQ.prd,https://media.diy.com/is/image/Kingfisher/yale-platinum-nickel-plated-brass-single-euro-thumbturn-cylinder-lock-l-70mm~5011802257689_01bq?wid=284&hei=284,"This steel multipoint lock from Yale is ideal for upvc doors.Guarantee - 10 yearsOnly fixings includedComes with 16mm faceplateCorrosion resistantuPVCFeatures and benefitsAdjustable length and hook positions to fit most PVCu doors with top and bottom hooks or bolts3 high security anti-separation hooksAdjustable rollers create a weather-tight sealSupplied with pre-assembled keeps using the patented 'Uni-packer' system for fast, easy, and reliable installationSupplied with split handle spindle for optional night latch function. Rounded ends for safe installation",BQ
1362,"Yale Platinum Nickel-plated Brass Single Euro Thumbturn Cylinder lock, (L)70mm",45,Door locks & latches,https://www.diy.com/departments/yale-platinum-nickel-plated-brass-single-euro-thumbturn-cylinder-lock-l-70mm/1429975_BQ.prd,https://media.diy.com/is/image/Kingfisher/yale-pm246-2-5p-64mm-chrome-effect-metal-2-lever-sashlock~5010608024655_07c?wid=284&hei=284,"This 70mm thumbturn euro cylinder lock features corrosion resistant brass construction and is ideal as a replacement cylinder.Guarantee - 10 yearsAnti-bump, anti-drill, anti-pick & anti-snapComes with 2x keys and 1x 50mm M5 screwSuitable for Composite, uPVC & timberFeatures and benefitsYale Platinum 3 Star Euro Profile Cylinder is a TS007 3 star Kitemarked Anti-Snap security product to provide maximum security against known cylinder attack methodsIn addition to Anti-Snap technology this cylinder also has Anti-bump, Anti-pick, Anti-drill and Anti-screw protectionFlat reversible dimple key with stylish nylon key bow and key card for easy code identification and key duplicationEuro profile retrofit productSecured by Design approved",BQ
1362,Euro Cylinder & Turn 70mm,13.9,Door locks & latches,https://www.bradfords.co.uk/euro-cylinder-turn-abj462,https://www.bradfords.co.uk/media/catalog/product/cache/f7c81111a4a19ad296e9f8fd0fc16840/2/9/29fe06e4f921d75bf518b4d19343dfec.jpg,This 70mm euro cylinder with thumbturn works on any PVCU or composite door,Bradfords
1362,Yale Thumbturn Cylinder (70mm),12.99,Door locks & latches,https://www.homebase.co.uk/yale-thumbturn-cylinder-70mm/12804580.html,https://static.thcdn.com/images/xsmall/webp//productimg/original/12804580-8584831908715785.jpg,The Yale 6 pin Euro profile cylinder is a convenient everyday locking solution.,Homebase
1363,"Colours Lannion Satin Stainless steel Bathroom Turn & release lock (Dia)53mm, Pair",10,Door locks & latches,https://www.diy.com/departments/colours-lannion-satin-stainless-steel-bathroom-turn-release-lock-dia-53mm-pair/1835519_BQ.prd,https://media.diy.com/is/image/Kingfisher/colours-jaslo-polished-chrome-effect-zamak-bathroom-turn-release-lock-dia-52mm~3663602856207_01bq?wid=284&hei=284,Guarantee - 5 yearsOnly fixings includedFeatures and benefitsChoose a rose which matches with your colour and home styleThe product is robust and longlasting. We advise you to buy the same design for all the doors of your home,BQ
1363,Bathroom Turn & Release on Round Rose Stainless Steel,8.65,Door locks & latches,https://www.builderdepot.co.uk/bathroom-turn-release-on-round-rose-stainless-steel,"https://www.builderdepot.co.uk/media/catalog/product/l/0/l055313_s_01_4d2a.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=400&width=400&canvas=400:400",The Bathroom Turn and Release on Round Rose Stainless Steel has been manufactured to perfectly suit the satin stainless steel door handles on a round rose within the Steelworx range. It is finished in the same high quality satin stainless steel as the rest of the range. Key Features Round thumbturn and release Comes complete with all fixing screws required Satin Stainless Steel Technical Information Length: 50mm Height: 50mm Width: 10mm,Builderdepot
1364,Yale PM246 2.5P 64mm Chrome effect Metal 2 lever Sashlock,18.5,Door locks & latches,https://www.diy.com/departments/yale-pm246-2-5p-64mm-chrome-effect-metal-2-lever-sashlock/203776_BQ.prd,https://media.diy.com/is/image/Kingfisher/yale-polished-brass-effect-metal-tubular-mortice-latch-l-64mm~5010608188852_07c?wid=284&hei=284,This 2 lever mortice sashlock is ideal for internal use with wooden doors.Guarantee - 2 yearsOnly fixings includedSuitable for Timber doors,BQ
1365,Chrome-plated Brass Barrel N234 Door bolt (L)50mm (W)25mm,3.84,Door locks & latches,https://www.diy.com/departments/chrome-plated-brass-barrel-n234-door-bolt-l-50mm-w-25mm/195951_BQ.prd,https://media.diy.com/is/image/Kingfisher/yale-polished-chrome-effect-metal-tubular-mortice-latch-l-64mm~5010608088855_07c?wid=284&hei=284,This Barrel bolt is recommended for internal use. It is ideal for securing wooden doors.Brass constructionOnly fixings included,BQ
1366,B&Q Chrome effect Metal Tubular Mortice latch (L)64mm,2.98,Door locks & latches,https://www.diy.com/departments/b-q-chrome-effect-metal-tubular-mortice-latch-l-64mm/171954_BQ.prd,https://media.diy.com/is/image/Kingfisher/colours-lannion-satin-stainless-steel-bathroom-turn-release-lock-dia-53mm-pair~3663602856184_01bq?wid=284&hei=284,This tubular latch from B&Q is suitable for cupboards and doors.,BQ
1366,Tubular Latch,3.46,Door locks & latches,https://www.bradfords.co.uk/tubular-mortice-latch-abj699,https://www.bradfords.co.uk/media/catalog/product/cache/f7c81111a4a19ad296e9f8fd0fc16840/5/9/59c7abe7985f152b62a80d3a6bf20bfc.jpg,This nickel plated Tubular Mortice Latch is perfect for use where no locking is required. It can be used with either lever or knob handles. Features & Benefits:   Tubular latch for use with sprung furniture.  Suitable for domestic and commercial use.  Complete with strike plate and fixings.  Size: 64mm  Not suitable for use with unsprung furniture.,Bradfords
1367,"Smith & Locke Nickel effect Brass Single Euro Thumbturn Cylinder lock, (L)70mm (W)33mm",12.75,Door locks & latches,https://www.diy.com/departments/smith-locke-nickel-effect-brass-single-euro-thumbturn-cylinder-lock-l-70mm-w-33mm/1733557_BQ.prd,https://media.diy.com/is/image/Kingfisher/smith-locke-nickel-effect-brass-single-euro-cylinder-lock-l-100mm-w-33mm~3663602835646_01bq?wid=284&hei=284,"This euro thumbturn cylinder lock features brass construction and is ideal as a replacement cylinder.Guarantee - 3 yearsComes with 50mm, 60mm and 65mm screwsFeatures and benefitsHigh security level3 keys supplied6 lock pinsCylinder Protection: Anti-bump, anti-pick and anti-drillCylinder 1 length: 35 mmCylinder 2 length: 35 mm",BQ
1368,Smith & Locke Grey Zinc alloy 4-6 digit Push-button lock,28,Door locks & latches,https://www.diy.com/departments/smith-locke-grey-zinc-alloy-4-6-digit-push-button-lock/1478436_BQ.prd,https://media.diy.com/is/image/Kingfisher/smith-locke-nickel-effect-brass-single-euro-thumbturn-cylinder-lock-l-70mm-w-33mm~3663602835516_01bq?wid=284&hei=284,This push button lock is suitable for use with interior & exterior metal and timber doors for residential and light commercial use. Push button locks are an ideal solution for locations where multiple people require access.2000 lock code combinationsHoldback facilityFittings & fixings includedComes with Instruction manualMetal & timberFeatures and benefitsEasy or quick code change96 hours salt spray test for corrosion resistanceBatteries not required. Number of lock key variations is 1023Anti-thrust tubular latch. Lock is easily programmed via keypad without removing lock from the door4-6 digit code length. Single user code.60mm backset & 8mm follower sizeDoor thickness range: 35-60 mmHoldback facilityOperating temperature rang: -35°C to 66°C,BQ
