id,name,price,category,link,image,description,source
480,"Diall M8 Hex Stainless steel Bolt & nut (L)16mm (Dia)8mm, Pack of 10",4.15,"Bolts, nuts & washers",https://www.diy.com/departments/diall-m8-hex-stainless-steel-bolt-nut-l-16mm-dia-8mm-pack-of-10/3663602739791_BQ.prd,https://media.diy.com/is/image/Kingfisher/diall-m8-hex-stainless-steel-bolt-nut-l-16mm-dia-8mm-pack-of-10~3663602739791_01bq?wid=284&hei=284,Nuts includedSuitable for-Steel & woodFeatures and benefitsThis pack of 10 hex nuts and bolts are constructed from durable stainless steel. They are 16mm in length and have a M8 diameter. Ideal for a range of DIY projects.,BQ
481,"Diall M6 Hex Stainless steel Bolt & nut (L)75mm (Dia)6mm, Pack of 10",5.69,"Bolts, nuts & washers",https://www.diy.com/departments/diall-m6-hex-stainless-steel-bolt-nut-l-75mm-dia-6mm-pack-of-10/3663602739777_BQ.prd,https://media.diy.com/is/image/Kingfisher/diall-m8-hex-stainless-steel-bolt-nut-l-16mm-dia-8mm-pack-of-10~3663602739791_01bq?wid=284&hei=284,Nuts includedSuitable for-Steel & woodFeatures and benefitsThis pack of 10 hex nuts and bolts are constructed from durable stainless steel. They are 75mm in length and have a M6 diameter. Ideal for a range of DIY projects.,BQ
481,T Handle - Stainless Steel,6.00,"Bolts, nuts & washers",https://www.homebase.co.uk/t-handle-stainless-steel/12828836.html,https://static.thcdn.com/images/xsmall/webp//productimg/original/12828836-1375021915799129.jpg,Our range of beautiful handles are ideal for adding that finishing touch.  Choose from a variety of colours and finishes and complete your stylish new bedroom look.,Homebase
482,"Diall M6 Hex Stainless steel Bolt & nut (L)60mm (Dia)6mm, Pack of 10",4.97,"Bolts, nuts & washers",https://www.diy.com/departments/diall-m6-hex-stainless-steel-bolt-nut-l-60mm-dia-6mm-pack-of-10/3663602739746_BQ.prd,https://media.diy.com/is/image/Kingfisher/diall-m6-hex-stainless-steel-bolt-nut-l-75mm-dia-6mm-pack-of-10~3663602739777_01bq?wid=284&hei=284,Nuts includedSuitable for-Steel & woodFeatures and benefitsThis pack of 10 hex nuts and bolts are constructed from durable stainless steel. They are 60mm in length and have a M6 diameter. Ideal for a range of DIY projects.,BQ
483,"M8 Coach bolt & nut (L)70mm, Pack of 10",6.95,"Bolts, nuts & washers",https://www.diy.com/departments/m8-coach-bolt-nut-l-70mm-pack-of-10/3663602740766_BQ.prd,https://media.diy.com/is/image/Kingfisher/diall-m6-hex-stainless-steel-bolt-nut-l-60mm-dia-6mm-pack-of-10~3663602739746_01bq?wid=284&hei=284,"Nuts includedResistant to rustFeatures and benefitsThis pack of 10 zinc plated cup square coach nuts and bolts are constructed from durable carbon steel. They are 70mm in length, have a M8 diameter and come partially threaded for 22mm. Recommended for use on timber. Ideal for a range of DIY projects.Provides a self-locking function when placed through a square hole",BQ
484,"Diall M25 Carbon steel Plasterboard Washer, Pack of 50",14.02,"Bolts, nuts & washers",https://www.diy.com/departments/diall-m25-carbon-steel-plasterboard-washer-pack-of-50/3663602754268_BQ.prd,https://media.diy.com/is/image/Kingfisher/m8-coach-bolt-nut-l-70mm-pack-of-10~3663602740766_01bq?wid=284&hei=284,Features and benefitsThis pack of 50 plasterboard washers are constructed from durable carbon steel. They have an M25 diameter. Ideal for a range of DIY projects.,BQ
485,GoodHome Worktop joining bolts (H)16mm Pack of 3,3.00,"Bolts, nuts & washers",https://www.diy.com/departments/goodhome-worktop-joining-bolts-h-16mm-pack-of-3/3663602634560_BQ.prd,https://media.diy.com/is/image/Kingfisher/diall-m25-carbon-steel-plasterboard-washer-pack-of-50~3663602754268_03bq?wid=284&hei=284,"Purpose - Connect worktops & eliminate the need for surface mounted worktop joining stripsOne cabinet per bolt in each corner, eliminate the need for surface mounted worktop joining stripsGuarantee - 25 yearsFeatures and benefitsThis pack of 3 worktop connector bolts ensure your kitchen worktops are securely fixed into place, as well as prevent movement and gaps. Use along the lengths of 2 worktops to connect them, using a jig and router to create a flush surface finish.",BQ
486,"Diall M6 Carbon steel Cross dowel, Pack of 5",4.00,"Bolts, nuts & washers",https://www.diy.com/departments/diall-m6-carbon-steel-cross-dowel-pack-of-5/3663602744955_BQ.prd,https://media.diy.com/is/image/Kingfisher/goodhome-worktop-joining-bolts-h-16mm-pack-of-3~3663602634560_01c_bq?wid=284&hei=284,Features and benefitsThis specialized nut is ideal for creating secure and strong right angle joints. Ideal for workbench frames and trestle tables.The threaded hole and slot in end simplifies alignment with a boltThis product can be used to join two pieces of wood,BQ
487,"Diall M5 Carbon steel Penny Washer, Pack of 10",2.87,"Bolts, nuts & washers",https://www.diy.com/departments/diall-m5-carbon-steel-penny-washer-pack-of-10/3663602753988_BQ.prd,https://media.diy.com/is/image/Kingfisher/diall-m6-carbon-steel-cross-dowel-pack-of-5~3663602744955_01bq?wid=284&hei=284,Features and benefitsThis pack of 10 extra large flat repair washers are constructed from durable carbon steel. They have an M5 diameter. Ideal for a range of DIY projects.,BQ
488,"Diall M8 Carbon steel Penny Washer, Pack of 10",2.99,"Bolts, nuts & washers",https://www.diy.com/departments/diall-m8-carbon-steel-penny-washer-pack-of-10/3663602754008_BQ.prd,https://media.diy.com/is/image/Kingfisher/diall-m5-carbon-steel-penny-washer-pack-of-10~3663602753988_01bq?wid=284&hei=284,Features and benefitsThis pack of 10 extra large flat repair washers are constructed from durable carbon steel. They have an M8 diameter. Ideal for a range of DIY projects.,BQ
489,"Diall M8 Stainless steel Large Flat Washer, Pack of 10",4.18,"Bolts, nuts & washers",https://www.diy.com/departments/diall-m8-stainless-steel-large-flat-washer-pack-of-10/3663602753933_BQ.prd,https://media.diy.com/is/image/Kingfisher/diall-m8-carbon-steel-penny-washer-pack-of-10~3663602754008_01bq?wid=284&hei=284,Features and benefitsThis pack of 10 large flat washers are constructed from durable stainless steel. They have an M8 diameter. Ideal for a range of DIY projects.,BQ
490,"Diall M12 Stainless steel Large Flat Washer, Pack of 10",4.80,"Bolts, nuts & washers",https://www.diy.com/departments/diall-m12-stainless-steel-large-flat-washer-pack-of-10/3663602753957_BQ.prd,https://media.diy.com/is/image/Kingfisher/diall-m8-stainless-steel-large-flat-washer-pack-of-10~3663602753933_01bq?wid=284&hei=284,Features and benefitsThis pack of 10 large flat washers are constructed from durable stainless steel. They have an M12 diameter. Ideal for a range of DIY projects.,BQ
490,Homebase Stainless Steel Washer M12 10 Pack,6.50,"Bolts, nuts & washers",https://www.homebase.co.uk/homebase-stainless-steel-washer-m12-10-pack/13150508.html,https://static.thcdn.com/images/xsmall/webp//productimg/original/13150508-4784907615282217.jpg,"This 10 pack of Washers are 12mm and provide a larger bearing surface, spreading the load of screwed fastening to prevent damage to the surface. Stainless steel Interior use M12",Homebase
491,"Diall M6 Carbon steel Cross dowel, Pack of 5",4.26,"Bolts, nuts & washers",https://www.diy.com/departments/diall-m6-carbon-steel-cross-dowel-pack-of-5/3663602744962_BQ.prd,https://media.diy.com/is/image/Kingfisher/diall-m12-stainless-steel-large-flat-washer-pack-of-10~3663602753957_01bq?wid=284&hei=284,Features and benefitsThis specialized nut is ideal for creating secure and strong right angle joints. Ideal for workbench frames and trestle tables.The threaded hole and slot in end simplifies alignment with a boltThis product can be used to join two pieces of wood,BQ
492,"Diall M6 Hex Carbon steel (grade 5.8) Bolt & nut (L)100mm, Pack of 10",5.48,"Bolts, nuts & washers",https://www.diy.com/departments/diall-m6-hex-carbon-steel-grade-5-8-bolt-nut-l-100mm-pack-of-10/3663602739258_BQ.prd,https://media.diy.com/is/image/Kingfisher/diall-m6-carbon-steel-cross-dowel-pack-of-5~3663602744962_01bq?wid=284&hei=284,Nuts includedSuitable for-Steel & woodFeatures and benefitsThis pack of 10 zinc plated hex nuts and bolts are constructed from durable carbon steel. They are 100mm in length and have a M6 diameter. Ideal for a range of DIY projects.,BQ
493,"FFA Concept Zinc-plated Steel M4 Threaded rod, (L)1m",2.22,"Bolts, nuts & washers",https://www.diy.com/departments/ffa-concept-zinc-plated-steel-m4-threaded-rod-l-1m/254213_BQ.prd,https://media.diy.com/is/image/Kingfisher/diall-m6-hex-carbon-steel-grade-5-8-bolt-nut-l-100mm-pack-of-10~3663602739258_01bq?wid=284&hei=284,This steel threaded rod is suitable for a variety of projects where a standard length M4 bolt is not long enough.,BQ
494,"Diall M6 Stainless steel Large Flat Washer, (Dia)6mm, Pack of 10",4.02,"Bolts, nuts & washers",https://www.diy.com/departments/diall-m6-stainless-steel-large-flat-washer-dia-6mm-pack-of-10/3663602753926_BQ.prd,https://media.diy.com/is/image/Kingfisher/ffa-concept-zinc-plated-steel-m4-threaded-rod-l-1m~3232630218303_02c?wid=284&hei=284,Features and benefitsThis pack of 10 large flat washers are constructed from durable stainless steel. They have an M6 diameter. Ideal for a range of DIY projects.,BQ
495,"FFA Concept Zinc-plated Steel M12 Threaded rod, (L)1m",4.98,"Bolts, nuts & washers",https://www.diy.com/departments/ffa-concept-zinc-plated-steel-m12-threaded-rod-l-1m/254198_BQ.prd,https://media.diy.com/is/image/Kingfisher/diall-m6-stainless-steel-large-flat-washer-dia-6mm-pack-of-10~3663602753926_01bq?wid=284&hei=284,This steel threaded rod is suitable for a variety of projects where a standard length M12 bolt is not long enough.,BQ
496,"Diall M6 Carbon steel Penny Washer, Pack of 10",2.93,"Bolts, nuts & washers",https://www.diy.com/departments/diall-m6-carbon-steel-penny-washer-pack-of-10/3663602753995_BQ.prd,https://media.diy.com/is/image/Kingfisher/ffa-concept-zinc-plated-steel-m12-threaded-rod-l-1m~3232630218556_02c?wid=284&hei=284,Features and benefitsThis pack of 10 extra large flat repair washers are constructed from durable carbon steel. They have an M6 diameter. Ideal for a range of DIY projects.,BQ
497,"FFA Concept Zinc-plated Steel M10 Threaded rod, (L)1m",4.73,"Bolts, nuts & washers",https://www.diy.com/departments/ffa-concept-zinc-plated-steel-m10-threaded-rod-l-1m/254170_BQ.prd,https://media.diy.com/is/image/Kingfisher/diall-m6-carbon-steel-penny-washer-pack-of-10~3663602753995_01bq?wid=284&hei=284,This steel threaded rod is suitable for a variety of projects where a standard length M10 bolt is not long enough.,BQ
498,"FFA Concept Zinc-plated Steel M8 Threaded rod, (L)1m",4.07,"Bolts, nuts & washers",https://www.diy.com/departments/ffa-concept-zinc-plated-steel-m8-threaded-rod-l-1m/253939_BQ.prd,https://media.diy.com/is/image/Kingfisher/ffa-concept-zinc-plated-steel-m10-threaded-rod-l-1m~3232630218501_02c?wid=284&hei=284,This steel threaded rod is suitable for a variety of projects where a standard length M8 bolt is not long enough.,BQ
499,"Diall M10 Hex Carbon steel (grade 5.8) Bolt & nut (L)120mm, Pack of 10",8.75,"Bolts, nuts & washers",https://www.diy.com/departments/diall-m10-hex-carbon-steel-grade-5-8-bolt-nut-l-120mm-pack-of-10/3663602739609_BQ.prd,https://media.diy.com/is/image/Kingfisher/ffa-concept-zinc-plated-steel-m8-threaded-rod-l-1m~3232630218457_02c?wid=284&hei=284,Nuts includedSuitable for-Steel & woodFeatures and benefitsThis pack of 10 zinc plated hex nuts and bolts are constructed from durable carbon steel. They are 120mm in length and have a M10 diameter. Ideal for a range of DIY projects.,BQ
500,"Diall M6 Hex Stainless steel Bolt & nut (L)40mm (Dia)6mm, Pack of 10",3.90,"Bolts, nuts & washers",https://www.diy.com/departments/diall-m6-hex-stainless-steel-bolt-nut-l-40mm-dia-6mm-pack-of-10/3663602739715_BQ.prd,https://media.diy.com/is/image/Kingfisher/diall-m10-hex-carbon-steel-grade-5-8-bolt-nut-l-120mm-pack-of-10~3663602739609_01bq?wid=284&hei=284,Nuts includedSuitable for-Steel & woodFeatures and benefitsThis pack of 10 hex nuts and bolts are constructed from durable stainless steel. They are 40mm in length and have a M6 diameter. Ideal for a range of DIY projects.,BQ
501,Eye bolt (L)60mm (Dia)6mm,6.66,"Bolts, nuts & washers",https://www.diy.com/departments/eye-bolt-l-60mm-dia-6mm/1520582_BQ.prd,https://media.diy.com/is/image/Kingfisher/diall-m6-hex-stainless-steel-bolt-nut-l-40mm-dia-6mm-pack-of-10~3663602739715_01bq?wid=284&hei=284,"Secure ropes and cables to a structure with this 60mm long, 6mm diameter stainless steel eye bolt",BQ
502,"Diall M5 Hex Stainless steel Bolt & nut (L)20mm (Dia)3mm, Pack of 10",2.77,"Bolts, nuts & washers",https://www.diy.com/departments/diall-m5-hex-stainless-steel-bolt-nut-l-20mm-dia-3mm-pack-of-10/3663602739661_BQ.prd,https://media.diy.com/is/image/Kingfisher/eye-bolt-l-60mm-dia-6mm~3663602919933_01bq?wid=284&hei=284,Nuts includedSuitable for-Steel & woodFeatures and benefitsThis pack of 10 hex nuts and bolts are constructed from durable stainless steel. They are 20mm in length and have a M5 diameter. Ideal for a range of DIY projects.,BQ
