id,name,price,category,link,image,description,source
145,KOTA White MDF Torus Architrave (L)2.18m (W)69mm (T)18mm,12.97,Architrave,https://www.diy.com/departments/kota-white-mdf-torus-architrave-l-2-18m-w-69mm-t-18mm/288032_BQ.prd,https://media.diy.com/is/image/Kingfisher/goodhome-dowelling-jig-set~5059340069135_01c?wid=284&hei=284,"This Torus ArchitraveFully finishedFeatures and benefitsArchitrave is ideal as a surround for doors and windowsFree from natural defectsKOTA mouldings are extremely colour fast compared to gloss paintMade using responsibly sourced, Forest Friendly timber",BQ
146,GoodHome Planed Natural Pine Torus Architrave (L)2.1m (W)58mm (T)15mm,6.97,Architrave,https://www.diy.com/departments/goodhome-planed-natural-pine-torus-architrave-l-2-1m-w-58mm-t-15mm/1370265_BQ.prd,https://media.diy.com/is/image/Kingfisher/kota-white-mdf-torus-architrave-l-2-18m-w-69mm-t-18mm~5390705010042_02bq?wid=284&hei=284,"This Torus Architrave Create decorative feature for your wallsNot CE markedGuarantee - StatutoryCreate decorative feature for your wallsReady to paint, stain or varnishFeatures and benefitsRedwood Pine has a richer colour finish for a more traditional appearanceThis redwood architrave from Metsä Wood will look great as a decorative feature for your walls, adding the perfect finishing touch to any room in your home. You can paint, stain or varnish to get the finish you wantArchitrave is ideal as a surround for doors and windowsFor decorative internal room applicationsPaint, stain or varnish to achieve desired finish",BQ
147,GoodHome Primed White MDF Torus Architrave (L)2.1m (W)69mm (T)18mm,10.97,Architrave,https://www.diy.com/departments/goodhome-primed-white-mdf-torus-architrave-l-2-1m-w-69mm-t-18mm/1370295_BQ.prd,https://media.diy.com/is/image/Kingfisher/goodhome-primed-white-mdf-torus-picture-rail-l-2-4m-w-44mm-t-18mm~3663602048510_02bq?wid=284&hei=284,"This Torus Architrave Create decorative feature for your wallsNot CE markedFixings sold separatelyGuarantee - StatutoryCreate decorative feature for your wallsReady to paint, stain or varnishFeatures and benefitsThis MDF architrave from Metsä Wood will look great as a decorative feature for your walls, adding the perfect finishing touch to any room in your home. You can paint, stain or varnish to get the finish you wantArchitrave is ideal as a surround for doors and windowsFree from natural defectsPre primed. Apply top coat to achieve desired finish",BQ
148,GoodHome Primed White MDF Chamfered Architrave (L)2.1m (W)44mm (T)14.5mm,7.87,Architrave,https://www.diy.com/departments/goodhome-primed-white-mdf-chamfered-architrave-l-2-1m-w-44mm-t-14-5mm/1370278_BQ.prd,https://media.diy.com/is/image/Kingfisher/goodhome-primed-white-mdf-torus-architrave-l-2-1m-w-69mm-t-18mm~3663602048480_02bq?wid=284&hei=284,This Chamfered ArchitraveNot CE markedGuarantee - StatutoryReady to paint,BQ
149,GoodHome Primed White MDF Rounded Architrave (L)2.1m (W)44mm (T)14.5mm,7.97,Architrave,https://www.diy.com/departments/goodhome-primed-white-mdf-rounded-architrave-l-2-1m-w-44mm-t-14-5mm/1370291_BQ.prd,https://media.diy.com/is/image/Kingfisher/goodhome-primed-white-mdf-chamfered-architrave-l-2-1m-w-44mm-t-14-5mm~3663602048312_02bq?wid=284&hei=284,"This Bullnose Architrave Create decorative baseboard between your walls and flooringNot CE markedGuarantee - StatutoryCreate decorative baseboard between your walls and flooringReady to paint, stain or varnishFeatures and benefitsThis MDF architrave from Metsä Wood will look great as a decorative feature for your walls, adding the perfect finishing touch to any room in your home. You can paint, stain or varnish to get the finish you wantArchitrave is ideal as a surround for doors and windowsFree from natural defectsPre primed. Apply top coat to achieve desired finish",BQ
150,GoodHome Planed Natural Pine Rounded Architrave (L)2.1m (W)44mm (T)15mm,6.47,Architrave,https://www.diy.com/departments/goodhome-planed-natural-pine-rounded-architrave-l-2-1m-w-44mm-t-15mm/1370253_BQ.prd,https://media.diy.com/is/image/Kingfisher/goodhome-primed-white-mdf-rounded-architrave-l-2-1m-w-44mm-t-14-5mm~3663602048442_02bq?wid=284&hei=284,"This Bullnose Architrave Create decorative feature for your wallsNot CE markedGuarantee - StatutoryCreate decorative feature for your wallsReady to paint, stain or varnishFeatures and benefitsRedwood Pine has a richer colour finish for a more traditional appearanceThis redwood architrave from Metsä Wood will look great as a decorative feature for your walls, adding the perfect finishing touch to any room in your home. You can paint, stain or varnish to get the finish you wantArchitrave is ideal as a surround for doors and windowsFor decorative internal room applicationsPaint, stain or varnish to achieve desired finish",BQ
151,GoodHome Primed White MDF Square edge Architrave (L)2.1m (W)44mm (T)18mm,8.87,Architrave,https://www.diy.com/departments/goodhome-primed-white-mdf-square-edge-architrave-l-2-1m-w-44mm-t-18mm/1370286_BQ.prd,https://media.diy.com/is/image/Kingfisher/goodhome-planed-natural-pine-rounded-architrave-l-2-1m-w-44mm-t-15mm~3663602048060_02bq?wid=284&hei=284,This Square edge ArchitraveNot CE markedGuarantee - StatutoryReady to paint,BQ
152,GoodHome Planed Natural Pine Chamfered Architrave (L)2.1m (W)44mm (T)15mm,6.47,Architrave,https://www.diy.com/departments/goodhome-planed-natural-pine-chamfered-architrave-l-2-1m-w-44mm-t-15mm/1370254_BQ.prd,https://media.diy.com/is/image/Kingfisher/goodhome-primed-white-mdf-square-edge-architrave-l-2-1m-w-44mm-t-18mm~3663602048398_02bq?wid=284&hei=284,"This Chamfered Architrave Create decorative feature for your wallsNot CE markedGuarantee - StatutoryCreate decorative feature for your wallsReady to paint, stain or varnishFeatures and benefitsRedwood Pine has a richer colour finish for a more traditional appearanceThis redwood architrave from Metsä Wood will look great as a decorative feature for your walls, adding the perfect finishing touch to any room in your home. You can paint, stain or varnish to get the finish you wantArchitrave is ideal as a surround for doors and windowsFor decorative internal room applicationsPaint, stain or varnish to achieve desired finish",BQ
153,"GoodHome Primed White MDF Torus Architrave (L)2.1m (W)69mm (T)18mm, Pack of 5",54.85,Architrave,https://www.diy.com/departments/goodhome-primed-white-mdf-torus-architrave-l-2-1m-w-69mm-t-18mm-pack-of-5/1373091_BQ.prd,https://media.diy.com/is/image/Kingfisher/goodhome-planed-natural-pine-chamfered-architrave-l-2-1m-w-44mm-t-15mm~3663602048077_02bq?wid=284&hei=284,"This Torus Architrave Create decorative feature for your wallsNot CE markedGuarantee - StatutoryComes with 5 x 2.1m lengthsCreate decorative feature for your wallsReady to paint, stain or varnishFeatures and benefitsThis MDF architrave from Metsä Wood will look great as a decorative feature for your walls, adding the perfect finishing touch to any room in your home. You can paint, stain or varnish to get the finish you wantArchitrave is ideal as a surround for doors and windowsFree from natural defectsPre primed. Apply top coat to achieve desired finish",BQ
154,GoodHome Primed White MDF Ogee Architrave (L)2.1m (W)69mm (T)18mm,10.97,Architrave,https://www.diy.com/departments/goodhome-primed-white-mdf-ogee-architrave-l-2-1m-w-69mm-t-18mm/1370293_BQ.prd,https://media.diy.com/is/image/Kingfisher/goodhome-primed-white-mdf-torus-architrave-l-2-1m-w-69mm-t-18mm-pack-of-5~3663602049128_02bq?wid=284&hei=284,"This Ogee Architrave Create decorative feature for your wallsNot CE markedFixings sold separatelyGuarantee - StatutoryCreate decorative feature for your wallsReady to paint, stain or varnishFeatures and benefitsThis MDF architrave from Metsä Wood will look great as a decorative feature for your walls, adding the perfect finishing touch to any room in your home. You can paint, stain or varnish to get the finish you wantArchitrave is ideal as a surround for doors and windowsFree from natural defectsPre primed. Apply top coat to achieve desired finish",BQ
