id,name,price,category,link,image,description,source
5248,Homelux 3m² Underfloor heating mat,80.00,Underfloor heating,https://www.diy.com/departments/homelux-3m-underfloor-heating-mat/109088_BQ.prd,https://media.diy.com/is/image/Kingfisher/homelux-3m-underfloor-heating-mat~5060135378882_01c_bq?wid=284&hei=284,"Ideal for heating tiled flooring, this underfloor heating from Homelux has a total coverage of 3 m². It's been specially designed to be used under any porcelain, ceramic or natural stone tiles, and is mains powered.Suitable for Any porcelain, ceramic or natural stone tilesFeatures and benefitsFitting: A flexible powder based tile adhesive that is suitable for undertile heating must be used. Ensure the wire is kept 70mm apart for optimum heat distributionFitting instructions: Quick & easy installation",BQ
5249,Homelux 5m² Underfloor heating mat,120.00,Underfloor heating,https://www.diy.com/departments/homelux-5m-underfloor-heating-mat/109090_BQ.prd,https://media.diy.com/is/image/Kingfisher/homelux-3m-underfloor-heating-mat~5060135378882_01c_bq?wid=284&hei=284,"Ideal for heating tiled flooring, this underfloor heating from Homelux has a total coverage of 5 m². It's been specially designed to be used under any porcelain, ceramic or natural stone tiles, and is mains powered.Suitable for Any porcelain, ceramic or natural stone tilesFeatures and benefitsFitting: A flexible powder based tile adhesive that is suitable for undertile heating must be used. Ensure the wire is kept 70mm apart for optimum heat distributionFitting instructions: Quick & easy installation",BQ
5250,Homelux LCD thermostat,45.00,Underfloor heating,https://www.diy.com/departments/homelux-lcd-thermostat/109092_BQ.prd,https://media.diy.com/is/image/Kingfisher/homelux-5m-underfloor-heating-mat~5060135378912_01c_bq?wid=284&hei=284,Use the Homelux LCD Thermostat to adjust and control your Homelux Undertile Heating Mat.2 years GuaranteeCompatible with Homelux heatwave undertile heating matsFeatures and benefitsSimple and easy to use interface with clear LCD screenEasy to set-up and installFour programmable settingsAccurate temperature controlsBattery retains system memory in case of power failure,BQ
5251,Homelux 2m² Underfloor heating mat,70.00,Underfloor heating,https://www.diy.com/departments/homelux-2m-underfloor-heating-mat/109087_BQ.prd,https://media.diy.com/is/image/Kingfisher/homelux-lcd-thermostat~5060135378950_03c_bq?wid=284&hei=284,"Ideal for heating tiled flooring, this underfloor heating from Homelux has a total coverage of 2 m². It's been specially designed to be used under any porcelain, ceramic or natural stone tiles, and is mains powered.Suitable for Any porcelain, ceramic or natural stone tilesFeatures and benefitsFitting: A flexible powder based tile adhesive that is suitable for undertile heating must be used. Ensure the wire is kept 70mm apart for optimum heat distributionFitting instructions: Quick & easy installation",BQ
5251,Klima Underfloor Heating Mat Kit 2m²,119.99,Underfloor heating,https://www.screwfix.com/p/klima-underfloor-heating-mat-kit-2m-/339vy,https://media.screwfix.com/is/image/ae235/339VY_P?$autoprodblock$=&wid=136&hei=136&dpr=on,Easy to install heating mat with a thickness of just 3.5mm. Suitable for renovation purposes and can be installed in either tile adhesive or self-levelling compound. Kit includes a digital clock thermostat and floor sensor.Suitable for Wall & Floor TilesIPX7Energy Efficient10 Year Manufacturer's Guarantee (T&Cs Apply)Self-Adhesive Base for Easy Installation,Screwfix
5252,Homelux 4m² Underfloor heating mat,100.00,Underfloor heating,https://www.diy.com/departments/homelux-4m-underfloor-heating-mat/109089_BQ.prd,https://media.diy.com/is/image/Kingfisher/homelux-2m-underfloor-heating-mat~5060135378851_01c_bq?wid=284&hei=284,"Ideal for heating tiled flooring, this underfloor heating from Homelux has a total coverage of 4 m². It's been specially designed to be used under any porcelain, ceramic or natural stone tiles, and is mains powered.Suitable for Any porcelain, ceramic or natural stone tilesFeatures and benefitsFitting: A flexible powder based tile adhesive that is suitable for undertile heating must be used. Ensure the wire is kept 70mm apart for optimum heat distributionFitting instructions: Quick & easy installation",BQ
5252,Klima Underfloor Heating Mat Kit 4m²,149.99,Underfloor heating,https://www.screwfix.com/p/klima-underfloor-heating-mat-kit-4m-/472vy,https://media.screwfix.com/is/image/ae235/472VY_P?$autoprodblock$=&wid=136&hei=136&dpr=on,Easy to install heating mat with a thickness of just 3.5mm. Suitable for renovation purposes and can be installed in either tile adhesive or self-levelling compound. Kit includes a digital clock thermostat and floor sensor.Suitable for Wall & Floor TilesIPX7Energy Efficient10 Year Manufacturer's Guarantee (T&Cs Apply)Self-Adhesive Base for Easy Installation,Screwfix
5253,ThermoSphere 2.5m2 electric underfloor heating kit including white thermostat,265.00,Underfloor heating,https://www.diy.com/departments/thermosphere-2-5m2-electric-underfloor-heating-kit-including-white-thermostat/9509853463297_BQ.prd,https://media.diy.com/is/image/Kingfisher/homelux-4m-underfloor-heating-mat~5060135378899_01c_BQ?wid=284&hei=284,"Sustainable Thermo Sphere electric heating is a revolutionary way to heat your home that doesn’t cost you the earth. Gone are the days of expensive bills, ugly looking heaters and wastage of energy. Sustainable Thermo Sphere’s cutting-edge control design enables users to create heating zones only in the rooms they want; this means less money being wasted by heating up empty spaces and minimal maintenance requirements - goodbye to expensive service plans! And with Sustainable Thermo Sphere, you’ll be heating your home effectively, with an efficiency rate of 100% at point of use, whilst decreasing your carbon emissions. So wave bye-bye to expensive electricity bills and welcome Sustainable Thermo Sphere into your home today! Sustainable Thermo Sphere electric heating makes it incredibly easy for homeowners to reduce their carbon footprint with minimal effort. Through its 100% efficient output, meaning less heating time is required for comfort level, and its easy installation, electric heating is ideal for both new build and retrofit projects - both of which can be accomplished by a competent DIYer. However, before beginning any installation process, expert advice from an electrician should be considered in case additional electrical load needs to be taken into account when performing the final connection to the mains.Fittings & fixings includedGuarantee - LifetimeFeatures and benefitsThermoSphere Mesh is here to revolutionize the way you experience underfloor heating. British made and with an emphasis on ease of installation, ThermoSphere Mesh ensures an extraordinary level of quality, with a self-adhesive mesh that creates a protective layer for the fully earthed Twisted Twin heating cable. An incredibly fast installation process, combined with ThermoSphere's lifetime guarantee, means you can enjoy the comfort and benefits of a class-leading underfloor heating system in no time! ThermoSphere's TwistedTwin technology is revolutionizing the heating cable market with its unparalleled durability and security! The twisted construction of the cables helps minimize stress, ensuring peace of mind for those concerned about their investment. With full earth protection included, this remarkable technology from ThermoSphere is one of the safest heating cables in existence. Tap into this cutting edge technology today and never go back to lesser products againEasy installationSelf adhesive backingBritish manufactureComprehensive Lifetime warrantyTwistTwin heating cableAward winningAvaiable on line only",BQ
5254,Homelux Thermostat,25.00,Underfloor heating,https://www.diy.com/departments/homelux-thermostat/109091_BQ.prd,https://media.diy.com/is/image/KingfisherDigital/thermosphere-2-5m2-electric-underfloor-heating-kit-including-white-thermostat~9509853463297_01c_MP?wid=284&hei=284,2 years GuaranteeCompatible with Homelux heatwave undertile heating mats,BQ
5255,ThermoSphere 1.5m2 electric underfloor heating kit including white thermostat,215.00,Underfloor heating,https://www.diy.com/departments/thermosphere-1-5m2-electric-underfloor-heating-kit-including-white-thermostat/9506863497892_BQ.prd,https://media.diy.com/is/image/Kingfisher/homelux-thermostat~5060135378936_03c?wid=284&hei=284,"Sustainable Thermo Sphere electric heating is a revolutionary way to heat your home that doesn’t cost you the earth. Gone are the days of expensive bills, ugly looking heaters and wastage of energy. Sustainable Thermo Sphere’s cutting-edge control design enables users to create heating zones only in the rooms they want; this means less money being wasted by heating up empty spaces and minimal maintenance requirements - goodbye to expensive service plans! And with Sustainable Thermo Sphere, you’ll be heating your home effectively, with an efficiency rate of 100% at point of use, whilst decreasing your carbon emissions. So wave bye-bye to expensive electricity bills and welcome Sustainable Thermo Sphere into your home today! Sustainable Thermo Sphere electric heating makes it incredibly easy for homeowners to reduce their carbon footprint with minimal effort. Through its 100% efficient output, meaning less heating time is required for comfort level, and its easy installation, electric heating is ideal for both new build and retrofit projects - both of which can be accomplished by a competent DIYer. However, before beginning any installation process, expert advice from an electrician should be considered in case additional electrical load needs to be taken into account when performing the final connection to the mains.Fittings & fixings includedGuarantee - LifetimeFeatures and benefitsThermoSphere Mesh is here to revolutionize the way you experience underfloor heating. British made and with an emphasis on ease of installation, ThermoSphere Mesh ensures an extraordinary level of quality, with a self-adhesive mesh that creates a protective layer for the fully earthed Twisted Twin heating cable. An incredibly fast installation process, combined with ThermoSphere's lifetime guarantee, means you can enjoy the comfort and benefits of a class-leading underfloor heating system in no time! ThermoSphere's TwistedTwin technology is revolutionizing the heating cable market with its unparalleled durability and security! The twisted construction of the cables helps minimize stress, ensuring peace of mind for those concerned about their investment. With full earth protection included, this remarkable technology from ThermoSphere is one of the safest heating cables in existence. Tap into this cutting edge technology today and never go back to lesser products againEasy installationSelf adhesive backingBritish manufactureComprehensive Lifetime warrantyTwistTwin heating cableAward winningAvaiable on line only",BQ
