id,name,price,category,link,image,description,source
1528,"JG Speedfit Push-fit 90° Pipe elbow (Dia)15mm, Pack of 10",2.28-16.00,Elbows,https://www.diy.com/departments/jg-speedfit-push-fit-90-pipe-elbow-dia-15mm-pack-of-10/34367_BQ.prd,https://media.diy.com/is/image/Kingfisher/jg-speedfit-push-fit-90-pipe-elbow-dia-15mm-pack-of-10~0665628016910_01c_bq?wid=284&hei=284,25 years GuaranteeKitemark approvedFor use with Hot & cold water systemsFeatures and benefitsPush-fit plastic fitting for the connection of plastic and copper pipe. Simply push the fitting fully onto the pipe and twist the plastic nut clockwise to lock in place. Should the need arise to demount the connection unlock the nut and push the collet towards the body of the fitting and pull the pipe to release. The fitting ensures an easier working environment in confined places and removes the need for hot works on site. Installation can be reduced by around 40% against traditional fixing methods. Note: With all plastic pipes the relevant manufacturer’s pipe insert is required.Push-fit and demountable connectionsSuitable for hot and cold water and central heating systemsGrip and Seal connectionLead free and non toxicNo scale build up and corrosion Free,BQ
1528,JG Speedfit  Plastic Push-Fit Equal 90° Elbows 15mm 10 Pack,15.99,Elbows,https://www.screwfix.com/p/jg-speedfit-plastic-push-fit-equal-90-elbows-15mm-10-pack/57953,https://media.screwfix.com/is/image/ae235/57953_P?$autoprodblock$=&wid=136&hei=136&dpr=on,Push straight onto copper tube. Removable and reusable. Water Research Council Approved. British Gas Service approved for water pipes. No tools needed.DemountableSuitable for Drinking WaterSuitable for Water SystemsSuitable for Hard & Soft Water Areas50 Year Manufacturer's Guarantee (T&Cs Apply),Screwfix
1529,"Solder ring 90° Pipe elbow (Dia)15mm, Pack of 10",5.98,Elbows,https://www.diy.com/departments/solder-ring-90-pipe-elbow-dia-15mm-pack-of-10/161636_BQ.prd,https://media.diy.com/is/image/Kingfisher/jg-speedfit-push-fit-90-pipe-elbow-dia-15mm-pack-of-10~0665628016910_01c_bq?wid=284&hei=284,"For use with Hot & cold water systemsFeatures and benefitsOur Plumbsure Solder Ring range is a cost effective, and durable plumbing solution. Within each of these precision-made fittings, a ring of high quality lead-free solder is positioned. Simply heat the fitting with a blow torch to release the pre-fitted solder, to produce a reliable and secure joint. Please note, any copper piping will need to be prepared with a pipe cleaner and flux prior to soldering.All fittings supplied pre-soldered for a quality finishSuitable for use with both hot and cold water systemsRequires the use of a blowtorch to seal the pre installed solder ring located inside of the fitting",BQ
1530,Plumbsure Compression 90° Pipe elbow (Dia)15mm,2.6,Elbows,https://www.diy.com/departments/plumbsure-compression-90-pipe-elbow-dia-15mm/262077_BQ.prd,https://media.diy.com/is/image/Kingfisher/solder-ring-90-pipe-elbow-dia-15mm-pack-of-10~03890370_01c?wid=284&hei=284,"Features and benefitsBrass has long been used as a plumbing solution for both domestic and industrial use. The material itself has many properties that make it a very effective plumbing solution.Brass is highly durable making it ideal for plumbing works that require a resilient and long serving material. Does not easily crack or disintegrateBrass plumbing fittings are best suited for hot water distribution as they can withstand high temperature. They have excellent conductivity which promotes the efficiency of hot water distribution within the houseCompared to other metal fittings, Brass has one of the highest resistances to corrosion. The fittings do not rust, and are perfect for those who live in areas that have water with corrosive properties",BQ
1531,"Flomasta 90° Pipe elbow (Dia)15mm, Pack of 10",11.49,Elbows,https://www.diy.com/departments/flomasta-90-pipe-elbow-dia-15mm-pack-of-10/3663602477389_BQ.prd,https://media.diy.com/is/image/Kingfisher/plumbsure-compression-90-pipe-elbow-dia-15mm~03889466_03c?wid=284&hei=284,"These fittings come with a secure connection indicator for hassle free joints and are suitable for plumbing and heating systems.25 years GuaranteeNot CE markedKitemark approvedCommercial & domestic useSupplied With lock indicatorFor use with Gas & water systemsSuitable for Hard & soft water areasCompatible with Polybutylene (PB), PEX plastic and copper pipe applicationsSafe for drinking waterFeatures and benefitsThe secure connection indicator is there to ensure a leak-free joint. This is a highly visible green band that is seen when the product is unlocked. Upon connection, this green band disappears indicating that the joint is now properly connectedWith the unique twistloc technology, simply push the fitting fully onto the pipe and twist the plastic nut clockwise to lock in place. No special tools are required to fit the product. Just need to hand tighten themPPF are compatible with copper, PEX and PB pipes so they can be used for different plumbing scenarios, repair or new installationsThese fittings are completely demountable. This lets you reuse them without causing any damage to your plumbing system",BQ
1531,Flomasta   Compression Equal 90° Elbows 15mm 10 Pack,15.29,Elbows,https://www.screwfix.com/p/flomasta-compression-equal-90-elbows-15mm-10-pack/92557,https://media.screwfix.com/is/image/ae235/92557_P?$autoprodblock$=&wid=136&hei=136&dpr=on,Elbows.1 Year GuaranteeFully Recyclable Products,Screwfix
1532,Plumbsure Compression 90° Pipe elbow (Dia)15mm,2.98,Elbows,https://www.diy.com/departments/plumbsure-compression-90-pipe-elbow-dia-15mm/34142_BQ.prd,https://media.diy.com/is/image/Kingfisher/flomasta-90-pipe-elbow-dia-15mm-pack-of-10~3663602477389_01c?wid=284&hei=284,"Features and benefitsBrass has long been used as a plumbing solution for both domestic and industrial use. The material itself has many properties that make it a very effective plumbing solution.Brass is highly durable making it ideal for plumbing works that require a resilient and long serving material. Does not easily crack or disintegrateBrass plumbing fittings are best suited for hot water distribution as they can withstand high temperature. They have excellent conductivity which promotes the efficiency of hot water distribution within the houseCompared to other metal fittings, Brass has one of the highest resistances to corrosion. The fittings do not rust, and are perfect for those who live in areas that have water with corrosive properties",BQ
1533,Plumbsure Compression 90° Pipe elbow (Dia)22mm,4.82,Elbows,https://www.diy.com/departments/plumbsure-compression-90-pipe-elbow-dia-22mm/262084_BQ.prd,https://media.diy.com/is/image/Kingfisher/plumbsure-compression-90-pipe-elbow-dia-15mm~03889473_01c_bq?wid=284&hei=284,"Features and benefitsBrass has long been used as a plumbing solution for both domestic and industrial use. The material itself has many properties that make it a very effective plumbing solution.Brass is highly durable making it ideal for plumbing works that require a resilient and long serving material. Does not easily crack or disintegrateBrass plumbing fittings are best suited for hot water distribution as they can withstand high temperature. They have excellent conductivity which promotes the efficiency of hot water distribution within the houseCompared to other metal fittings, Brass has one of the highest resistances to corrosion. The fittings do not rust, and are perfect for those who live in areas that have water with corrosive properties",BQ
1534,"Plumbsure Push-fit 90° Pipe elbow (Dia)15mm, Pack of 5",10.98,Elbows,https://www.diy.com/departments/plumbsure-push-fit-90-pipe-elbow-dia-15mm-pack-of-5/178374_BQ.prd,https://media.diy.com/is/image/Kingfisher/plumbsure-compression-90-pipe-elbow-dia-22mm~03889503_33c_bq?wid=284&hei=284,"Features and benefitsOur Plumbsure Copper Push Fit range makes jointing easier, faster and more cost effective than other jointing methods - a fittings system which simply pushes together in seconds to create a perfect joint, every time.Improved installation time over traditional methodsPerfectly clean internal bore (less finishing/cleaning required)No localised annealing from high temperature workingNo carbon deposits (less risk of corrosion)System does not need to be ‘dry’ for effective jointing",BQ
1535,Plumbsure Compression 90° Pipe elbow (Dia)15mm,2.89,Elbows,https://www.diy.com/departments/plumbsure-compression-90-pipe-elbow-dia-15mm/34132_BQ.prd,https://media.diy.com/is/image/Kingfisher/plumbsure-push-fit-90-pipe-elbow-dia-15mm-pack-of-5~03890899_03c?wid=284&hei=284,"Kitemark approvedFeatures and benefitsBrass has long been used as a plumbing solution for both domestic and industrial use. The material itself has many properties that make it a very effective plumbing solution.Brass is highly durable making it ideal for plumbing works that require a resilient and long serving material. Does not easily crack or disintegrateBrass plumbing fittings are best suited for hot water distribution as they can withstand high temperature. They have excellent conductivity which promotes the efficiency of hot water distribution within the houseCompared to other metal fittings, Brass has one of the highest resistances to corrosion. The fittings do not rust, and are perfect for those who live in areas that have water with corrosive properties",BQ
