id,name,price,category,link,image,description,source
384,Set Of 2 Duck Feather And Down Pillows Hotel Quality Comfortable Extra Filled,22.95,Bedding,https://www.diy.com/departments/set-of-2-duck-feather-and-down-pillows-hotel-quality-comfortable-extra-filled/5038673952819_BQ.prd,https://media.diy.com/is/image/KingfisherDigital/set-of-2-duck-feather-and-down-pillows-hotel-quality-comfortable-extra-filled~5038673952819_01c_MP?wid=284&hei=284,"SET OF 2 DUCK FEATHER AND DOWN PILLOWS HOTEL QUALITY COMFORTABLE EXTRA FILLED
You’ll drift off in true comfort once you sink your head into our soft and plump Duck Feather & Down standard pillows.
Filled with 85% lightweight duck feather and 15% luxury duck down and encased in a smooth 233 thread Count Camberick Downproof Fabric, these sumptuously soft pillows will help you achieve a good night’s sleep night after night.
Standard Size 48cm x 74cm ApproxFeatures and benefitsYou’ll drift off in true comfort once you sink your head into our soft and plump Duck Feather & Down standard pillows.Filled with 85% lightweight duck feather and 15% luxury duck down and encased in a smooth 233 thread Count Camberick Downproof Fabric, these sumptuously soft pillows will help you achieve a good night’s sleep night after night.Standard Size 48cm x 74cm Approx",BQ
385,"King 4 Inch Thick Double Super Soft Mattress Topper, Hypoallergenic, Comfy, Deep Fill - Machine Washable",34.99,Bedding,https://www.diy.com/departments/king-4-inch-thick-double-super-soft-mattress-topper-hypoallergenic-comfy-deep-fill-machine-washable/0618202330933_BQ.prd,https://media.diy.com/is/image/KingfisherDigital/set-of-2-duck-feather-and-down-pillows-hotel-quality-comfortable-extra-filled~5038673952819_01c_MP?wid=284&hei=284,"Extra thick box sided mattress topper made from high grade anti allergic microfiber. These toppers are soft, durable and help provide a comfortable nights sleep. Easy care, these toppers can be held securely in place with the strong elasticated straps on each corner, they are also machine washable.Guarantee - 3 monthsMachine wash cold, Do not dry clean, Do not iron, Do not bleach, Do not tumble dryFeatures and benefits•	SUPERSOFT AND THICK: Our mattress topper provides you with a dreamy sleeping experience. It has been made with a fluffy microfiber filling which provides an incredibly cozy feel and gives the most relaxing sleep. The cover of this topper is made from a microfiber fabric that gives extra softness against your skin. With this mattress topper, you can help prolong the life of your mattress and give yourself an extra layer of luxury to sleep on.•	CLOUD LIKE COMFORT: Groundlevel’s super soft mattress toppers are well known for their premium quality and comparison to sleeping on a cloud. These mattress toppers are hypoallergenic which means they are kind to skin and do not include anything likely to cause allergies•	QUILTED STITCHING: Groundlevel uses premium, high-quality materials and components ensuring you the most comfortable sleeping experience. The mattress toppers have a box stitch design holding the filling in place and keeping it evenly distributed. These toppers naturally allow air to pass through keeping your bed cool and dry for the optimum nights sleep.•	EASY CARE: These toppers are easy to care for and can be machine washed. To ensure a great fit, there are strong elasticated bands on each corner of the topper. Simply fit these over your mattress to ensure the topper does not move around on your bed. We recommend using a separate sheet with this topper to avoid soiling",BQ
386,Plain White Fitted sheet,8.00-12.00,Bedding,https://www.diy.com/departments/plain-white-double-fitted-sheet/5059340446813_BQ.prd,https://media.diy.com/is/image/KingfisherDigital/king-4-inch-thick-double-super-soft-mattress-topper-hypoallergenic-comfy-deep-fill-machine-washable~0618202330933_01c_MP?wid=284&hei=284,"This cotton rich blend gives you the best of both worlds, the comfort of cotton with the easy care qualities of polyester resulting in less ironing.Machine wash at 40°C,low Iron, do not bleach,do not dry cleanFeatures and benefitsAvailable in single, double and king size. This fitted sheet is also available in greyEasy CareResponsibly sourced cottonRecycle PolyesterB&Q is committed to sourcing cotton sustainably180 Thread Count",BQ
386,The Willow Manor 100% Cotton Percale King Fitted Sheet - Optic White,9.5,Bedding,https://www.homebase.co.uk/the-willow-manor-100-cotton-percale-king-fitted-sheet-optic-white/13116429.html,https://static.thcdn.com/images/xsmall/webp//productimg/original/13116429-3814911949852119.jpg,"The Willow Manor 100% Cotton Percale range is made from naturally hypoallergenic and breathable fibres designed to keep you cool in summer and warm in winter. The combination of pure cotton and tightly woven threads of percale weave give this 35cm deep Fitted Sheet a soft feel, suitable for year-round use. The added benefits of durability and low maintenance that cotton provides means you can look forward to fresh, crisp bedding every night with minimal effort.For a complete bed linen set, we recommend pairing with The Willow Manor 100% Cotton Optic White Housewife or Oxford Pillowcase Pair and any King Set in the 100% Cotton range.We are proud that The Willow Manor range is tested and compliant to Standard 100 by OEKO-TEXÃƒâ€šÃ‚Â®, so you can be confident that you are protecting your family from harmful substances. King Fitted Sheet: 155 x 200cm 180 Thread Count percale weave 100% Cotton Percale Tested and compliant to OEKO-TEXÃƒâ€šÃ‚Â® Standard 100 Pair with matching Optic White Housewife or Oxford Pillowcase Pair and Duvet Set in the 100% Cotton Percale range",Homebase
387,Double Waterproof Terry Towel Mattress Protector Fitted Bed Sheet Cover Topper Bedding,11.99,Bedding,https://www.diy.com/departments/double-waterproof-terry-towel-mattress-protector-fitted-bed-sheet-cover-topper-bedding/5057102008101_BQ.prd,https://media.diy.com/is/image/Kingfisher/plain-white-double-fitted-sheet~5059340446820_06c?wid=284&hei=284,"Gr8 Home Fine Linens Collection Waterproof Terry Towel Mattress Topper Protector Fitted Bed Sheet Cover Double BeddingFeatures and benefitsOur Gr8 Home Fine Linens Collection Terry Towelling mattress protectors have been manufactured with a durable and waterproof materials - this fabric protects against spills or stains and is exceptionally hard-wearing with a durable composition to last you a very long time. This extra layer insulates you better, keeping you warmer for longer during those cold chilly nights - featuring a super soft & light element.Waterproof Terry Towel Mattress ProtectorSuper Soft Terry TopWaterproof BackingFully Elasticated skirt, Dustmite Proof & Bacteria ProofFits Mattress up to 30cm (12 Inch) Deep, Machine Washable at 40 degreesMaterial: Fabric face: 80% Cotton 20% Polyester (100% cotton terry pile)Reverse Fabric: 100% polyurethane, Skirt Fabric: 100% PolyesterDouble 135 x 190 + 30cm",BQ
388,Teddy Duvet Cover with Pillow Case Bedding Set,20.99,Bedding,https://www.diy.com/departments/teddy-duvet-cover-with-pillow-case-bedding-set/5027434008865_BQ.prd,https://media.diy.com/is/image/KingfisherDigital/double-waterproof-terry-towel-mattress-protector-fitted-bed-sheet-cover-topper-bedding~5057102008101_01c_MP?wid=284&hei=284,"This luxurious teddy fleece duvet cover set would look ideal in any bedroom, and is a perfect way to give your room a vibrant, warm fresh look. This duvet set is made from super soft touch polyester, making it comfortable and durable with an added warmth. This easy-care bed linen will give your bedroom that modern feel and once washed it has great resistance to wrinkles, fading and shrinkage. This deluxe Brentfords set includes a duvet cover and matching pillow case(s), all you need for a good nights sleep. Available in the following sizes:-  Single: 1 x Duvet cover 137cm x 198cm (54"" x 78"") - 1 pillowcase (48 x 74cm)  Double: 1 x Duvet cover 198cm x 198cm (78"" x 78"") - 2 pillowcases (48 x 74cm)  King: 1 x Duvet cover 230cm x 220cm (97"" x 87"") - 2 pillowcases (48 x 74cm)  Superking: 1 x Duvet cover 260cm x 220cm (102"" x 87"") - 2 pillowcases (48 x 74cm). Please note that this is not a comforter.  Material: 100% polyester - teddy fleece material Includes: Duvet Cover with pillow case(s) Washing Instructions: Machine washable at 30°C. Brand: BrentfordsComes with Duvet Quilt Cover with Pillow Case(s)Machine washableFeatures and benefitsLuxury plush teddy fleece super soft quilt duvet cover with pillow case thermal warm bedding set from the Brentfords rangeColour: Pure blackDouble size: quilt duvet cover - 198 x 198cm (78"" x 78""), pillowcases - 48 x 74cm (19"" x 29"")Material: 100% Easy care supersoft touch bear fleece polyester. Ideal for keeping warm on colder nights, or cuddling up to on lighter nights. Machine washable.Includes: 1 duvet cover & 2 matching housewife pillow cases, perfect set for a relaxing night sleep",BQ
389,Plain Dye Super Soft Non Iron Microfibre Fitted Bed Sheet,10.99,Bedding,https://www.diy.com/departments/plain-dye-super-soft-non-iron-microfibre-fitted-bed-sheet/5027434133574_BQ.prd,https://media.diy.com/is/image/KingfisherDigital/teddy-duvet-cover-with-pillow-case-bedding-set~5027434008865_01c_MP?wid=284&hei=284,"Treat yourself to a better night sleep with this soft touch, easy care Brentfords fitted bed sheet or pillow case. This great value bed linen is stitched from a light weight microfibre, providing resistance to wrinkles, fading and shrinkage. Machine washable and tumble dry friendly makes this easy care bed linen an essential for every home. Available in a range of luxury colours, this is sure to match your existing bedroom design, or create a fresh new look. Fitted sheets have elasticated edges.   Fitted Sheet Includes: 1 x Fitted Sheet  Single Size: 91 x 190 + 25 cm  Double Fitted Sheet: 137 x 190 + 25 cm  King Fitted Sheet: 152 x 200 + 25 cm  Superking Fitted Sheet: 183 x 200 + 25 cm  These fitted sheets have a 9 inch - 25cm corner box - ideal for a standard depth mattress.  Please note, fitted sheet does not include pillowcases. Material: 100% Polyester Microfibre  Washing Instructions: Machine Washable at 40°C  Brand: Brentfords. Established in 1952, Brentfords have released classic quality designs in celebration of providing 65 years of quality bed linen and home textiles.Machine washableFeatures and benefitsGive your bedroom a modern look with this luxurious plain dyed 100% polyester, microfibre fitted sheet from BrentfordsColour: a luxurious navy, with a hint of soft blueUK Standard King Fitted Sheet Size: 152 x 200 + 25 cmIncludes: 1 navy blue fitted bed sheet, 100% polyester microfiberIncludes: 1 navy blue fitted bed sheet, 100% polyester microfiber",BQ
390,Yasmina Duck Egg Double Duvet Cover and Pillowcases,23.99,Bedding,https://www.diy.com/departments/yasmina-duck-egg-double-duvet-cover-and-pillowcases/5027392405935_BQ.prd,https://media.diy.com/is/image/KingfisherDigital/plain-dye-super-soft-non-iron-microfibre-fitted-bed-sheet~5027434133574_01c_MP?wid=284&hei=284,"Yasmina Duck Egg Double Duvet SetWash before first use. Wash inside out with similar colours using a colour sensitive detergent. Suitable for Keep away from fire. Coloured Textiles: Do not place on light coloured surfaces as dye may transfer. Dry on a low heat. Iron on reverse.Features and benefitsA beautifully hand painted traditional floral meanders over a contemporary shades of plum, ochre, duck egg and apricot. Flip it over for another look of an elegant allover mini floralEasycare polycottonMatching pillowcases includedFully reversible",BQ
391,"Brentfords Reversible Teddy Duvet Cover with Pillowcase, Blush Grey - King",20.99,Bedding,https://www.diy.com/departments/brentfords-reversible-teddy-duvet-cover-with-pillowcase-blush-grey-king/5027434006908_BQ.prd,https://media.diy.com/is/image/KingfisherDigital/yasmina-duck-egg-double-duvet-cover-and-pillowcases~5027392405935_01c_MP?wid=284&hei=284,"This luxurious teddy fleece duvet cover set would look ideal in any bedroom, and is a perfect way to give your room a vibrant, warm fresh look. This duvet set is made from super soft touch fleece polyester, making it comfortable and durable with an added warmth. This easy-care bed linen will give your bedroom that modern feel and once washed it has great resistance to wrinkles, fading and shrinkage. This deluxe Brentfords set includes a duvet cover and matching pillow case(s), all you need for a good nights sleep. Available in the following sizes:-  Single: 1 x Duvet cover 137cm x 198cm (54"" x 78"") - 1 pillowcase (48 x 74cm)  Double: 1 x Duvet cover 198cm x 198cm (78"" x 78"") - 2 pillowcases (48 x 74cm)  King: 1 x Duvet cover 230cm x 220cm (97"" x 87"") - 2 pillowcases (48 x 74cm)  Superking: 1 x Duvet cover 260cm x 220cm (102"" x 87"") - 2 pillowcases (48 x 74cm)  Colour/Design: Teddy fleece super soft bedding available in blush pink, with a silver grey reverse.  Please note that this is not a comforter.  Material: 100% polyester - teddy fleece material Includes: Duvet Cover with pillow case(s) Washing Instructions: Machine washable at 30°C. Brand: BrentfordsComes with Duvet Quilt Cover with Pillow Case(s)Machine washableFeatures and benefitsLuxury plush teddy fleece super soft reversible Sherpa duvet cover with pillow case thermal warm bedding set from the Brentfords rangeColour: Blush pink, with a silver grey reverse to compliment the lookKing size: quilt duvet cover - 230cm x 220cm (90"" x 86""), pillowcases - 48 x 74cm (19"" x 29"")Material: 100% Easy care super soft feel bear fleece polyester. Machine washable for easy careIncludes: 1 duvet cover & 2 matching housewife pillow cases, perfect set for a relaxing night sleep",BQ
392,Set Of 4 Duck Feather And Down Pillows Hotel Quality Comfortable Extra Filled,42.95,Bedding,https://www.diy.com/departments/set-of-4-duck-feather-and-down-pillows-hotel-quality-comfortable-extra-filled/5038673955247_BQ.prd,https://media.diy.com/is/image/KingfisherDigital/brentfords-reversible-teddy-duvet-cover-with-pillowcase-blush-grey-king~5027434006908_01c_MP?wid=284&hei=284,"ou’ll drift off in true comfort once you sink your head into our soft and plump Duck Feather & Down standard pillows.
Filled with 85% lightweight duck feather and 15% luxury duck down and encased in a smooth 233 thread Count Camberick Downproof Fabric, these sumptuously soft pillows will help you achieve a good night’s sleep night after night.
Standard Size 48cm x 74cm ApproxFeatures and benefitsYou’ll drift off in true comfort once you sink your head into our soft and plump Duck Feather & Down standard pillows.Filled with 85% lightweight duck feather and 15% luxury duck down and encased in a smooth 233 thread Count Camberick Downproof Fabric, these sumptuously soft pillows will help you achieve a good night’s sleep night after night.Standard Size 48cm x 74cm ApproxWith a tog rating of 13.5, this is a warm quilt for chilly nights.",BQ
