id,name,price,category,link,image,description,source,sub_category
288,Sensio Aspect Round Illuminated Framed Illuminated mirror (H)600mm (W)600mm,125,Bathroom Mirrors,https://www.diy.com/departments/sensio-aspect-round-illuminated-framed-illuminated-mirror-h-600mm-w-600mm/5060522084693_BQ.prd,https://media.diy.com/is/image/Kingfisher/sensio-aspect-round-illuminated-framed-illuminated-mirror-h-600mm-w-600mm~5060522084693_01c_bq?wid=284&hei=284,"The illuminated mirrors by Sensio are exclusively LED. Sensio has a vast selection of bathroom mirrors ranging from diffused illuminated mirrors, LED mirrors and illuminated cabinets.Assembly not requiredBluetooth connectivity: No bluetooth connectivityGuarantee - 5 yearsPlace the product in the desired position on the wall with the fixings included in the box. For more information, please refer to the installation guide included with the product.Features and benefitsThis contemporary and stylish Aspect black matt finish framed mirror creates an ambience in any modern bathroom with its fully diffused, cool white LED.Fully diffused, cool white LEDs Integrated demister padInfra-red sensor controlContemporary matt black finishIntegrated demister pad safely heats up the mirror surface to clear away steam - automatically activated when the lights are on",BQ,home_accessories
288,Sensio Aspect Round Illuminated Bathroom Mirror,106.74,Bathroom Mirrors,https://www.builderdepot.co.uk/sensio-aspect-round-illuminated-bathroom-mirror,"https://www.builderdepot.co.uk/media/catalog/product/K/0/K022683_s_01_57f9.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=400&width=400&canvas=400:400","The Sensio Aspect Round Illuminated Bathroom Mirror is a modern, elegant mirror that would serve as the stand out feature in any bathroom.The floating-edge design is fully illuminated giving a fantastic, unrivalled glow. The light is perfectly diffused ensuring no diodes are visible, giving a seamless effect. The IR sensor ensures the mirror glass remains clear of fingerprints and the integrated demister pad ensures the mirror face stays perfectly clear of steam and fog.Key FeaturesInfra-red sensorDemister padFloating LED borderDiffused LED’sMatte black finishIP44 Rated(Ø) 600mm (D) 63mmGuarantee2 year manufacturers guarantee (Full Terms and Conditions can be found Here)",Builderdepot,home_accessories
289,Sensio Isla Rectangular Illuminated Bathroom mirror (H)650mm (W)500mm,75,Bathroom Mirrors,https://www.diy.com/departments/sensio-isla-rectangular-illuminated-bathroom-mirror-h-650mm-w-500mm/5060522088530_BQ.prd,https://media.diy.com/is/image/Kingfisher/sensio-aspect-round-illuminated-framed-illuminated-mirror-h-600mm-w-600mm~5060522084693_01c_bq?wid=284&hei=284,"The illuminated mirrors by Sensio are exclusively LED. Sensio has a vast selection of bathroom mirrors ranging from diffused illuminated mirrors, LED mirrors and illuminated cabinets.Assembly not requiredBluetooth connectivity: No bluetooth connectivityGuarantee - 5 yearsPlace the product in the desired position on the wall with the fixings included in the box. For more information, please refer to the installation guide included with the product.Features and benefitsSimple yet functional battery powered Isla LED mirror is a great addition to any bathroom.No wiring required as it is battery powered (suitable for use with rechargeable batteries)Rocker Switch to activate lightsSuitable for rechargeable batteriesFully diffused, cool white LED panels illuminate each side of the mirrorRocker switch activation",BQ,home_accessories
289,Sensio Aspect Rectangular Illuminated Bathroom Mirror,146.34,Bathroom Mirrors,https://www.builderdepot.co.uk/sensio-aspect-rectangular-illuminated-bathroom-mirror,"https://www.builderdepot.co.uk/media/catalog/product/K/0/K022682_s_01_5920.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=400&width=400&canvas=400:400","The Sensio Aspect Rectangular Illuminated Bathroom Mirror is a modern, elegant mirror that would serve as the stand out feature in any bathroom.The floating-edge design is fully illuminated giving a fantastic, unrivalled glow. The light is perfectly diffused ensuring no diodes are visible, giving a seamless effect. The IR sensor ensures the mirror glass remains clear of fingerprints and the integrated demister pad ensures the mirror face stays perfectly clear of steam and fog.Key FeaturesInfra-red sensorDemister padFloating LED borderDiffused LED’sMatte black finishIP44 Rated(H)700mm (W) 500mm (D) 63mmGuarantee2 year manufacturers guarantee (Full Terms and Conditions can be found Here)",Builderdepot,home_accessories
290,Soft Square Rectangular Ambient Touch Sensor Mirror with Demister - 700mm x 500mm,139,Bathroom Mirrors,https://www.diy.com/departments/soft-square-rectangular-ambient-touch-sensor-mirror-with-demister-700mm-x-500mm/5056462685199_BQ.prd,https://media.diy.com/is/image/Kingfisher/sensio-isla-rectangular-illuminated-bathroom-mirror-h-650mm-w-500mm~5060522088530_01c_bq?wid=284&hei=284,"An eye-catching addition to your bathroom, this functional and stylish wall hung rectangular mirror brings light to any bathroom with it's ambient LEDs. In a sleek finish to fit with any modern bathroom design, and large mirror surface creates a lighter atmosphere. The large mirror surface and LED's give the impression of a bigger bathroom, making it perfect for all sized bathrooms.Ready assembledBluetooth connectivity: No bluetooth connectivityGuarantee - 1 yearFeatures and benefitsWith touch sensor technology and contemporary elegant design. Film backed glass and IP44 splashproof for your additional safety. Space saving wall hung design. With built in demister.With touch sensor technology this mirror brings stunning design as well as practical features to your roomBuilt-in de-mister padSoft square designDimmable built in LED lightingFilm backed glass mirror for added safetyIP44 Splash ProofEasy to installCan be fitted anywhere within zones 2 & 3",BQ,home_accessories
291,GoodHome Perma White Rectangular Bathroom Mirror (H)700mm (W)500mm,50,Bathroom Mirrors,https://www.diy.com/departments/goodhome-perma-white-rectangular-bathroom-mirror-h-700mm-w-500mm/5059340257013_BQ.prd,https://media.diy.com/is/image/KingfisherDigital/soft-square-rectangular-ambient-touch-sensor-mirror-with-demister-700mm-x-500mm~5056462685199_01c_MP?wid=284&hei=284,"The Perma range of mirrors are designed with a traditional look, in a choice of colours and sizes to suit your bathroom.FramedSingle-sidedNo magnificationFeatures and benefitsThis stylish and beautiful mirror with lacquered finish and pop of colour brings elegance and style to your bathroom. The simplicity of the mirror is perfect for any style of bathroom.Can be hung vertically or horizontallyLacquered to match your vanity basin cabinet",BQ,home_accessories
292,Cooke & Lewis Dunnet Rectangular Bathroom Mirror (H)600mm (W)450mm,15,Bathroom Mirrors,https://www.diy.com/departments/cooke-lewis-dunnet-rectangular-bathroom-mirror-h-600mm-w-450mm/1624011_BQ.prd,https://media.diy.com/is/image/Kingfisher/goodhome-perma-white-rectangular-bathroom-mirror-h-700mm-w-500mm~5059340257013_01c_bq?wid=284&hei=284,"This simple and classic mirror is a perfect finishing touch to your bathroom, helping you create the feeling of light and space and ideal for all your bathroom tasks.Single-sidedNo magnification2 years guaranteeFeatures and benefitsMirror with a safety back film",BQ,home_accessories
293,Livingandhome Black Round Aluminum Wall Hanging Bathroom Framed Mirror 50 cm,29,Bathroom Mirrors,https://www.diy.com/departments/livingandhome-black-round-aluminum-wall-hanging-bathroom-framed-mirror-50-cm/0735940281461_BQ.prd,https://media.diy.com/is/image/Kingfisher/cooke-lewis-dunnet-rectangular-bathroom-mirror-h-600mm-w-450mm~3663602941910_01bq?wid=284&hei=284,"This is a beautiful practical round mirror. A simple yet classically designed mirror, perfect for quick check-ups before you leave the house. Featuring a sleek and slender metallic frame, its minimalist style is ideal for hanging up in your modern style bathroom and hallway. Inject some style and function in your living space.FramedNo magnification1 month guaranteeFeatures and benefitsUse our practical wall mirrors to add a touch of simple beauty to your bedroom, living room or dressing room; Decorate with this mirror, your room will look very spacious; The black border is fast defogging and clear imaging. The circular shape makes it look very simple.Blast-proof film covering the mirror50cm diameter wall mounted circular mirrorAluminum alloy black frame structure, smooth touch and elegant designDiameter: 50 cmShape: RoundColour: Black",BQ,home_accessories
293,Round Mirror - Gold - 50cm,18,Bathroom Mirrors,https://www.homebase.co.uk/round-mirror-gold-50cm/12886711.html,https://static.thcdn.com/images/xsmall/webp//productimg/original/12886711-5514843706833992.jpg,"A decorative round mirror complete with a gold effect finish, perfect to add a statement to any wall in your home. Gold effect finish 50cm diameter Perfect to dress any wall",Homebase,home_accessories
294,Showerdrape Chelsea Rectangular Frameless Bathroom Mirror (L)600mm (W)450mm,34,Bathroom Mirrors,https://www.diy.com/departments/showerdrape-chelsea-rectangular-frameless-bathroom-mirror-l-600mm-w-450mm/5023653042017_BQ.prd,https://media.diy.com/is/image/KingfisherDigital/livingandhome-black-round-aluminum-wall-hanging-bathroom-framed-mirror-50-cm~0735940281461_01c_MP?wid=284&hei=284,"The diamond cut linear lines etched into our rectangular Chelsea bathroom mirror really bring it to life and it could be the centre piece to your bathroom.Frameless1 year guaranteeFeatures and benefitsThe diamond cut linear lines etched into our rectangular Chelsea bathroom mirror really bring it to life and it could be the centre piece to your bathroom.Mount on the wall above the sink or a shelf and not only will it make your bathroom appear bigger, it will become a vital part of your morning and evening routines!Diamond CutRectangularBevelled Edge60cm (h) x 45cm (w)Please note this mirror does not come with a shelf.",BQ,home_accessories
295,Cooke & Lewis Golspie Grey Rectangular Bathroom Mirror (H)600mm (W)400mm,25,Bathroom Mirrors,https://www.diy.com/departments/cooke-lewis-golspie-grey-rectangular-bathroom-mirror-h-600mm-w-400mm/1826915_BQ.prd,https://media.diy.com/is/image/KingfisherDigital/showerdrape-chelsea-rectangular-frameless-bathroom-mirror-l-600mm-w-450mm~5023653042017_01c_MP?wid=284&hei=284,Single-sidedNo magnification2 years guaranteeFeatures and benefitsMirror with a safety back film,BQ,home_accessories
296,Cooke & Lewis Elbury Rectangular Bathroom Mirror (H)600mm (W)400mm,17,Bathroom Mirrors,https://www.diy.com/departments/cooke-lewis-elbury-rectangular-bathroom-mirror-h-600mm-w-400mm/1624017_BQ.prd,https://media.diy.com/is/image/Kingfisher/cooke-lewis-golspie-grey-rectangular-bathroom-mirror-h-600mm-w-400mm~3663602942177_01bq?wid=284&hei=284,"This simple and classic mirror is a perfect finishing touch to your bathroom, helping you create the feeling of light and space and ideal for all your bathroom tasks. The rounded edges add a contemporary finish.Single-sidedNo magnification2 years guaranteeFeatures and benefitsMirror with a safety back film",BQ,home_accessories
297,Cooke & Lewis Dunnet Rectangular Bathroom Mirror (H)800mm (W)600mm,18,Bathroom Mirrors,https://www.diy.com/departments/cooke-lewis-dunnet-rectangular-bathroom-mirror-h-800mm-w-600mm/1624015_BQ.prd,https://media.diy.com/is/image/Kingfisher/cooke-lewis-elbury-rectangular-bathroom-mirror-h-600mm-w-400mm~3663602942092_01bq?wid=284&hei=284,"This simple and classic mirror is a perfect finishing touch to your bathroom, helping you create the feeling of light and space and ideal for all your bathroom tasks.Single-sidedNo magnification2 years guaranteeFeatures and benefitsMirror with a safety back film",BQ,home_accessories
298,Cooke & Lewis Dunnet Rectangular Bathroom Mirror (H)450mm (W)300mm,10,Bathroom Mirrors,https://www.diy.com/departments/cooke-lewis-dunnet-rectangular-bathroom-mirror-h-450mm-w-300mm/1624008_BQ.prd,https://media.diy.com/is/image/Kingfisher/cooke-lewis-dunnet-rectangular-bathroom-mirror-h-800mm-w-600mm~3663602941934_01bq?wid=284&hei=284,"This simple and classic mirror is a perfect finishing touch to your bathroom, helping you create the feeling of light and space and ideal for all your bathroom tasks.Single-sidedNo magnification2 years guaranteeFeatures and benefitsMirror with a safety back film",BQ,home_accessories
