id,name,price,category,link,image,description,source
408,"Verve 120L Garden sack, Pack of 10",3.50,Bins & sacks,https://www.diy.com/departments/verve-120l-garden-sack-pack-of-10/3663602565208_BQ.prd,https://media.diy.com/is/image/Kingfisher/verve-120l-garden-sack-pack-of-10~3663602565208_01bq?wid=284&hei=284,These garden refuse sack have a 120L capacity and are ideal for disposing of garden waste.Features and benefitsWeather resistant making it suitable for outdoor useTear resistant to make the product more durable and longer lasting,BQ
409,Verve 0.22L Clearaway bag,5.50,Bins & sacks,https://www.diy.com/departments/verve-0-22l-clearaway-bag/3663602565239_BQ.prd,https://media.diy.com/is/image/Kingfisher/verve-120l-garden-sack-pack-of-10~3663602565208_01bq?wid=284&hei=284,A reusable garden clear away bag with 220L capacity.Features and benefitsTear resistant to make the product more durable and longer lastingWeather resistant making it suitable for outdoor useWith a reinforced handle for added durability when carrying,BQ
410,2 X 150L Garden Waste Bags - Heavy Duty Large Refuse Storage Sacks with Handles,7.99,Bins & sacks,https://www.diy.com/departments/2-x-150l-garden-waste-bags-heavy-duty-large-refuse-storage-sacks-with-handles/5050796003766_BQ.prd,https://media.diy.com/is/image/Kingfisher/verve-0-22l-clearaway-bag~3663602565239_01bq?wid=284&hei=284,"2 pack garden bags, ideal for collecting garden debris such as leaves, weeds and shrub clippings Guarantee - 1 yearFeatures and benefits2 pack garden bags, ideal for collecting garden debris such as leaves, weeds and shrub clippings Reusable heavy duty garden waste sacks Size: W 56cm X D 56cm X H 46cm Capacity: 150L  Ideal for collecting garden debris such as leaves, weeds and shrub clippings 2 pack",BQ
411,GardenKraft 3 Pack Of Garden Waste Bags,14.99,Bins & sacks,https://www.diy.com/departments/gardenkraft-3-pack-of-garden-waste-bags/5025301100391_BQ.prd,https://media.diy.com/is/image/KingfisherDigital/2-x-150l-garden-waste-bags-heavy-duty-large-refuse-storage-sacks-with-handles~5050796003766_01c_MP?wid=284&hei=284,"This pack of 3 garden waste bags are the perfect reusable garden accessory to keep your grass cuttings, leaves and plant trimmings stored away in one place. Each single bag measures 76cm in height by 100cm in diameter, and can hold up to 272 litres of garden waste. Each of the reusable garden waste bins are freestanding allowing you to easily pop in your garden waste when outside in the garden. The garden waste bags also feature 4 heavy duty carry handles, (2 at the top and 2 at the bottom), allowing for ease of transportation around the garden and to the local refuse centre. These multi-functional garden bags can also be used for general garden storage, keeping your tools and other garden accessories safe in one place in either the garden shed or on the patio. The garden bags also fold flat for great storage options when not in use.Guarantee - 1 yearFeatures and benefitsKey Features:Reuseable Garden Waste BagsHolds 272 Litres Of Garden WasteFreestandingBags Feature Heavy Duty Carry HandlesDimensions: 76cm x 100cm (H x D)Fold Flat When Not In Use For Ease Of Storage",BQ
412,Green Heavy Duty Reusable Garden Disposal Waste Bag Carrier Bin-1 Tonne Capacity,8.99,Bins & sacks,https://www.diy.com/departments/green-heavy-duty-reusable-garden-disposal-waste-bag-carrier-bin-1-tonne-capacity/5021196019985_BQ.prd,https://media.diy.com/is/image/KingfisherDigital/gardenkraft-3-pack-of-garden-waste-bags~5025301100391_01c_MP?wid=284&hei=284,"This heavy duty garden waste bag is ideal for collecting large amounts of garden waste such as cuttings, plants, leaves, shrubs and trees. Eco-Friendly, it can be reused over again and again. Designed primarily for garden use but it is extremely versatile and can also be applied to other suitable uses such as toy storage, laundry bags etc.;;When not in use this space saving bag folds neatly and can be stored with ease. Each bag is equipped with carry handles which are double stitched for extra strength for lifting .It is recommended to part fill the bags to ensure they do not become too heavy to lift and empty. Generous 1 tonne capacity.Guarantee - 1 yearFeatures and benefitsHeavy Duty Garden Waste Bag - 1 Tonne CapacityGarden Waste Bag for collecting large amounts of garden wasteRe-use again and againFolds neatly for storageWeather-ProofMassive 1 Tonne Capacity",BQ
413,"Verve Grey Pop-up bag, 120L, Pack of 1",5.50,Bins & sacks,https://www.diy.com/departments/verve-grey-pop-up-bag-120l-pack-of-1/3663602565222_BQ.prd,https://media.diy.com/is/image/KingfisherDigital/green-heavy-duty-reusable-garden-disposal-waste-bag-carrier-bin-1-tonne-capacity~5021196019985_01c_MP?wid=284&hei=284,This reusable free-standing garden pop-up bag has a 120L capacity and is perfect for collecting garden waste.Features and benefitsTear resistant to make the product more durable and longer lastingWeather resistant making it suitable for outdoor useWith a reinforced handle for added durability when carrying,BQ
414,"Garden Raised Square Grow Bag 235L Capacity Fruit, Veg, Plants Patch Foldable",9.99,Bins & sacks,https://www.diy.com/departments/garden-raised-square-grow-bag-235l-capacity-fruit-veg-plants-patch-foldable/5021196020530_BQ.prd,https://media.diy.com/is/image/Kingfisher/verve-grey-pop-up-bag-120l-pack-of-1~3663602565222_01bq?wid=284&hei=284,"This raised square grow bag is perfect for growing plants, vegetables, herbs and fruit. The grow bag is extremely easy to set up, simply unfold, fill with compost or soil and plant. The grow bag is ideal for gardeners who do not wish to create permanent vegetable patches in their garden, in fact, the grow bag can be stored away when you have harvested your crop. The bag provides a very generous 1m x 1m x 0.23m of growing space. The bag becomes very warm during the spring and winter months providing the perfect growing environment for your crops or flowers, drainage is provided thanks to the material the bag is constructed from. As the bag is raised, protection is provided from ground burrowing animals such as moles. Generous 235L Capacity.Guarantee - 1 yearFeatures and benefitsSquare Rasied Grow Bag for vegetables, fruit and flowersEasy to set up, simply unfold, fill, plantNon Permanent Vegetable PatchWarms up quickly in summer months to encourage crop growthGenerous 235L CapacityFolds away neatly when not in use",BQ
415,Green Heavy Duty Garden Disposal Waste Bags with Carry Handles -Extra Large 272L,8.99,Bins & sacks,https://www.diy.com/departments/green-heavy-duty-garden-disposal-waste-bags-with-carry-handles-extra-large-272l/5021196019923_BQ.prd,https://media.diy.com/is/image/KingfisherDigital/garden-raised-square-grow-bag-235l-capacity-fruit-veg-plants-patch-foldable~5021196020530_01c_MP?wid=284&hei=284,"These garden waste bags are ideal for collecting large amounts of garden waste such as cuttings, plants, leaves, shrubs and trees. Eco-Friendly, they can be reused over again and again, they are supplied with a flexible hoop which aids stability and keeps the bag open when filling. Designed primarily for garden use but they are extremely versatile and can also be applied to other suitable uses such as toy storage, laundry bags etc. When not in use these space saving bags fold neatly and can be stored with ease. Each bag is equipped with carry handles which are double stitched for extra strength for lifting .It is recommended to part fill the bags to ensure they do not become too heavy to lift and empty. Supplied in various sizes, 120L, 135L and 272L.Guarantee - 1 yearFeatures and benefitsGarden Waste Bag for collecting large amounts of garden wasteRe-use again and againVarious Sizes AvailableFlexible Hoop which aids Stability and double stitched carry handlesFolds neatly for storageWeather-Proof",BQ
416,LIVIVO Set of 2 Large Heavy Duty & Reusable Garden Waste Bags - 150L Refuse Waterproof Rubbish Grass Sack,5.99,Bins & sacks,https://www.diy.com/departments/livivo-set-of-2-large-heavy-duty-reusable-garden-waste-bags-150l-refuse-waterproof-rubbish-grass-sack/5060497641044_BQ.prd,https://media.diy.com/is/image/KingfisherDigital/green-heavy-duty-garden-disposal-waste-bags-with-carry-handles-extra-large-272l~5021196019923_01c_MP?wid=284&hei=284,"This heavy-duty, shower-proof refuse sack is ideal for use in the garden for the disposal of leaves, grass cuttings, weeds & other general garden refuse. Manufactured with a drawstring top & carry handles for safe and easy transportation.

A must-have product for your garden that you will use all year-roundRecyclableResistant to tearingWaterproofGuarantee - 1 yearFeatures and benefitsBack in the garden after the winter months, so much needs doing. Sort out the flower beds, make room for this year’s planting. And later in April and May, shaping, pruning, and cutting back.WITH SECURE HANDLES: Set of 2 Heavy Duty Reusable 150L Garden Waste Bags with Extra Secure Handles are ideal for use in the garden for the disposal of leaves, grass cuttings, weeds and other garden refuse.PREMIUM QUALITY: Very useful bag for the garden, car boot, home, holidays, shoppingEASY TO CLEAN: - Storage - Save Space: Simply wipe down to clean and fold away for easy storage and save space.MATERIAL: Durable Light Weight and Showerproof reusable garden waste bags 2 Very strong handles on each side, stitched right under the bag and up the other side for added strengthDIMENSIONS: Size : 71 x 38 x 57 cm each bag . Capacity 150 Litre each bag .",BQ
417,Green Heavy Duty Pop-Up Reusable Garden Disposal Waste Bag Carrier - Large 90L,8.99,Bins & sacks,https://www.diy.com/departments/green-heavy-duty-pop-up-reusable-garden-disposal-waste-bag-carrier-large-90l/5021196019848_BQ.prd,https://media.diy.com/is/image/KingfisherDigital/livivo-set-of-2-large-heavy-duty-reusable-garden-waste-bags-150l-refuse-waterproof-rubbish-grass-sack~5060497641044_01c_MP?wid=284&hei=284,"These pop-up garden waste bags are ideal for collecting large amounts of garden waste such as cuttings, plants, leaves, shrubs and trees. Eco-Friendly, they can be reused again and again, they are supplied with a flexible hoop which aids stability and keeps the bag open when filling. Designed primarily for garden use but they are extremely versatile and can also be applied to other suitable uses such as toy storage, laundry bags etc. When not in use these space saving bags completely collapse and can be stored with ease. Each bag is equipped with carry handles which are double stitched for extra strength for lifting .It is recommended to part fill the bags to ensure they do not become too heavy to lift and empty. Supplied in two sizes, 73L and 90L.Guarantee - 1 yearFeatures and benefitsPop Up Garden Waste Bag for collecting large amounts of garden wasteRe-use again and againAvailable in 2 SizesFlexible Hoop which aids Stability and double stitched carry handlesFolds neatly for storageWeather-Proof",BQ
418,Gardman Medium duty Green Garden sack 160L,16.00,Bins & sacks,https://www.diy.com/departments/gardman-medium-duty-green-garden-sack-160l/5024160835277_BQ.prd,https://media.diy.com/is/image/KingfisherDigital/green-heavy-duty-pop-up-reusable-garden-disposal-waste-bag-carrier-large-90l~5021196019848_01c_MP?wid=284&hei=284,Not recyclableNot water resistantFeatures and benefitsOur Hard Base Pop-Up Garden Tidy is useful for gathering up garden waste and clippings. The hard base protects the bag when dragging across hard surfaces. Quickly pops up and folds away for better storage.Quickly pops up to hold garden waste and clippingsHard base protects the bag when dragging across hard surfacesFeatures three strong handlesFolds for easy storageMade from durable polyester with a spring steel frame and plastic base,BQ
419,"Gardman Self-adhesive Wheelie bin number 1, (H)240mm (W)100mm",1.50,Bins & sacks,https://www.diy.com/departments/gardman-self-adhesive-wheelie-bin-number-1-h-240mm-w-100mm/5056344301704_BQ.prd,https://media.diy.com/is/image/Kingfisher/gardman-medium-duty-green-garden-sack-160l~5024160835277_01i_bq?wid=284&hei=284,"Guarantee - StatutoryFeatures and benefitsStick to dry, clean surfaces",BQ
420,LIVIVO Set of 2 Large Heavy Duty Garden Bags - Waterproof & Reusable Waste Refuse Grass Sack - 150 L/Green,6.99,Bins & sacks,https://www.diy.com/departments/livivo-set-of-2-large-heavy-duty-garden-bags-waterproof-reusable-waste-refuse-grass-sack-150-l-green/5060497640207_BQ.prd,https://media.diy.com/is/image/Kingfisher/gardman-self-adhesive-wheelie-bin-number-1-h-240mm-w-100mm~5056344301704_01c_bq?wid=284&hei=284,"This heavy duty, shower proof refuse sack is ideal for use in the garden for the disposal of leaves, grass cuttings, weeds & other general garden refuse. Manufactured with a carry handles for safe and easy transportation.Guarantee - 1 yearFeatures and benefitsIdeal for carrying leaves and garden rubbishWaterproof Bags with handlesCapacity: 150 Litres",BQ
421,"Gardman Self-adhesive Wheelie bin number 2, (H)240mm (W)100mm",1.50,Bins & sacks,https://www.diy.com/departments/gardman-self-adhesive-wheelie-bin-number-2-h-240mm-w-100mm/5056344301711_BQ.prd,https://media.diy.com/is/image/KingfisherDigital/livivo-set-of-2-large-heavy-duty-garden-bags-waterproof-reusable-waste-refuse-grass-sack-150-l-green~5060497640207_01c_MP?wid=284&hei=284,"Guarantee - StatutoryFeatures and benefitsStick to dry, clean surfaces",BQ
422,"Gardman Self-adhesive Wheelie bin number 3, (H)240mm (W)100mm",1.50,Bins & sacks,https://www.diy.com/departments/gardman-self-adhesive-wheelie-bin-number-3-h-240mm-w-100mm/5056344301728_BQ.prd,https://media.diy.com/is/image/Kingfisher/gardman-self-adhesive-wheelie-bin-number-2-h-240mm-w-100mm~5056344301711_01c_bq?wid=284&hei=284,"Guarantee - StatutoryFeatures and benefitsStick to dry, clean surfaces",BQ
423,"Gardman Self-adhesive Wheelie bin number 5, (H)240mm (W)100mm",1.50,Bins & sacks,https://www.diy.com/departments/gardman-self-adhesive-wheelie-bin-number-5-h-240mm-w-100mm/5056344301742_BQ.prd,https://media.diy.com/is/image/Kingfisher/gardman-self-adhesive-wheelie-bin-number-3-h-240mm-w-100mm~5056344301728_01c_bq?wid=284&hei=284,"Guarantee - StatutoryFeatures and benefitsStick to dry, clean surfaces",BQ
424,"Gardman Self-adhesive Wheelie bin number 4, (H)240mm (W)100mm",1.50,Bins & sacks,https://www.diy.com/departments/gardman-self-adhesive-wheelie-bin-number-4-h-240mm-w-100mm/5056344301735_BQ.prd,https://media.diy.com/is/image/Kingfisher/gardman-self-adhesive-wheelie-bin-number-5-h-240mm-w-100mm~5056344301742_01c_bq?wid=284&hei=284,"Guarantee - StatutoryFeatures and benefitsStick to dry, clean surfaces",BQ
