id,name,price,category,link,image,description,source
635,"GoodHome Pebre Anthracite Soft close runners Pull out storage, (H)2155mm (W)250mm",294.00,Cabinet shelves & storage,https://www.diy.com/departments/goodhome-pebre-anthracite-soft-close-runners-pull-out-storage-h-2155mm-w-250mm/3663602480266_BQ.prd,https://media.diy.com/is/image/Kingfisher/goodhome-pebre-anthracite-soft-close-runners-pull-out-storage-h-2155mm-w-250mm~3663602480266_21c_bq?wid=284&hei=284,Fittings & fixings includedCompatible with 30cm tall larder cabinetInstalled onto the base and roof of the cabinet. Fitting instructions are includedDoor slides outwardsGuarantee - 10 yearsFeatures and benefitsCarcass not included,BQ
636,"GoodHome Pebre Anthracite Soft close runners Pull out storage, (H)530mm (W)107mm",54.00,Cabinet shelves & storage,https://www.diy.com/departments/goodhome-pebre-anthracite-soft-close-runners-pull-out-storage-h-530mm-w-107mm/3663602480143_BQ.prd,https://media.diy.com/is/image/Kingfisher/goodhome-pebre-anthracite-soft-close-runners-pull-out-storage-h-2155mm-w-250mm~3663602480266_21c_bq?wid=284&hei=284,Fittings & fixings includedCompatible with 15cm base cabinetEasy to fix onto the inside panel of the cabinet. Fitting instructions are includedDoor slides outwardsGuarantee - 10 yearsFeatures and benefitsOur Pebre range of pull-out storage is easy to fit and is a real lifesaver. It saves you from reaching into the back of the cupboard so you can find everything you need with easeCarcass not included,BQ
637,"Orion grey Soft-close Universal Pull out storage, (H)506mm (W)300mm",75.00,Cabinet shelves & storage,https://www.diy.com/departments/orion-grey-soft-close-universal-pull-out-storage-h-506mm-w-300mm/8010880012996_BQ.prd,https://media.diy.com/is/image/Kingfisher/goodhome-pebre-anthracite-soft-close-runners-pull-out-storage-h-530mm-w-107mm~3663602480143_01c_bq?wid=284&hei=284,Fittings & fixings includedCompatible with 30cm base cabinetInstructions for fitting includedDoor opens to the left or rightFeatures and benefitsThis soft-close pull-out storage saves you from reaching into the back of the cupboard so you can find everything you need with ease.Single extension runners with soft close systemThree-dimensional adjustment of the doorFixing position of the runners on the sides of the cabinet for more stabilityEasy to fix onto the inside panels of the cabinet,BQ
638,"Corner cabinet Orion grey Soft-close LH Pull out storage, (H)613mm (W)1000mm",298.00,Cabinet shelves & storage,https://www.diy.com/departments/corner-cabinet-orion-grey-soft-close-lh-pull-out-storage-h-613mm-w-1000mm/8010880013030_BQ.prd,https://media.diy.com/is/image/Kingfisher/orion-grey-soft-close-universal-pull-out-storage-h-506mm-w-300mm~8010880012996_21c_bq?wid=284&hei=284,Fittings & fixings includedCompatible with 100cm corner base cabinetInstructions for fitting includedFeatures and benefitsThis soft-close pull-out corner storage saves you from reaching into the back of the cupboard so you can find everything you need with ease.Mechanism with high load capacity runner with soft-close systemThree-dimensional adjustment of the doorThe upper external basket can be adjusted in heightDoor opens & unit swings out to the left - This is for cabinets with the right hand side in the corner,BQ
639,"Corner cabinet Orion grey Soft-close RH Pull out storage, (H)613mm (W)1000mm",298.00,Cabinet shelves & storage,https://www.diy.com/departments/corner-cabinet-orion-grey-soft-close-rh-pull-out-storage-h-613mm-w-1000mm/8010880013047_BQ.prd,https://media.diy.com/is/image/Kingfisher/corner-cabinet-orion-grey-soft-close-lh-pull-out-storage-h-613mm-w-1000mm~8010880013030_01c_bq?wid=284&hei=284,Fittings & fixings includedCompatible with 100cm base cabinetInstructions for fitting includedFeatures and benefitsThis soft-close pull-out corner storage saves you from reaching into the back of the cupboard so you can find everything you need with ease.Mechanism with high load capacity runner with soft-close systemThree-dimensional adjustment of the doorThe upper external basket can be adjusted in heightDoor opens & unit swings out to the right - This is for cabinets with the left hand side in the corner,BQ
640,"Corner cabinet Orion grey Soft-close RH Pull out storage, (H)613mm (W)800mm",278.00,Cabinet shelves & storage,https://www.diy.com/departments/corner-cabinet-orion-grey-soft-close-rh-pull-out-storage-h-613mm-w-800mm/8010880013023_BQ.prd,https://media.diy.com/is/image/Kingfisher/corner-cabinet-orion-grey-soft-close-rh-pull-out-storage-h-613mm-w-1000mm~8010880013047_01c_bq?wid=284&hei=284,Fittings & fixings includedCompatible with 80cm base cabinetInstructions for fitting includedFeatures and benefitsThis soft-close pull-out corner storage saves you from reaching into the back of the cupboard so you can find everything you need with ease.Mechanism with high load capacity runner with soft-close systemThree-dimensional adjustment of the doorThe upper external basket can be adjusted in heightDoor opens & unit swings out to the right - This is for cabinets with the left hand side in the corner,BQ
641,"GoodHome Caraway 2 tier White Melamine-faced chipboard Cabinet shelving (L)964mm, Pack of 2",10.00,Cabinet shelves & storage,https://www.diy.com/departments/goodhome-caraway-2-tier-white-melamine-faced-chipboard-cabinet-shelving-l-964mm-pack-of-2/3663602643418_BQ.prd,https://media.diy.com/is/image/Kingfisher/corner-cabinet-orion-grey-soft-close-rh-pull-out-storage-h-613mm-w-800mm~8010880013023_01c_bq?wid=284&hei=284,"Guarantee - 25 yearsA spare or replacement shelf suitable for a 1000mm base cabinetFeatures and benefitsIf you need a spare shelf for your Caraway base cabinet, this one can be trimmed to size, to fit inside your existing cabinet perfectly.Designed with quality in mind to give you ultimate performance, these GoodHome shelves come with a 25-year guarantee.  ",BQ
642,"Pebre Matt Dark grey Universal Pull out storage, (H)117mm (W)764mm",58.00,Cabinet shelves & storage,https://www.diy.com/departments/pebre-matt-dark-grey-universal-pull-out-storage-h-117mm-w-764mm/3663602480174_BQ.prd,https://media.diy.com/is/image/Kingfisher/goodhome-caraway-2-tier-white-melamine-faced-chipboard-cabinet-shelving-l-964mm-pack-of-2~3663602643418_01c_bq?wid=284&hei=284,Easy to fix onto the inside panels of the cabinet. Fitting instructions are includedDoors open outwardsFeatures and benefitsOur Pebre range of pull-out storage is easy to fit and is a real lifesaver. It saves you from reaching into the back of the cupboard so you can find everything you need with easeCarcass not included,BQ
643,"GoodHome Cicely 2 tier Transparent Non-magnetic Polyethylene (PE) & tempered glass Shelf (L)458.5mm, Pack of 2",12.00,Cabinet shelves & storage,https://www.diy.com/departments/goodhome-cicely-2-tier-transparent-non-magnetic-polyethylene-pe-tempered-glass-shelf-l-458-5mm-pack-of-2/3663602643456_BQ.prd,https://media.diy.com/is/image/Kingfisher/pebre-matt-dark-grey-universal-pull-out-storage-h-117mm-w-764mm~3663602480174_21c?wid=284&hei=284,"Guarantee - 10 yearsFor decorative, storing and organising purposesFeatures and benefitsWhy not upgrade your current Caraway shelving to these Cicely 500mm glass wall shelves. It comes with shelves, supports and clamps, so you have everything you need to give your kitchen the love it deserves.Designed with quality in mind to give you ultimate performance, these GoodHome shelves come with a 10-year guarantee.  ",BQ
644,"GoodHome Caraway 2 tier White Melamine-faced chipboard Shelving (L)964mm, Pack of 2",9.00,Cabinet shelves & storage,https://www.diy.com/departments/goodhome-caraway-2-tier-white-melamine-faced-chipboard-shelving-l-964mm-pack-of-2/3663602643425_BQ.prd,https://media.diy.com/is/image/Kingfisher/goodhome-cicely-2-tier-transparent-non-magnetic-polyethylene-pe-tempered-glass-shelf-l-458-5mm-pack-of-2~3663602643456_01c_bq?wid=284&hei=284,"Guarantee - 25 yearsA spare or replacement shelf suitable for a 1000mm wall cabinetFeatures and benefitsIf you need a spare shelf for your Caraway wall cabinet, this one can be trimmed to size, to fit inside the cabinet perfectly.Designed with quality in mind to give you ultimate performance, these GoodHome shelves come with a 25-year guarantee.  ",BQ
