id,name,price,category,link,image,description,source
1049,"GoodHome AirSensor GHAG60ASBL Black steel & glass Angled Cooker hood, (W)59.8cm",218.00,Cooker hoods,https://www.diy.com/departments/goodhome-airsensor-ghag60asbl-black-steel-glass-angled-cooker-hood-w-59-8cm/5059340445984_BQ.prd,https://media.diy.com/is/image/Kingfisher/goodhome-airsensor-ghag60asbl-black-steel-glass-angled-cooker-hood-w-59-8cm~5059340445984_01c?wid=284&hei=284,"Our GoodHome appliances are packed with features that make them easy to use and cooking fuss free. This GoodHome cookerhood includes smart AirSensor technology which detects and responds to air pollutants, humidity and temperature levels in the air for automated hands free extraction whilst you cook.Compatible with Carbon Filter 4Brackets & wall fixings includedComes with Fitting instructions and fittingsOperation - Touch controlShould be fitted by a qualified personFeatures and benefitsAutomated odour extraction that quietly cleans the air with AirSensor technologyBrushless motor for quieter, efficient extractionSleek LED touch controlsDishwasher safe washable grease filterHighly energy efficient A+ ratingEnergy efficient LED lightingAll our GoodHome Cooker hoods are guaranteed for 2 yearsGreat quality, great price",BQ
1050,"Cooke & Lewis CLCGS60 Inox Stainless steel Curved Cooker hood, (W)60cm",60.00,Cooker hoods,https://www.diy.com/departments/cooke-lewis-clcgs60-inox-stainless-steel-curved-cooker-hood-w-60cm/1769300_BQ.prd,https://media.diy.com/is/image/Kingfisher/goodhome-airsensor-ghag60asbl-black-steel-glass-angled-cooker-hood-w-59-8cm~5059340445984_01c?wid=284&hei=284,"Keep your kitchen free from cooking odours with this Cooke & Lewis three speed, curved glass cooker hood. The push button controls are easy to use, perfect for when you're concentrating on cooking more than one dish at once and the extraction rate keeps unwanted odours at bay whilst cooking. The LED light keeps your oven top brightly lit, and it comes with additional grease filter.Only fixings includedOperation - Push button controlThis cooker hood should be hard wired into the mains by a qualified electrician. The minimum distance fitted above gas hob is 750mm and above electric hob is 650mmGuarantee - 2 yearsThis Cooker Hood is designed to be used with the CARBFILT4Features and benefitsThis sleek stainless steel cooker hood from Cooke and Lewis helps remove odours and illuminates your cooking area to provide a modern, stylish, functional addition to your kitchen.Low noise outputAluminium Dishwasher-proof filter for easy cleaningWith the benefits of LED lighting you can see your cooking and a great secondary way of lighting your kitchenIt is recommended to change the carbon filters every 3 months while recirculatingCooker hood height adjustable 625-915mmEnergy rating: CCarbon filter not included - must be purchased separately",BQ
1051,"CHS60 Inox Stainless steel Chimney Cooker hood, (W)60cm",67.00,Cooker hoods,https://www.diy.com/departments/chs60-inox-stainless-steel-chimney-cooker-hood-w-60cm/1769290_BQ.prd,https://media.diy.com/is/image/Kingfisher/cooke-lewis-clcgs60-inox-stainless-steel-curved-cooker-hood-w-60cm~3663602842590_01bq?wid=284&hei=284,"Keep your kitchen free from cooking odours with this three speed cooker hood. The push button controls are easy to use, perfect for when you're concentrating on cooking more than one dish at once and the extraction rate keeps unwanted odours at bay whilst cooking. The LED light keeps your oven top brightly lit, and it comes with additional grease filter.Only fixings includedPush button controlThis cooker hood should be hard wired into the mains by a qualified electrician. The minimum distance fitted above gas hob is 750mm and above electric hob is 650mmGuarantee - 2 yearsThis Cooker Hood is designed to be used with the CARBFILT4Features and benefitsThis sleek stainless steel cooker hood helps remove odours and illuminates your cooking area to provide a modern, stylish yet functional addition to your kitchen.Comes with 3 speed settingsAluminium Dishwasher-proof filter for easy cleaningWith the benefits of LED lighting you can see your cooking and a great secondary way of lighting your kitchenIt is recommended to change the carbon filters every 3 months while recirculatingCooker hood height adjustable 665-910mmEnergy rating: CCarbon filter not included - must be purchased separately",BQ
1051,Unbranded 60cm Chimney Hood With Push Button Controls Stainless Steel NCE60NX,83.94,Cooker hoods,https://www.travisperkins.co.uk/cooker-hoods-filters-and-vents/unbranded-60cm-chimney-hood-with-push-button-controls-stainless-steel-nce60nx/p/393166,https://dam-assets.apps.travisperkins.group/ykWe4/GPID_1100564782_IMG_00.jpg?width=300&height=300,"This chimney hood is classic in design complementing all ovens, range cookers and hobs. This model is activated through push button controls to select the extraction, desired speed and illuminate the cooking surface. The hood features three extraction speeds allowing you to control the extraction required for the dish you are cooking; for searing meat or boiling the highest speed is advisable where as for a gentle simmer a low level speed is more suitable. It also comes with two washable filters to catch grease and smells when in operation, the cleaner the filter the cleaner the air in the kitchen will be. The grease filters ensure the hood can be easily maintained and remain efficient. This model offers a noise level of 63db, this provides a quiet extraction helping reduce background noise in the kitchen. The hood can be fitted as a extraction or reciruclation hood, allowing you to choose how you extract the air through.This hood is activated through push button controls which is easy to select the extraction, desired speed and illuminate the cooking surface.This model is activated through push button controls to select the extraction, desired speed and illuminate the cooking surface.It also comes with two washable filters to catch grease and smells when in operation, the cleaner the filter the cleaner the air in the kitchen will be.The hood can be fitted as a extraction or reciruclation hood, allowing you to choose how you extract the air through.View more",TP
1052,"CLIHS60 Inox Steel Integrated Cooker hood, (W)60cm",78.00,Cooker hoods,https://www.diy.com/departments/clihs60-inox-steel-integrated-cooker-hood-w-60cm/1769313_BQ.prd,https://media.diy.com/is/image/Kingfisher/chs60-inox-stainless-steel-chimney-cooker-hood-w-60cm~3663602842446_01bq?wid=284&hei=284,"Keep your kitchen free from cooking odours with this three speed cooker hood. The slide control controls are easy to use, perfect for when you're concentrating on cooking more than one dish at once and the extraction rate keeps unwanted odours at bay whilst cooking. The LED light keeps your oven top brightly lit, and it comes with additional grease filter.Only fixings includedThis cooker hood should be hard wired into the mains by a qualified electrician. The minimum distance fitted above gas hob is 750mm and above electric hob is 650mmGuarantee - 2 yearsThis Cooker Hood is designed to be used with the CARBFILT1Features and benefitsThis sleek island cooker hood helps remove odours and illuminates your cooking area to provide a modern stylish and functional addition to your kitchen.Can be installed behind a colour matched cupboard doorAluminium Dishwasher-proof filter for easy cleaningWith the benefits of LED lighting you can see your cooking and a great secondary way of lighting your kitchenIt is recommended to change the carbon filters every 3 months while recirculatingEnergy rating: DCarbon filter not included - must be purchased separately",BQ
1053,"Cooke & Lewis CLCGB60 Black Glass & stainless steel Curved Cooker hood, (W)60cm",98.00,Cooker hoods,https://www.diy.com/departments/cooke-lewis-clcgb60-black-glass-stainless-steel-curved-cooker-hood-w-60cm/1769295_BQ.prd,https://media.diy.com/is/image/Kingfisher/clihs60-inox-steel-integrated-cooker-hood-w-60cm~3663602842705_02c_bq?wid=284&hei=284,"Keep your kitchen free from cooking odours with this Cooke & Lewis three speed, black curved cooker hood. The push button controls are easy to use, perfect for when you're concentrating on cooking more than one dish at once and the extraction rate keeps unwanted odours at bay whilst cooking. The LED light keeps your oven top brightly lit, and it comes with additional grease filter.Only fixings includedOperation - Push button controlThis cooker hood should be hard wired into the mains by a qualified electrician. The minimum distance fitted above gas hob is 750mm and above electric hob is 650mmGuarantee - 2 yearsThis Cooker Hood is designed to be used with the CARBFILT4Features and benefitsThis sleek stainless steel cooker hood from Cooke and Lewis helps remove odours and illuminates your cooking area to provide a modern, stylish, functional addition to your kitchen.Low noise outputAluminium Dishwasher-proof filter for easy cleaningWith the benefits of LED lighting you can see your cooking and a great secondary way of lighting your kitchenIt is recommended to change the carbon filters every 3 months while recirculatingCooker hood height adjustable 625-915mmEnergy rating: CCarbon filter not included - must be purchased separately",BQ
1054,"Cooke & Lewis CLVHS60A Grey Stainless steel Visor Cooker hood, (W)60cm",75.00,Cooker hoods,https://www.diy.com/departments/cooke-lewis-clvhs60a-grey-stainless-steel-visor-cooker-hood-w-60cm/3663602429463_BQ.prd,https://media.diy.com/is/image/Kingfisher/cooke-lewis-clcgb60-black-glass-stainless-steel-curved-cooker-hood-w-60cm~3663602842606_01bq?wid=284&hei=284,"Compatible with Carbfilt filter 7Only fixings includedComes with Aluminium dishwasher-proof filtersOperation - Push button controlShould be fitted by a qualified engineerGuarantee - 2 yearsFeatures and benefitsThis Cooke and Lewis visor cooker hood helps remove odours and illuminates your cooking area to provide a discreet, functional addition to your kitchen. Perfect for smaller spaces.Comes with 3 speed settingsAluminium Dishwasher-proof filter for easy cleaningWith the benefits of LED lighting you can see your cooking and a great secondary way of lighting your kitchenIt is recommended to change the carbon filters every 3 months while recirculatingEnergy rating: CInstall under cabinet45 kW of annual power consumptionThe minimum distance fitted above gas hob is 750mm and above electric hob is 650mmCarbon filter not included - must be purchased separately",BQ
1055,"Cooke & Lewis CLCGLEDB60 Black Steel Curved Cooker hood with splashback, (W)60cm",128.00,Cooker hoods,https://www.diy.com/departments/cooke-lewis-clcgledb60-black-steel-curved-cooker-hood-with-splashback-w-60cm/1812249_BQ.prd,https://media.diy.com/is/image/Kingfisher/cooke-lewis-clvhs60a-grey-stainless-steel-visor-cooker-hood-w-60cm~3663602429463_01c_bq?wid=284&hei=284,"Keep your kitchen free from cooking odours with this Cooke & Lewis three speed, black steel cooker hood. This stylish curved glass cooker hood is the perfect addition to any kitchen. The push button controls are easy to use, which is perfect for when you're concentrating on cooking multiple dishes at once. It has a 344m³/h air extraction rate, and the LED light keeps your oven top brightly lit.Compatible with 600mm hobsFittings & fixings includedOperation - Push button controlThis appliance must be installed correctly by a qualified person and strictly following the manufacturer’s instructionsGuarantee - 2 yearsFeatures and benefitsThis stylish curved glass cooker hood is the perfect addition to any kitchen. The blue perimeter LED lighting further adds to the hoods modern lookMatching splashback included650 mm above electric hob or 750 mm above gas hob1 lamp on underside of hoodAdjustable between 625-915 mmComes with additional 1x washable grease filter and 1x LED lightEnergy Rating: CAdjustable between 625-915 mmCompatible with CARBFILT4Adjustable between 625-915 mmCarbon filter not included - must be purchased separately",BQ
1056,"CHS90 Inox Stainless steel Chimney Cooker hood, (W)90cm",108.00,Cooker hoods,https://www.diy.com/departments/chs90-inox-stainless-steel-chimney-cooker-hood-w-90cm/1769291_BQ.prd,https://media.diy.com/is/image/Kingfisher/cooke-lewis-clcgledb60-black-steel-curved-cooker-hood-with-splashback-w-60cm~3663602885498_02c?wid=284&hei=284,"Keep your kitchen free from cooking odours with this three speed, brushed stainless steel cooker hood. The push button controls are easy to use, perfect for when you're concentrating on cooking more than one dish at once and the extraction rate keeps unwanted odours at bay whilst cooking. The LED light keeps your oven top brightly lit, and it comes with additional grease filter.Only fixings includedOperation - Push button controlThis cooker hood should be hard wired into the mains by a qualified electrician. The minimum distance fitted above gas hob is 750mm and above electric hob is 650mmGuarantee - 2 yearsThis Cooker Hood is designed to be used with the CARBFILT4Features and benefitsThis sleek stainless steel cooker hood helps remove odours and illuminates your cooking area to provide a modern, stylish yet functional addition to your kitchen.Comes with 3 speed settingsAluminium Dishwasher-proof filter for easy cleaningWith the benefits of LED lighting you can see your cooking and a great secondary way of lighting your kitchenIt is recommended to change the carbon filters every 3 months while recirculatingCooker hood height adjustable 665-910mmEnergy rating: CCarbon filter not included - must be purchased separately",BQ
1057,"Cooke & Lewis CLIBHS90 Stainless steel Island Cooker hood, (W)90cm",248.00,Cooker hoods,https://www.diy.com/departments/cooke-lewis-clibhs90-stainless-steel-island-cooker-hood-w-90cm/1758470_BQ.prd,https://media.diy.com/is/image/Kingfisher/chs90-inox-stainless-steel-chimney-cooker-hood-w-90cm~3663602842484_01bq?wid=284&hei=284,"Keep your kitchen free from cooking odours with this Cooke & Lewis three speed, black island cooker hood. The touch controls are easy to use, perfect for when you're concentrating on cooking more than one dish at once and the extraction rate keeps unwanted odours at bay whilst cooking. The LED light keeps your oven top brightly lit, and it comes with additional grease filter.Only fixings includedOperation - Touch controlThis cooker hood should be hard wired into the mains by a qualified electrician. The minimum distance fitted above gas hob is 750mm and above electric hob is 650mmGuarantee - 2 yearsThis Cooker Hood is designed to be used with the CARBFILT23Features and benefitsThis sleek stainless steel island cooker hood from Cooke and Lewis helps remove odours and illuminates your cooking area to provide a modern stylish and functional addition to your kitchen.The perfect combination of high extraction rate and low noise output, ideal for use over an islandAluminium Dishwasher-proof filter for easy cleaningWith the benefits of LED lighting you can see your cooking and a great secondary way of lighting your kitchenIt is recommended to change the carbon filters every 3 months while recirculatingIf you wish to recirculate this hood rather than duct it externally you require Carbon Filter 23, please contact Apelson to purchase this on 0844 800 1128Cooker hood height adjustable 868-1010mmAdjustable between 864-1010 mmEnergy rating: AAdjustable between 864-1010 mmCarbon filter not included - must be purchased separately",BQ
