id,name,price,category,link,image,description,source
97,Yale Premium Plus Intruder alarm kit,180,Alarm kits & accessories,https://www.diy.com/departments/yale-premium-plus-intruder-alarm-kit/5011802300446_BQ.prd,https://media.diy.com/is/image/Kingfisher/yale-premium-plus-intruder-alarm-kit~5011802300446_03c?wid=284&hei=284,"The Yale Premium Alarm Set includes 2x motion detectors, 2x door/window opening sensors, 1x control panel and 1x outdoor siren. The system holds 3 auto-dial alert telephone numbers which will be notified if the alarm is activated. One-touch control allows you to disarm with one tap. It adapts to your needs as it's compatible with up to 20 accessory devicesGuarantee - 2 yearsComes with 2x motion detectors, 2x door/window contacts, control panel, external siren, batteries and fixing packFittings & fixings includedPre-linked for easier set upZone control for part-armingFeatures and benefitsZone controlThe part arm feature means you can choose which zone of your home needs to be controlled by the system, offering security to your home even when you're inPre-Linked componentsThe different components are already pre-linked which means it's easier and quicker set up",BQ
97,Yale Premium+ Burglar Alarm Kit,179.99,Alarm kits & accessories,https://www.screwfix.com/p/yale-premium-burglar-alarm-kit/7338x,https://media.screwfix.com/is/image/ae235/7338X_P?$autoprodblock$=&wid=136&hei=136&dpr=on,"Wireless premium alarm system that is easy to install. Holds 3 auto-dial alert telephone numbers, which call if the alarm is activated. One-Touch control allows disarming with one tap.Telephone & SMS AlertsZone Control for Part-ArmingNot Pre-LinkedTamper AlertExpand System with up to 20 AccessoriesDependent on Local WiFi Wireless RangeWalk Test FunctionEasy to InstallWalk Test",Screwfix
98,Yale HSA Wireless Door & window Intruder alarm contact,19,Alarm kits & accessories,https://www.diy.com/departments/yale-hsa-wireless-door-window-intruder-alarm-contact/30047_BQ.prd,https://media.diy.com/is/image/Kingfisher/yale-premium-plus-intruder-alarm-kit~5011802300446_03c?wid=284&hei=284,Guarantee - 1 yearCompatible with All Yale security alarms less than 4 years oldBattery-poweredFeatures and benefits30m wireless rangeZone control panel,BQ
99,Yale IA-320 Sync Smart 6 piece Intruder alarm kit,269,Alarm kits & accessories,https://www.diy.com/departments/yale-ia-320-sync-smart-6-piece-intruder-alarm-kit/5011802307087_BQ.prd,https://media.diy.com/is/image/Kingfisher/yale-ia-320-sync-smart-6-piece-intruder-alarm-kit~5011802307087_01c_bq?wid=284&hei=284,"A home alarm system built with you in mind giving you peace of mind that your home is secure and protected. The Yale Sync Smart Home Alarm is BSI IOT Kitemarked; having undergone rigorous testing including quality, durability and physical attack tests, this alarm is secure against advanced hacking methods. With no monthly fees, you can arm, part-arm & disarm your home from anywhere at any time with the Yale Home App. Receive alerts when your alarm is triggered with real-time notifications and when you leave the house, geolocation will remind you to set the alarm. All accessories come pre-linked to your Sync Hub, and are ready to go for a hassle free installation. You can also expand your alarm system with up to 40 easy to link accessories to best fit your home. What's in the box? 1x Smart Hub 1x External Siren 2x Motion Detectors 1x Door/ Window Contact 1x Keypad 1 x Instructions manualComes with- 1x smart hub, 2x PIR motion detector, 1x keypad, 1x door/window contact, 1x external siren, 1x installation manual and fixing pack, 2x alarm stickerGuarantee - 2 yearsFeatures and benefitsTo make life that bit simpler, our Sync Smart Home Alarm works with leading voice assistants, Alexa and the Google Assistant. You can also connect your Sync Smart Home alarm to Philips Hue, giving you a visual deterrent as you lights turn red, well as an audible one when your alarm is triggered. And what’s more, now you can control your Smart Home Alarms, Indoor and Outdoor Cameras and Smart Lock* in one place with the Yale Home App. * Requires Sync Alarm Lock Module.No Monitoring Fee - No hidden costs and no contractAll accessories come pre-linked, ready to go, with no need to use screws. Perfect for simple, easy security, or if you are renting your home.With a range of pre-linked accessories available, and the ability to add up to 40 to a single system, you can customise your kit to suit your needs easily.Choose whether to fully secure or part arm your system for total security, making it easy to feel secure at night or when leaving pets at home.Protect your garage and outbuildings with our 200m wire-free range.With easy app control, know when the alarm is triggered with real-time notifications.Integrate your Sync Alarm with other Yale security products, including Cameras and Smart Lock* in one place with the Yale Home App. E.g. Disarm your alarm and switch off your cameras as your Smart Lock unlocks. *requires Sync ModuleBringing you a new level of security with the ability to integrate with lights and voice assistants to enhance your security system. Compatible with Alexa, Google Home, Apple Watches, Philips Hue & more.",BQ
100,Yale Essentials Intruder alarm kit,119,Alarm kits & accessories,https://www.diy.com/departments/yale-essentials-intruder-alarm-kit/5011802340336_BQ.prd,https://media.diy.com/is/image/Kingfisher/yale-ia-320-sync-smart-6-piece-intruder-alarm-kit~5011802307087_01c_bq?wid=284&hei=284,"Guarantee - 2 yearsComes with 1x siren, 2x PIR motion detector, 1x remote keypad, 1x door/window contact, 1x fixing pack, 2x alarm sticker and installation manualFittings & fixings includedPre-linked for easier set upZone control for part-armingFeatures and benefitsThe Yale Essentials Alarm Kit is an ideal security system for the family home. It's a convenient and expandable solution that protects your home and outbuildings without requiring modifications to your property.Easy, wire-free set up for quick and easy installationFully expandable system with up to 3 accessories/zonesBattery powered and wire-free for easy installationKeypad operatedThe Essentials Alarm keeps your home secure without any monitoring fees",BQ
100,Yale HSA Essentials Burglar Alarm Kit,119.99,Alarm kits & accessories,https://www.screwfix.com/p/yale-hsa-essentials-burglar-alarm-kit/344jf,https://media.screwfix.com/is/image/ae235/344JF_P?$autoprodblock$=&wid=136&hei=136&dpr=on,"Ideal security system for the family home. Battery-powered and wire-free for quick and easy installation. Kit includes siren, PIR motion detectors and a door / window contact. System can be expanded with the addition of up to 20 HSA accessories.Siren AlertZone Control for Part-ArmingPre-Linked for Easier Set-UpTamper AlertExpand System with up to 20 AccessoriesDependent on Local WiFi Wireless RangeWalk Test FunctionWall-MountableNot Smart or Bluetooth CompatibleWalk Test",Screwfix
101,Ring 2nd Gen Smart 5 piece Starter alarm kit,219,Alarm kits & accessories,https://www.diy.com/departments/ring-2nd-gen-smart-5-piece-starter-alarm-kit/0840080519968_BQ.prd,https://media.diy.com/is/image/Kingfisher/yale-ia-320-sync-smart-6-piece-intruder-alarm-kit~5011802307087_01c_bq?wid=284&hei=284,"With a new look and the same great protection, Alarm Security 5 Piece Kit is an ideal way to get started in whole-home protection for your house or flat. Quick to install, easy to use and completely customisable to fit your home.Comes with- Base Station, Keypad, Contact Sensor, Motion Detector, Range ExtenderWorks with AlexaGuarantee - 1 yearFeatures and benefitsWelcome to your safer, smarter home. Ring Alarm easily expands to fit your needs, on your terms.Real-time notifications sent when any of your alarm sensors are triggered24-hour backup battery keeping your home safe and secure even if the power goes outOptional cellular backup allowing you to continue monitoring your home in the event that your system goes offlineOptional Assisted Monitoring",BQ
102,Yale Shed & garage alarm kit,16,Alarm kits & accessories,https://www.diy.com/departments/yale-shed-garage-alarm-kit/1497179_BQ.prd,https://media.diy.com/is/image/Kingfisher/ring-2nd-gen-smart-5-piece-starter-alarm-kit~0840080519968_02c_bq?wid=284&hei=284,Guarantee - 2 yearsFeatures and benefitsMotion detector alarmEasy and wire-free installationWall mounted or free standingFully expandable using touch and link technology,BQ
102,Yale Shed & Garage 2.0 Security Alarm Kit,40,Alarm kits & accessories,https://www.wickes.co.uk/Yale-Shed+Garage-2-0-Security-Alarm-Kit/p/276783,https://media.wickes.co.uk/is/image/wickes/GPID_5000081746_00?$normal$,"The Yale Shed & Garage Security Alarm Kit is the ideal way to secure buildings outside of the main home and your perimeter with the included door contact and keyfob, it can be wall mounted or used free standing. A standalone, wire-free and battery operated alarm, making it simple to set up and no need to run any cables. A great wireless security solution for sheds, garages, outbuildings and caravans, it comes with a door contact, keyfob and a wall mount.Detects suspicious movements by passive infrared technology PIR range of 8m 100db built in siren Battery operated Low battery indicator ",Wickes
103,"Yale Intruder alarm key fob, Pack of 2",10,Alarm kits & accessories,https://www.diy.com/departments/yale-intruder-alarm-key-fob-pack-of-2/5011802300453_BQ.prd,https://media.diy.com/is/image/Kingfisher/yale-shed-garage-alarm-kit~5011802188679_02c?wid=284&hei=284,The Yale Wireless intruder key fobs allow you to disarm an alarm with a simple tap of the one-touch tag.Guarantee - 2 yearsCompatible with HSA rangeFeatures and benefitsCompatible with the Premium Plus HSA6410No need to share pin codes,BQ
