id,name,price,category,link,image,description,source
2738,Master Lock Wall-mounted External Combination Key safe Medium,18,"Key holders, cash boxes & cabinets",https://www.diy.com/departments/master-lock-wall-mounted-external-combination-key-safe-medium/161514_BQ.prd,https://media.diy.com/is/image/Kingfisher/master-lock-wall-mounted-external-combination-key-safe-medium~3520190922380_02c_bq?wid=284&hei=284,"The 5401EURD Select Access Key Safe is a great key safe for families with children who may need to enter the house when an adult isn't present. With a compact, lightweight design, The 5401EURD key cabinet can be mounted anywhere. The mounting kit is included in the package for ease of use. The limited lifetime warranty provides peace of mind from a brand you can trust.Batteries sold separatelyWeatherproofOnly fixings includedFeatures and benefitsSelect Access Key Safe features an 83mm wide metal body for durability and accepts multiple house keys.Stop hiding your keys under the doormat or under a flowerpot.Select Access is the perfect solution to share access to your keys.The wall mount design offers permanent installation.Set-your-own 4-digit combination for keyless convenience and increased security.The shutter door protects combination dials from weather, dirt and grime.",BQ
2738,Master Lock Water-Resistant Combination Safe,19.99,"Key holders, cash boxes & cabinets",https://www.screwfix.com/p/master-lock-water-resistant-combination-safe/77908,https://media.screwfix.com/is/image/ae235/77908_P?$autoprodblock$=&wid=136&hei=136&dpr=on,"Compact, lightweight design offering permanent installation anywhere. 4-digit combination for keyless convenience and increased security. The shutter door protects combination dials from weather, dirt and grime. Ideal key safe for families with children who may need to enter the house without an adult.Suitable for Indoor & Outdoor UseStores up to 5 Standard Door Keys10,000 Resettable CombinationsEasy to Mount",Screwfix
2739,Master Lock Push Button 12 digit Wall-mounted External Combination Key safe,35,"Key holders, cash boxes & cabinets",https://www.diy.com/departments/master-lock-push-button-12-digit-wall-mounted-external-combination-key-safe/3520190944726_BQ.prd,https://media.diy.com/is/image/Kingfisher/master-lock-wall-mounted-external-combination-key-safe-medium~3520190922380_02c_bq?wid=284&hei=284,"The Master Lock No. 5423EURD Select Access Key Safe comes with a Limited Lifetime Warranty that provides peace of mind from a brand you can trust. Select Access is the perfect solution to share access to your keys. Stop hiding your keys under the doormat or under a flowerpot. Can be mounted anywhere and the mounting kit is included in the package for ease of use.Only fixings includedGuarantee - LifetimeFeatures and benefitsSelect Access Key Safe features a metal body for durability and accepts multiple house, car keys and access cards.The wall mount design offers permanent installation.Set your own digit combination for keyless convenience and increased security.Offers up to 10,000 combination possibilities.Has the option of resetting the combination whenever you wish.Push-buttons make it very easy to use.The shutter door protects combination dials from weather, dirt and grime.Guarantee specifics - Against mechanical failure",BQ
2739,Master Lock Water-Resistant Combination Push Button Key Lock Box,34.99,"Key holders, cash boxes & cabinets",https://www.screwfix.com/p/master-lock-water-resistant-combination-push-button-key-lock-box/426kh,https://media.screwfix.com/is/image/ae235/426KH_P?$autoprodblock$=&wid=136&hei=136&dpr=on,"Features a metal body for durability. Perfect for sharing keys. The wall mount design offers permanent installation. Push button locking mechanism in familiar alpha / numeric telephone keypad format. Easy to use with gloves, by the elderly or by children. Set a 4-character combination for keyless convenience and increased security. The protective weather cover prevents freezing and jamming; and molded bumper and vinyl-coated shackle prevent scratching.Suitable for Indoor & Outdoor UseLarge Buttons for Ease of Use",Screwfix
2740,Master Lock 4 digit Wall-mounted External Combination Key safe Extra large,25,"Key holders, cash boxes & cabinets",https://www.diy.com/departments/master-lock-4-digit-wall-mounted-external-combination-key-safe-extra-large/276592_BQ.prd,https://media.diy.com/is/image/Kingfisher/master-lock-push-button-12-digit-wall-mounted-external-combination-key-safe~3520190944726_02c_bq?wid=284&hei=284,"Stop hiding your keys under the doormat or under a flower pot. The Master Lock no. 5403EURD Select Access Key Safe is the perfect solution to share access to your keys. The limited lifetime warranty provides peace of mind from a brand you can trust.Guarantee - LifetimeFeatures and benefitsSelect Access Key Safe features a 105mm wide metal body for durability.Accepts multiple house, car keys and access cards.The wall mount design offers permanent installation.Set-your-own 4-digit resettable combination for keyless convenience and increased security.The shutter door protects combination dials from weather, dirt and grime.Can be mounted anywhere and the mounting kit is including in the package for ease of use.Guarantee specifics - Against mechanical failure",BQ
2740,Masterlock Wall Mounted Key Safe,26.54,"Key holders, cash boxes & cabinets",https://www.bradfords.co.uk/masterlock-wall-mounted-key-safe-hta392,https://www.bradfords.co.uk/media/catalog/product/cache/f7c81111a4a19ad296e9f8fd0fc16840/a/2/a269f36794c5d47a09251d404d28739e.jpg,Masterlock Wall Mounted Key Safe allows you to safely and securely store house keys.,Bradfords
2740,Master Lock Water-Resistant Combination Safe,26.99,"Key holders, cash boxes & cabinets",https://www.screwfix.com/p/master-lock-water-resistant-combination-safe/93263,https://media.screwfix.com/is/image/ae235/93263_P?$autoprodblock$=&wid=136&hei=136&dpr=on,"Stores up to 8 standard door keys. Solid aluminium body with reinforced steel door, resettable 4-digit combination.Suitable for Indoor & Outdoor Use",Screwfix
2741,Smith & Locke Cylinder Large Cash box,12.3,"Key holders, cash boxes & cabinets",https://www.diy.com/departments/smith-locke-cylinder-large-cash-box/1733038_BQ.prd,https://media.diy.com/is/image/Kingfisher/master-lock-4-digit-wall-mounted-external-combination-key-safe-extra-large~3520190932297_02c_bq?wid=284&hei=284,"This cash box from Smith and Locke has a strong, durable casing and is great for storing . It's protected by a cylinder system, which secures your valuables and gives you added peace of mind.Features and benefitsHas a 5 compartment coin tray which fits neatly inside with enough space to fit notes and larger items underneathEnsure that your cash and valuables remain safe and secure in the home or office2 keys supplied",BQ
2741,"Smith & Locke Large Cash Box 10""",13.19,"Key holders, cash boxes & cabinets",https://www.screwfix.com/p/smith-locke-large-cash-box-10-/1513x,https://media.screwfix.com/is/image/ae235/1513X_P?$autoprodblock$=&wid=136&hei=136&dpr=on,Cash box with 5 cash compartments. Supplied with 2 keys.Steel Construction,Screwfix
2742,Master Lock Reinforced security 4 digit Wall-mounted External Combination Key safe,30,"Key holders, cash boxes & cabinets",https://www.diy.com/departments/master-lock-reinforced-security-4-digit-wall-mounted-external-combination-key-safe/265025_BQ.prd,https://media.diy.com/is/image/Kingfisher/smith-locke-cylinder-large-cash-box~3663602834724_02bq?wid=284&hei=284,"The Master Lock no. 5415EURD reinforced security Select Access Key Safe is the perfect solution to share access to your keys. The 5415eurd can be mounted anywhere and the mounting kit is included in the package for ease of use. The limited lifetime warranty provides peace of mind from a brand you can trust.Guarantee - LifetimeFeatures and benefitsReinforced security Select Access Key Safe features a 105mm wide metal body for durabilityAccepts multiple house keys and access cards.The wall mount design offers permanent installation.Set your own 4-digit resettable combination for keyless convenience and increased security.The protective cover protects combination dials from weather, dirt and grime.Dual locking levers deliver additional securityGuarantee specifics - Against mechanical failure",BQ
