id,name,price,category,link,image,description,source
336,Ryobi ONE+ 18V 5.0Ah Li-ion Power tool battery,87.00,Batteries & chargers,https://www.diy.com/departments/ryobi-one-18v-5-0ah-li-ion-power-tool-battery/4892210184023_BQ.prd,https://media.diy.com/is/image/Kingfisher/ryobi-one-18v-5-0ah-li-ion-power-tool-battery~4892210184023_03c?wid=284&hei=284,"The extremely powerful 5.0Ah 18V Lithium+ Battery allows you to drive in more screws, drill more holes and cut more using tools in the One+ range without recharging anywhere near as often. Its 4 Stage fuel gauge displays remaining power (100%, 75%, 50%, 25%) so you always know how much power you have left. IntelliCell™ technology further maximises runtimes & storage life with the pack design creating much better durability. A higher capacity makes it a better battery for longer projects & those requiring more power.Compatible with ONE+ ToolsGuarantee - 3 yearsGuarantee - 3 yearsFeatures and benefitsPart of the ONE+ system this Ryobi 18 V 5.0 Ah battery is compatible with the full range of ONE+ tools for the home & garden, but is ideally suited to heavy-duty applications such as grinding, sanding & cuttingRyobi Lithium+ technology provides more power, longer runtimes, & better durability than previous battery technologies, & unlike NiCad, does not suffer from 'memory effect'Featuring a tough pack design with built-in impact protection for long-term durability & a rubberised baseThe 4-stage fuel gauge displays remaining power (100%, 75%, 50%, 25%) so you always know how much power you have left",BQ
336,Bosch  18V 5.0Ah Li-Ion Coolpack Battery,89.99,Batteries & chargers,https://www.screwfix.com/p/bosch-18v-5-0ah-li-ion-coolpack-battery/5296f,https://media.screwfix.com/is/image/ae235/5296F_P?$autoprodblock$=&wid=136&hei=136&dpr=on,"The Bosch 18V 5.0Ah Li-ion Coolpack battery is not only designed to give superb power output, it’s durable too. In fact, the battery's light but robust housing has been endurance tested and remains fully functional after a 3-metre drop. The battery delivers 25% more run time than a Bosch 4.0Ah battery, as well as a lifetime that is up to 100% longer than a comparable unit without Coolpack technology. This battery is fully compatible with all Bosch power tools in the 18V range.",Screwfix
337,Mac Allister 220-240V 2.4A Li-ion Standard Battery charger,20.00,Batteries & chargers,https://www.diy.com/departments/mac-allister-220-240v-2-4a-li-ion-standard-battery-charger/5059340253626_BQ.prd,https://media.diy.com/is/image/Kingfisher/ryobi-one-18v-5-0ah-li-ion-power-tool-battery~4892210184023_03c?wid=284&hei=284,"This Mac Allister Solo 18V charger, charges 2.0Ah batteries in 60 minutes and 5.0Ah batteries in 2.5 hours.Guarantee - 2 yearsCompatible with MAC 18V platformCharges 18V batteriesFeatures and benefitsPart of the Mac Allister Solo 18V cordless one battery system for ultimate flexibility2.4A charger compatible with Mac Allister Solo batteriesFeatures battery charging indicator",BQ
338,Ryobi ONE+ 18V Battery charger,41.00,Batteries & chargers,https://www.diy.com/departments/ryobi-one-18v-battery-charger/4892210150110_BQ.prd,https://media.diy.com/is/image/Kingfisher/mac-allister-220-240v-2-4a-li-ion-standard-battery-charger~5059340253626_01c?wid=284&hei=284,"Features and benefitsThis cordless tool is perfect for both home and garden. The 2.0A charge rating allows you to charge a 2.0Ah battery in 1 hour, with IntelliPort™ technology to protect and maximise battery life. The LED lights show the live battery status, and the wall mount on the back provides efficient storageThis product is equipped with intelligent condition monitoring that evaluates the battery's voltage and temperature while charging, ensuring long term durabilityReady to go indicator shows when the battery has reached 80% capacity",BQ
338,Makita Fast Battery Charger Lithium Ion 18V,31.07,Batteries & chargers,https://www.bradfords.co.uk/makita-fast-battery-charger-lithium-ion-18v,https://www.bradfords.co.uk/media/catalog/product/cache/f7c81111a4a19ad296e9f8fd0fc16840/6/c/6c039ec7c27ee996e7ce3fbca6786d1a.jpg,"The Makita DC18RC Charger uses Intelligent Charging Technology to control current, voltage and temperature to maximize the battery life. Voltage: 18v. Battery type: Lithium-ion",Bradfords
338,Einhell Power X-CHANGE Battery and Fast Charger Starter Kit 18V,60.58,Batteries & chargers,https://www.travisperkins.co.uk/batteries-and-chargers/einhell-power-x-change-battery-and-fast-charger-starter-kit-18v/p/873511,https://dam-assets.apps.travisperkins.group/xdmdkd3/GPID_1100686147_IMG_00.jpg?width=300&height=300,The Einhell 18V 4.0 Ah Power X-Change (PXC) Starter Kit is an ideal battery and charger set from the Einhell Power X-Change system. The starter kit offers an 18V 4.0Ah PXC rechargeable battery and a system charger from the innovative Li-ion series. The multifunctional and interchangeable rechargeable battery system is compatible with every Einhell device from the entire Garden and Power Tools PXC product family.Maximum safety due to Einhells proactive battery managementZero self-discharge due to high-quality lithium-ion cellsMonitoring of all parameters by state-of-the-art componentsCharge level can be checked any time thanks to 3-step LED systemImpact protection & good grip due to the rubber-coated housingErgonomic handling thanks to optimised recessed handles4.0 Ah battery has 75 min charge timeView more,TP
339,Erbauer EXT 18V 5Ah Li-ion Battery,63.00,Batteries & chargers,https://www.diy.com/departments/erbauer-ext-18v-5ah-li-ion-battery/3663602799108_BQ.prd,https://media.diy.com/is/image/Kingfisher/ryobi-one-18v-battery-charger~4892210150110_01bq?wid=284&hei=284,"Compatible with Compatible with all Erbauer EXT 18V batteries and chargersGuarantee - 2 yearsGuarantee - 2 yearsFeatures and benefitsErbauer build the power tools you can trust to deliver expert results year after year, earning their place in your toolbox. Straightforward tools that work reassuringly hard to GET IT DONE.Part of the EXT one battery system. One battery runs multiple tools, giving you the power and flexibility to get it done. Grow your collection by adding bare tools and batteries as you goKeep Cool battery technology actively manages temperature, keeping cells cool so they do not overheat: giving more power, longer runtime and battery life. Erbauer 5.0Ah keep cool battery delivers 25% more runtime than a standard Erbauer battery without keep cool100% charge in 60 minsPlease note, this EXT Erbauer product is not compatible with the previous generation Erbauer power tools or batteries",BQ
340,Mac Allister Solo 18V 2.0Ah Li-ion Power tool battery,25.00,Batteries & chargers,https://www.diy.com/departments/mac-allister-solo-18v-2-0ah-li-ion-power-tool-battery/5059340253602_BQ.prd,https://media.diy.com/is/image/Kingfisher/erbauer-ext-18v-5ah-li-ion-battery~3663602799108_01c?wid=284&hei=284,This Mac Allister Solo 2Ah battery has a long run time and charges in 60 minutes.Guarantee - 2 yearsCompatible with Mac Allister Solo 18V indoor and outdoor toolsFeatures and benefitsPart of the Mac Allister Solo 18V cordless one battery system for ultimate flexibility.18V 2.0Ah Li-ion battery with longer full-power run time.Features battery capacity indicator,BQ
341,Ryobi One+ 18V 2.5Ah Li-ion Power tool battery,60.00,Batteries & chargers,https://www.diy.com/departments/ryobi-one-18v-2-5ah-li-ion-power-tool-battery/4892210203977_BQ.prd,https://media.diy.com/is/image/Kingfisher/mac-allister-solo-18v-2-0ah-li-ion-power-tool-battery~5059340253602_01c?wid=284&hei=284,"The powerful 2.5Ah 18V lithium+ battery allows you to drive in more screws, drill more holes and cut more using tools in the One+ range without recharging anywhere near as often.Compatible with all Ryobi 18V ONE+ toolsGuarantee - 2 yearsCE markedUKCA markedFeatures and benefitsIts 4-stage fuel gauge displays remaining power and IntelliCell™ technology further maximises runtime & storage life with the pack design creating much better durability. Ideally suited to lighter-weight applications such as drilling & cutting.Part of the ONE+ system this Ryobi 18V 2.5Ah battery is compatible with the full range of ONE+ tools for the home & garden, but is ideally suited to lighter-weight applications such as drilling & cuttingRyobi Lithium+ technology provides more power, longer runtimes, and better durability than previous battery technologies, and unlike NiCad, does not suffer from 'memory effect'Featuring a tough pack design with built-in impact protection for long-term durability & a rubberised baseThe 4-stage fuel gauge displays remaining power (100%, 75%, 50%, 25%) so you always know how much power you have left",BQ
342,Erbauer EXT 18V Li-ion Fast Battery charger,42.00,Batteries & chargers,https://www.diy.com/departments/erbauer-ext-18v-li-ion-fast-battery-charger/3663602799078_BQ.prd,https://media.diy.com/is/image/Kingfisher/ryobi-one-18v-2-5ah-li-ion-power-tool-battery~4892210203977_01c_bq?wid=284&hei=284,"Features and benefitsRapidly charges 18V Erbauer EXT batteries. Compatible with all 18V Erbauer EXT batteriesRapidly charges 2Ah, 4Ah and 5Ah EXT 18V Erbauer batteriesSingle docking for fast charging of Erbauer EXT 18V batteries100% charge: 2Ah battery in 30 mins, 4Ah in 50 mins and 5Ah in 60 mins2 LED indicators communicates battery charge statusWall mounted to save spaceCompatible with all Erbauer EXT 18V batteries and chargersPlease note, this EXT Erbauer product is not compatible with the previous generation Erbauer power tools or batteries",BQ
