id,name,price,category,link,image,description,source
779,Gulf Chrome effect Bathroom Ceiling light,56.00,Ceiling lights,https://www.diy.com/departments/gulf-chrome-effect-bathroom-ceiling-light/5020024519536_BQ.prd,https://media.diy.com/is/image/Kingfisher/gulf-chrome-effect-bathroom-ceiling-light~5020024519536_01i_bq?wid=284&hei=284,"This gulf chrome effect ceiling light has a stunning, striking design and features integrated LED bulbs which illuminate to create bright beams of light. Perfect for contemporary style rooms and is suitable for bathrooms, making it even more desirable.Bulbs includedNon-dimmableFittings & fixings includedFeatures and benefitsIdeal for bathroom useMake a statement with this modern style LED ceiling fittingNo need to replace integrated LED bulbsFinished in a chrome effect opal LED strip",BQ
779,Newham Bathroom Wall Light - Chrome,60.00,Ceiling lights,https://www.homebase.co.uk/newham-bathroom-wall-light-chrome/13794236.html,https://static.thcdn.com/images/xsmall/webp//productimg/original/13794236-1484957105200744.jpg,Simple yet stylish contemporary wall light with chrome plate finish and clear ribbed glass diffuser. Dimmable and IP44 rated ideal to create a relaxing ambient light in any bathroom. Chrome plate and clear ribbed glass Product material: Steel and glass Dimmable Bulb required: 3W LED G9,Homebase
779,Eglo Palermo LED Chrome & White Glass Bathroom Round Ceiling Light - 11W,65.00,Ceiling lights,https://www.wickes.co.uk/Eglo-Palermo-LED-Chrome+White-Glass-Bathroom-Round-Ceiling-Light---11W/p/164819,https://media.wickes.co.uk/is/image/wickes/GPID_1100216170_00?$normal$,"The Eglo Palermo LED Chrome & White Glass Bathroom Round Ceiling Light is a contemporary and sleek solution for bathroom lighting. Featuring a classic round design with contrasting chrome and white painted satin glass finish, the LED Palermo can be used as a wall or ceiling light depending on user preference. The LED Palermo features replaceable LED components which ensure energy efficiency and cost-saving capabilities, and mean the fitting produces a warm white light when illuminated. It is also equipped with a protection rating IP44 for bathroom use.Supplied without a switch Replaceable LED Warm white light LED A to A++ Easy-to-follow fitting instructions Designed in the Austrian Tyrol mountains, EGLO products are designed, produced and manufactured in-house and delivered directly from the Holland warehouse to your door Fixings included IP44 - suitable for all indoor purposes including bathrooms, W/C 5 year manufacturer warranty 
		Technical Sheet 1 - Eglo Palermo LED Chrome & White Glass Bathroom Round Ceiling Light - 11W ",Wickes
780,GoodHome Alani Brushed Chrome effect Ceiling light,60.00,Ceiling lights,https://www.diy.com/departments/goodhome-alani-brushed-chrome-effect-ceiling-light/5059340226088_BQ.prd,https://media.diy.com/is/image/Kingfisher/gulf-chrome-effect-bathroom-ceiling-light~5020024519536_01i_bq?wid=284&hei=284,"Providing a great light, ceiling light have also been designed to fit different kind of home decoration. Ideal for general lighting.Fixings & instructions includedBulb includedNon-dimmableFittings & fixings includedGuarantee - 5 yearsFeatures and benefitsBulb includedOnly fixings includedGuarantee - 5 years",BQ
781,Lanson Matt Black Ceiling light,85.00,Ceiling lights,https://www.diy.com/departments/lanson-matt-black-ceiling-light/5014838933978_BQ.prd,https://media.diy.com/is/image/Kingfisher/goodhome-alani-brushed-chrome-effect-ceiling-light~5059340226088_02c?wid=284&hei=284,"Make a bold statement with this sleek Lanson black ceiling light to complete the modern look in your home. With integrated LED's, this light will enable a warm yet vibrant ambience whilst bringing a smart style to your living space.Bulbs includedNon-dimmableFittings & fixings includedFeatures and benefitsExplore this and many other unique and stylish interior lighting products throughout our extensive range.Energy efficient with integrated LED'sSuitable for hallways and living spaces",BQ
782,Endor Chrome effect 3 Lamp Ceiling light,85.00,Ceiling lights,https://www.diy.com/departments/endor-chrome-effect-3-lamp-ceiling-light/5014838778050_BQ.prd,https://media.diy.com/is/image/Kingfisher/lanson-matt-black-ceiling-light~5014838933978_01i_bq?wid=284&hei=284,"Bring a touch of glamour and elegance to your home with this Endor 3 lamp ceiling light. Featuring integrated LED's, the contemporary, dazzling design will be the perfect statement piece for any living space.Bulbs includedDimmableFittings & fixings includedFeatures and benefitsExplore this and many other unique and stylish interior lighting products throughout our extensive range.Ideal for bedrooms and living areasEnergy efficient with integrated LED's",BQ
782,Napier LED 3 Arm Flush Ceiling Light - Chrome,85.00,Ceiling lights,https://www.homebase.co.uk/napier-led-3-arm-flush-ceiling-light-chrome/13529587.html,https://static.thcdn.com/images/xsmall/original//productimg/original/13529587-5454945396238631.jpg,"Napier LED three arm flush ceiling light, finished in Chrome with glass crystal effect arms.Meet the rest of the Napier family. Refer to instruction manual for installation IP rating 20 - not suitable for bathroom use Designed to provide ambient lighting to any room Wipe clean with a soft, dry cloth. Do not use abrasive cleaning materials as this will damage the finish Requires installing by a qualified electrician",Homebase
783,Inlight Create Swirl Matt Black Medium Ceiling light,50.00,Ceiling lights,https://www.diy.com/departments/inlight-create-swirl-matt-black-medium-ceiling-light/5020024524721_BQ.prd,https://media.diy.com/is/image/Kingfisher/endor-chrome-effect-3-lamp-ceiling-light~5014838778050_01i_bq?wid=284&hei=284,"Make a statement with this sleek, contemporary style ceiling light to complete the modern look in your home. With integrated LED's, this light will enable a warm yet vibrant ambience in a room of your choice.Bulbs includedNon-dimmableFittings & fixings includedGuarantee - 1 yearFeatures and benefitsMake a statement with this modern style LED ceiling fitting.Ideal for Bedrooms and Living Rooms with lower ceilingsNo need to replace intergrated LED bulbsFinished in a black with opal LED strip",BQ
784,Paralia Gloss Chrome effect 5 Light Spotlight,59.00,Ceiling lights,https://www.diy.com/departments/paralia-gloss-chrome-effect-5-light-spotlight/1703821_BQ.prd,https://media.diy.com/is/image/Kingfisher/inlight-create-swirl-matt-black-medium-ceiling-light~5020024524721_01c_bq?wid=284&hei=284,This 5 lamp spotlight is part of the Paralia range; a contemporary style light range which features exquisite wire and bead detail in the shades which beautifully diffuses light.Bulb sold separatelyNon-dimmableOnly fixings includedGuarantee - 2 yearsMains-powered,BQ
785,Dafyd Pendant Champagne Ceiling light,35.00,Ceiling lights,https://www.diy.com/departments/dafyd-pendant-champagne-ceiling-light/1857115_BQ.prd,https://media.diy.com/is/image/Kingfisher/dafyd-pendant-champagne-ceiling-light~5020024515798_02i_bq?wid=284&hei=284,Bulb sold separatelyDimmableOnly fixings includedFeatures and benefitsRecommended for Bedrooms & living areas,BQ
