id,name,price,category,link,image,description,source
1193,First Choice Lighting Set of 8 30mm Polycarbonate IP67 Warm White LED Plinth Decking Kit,16.99,Decking lights,https://www.diy.com/departments/first-choice-lighting-set-of-8-30mm-polycarbonate-ip67-warm-white-led-plinth-decking-kit/5056367114534_BQ.prd,https://media.diy.com/is/image/KingfisherDigital/first-choice-lighting-set-of-8-30mm-polycarbonate-ip67-warm-white-led-plinth-decking-kit~5056367114534_01c_MP?wid=284&hei=284,"Set of 8 round waterproof and corrosion resistant polycarbonate heads with ultra bright warm white LEDs.Ideal for outdoor or indoor, walkways, stairs and kitchenSuperb value fitting. With it's full polycarbonate fascias, unlike the standard stainless steel decking kits, these heads emit light from the entire fascia, creating a beautiful glowing effectEach kit comes complete with all necessary cables and driver:8 x IP67 LED lights, each with 55cm total cable to allow for connection in a daisy chain formation to ensure quick and easy installation1 x 5V Indoor plug-in driver3 metre extension lead from plug to first headLight source: Ultra Bright Integrated LED chipColour temperature: 3,000K (Warm White)Total Wattage: 2.4WTotal Lumen: 32LmColour Render Index (CRI): 80Class 3Walk over ratedProduct dimensions: Dia: 30mm Ht: 20mm Projection: 2mmCut out dimensions: Dia: 24mmMinimum cavity depth: 30mm Warranty: 2 Years.Non-dimmableFittings & fixings includedGuarantee - 2 yearsPurpose-AccentFeatures and benefitsWeather ProofCan be Walked OverShatter resistantWaterproofDustproof",BQ
1193,First Aid Kit,12.53,Decking lights,https://www.bradfords.co.uk/first-aid-kit,https://www.bradfords.co.uk/media/catalog/product/cache/f7c81111a4a19ad296e9f8fd0fc16840/f/2/f2932355e6fea7a3dde2e2670897e0ad.jpg,"Scan General-Purpose First Aid Kit supplied in a compact, polycarbonate briefcase style box. Suitable for travel, leisure and general domestic use. Supplied with a wall hanging bracket. Contains:  1 x Tubular Bandage 1m & Applicator  10 x Assorted Advanced Fabric Plasters  1 x Sterile Medium HSE Dressing 12 x 12cm (unboxed)  10 x Assorted Clear Washproof Plasters  1 x Single Use Triangular bandage 90 x 127cm  1 x Microporous Tape 1.25cm x 1m  1 x Conforming Bandage 5cm x 4m  2 x Sterile Low Adherent Dressing Pads 5 x 5cm  1 x Eye Bath  1 x Pair of Non Sterile Plastic Forceps 4.5in  6 x Assorted Safety Pins  3 x Singled Packed Sterile Moist Saline Cleansing Wipes  1 x Pair of Vinyl Powder-free Gloves (Medium)  1 x First Aid Guidance Leaflet",Bradfords
1194,"GoodHome Glend Stainless steel effect Solar-powered Cool white LED Decking light, Pack of 2",15.00,Decking lights,https://www.diy.com/departments/goodhome-glend-stainless-steel-effect-solar-powered-cool-white-led-decking-light-pack-of-2/5059340323121_BQ.prd,https://media.diy.com/is/image/KingfisherDigital/first-choice-lighting-set-of-8-30mm-polycarbonate-ip67-warm-white-led-plinth-decking-kit~5056367114534_01c_MP?wid=284&hei=284,"This light is ideal for lighting and decorating a pathway or a driveway, and to help you to walk safely at night time.Non-dimmableOnly fittings includedGuarantee - 2 yearsComes with 1 x cutter guide (decking)Purpose-Outdoor use for decorationFeatures and benefitsIt helps to navigate your garden in the dark and comes with a range of features, styles and finishes to suit your outdoor lighting needs.Set of 2 deck lights with integrated solar panels. Ideal for adding extra lights on decking, stairs, pathways etc. This product is solar powered. No mains connection required. Perfect for area without electrical installationLED integrated. Place the product under sunshine and turn on the on/off switch which under the light before use. Once switch on, the light will automatically turn off under sunshine for charging, automatically turn on in darknessIP65: Protected against low pressure water jets from all directionInstruction manual includedOperates up to 6 hours (depending upon variable hours of sunshine)Rechargeable battery included: 1 x 1.2V 600mAh AA Ni-MH",BQ
1194,Lincoln Solar Decking Light,19.95,Decking lights,https://www.homebase.co.uk/lincoln-solar-decking-light/13489400.html,https://static.thcdn.com/images/xsmall/webp//productimg/original/13489400-8574978616027589.jpg,"View our range of plant pots The elegant Square Lincoln Decking light is  finished to the very highest standards and emits a beautiful glow after dark. Like all Solar Centre products, the Solar Lincoln Decking Light offers year round reliability in the UK.  A well positioned solar panel will enable this product to work in typical UK winter conditions.  This light is solar powered and does not require mains power to work.  A rechargeable battery is included with this product (battery capacity 2000mAh). 30 lumens Quick and simple to install - White output (12 LED's) IP68 weather proofing Up to 12 hours operation once fully charged.  Year round reliability in the UK - fully weather proof - self contained and can be positioned anywhere.",Homebase
1195,First Choice Lighting Set of 10 15mm Stainless Steel IP67 Cool White LED Plinth Decking Kit,22.99,Decking lights,https://www.diy.com/departments/first-choice-lighting-set-of-10-15mm-stainless-steel-ip67-cool-white-led-plinth-decking-kit/0710560388530_BQ.prd,https://media.diy.com/is/image/Kingfisher/goodhome-glend-stainless-steel-effect-solar-powered-cool-white-led-decking-light-pack-of-2~5059340323121_01i?wid=284&hei=284,"Set of 10 round waterproof and corrosion resistant polished stainless steel & polycarbonate heads with ultra bright cool white LEDs. Ideal for outdoor or indoor, walkways, stairs and kitchen.Each kit comes complete with all necessary cables and driver:10 x IP67 LED lights, each with 1 metre total cable to allow for connection in a daisy chain formation to ensure quick and easy installation1 x 12V Indoor plug-in driver5 metre extension lead from plug to first headLight source: Ultra Bright Integrated LED chipColour temperature: 6,500K (Cool White)Total Wattage: 2WTotal Lumen: 10LmColour Render Index (CRI): 80Class 3Walk over ratedProduct dimensions: Dia: 15mm Ht: 26mm Projection: 0.4mmCut out dimensions: Dia: 12mmMinimum cavity depth: 35mm Warranty: 2 Years.Non-dimmableFittings & fixings includedGuarantee - 2 yearsPurpose-AccentFeatures and benefitsWeather ProofCan be Walked OverWaterproofDustproofInstant On",BQ
1196,First Choice Lighting Set of 10 15mm Stainless Steel IP67 RGB Colour Changing LED Plinth Decking Kit,49.99,Decking lights,https://www.diy.com/departments/first-choice-lighting-set-of-10-15mm-stainless-steel-ip67-rgb-colour-changing-led-plinth-decking-kit/0710560387755_BQ.prd,https://media.diy.com/is/image/KingfisherDigital/first-choice-lighting-set-of-10-15mm-stainless-steel-ip67-cool-white-led-plinth-decking-kit~0710560388530_01c_MP?wid=284&hei=284,"Set of 10 round waterproof and corrosion resistant polished stainless steel & polycarbonate heads with RGB colour changing LEDs.This remote control RGB decking light kit is the ideal choice for adding a touch of colour to any outside or indoor space including decking areas and walkways; style and functionality combined with exceptionally low power consumptionEach RGB colour changing kit comes complete with all necessary cables, controller and driver:10 x IP67 LED lights, each with 1 metre total cable to allow for connection in a daisy chain formation to ensure quick and easy installation1 x RGB remote controller (battery included)1 x 12V Indoor plug-in driver1 x In-line remote control module (with 2 x 50cm connecting cables)5 metre extension lead from remote control module to first headLight source: Integrated LED chipColour temperature: RGBTotal Wattage: 5WClass 3The RF (remote frequency) remote controller has a maximum range of 10m from the remote control module, though this can be affected by walls and other solid objectsThis kit has 7 colours, 22 dynamic modes, 5 levels of brightness & 10 levels of flashing and colour changing modes to choose from. The demo mode is a great way of seeing them all and choosing the most suitable effect for your needsWalk over ratedProduct dimensions: Dia: 15mm Ht: 26mm Projection: 0.4mmCut out dimensions: Dia: 12mmMinimum cavity depth: 35mm Warranty: 2 Years.DimmableFittings & fixings includedGuarantee - 2 yearsPurpose-AccentFeatures and benefitsWeather ProofDimmableRGB Remote Controlradio-controlledCan be Walked Over",BQ
1197,GoodHome Flax Stainless steel Integrated LED Outdoor Ground light (D)110mm,20.00,Decking lights,https://www.diy.com/departments/goodhome-flax-stainless-steel-integrated-led-outdoor-ground-light-d-110mm/5059340323046_BQ.prd,https://media.diy.com/is/image/KingfisherDigital/first-choice-lighting-set-of-10-15mm-stainless-steel-ip67-rgb-colour-changing-led-plinth-decking-kit~0710560387755_01c_MP?wid=284&hei=284,"These modern LED recessed ground lights are perfect for lighting up your outdoor space.Without dusk-to-dawn sensorFittings & fixings includedGuarantee - 5 yearsComes with 1 x cutter guide (ground), 1 x cutter guide (decking), 2 x mounting screwsFeatures and benefitsA durable recessed light perfect for lighting up walls, walkways and other features around the garden.A round LED recessed ground light ideal for lighting driveways and gardens",BQ
1198,"Blooma Hardin Brushed Silver effect Mains-powered Blue LED Round Decking light, Pack of 6",26.00,Decking lights,https://www.diy.com/departments/blooma-hardin-brushed-silver-effect-mains-powered-blue-led-round-decking-light-pack-of-6/1872146_BQ.prd,https://media.diy.com/is/image/Kingfisher/goodhome-flax-stainless-steel-integrated-led-outdoor-ground-light-d-110mm~5059340323046_06c?wid=284&hei=284,"These modern blue LED deck lights are perfect for lighting up your outdoor space.Non-dimmableOnly fixings includedGuarantee - 5 yearsComes with 1x cutter guide (decking), 1x IP20 BS plugFeatures and benefitsThis light is ideal for lighting and decorating a pathway or a driveway, and to help you to walk safely at night time.You can install it in a garden, along a walkway, a garage way, or recessed in a terraceDeck lights can be used in all weather variations such as rain or snow",BQ
1199,Outdoor Stainless Steel Solar Panel Decking Up LED Light Path Patio Deck Garden - 2 Pack,9.99,Decking lights,https://www.diy.com/departments/outdoor-stainless-steel-solar-panel-decking-up-led-light-path-patio-deck-garden-2-pack/5055521163791_BQ.prd,https://media.diy.com/is/image/Kingfisher/blooma-hardin-brushed-silver-effect-mains-powered-blue-led-round-decking-light-pack-of-6~3663602893011_03bq?wid=284&hei=284,"Guarantee - StatutoryFeatures and benefitsStainless steel deck lights.Powered by a solar panel which re-charges an internal battery (no wiring required).Strong white LED which turns on automatically when dark gives off a stylish strong light.Make your decking, patio, path look amazing with these solar lights.Diameter of light - 8.5cmDiameter of hole required to fit light - 6.5cm",BQ
1199,Solar House Garden Light,11.95,Decking lights,https://www.homebase.co.uk/solar-house-garden-light/13229852.html,https://static.thcdn.com/images/xsmall/webp//productimg/original/13229852-1664937381349819.jpg,"Bring a sense of fun to your garden with these Solar House Lights, guaranteed to add character to any garden or outdoor space.""You will receive one randomly selected product from this assortment"" Waterproof Durable design Adds character and colour to your garden. Automatically illuminates at night Charges in direct sunlight No mains wiring required",Homebase
