id,name,price,category,link,image,description,source
659,Smith & Locke Black Steel Combination Cable lock (L)1.2m,6.15,Cable & bike locks,https://www.diy.com/departments/smith-locke-black-steel-combination-cable-lock-l-1-2m/1731785_BQ.prd,https://media.diy.com/is/image/Kingfisher/smith-locke-black-steel-combination-cable-lock-l-1-2m~3663602835059_01bq?wid=284&hei=284,This black steel cable lock is ideal for fast and convenient security for medium-low risk situations.Resistant to rustNot water resistantFeatures and benefitsHeavy-duty steel cables which are permanently forged to lock heads for added securityPVC coated cable which will help to protect paint against scratchesOffers maximum flexibility for securing your bikeCover material: Polyvinyl chloride (PVC)Mount location: FrameResistant to rust,BQ
660,"Smith & Locke Black Braided steel Security cable, (L)1.5m (Dia)8mm",5.64,Cable & bike locks,https://www.diy.com/departments/smith-locke-black-braided-steel-security-cable-l-1-5m-dia-8mm/1731784_BQ.prd,https://media.diy.com/is/image/Kingfisher/smith-locke-black-steel-combination-cable-lock-l-1-2m~3663602835059_01bq?wid=284&hei=284,"This black braided steel wire security cable is ideal for bikes, fences, gates and garden furniture.Guarantee - 2 yearsNot water resistantFeatures and benefitsBraided steel wires for strength and flexibilityFeatures convenient loops with rust-resistance sleeves and scratch guardsAbrasion resistant. Black PVC cover prevents scratchingLooped ends enable you to attach a broad range of locks easilyCover material: Polyvinyl chloride (PVC)Resistant to scratching & rustKeep away from children",BQ
661,Multicolour Steel Combination Cable lock (L)0.55m,4.61,Cable & bike locks,https://www.diy.com/departments/multicolour-steel-combination-cable-lock-l-0-55m/1731781_BQ.prd,https://media.diy.com/is/image/Kingfisher/smith-locke-black-braided-steel-security-cable-l-1-5m-dia-8mm~3663602834960_01bq?wid=284&hei=284,"This steel cable lock is ideal for fast and convenient security for medium-low risk situations.Resistant to rustNot water resistantFeatures and benefitsBlack, blue, red and white cable lock with heavy-duty steel cables which are permanently forged to lock heads for added securityPVC coated cable which will help to protect paint against scratchesOffers maximum flexibility for securing your bikeCover material: Polyvinyl chloride (PVC)Mount location: Frame",BQ
662,Master Lock Python Black & yellow Braided steel Bike & motorbike Cable lock (L)1.8m,19.48,Cable & bike locks,https://www.diy.com/departments/master-lock-python-black-yellow-braided-steel-bike-motorbike-cable-lock-l-1-8m/234076_BQ.prd,https://media.diy.com/is/image/Kingfisher/multicolour-steel-combination-cable-lock-l-0-55m~3663602835035_02bq?wid=284&hei=284,"The Master Lock No. 8433EURD Python™ Adjustable Locking Cable lock is best used to secure fences, gates, garden furniture, tools (ladder, toolbox etc) and sports equipment (jet ski, diving equipment, ski, Table Tennis tables etc). The Limited Lifetime Warranty provides peace of mind from a brand you can trust.Features and benefitsThe patented adjustable locking mechanism holds the cable tight at any position for perfect fit, from 30 cm up to 1.8 m.Adjustable Locking Cable is 1.8m long and features 10mm diameter braided steel for maximum strength and flexibility.The protective vinyl coating protects against scratches.The integrated pin tumbler keyed locking mechanism provides superior pick resistance.The rust resistant lock and vinyl coated cable provide superior weather and scratch resistance.4 keys supplied",BQ
663,Smith & Locke Black Cylinder D-lock (W)75mm,11.28,Cable & bike locks,https://www.diy.com/departments/smith-locke-black-cylinder-d-lock-w-75mm/1731774_BQ.prd,https://media.diy.com/is/image/Kingfisher/master-lock-python-black-yellow-braided-steel-bike-motorbike-cable-lock-l-1-8m~3520190925459_02c_bq?wid=284&hei=284,This black steel d-shackle is ideal for fast and convenient security for medium-low risk situations.Features and benefitsHeavy-duty steel cables which are permanently forged to lock heads for added securityPVC coated cable which will help to protect paint against scratchesOffers maximum flexibility for securing your bikeCover material: Polyvinyl chloride (PVC)Mount location: FrameResistant to rust,BQ
664,Multicolour Steel Cylinder Cable lock (L)0.55m,3.59,Cable & bike locks,https://www.diy.com/departments/multicolour-steel-cylinder-cable-lock-l-0-55m/1731779_BQ.prd,https://media.diy.com/is/image/Kingfisher/smith-locke-black-cylinder-d-lock-w-75mm~3663602835110_02bq?wid=284&hei=284,"This steel cable lock is ideal for fast and convenient security for medium-low risk situations.Resistant to rustNot water resistantFeatures and benefitsBlack, blue, red and white cable lock with heavy-duty steel cables which are permanently forged to lock heads for added securityPVC coated cable which will help to protect paint against scratchesOffers maximum flexibility for securing your bikeCover material: Polyvinyl chloride (PVC)Mount location: Frame",BQ
665,"Master Lock Green Steel Cylinder Security chain, (L)1m (Dia)8mm",27.68,Cable & bike locks,https://www.diy.com/departments/master-lock-green-steel-cylinder-security-chain-l-1m-dia-8mm/1851200_BQ.prd,https://media.diy.com/is/image/Kingfisher/multicolour-steel-cylinder-cable-lock-l-0-55m~3663602835028_02bq?wid=284&hei=284,"This chain lock from Master Lock is made from steel, and is specially designed to give your home an additional level of security.Guarantee - LifetimeResistant to rustFeatures and benefitsThis chain features an integrated keyed lock for a ready to use security solution. Offering extra resistance to cutting and sawingNylon protective sleeve to prevent from scratchingCover material: Nylon4 keys supplied",BQ
666,"Master Lock Black Steel Bike & motorbike Security chain, (L)2m (Dia)10mm",46.13,Cable & bike locks,https://www.diy.com/departments/master-lock-black-steel-bike-motorbike-security-chain-l-2m-dia-10mm/1898077_BQ.prd,https://media.diy.com/is/image/Kingfisher/master-lock-green-steel-cylinder-security-chain-l-1m-dia-8mm~3520190933508_01bq?wid=284&hei=284,"The Master Lock No. 8292EURDPS Chain with Integrated Keyed Lock is best used to secure motorcycles.Guarantee - LifetimeFeatures and benefitsMade from Steel this chain features an integrated anti pick disc keyed lock for a ready to use security solution. Offering extra resistance to cutting and sawing.The Chain with Integrated Keyed Lock is 2m long and features 10mm diameter hardened steel links, offering resistance to cutting and sawing.The nylon sleeve provides additional protection for equipment.The disc key provides anti-picking resistance.4x keys supplied",BQ
667,Blue Cable Bike Lock with Key - Bike Locks High Security Bike Chain Lock Bicycle Lock Cycle Lock for Bicycle Heavy Duty Bike Lock,3.79,Cable & bike locks,https://www.diy.com/departments/blue-cable-bike-lock-with-key-bike-locks-high-security-bike-chain-lock-bicycle-lock-cycle-lock-for-bicycle-heavy-duty-bike-lock/5056175980291_BQ.prd,https://media.diy.com/is/image/Kingfisher/master-lock-black-steel-bike-motorbike-security-chain-l-2m-dia-10mm~3520190922632_02c_bq?wid=284&hei=284,"The Max Limit cable bike lock is more durable and offers more security than other bike locks. The long bike lock cable is made from high quality braided steel wire, making it harder to cut, while it's key section is made from tough and durable PVC plastic. It's wire is flexible and has a protective vinyl coating that prevents your bike frame from getting scratched.   

BRAIDED STEEL & TOUGH PVC HOUSING - The braided steel wires of our bike lock with cable are tough enough to prevent regular cutting tools from going through them, while the PVC section that houses the key lock is durable enough to withstand hard blows. Max Limit designs it's cycling cable locks with cyclists in mind and has designed this bike cable lock to last.   

PORTABLE & CHOICE OF COLOURS - Unlike cheaper alternatives, Max Limit bicycle locks comes with a self coiling feature. The cable is long enough for different uses, and the self coiling feature makes it easy to carry. Its available in Red, Black & Blue.   

MULTI-PURPOSE - Our bike lock can also be used on other things like a micro scooter lock, skateboard lock, grill lock, ladder lock or even a lawnmower lock.Guarantee - StatutoryFeatures and benefitsDon't Let Your Bike Get Stolen - Our cable bike lock with key will defend your bicycle whilst you haven't got eyes on it.Tough Against Cutting Tools - Braided steel wires with PVC for a tough cycle locks for bicycleSave Space in Your Backpack - Our self coiling chain bike lock, is compact and highly portable, measuring 50cm in total lengthSecure More - Our cycling locks / bycicles lock can also be used on other things like a micro scooters, motorbikes, skateboards, BBQs, ladders or even lawnmowers.MULTI-PURPOSE - Our bike lock can also be used on other things like a micro scooter lock, skateboard lock, grill lock, ladder lock or even a lawnmower lock.FREE SOL NOTEBOOK – An exclusive SOL pocket-sized notebook is included, measuring 8.5cm x 12.5cm and with 40 lined pages!",BQ
668,Smith & Locke Black Steel Combination Cable lock (L)0.65m,5.13,Cable & bike locks,https://www.diy.com/departments/smith-locke-black-steel-combination-cable-lock-l-0-65m/1731787_BQ.prd,https://media.diy.com/is/image/KingfisherDigital/blue-cable-bike-lock-with-key-bike-locks-high-security-bike-chain-lock-bicycle-lock-cycle-lock-for-bicycle-heavy-duty-bike-lock~5056175980291_01c_MP?wid=284&hei=284,This black steel cable lock is ideal for fast and convenient security for medium-low risk situations.Resistant to rustNot water resistantFeatures and benefitsHeavy-duty steel cables which are permanently forged to lock heads for added securityPVC coated cable which will help to protect paint against scratchesOffers maximum flexibility for securing your bikeCover material: Polyvinyl chloride (PVC)Mount location: FrameResistant to rust,BQ
