id,name,price,category,link,image,description,source
4631,Ring (2nd Gen) Satin nickel Wireless Video doorbell,89.00,Smart Door bells,https://www.diy.com/departments/ring-2nd-gen-satin-nickel-wireless-video-doorbell/0840080578569_BQ.prd,https://media.diy.com/is/image/Kingfisher/ring-2nd-gen-satin-nickel-wireless-video-doorbell~0840080578569_01c_bq?wid=284&hei=284,"The Ring Video Doorbell (2nd Generation) is the next generation of the original Ring Video Doorbell. With advanced security features including improved motion detection and an added Near Motion Zone.Guarantee - StatutoryBattery & mains-poweredCE markedFeatures and benefitsThe Ring Video Doorbell allow you to keep an eye on your front door, no matter where you are through your phone, tablet or laptop.Compatible with iOS and Android operating systemsCaptures great Full HD 1080p quality videoWatch live anywhere and anytime with night visionTwo-way audio lets you talk & listen to people remotelyOne-year limited warranty, and including theft protection",BQ
4631,Ring Gen 2 Wired or Wireless Smart Video Doorbell Satin Nickel,89.00,Smart Door bells,https://www.screwfix.com/p/ring-gen-2-wired-or-wireless-smart-video-doorbell-satin-nickel/620vh,https://media.screwfix.com/is/image/ae235/620VH_P?$autoprodblock$=&wid=136&hei=136&dpr=on,"See, hear and speak to visitors from anywhere. Get instant notifications on phone and tablet, customise motion settings and conveniently stay connected to home.Works with  - Amazon Alexa - Google Home - iOS App - Android App9m IR/Night Vision RangeCamera Resolution: 1080pDependent on Local WiFi Range2-Way AudioAdvanced Motion SettingsBuilt-In Rechargeable BatteryInternet Connection Required",Screwfix
4632,Ring Black Wired Video doorbell,49.00,Smart Door bells,https://www.diy.com/departments/ring-black-wired-video-doorbell/0840080581354_BQ.prd,https://media.diy.com/is/image/Kingfisher/ring-2nd-gen-satin-nickel-wireless-video-doorbell~0840080578569_01c_bq?wid=284&hei=284,"Small in cost, big on features, Video Doorbell Wired connects to your existing doorbell wiring for always-on power and protection when you need it most.Guarantee - 1 yearMains-poweredCE markedFeatures and benefitsFeaturing Live Video and Two-Way Talk, to let you see, hear and speak to whoever is at your door, from wherever you are. With its sleek design, Video Doorbell Wired will fit seamlessly with the style of any home.Set it up in the Ring app, add a Chime, or connect to an Alexa-enabled device, and you'll always know when someone drops by1080p HD Video &Two-Way TalkMotion AlertsNightVisionHardwired installationCustomisable Privacy Settings",BQ
4632,Ring  Wired Hard-Wired Smart Doorbell Black / Grey,48.90,Smart Door bells,https://www.screwfix.com/p/ring-wired-hard-wired-smart-doorbell-black-grey/997vh,https://media.screwfix.com/is/image/ae235/997VH_P?$autoprodblock$=&wid=136&hei=136&dpr=on,"Connects to an existing doorbell wiring for always-on power and protection. Features live video and 2-way audio.Works with  - Amazon Alexa - Google Home - iOS App - Android App9m IR/Night Vision RangeCamera Resolution: 1080pDependent on Local WiFi Range2-Way AudioMotion AlertsHub Not Required, Internet Connection Required",Screwfix
4633,Eufy Black Wireless Video doorbell with homebase,179.00,Smart Door bells,https://www.diy.com/departments/eufy-black-wireless-video-doorbell-with-homebase/0194644016975_BQ.prd,https://media.diy.com/is/image/Kingfisher/ring-black-wired-video-doorbell~0840080581354_02c_bq?wid=284&hei=284,"This wireless video doorbell with 2K HD has no monthly fee, with impressive on-device AI for human detection and 2-Way audio. See visitors in sharp detail as they approach your door! Simple installation that adds to the convenience of this doorbell.Guarantee - 2 yearsRechargeable battery-poweredCE markedFeatures and benefits2.5x the Clarity - The built-in Sony 2K sensor and professional-grade lens allow you to view activity in picture-perfect resolution.No Monthly Fee - Designed to protect your home as well as your wallet, eufy Security products are one-time purchases that combine security with convenience. All your data is stored locally on the homebase meaning you will never have to pay for cloud storage.Dual Power Options - Half a year of coverage from one charge or non-stop power supply via a wired connection.Expanded Field of View - The increased 4:3 Aspect Ratio ensures you get a head-to-toe view of anyone who approaches and gives you the perfect viewing angle every time.Next-Level Detection - Have total control over what is detected through the use of the motion sensor, smart human detection, and activity zones. Receive real-time alerts when anyone approaches so that you never miss a delivery or keep guests waiting.",BQ
4634,Ring Pro 2 Hardwired Video doorbell,219.00,Smart Door bells,https://www.diy.com/departments/ring-pro-2-hardwired-video-doorbell/0842861112993_BQ.prd,https://media.diy.com/is/image/Kingfisher/eufy-black-wireless-video-doorbell-with-homebase~0194644016975_01c_bq?wid=284&hei=284,"Sleek in looks and bursting with features, our premium wired Video Doorbell lets you see more of whoever is at your door, from wherever you are. The Ring Video Doorbell Pro 2 hardwired delivers non-stop power and protection with an extra dimension.Guarantee - 1 yearMains-poweredCE markedFeatures and benefitsFor more precise motion alerts 3D Motion Detection adds distance, speed, size and trajectory perception.1536p HD Head to Toe video allows you to see more of whoever stops by and check in on package deliveries at your doorstepTwo-Way Talk with noise cancellation3D Motion Detection with Bird's Eye ViewMotion AlertsColour Night VisionConnect a chime or an Alexa enabled device to hear alerts around your homeRequires existing doorbell wiring for power supply",BQ
4634,Ring Pro 2 Wired Hard-Wired Smart Video Doorbell Satin Nickel,219.00,Smart Door bells,https://www.screwfix.com/p/ring-pro-2-wired-hard-wired-smart-video-doorbell-satin-nickel/828vh,https://media.screwfix.com/is/image/ae235/828VH_P?$autoprodblock$=&wid=136&hei=136&dpr=on,"Delivers non-stop power and protection with an extra dimension. Features Quick Replies, which play a pre-recorded message when too busy to answer the door and 3D Motion Detection for more precise motion notifications. Also includes an expanded perspective of 1536p HD Head to Toe Video. Connect a Chime or an Alexa-enabled device to hear alerts around the home whenever there is a visitor.Works with  - Amazon Alexa - Google Home - iOS App - Android App9m IR/Night Vision RangeCamera Resolution: 1536pDependent on Local WiFi RangeHead to Toe Video3D Motion Detection with Birds Eye ViewColour Night VisionHub Not Required, Internet Connection Required",Screwfix
4635,Ring (2nd Generation) Wireless Door chime,29.00,Smart Door bells,https://www.diy.com/departments/ring-2nd-generation-wireless-door-chime/0842861110371_BQ.prd,https://media.diy.com/is/image/Kingfisher/ring-pro-2-hardwired-video-doorbell~0842861112993_02c_bq?wid=284&hei=284,"The Ring Chime (2nd Generation) is an updated version of the classic Ring Chime. In addition to a stylish new design Ring Chime's 2.4 GHz WiFi connectivity will help you get notifications for any and all of your Ring devices.Mains-poweredCE markedCompatible with 802.11 b/g/n WiFi connection @ 2.4 GHz onlyFeatures and benefitsHear notifications in your home when someone presses your doorbell or when motion is detected.Place multiple Chime devices around your home to always hear notifications wherever you arePlug into standard wall sockets and connect Ring Chime to all your Ring Doorbells and CamerasCompatible with all Ring Video Doorbells and Security CamerasOne-year limited warranty, and including theft protection",BQ
4635,Ring Chime 2nd Gen Plug-In Wireless Doorbell Chime White,29.00,Smart Door bells,https://www.screwfix.com/p/ring-chime-2nd-gen-plug-in-wireless-doorbell-chime-white/934kj,https://media.screwfix.com/is/image/ae235/934KJ_P?$autoprodblock$=&wid=136&hei=136&dpr=on,"Sends real-time notifications anywhere in the home when someone rings the doorbell or motion is detected. Many different sounds and tones to choose from.Works with  - Amazon Alexa - Apple HomeKit - Google Home - iOS App - Android AppCompatible with All Ring Doorbells & Cameras30 MelodiesDependent on Local WiFi RangeAdjustable VolumeReal-Time NotificationsHub Not Required, Internet Connection Required",Screwfix
4636,Ring 4 Black & grey Wireless Video doorbell,179.00,Smart Door bells,https://www.diy.com/departments/ring-4-black-grey-wireless-video-doorbell/0840080571805_BQ.prd,https://media.diy.com/is/image/Kingfisher/ring-2nd-generation-wireless-door-chime~0842861110371_01c_bq?wid=284&hei=284,"Our upgraded battery doorbell with improved colour video previews. Video Doorbell 4 features enhanced wifi, a quick-release battery for easy recharging, and Colour Pre-Roll video previews of all motion events, so you'll never miss a moment at your front door.Guarantee - 1 yearBattery & mains-poweredCE markedFeatures and benefitsHD Video with Night VisionMotion Notifications with Colour Pre-Roll video previewsTwo-Way TalkCustomisable Privacy SettingsRechargeable Quick Release Battery Pack",BQ
