id,name,price,category,link,image,description,source
1715,Miracle Gro All purpose Liquid Plant feed 1L,4.00,Fertilisers & plant food,https://www.diy.com/departments/miracle-gro-all-purpose-liquid-plant-feed-1l/5010272185447_BQ.prd,https://media.diy.com/is/image/Kingfisher/miracle-gro-all-purpose-liquid-plant-feed-1l~5010272185447_02c?wid=284&hei=284,"This all purpose liquid plant feed from Miracle gro now contains a natural growth stimulant that helps to stimulate growth and produce visibly healthier plants.March to OctoberWatering canStore in a dry, frost free place away from children, pets and foodstuffAdd 1/2 cap of plant food to 1litre of water. Soak the soil around the base of each plant. Reduce rate to 1/4 cap per litre of water for sensitive, small or young plantsNPK 7-3-5Features and benefitsChild and pet friendly",BQ
1715,Miracle-Gro All Purpose Concentrated Liquid Plant Food - 1L,3.50,Fertilisers & plant food,https://www.homebase.co.uk/miracle-gro-all-purpose-concentrated-liquid-plant-food-1l/12819549.html,https://static.thcdn.com/images/xsmall/webp//productimg/original/12819549-1104831961976240.jpg,"Miracle-Gro All Purpose Concentrated Liquid Plant Food has a unique formulation that now contains a natural growth stimulant to improve growth and yield. It is the perfect feed for flowering and foliage plants and pots, containers and hanging baskets. It can be used all around the garden and on houseplants, and can be applied either as a root or foliage feed. Regular feeding will produce bigger plants with noticeably more blooms. Contains natural growth stimulant for visibly healthier plants in just 7 days Stimulates increased growth and yield Stimulates root growth Grows plants twice as big Improves plants resistance to environmental stresses",Homebase
1715,Phostrogen All Purpose Liquid Plant Food Concentrate 1L,5.68,Fertilisers & plant food,https://www.toolstation.com/phostrogen-all-purpose-liquid-plant-food-concentrate/p67532,https://cdn.aws.toolstation.com/images/141020-UK/250/57978.jpg,"Caring for your garden plants has never been easier. When you use Phostrogen All Purpose Liquid Plant Food, you’re giving your plants the essential nutrients they need to flourish – and it’s so simple.All you need to do is mix the feed with water and pour. That’s it! The 1L bottle takes up minimal storage space, but it can make up to 166L of liquid plant food when diluted – so it’s a long-lasting solution that’s as easy to store as it is to apply. The feed stimulates root growth and preserves soil fertility too, helping you grow bigger plants and better blooms.• Get bigger plants, better blooms and more vegetables• Preserves and strengthens your garden plants, stimulating root growth• Packed with the essential nutrients your plants need to flourish• Preserves soil fertility too• Easy to use – simply mix with water, and pour• 1L bottle of concentrate makes 166L of liquid plant food• Contains NPK 6-4-5• Suitable for use all year roundSTORAGE INSTRUCTIONS• Keep containers tightly closed in a dry, cool and well-ventilated place• Store out of the reach of children• Keep away from food, drink and animal feed• Protect from freezing• Keep away from direct sunlight• Always read the label before use",Toolstation
1716,Westland Growmore Universal Fertiliser Granules 10kg,22.00,Fertilisers & plant food,https://www.diy.com/departments/westland-growmore-universal-fertiliser-granules-10kg/1318588_BQ.prd,https://media.diy.com/is/image/Kingfisher/miracle-gro-all-purpose-liquid-plant-feed-1l~5010272185447_02c?wid=284&hei=284,"Ideal for use with most types of vegetables, shrubs fruit trees and flowers, this easy to use garden fertiliser will help to ensure you plants stay healthy and strong.For best results use between February to OctoberApply every 4-6 weeks throughout the growing seasonApply every 4-6 weeks throughout the growing season from February until the end of October. Use as a top dressing (sprinkled on the soil surface) or as a base dressing (worked into the soil with a spade or hoe). During dry weather water before and after application.Chemical care - NPK 7-7-7Features and benefitsFor stronger, healthier plant growth and abundant floweringUse as a balanced fertiliser (NPK 7:7:7) with a variety of cropsUse when planting or sowing and feeding of established plantsGeneral soil improvement to put depleted nutrients backContains nitrogen, phosphorous and potashRates of use top dressing; General Vegetables 70g/m2; Potatoes 210g/m2; Fruit trees/shrubs 135g/m2; Flowers 70g/m2. Base dressing General Vegetables 135g/m2",BQ
1716,Westland Growmore Plant Food - 10kg,20.00,Fertilisers & plant food,https://www.homebase.co.uk/westland-growmore-plant-food-10kg/12829902.html,https://static.thcdn.com/images/xsmall/webp//productimg/original/12829902-1804831910329143.jpg,Multipurpose plant food for use all around the garden. Perfectly balanced feed. Can be used near children and pets.,Homebase
1717,"Westland Fish, blood & bone Universal Granular plant feed Granules 4kg",10.00,Fertilisers & plant food,https://www.diy.com/departments/westland-fish-blood-bone-universal-granular-plant-feed-granules-4kg/5023377007873_BQ.prd,https://media.diy.com/is/image/Kingfisher/westland-growmore-universal-fertiliser-granules-10kg~5023377845864_02c?wid=284&hei=284,"Fish, blood and bone is a good natural source of all three of the major nutrients. Nutrients are taken up efficiently due to longer period of release in the soil. Being especially high in phosphorus makes it particularly good for stimulating strong, healthy root growth",BQ
1717,"Westland Fish, Blood and Bone All Purpose Plant Food - 4kg",9.00,Fertilisers & plant food,https://www.homebase.co.uk/westland-fish-blood-and-bone-all-purpose-plant-food-4kg/12823486.html,https://static.thcdn.com/images/xsmall/webp//productimg/original/12823486-5464831916572323.jpg,"Westland Fish Blood and Bone encourages strong, healthy rooting, helps build soil fertility and increase crop yield. Fish, Blood and bone can be used all around the garden and provides a long period of nutrient release to the plants in the area it is applied. Apply every 4 - 6 weeks to sustain good soil fertility. Use to provide feed for flowers, fruit, trees, shrubs and vegetables. Provides your plants with a natural food source that feeds plants nutrients slowly Can be used to feed flowers, fruit, trees, shrubs and vegetables NPK: 3 - 9 - 3",Homebase
1718,Levington Tomorite Liquid Plant feed 1L,5.95,Fertilisers & plant food,https://www.diy.com/departments/levington-tomorite-liquid-plant-feed-1l/5010272191868_BQ.prd,https://media.diy.com/is/image/Kingfisher/westland-fish-blood-bone-universal-granular-plant-feed-granules-4kg~5023377007873_03c?wid=284&hei=284,"Store in a cool, dry place away from children, pets & foodstuffApply using a watering canNPK 4-4.5-8Features and benefitsSpecifically designed for tomatoes and flowering pot plants that appreciate a high potash feedApply using a watering canStore in a cool, dry place away from children, pets & foodstuff",BQ
1719,Rose Plant feed Granules 1kg,4.95,Fertilisers & plant food,https://www.diy.com/departments/rose-plant-feed-granules-1kg/174521_BQ.prd,https://media.diy.com/is/image/Kingfisher/levington-tomorite-liquid-plant-feed-1l~5010272191868_02c_bq?wid=284&hei=284,"Ideal for use with roses & shrubs, this easy to use plant food will help to ensure you plants stay healthy and strong.For best results use between March to SeptemberStore out of the reach of children. Keep away from food, drink and animal feed. Keep away from direct sunlight. Protect from freezing. Keep containers tightly closed in a dry, cool and well-ventilated placeApply evenly to the soil around the plants and hoe lightly, keep off stems and leaves and water if the soil is dry. Only two applications are needed for a complete season’s feeding: First feed – Spring Apply 28g (1oz) – approx. one handful – around each plant when active growth starts. Second feed – Summer Apply 28g (1oz) around each plant after the first flush of flowers has faded. New roses and shrubs - You can put in bare-rooted plants between late October and March. The ground must be neither frozen nor waterlogged. Container-grown plants can be put in at any time of year provided the soil condition is suitable. Bare-rooted plants - Dig a hole which is wide enough and deep enough to allow the roots to spread out fully, average size 60 cm across and 25 cm deep. Mix one handful of To prose with the bottom soil. Bud union should be 2.5 cm (1”) below the soil level when planting is completed. Container-grown plants - Water thoroughly before planting or removing the container. Cut down the side of the container when stood on the base of the hole. Remove this cover very carefully and mix one handful of To prose with the bottom soilFeatures and benefitsToprose is Britain's best selling granular rose food which is also suitable for trees and shrubs as a slow release spring and autumn feed. With a little care, roses can be encouraged to last for many years creating elegant blooms and beautiful scentsThe perfect balance of nutrients for bright beautiful roses and shrubsContains long lasting nitrogen for balanced growthIron and magnesium promote intensely coloured blooms and guard against premature leaf drop and discolouringTwice a season application, easily absorbed nutrientsVital for best performance with roses that tend to have poor root systemsCoverage: 17 rose bushes",BQ
1720,"Westland Fish, blood & bone Plant feed 1.5kg",5.50,Fertilisers & plant food,https://www.diy.com/departments/westland-fish-blood-bone-plant-feed-1-5kg/911096_BQ.prd,https://media.diy.com/is/image/Kingfisher/rose-plant-feed-granules-1kg~5000371050524_08c_BQ?wid=284&hei=284,"This straight plant feed is suitable building soil fertility.For best results use between February to OctoberStore in a dry, frost free place away from children, pets & foodstuff.Chemical care - NPK 7-4-7Features and benefitsFish, Blood & Bone is a good natural source of all three of the major nutrients. Use as a general purpose food, for a wide range of plant types. Being especially high in phosphorus makes it particularly good for stimulating strong, healthy root growth.Helps build soil fertilityEncourages strong, healthy rootingIncreases crop yieldIdeal for general plant useContains nitrogen, phosphorous and potash from ground poultry bones, beef bones and dried fish mealRates of use top dressing or base dressing; Trees/Shrubs 70g/sq m; Flowers 70g/sq m; Vegetables 70g/sq m",BQ
