id,name,price,category,link,image,description,source
1169,Don Green Pine Deck board (L)2.4m (W)95mm (T)20mm,6.5,Decking,https://www.diy.com/departments/don-green-pine-deck-board-l-2-4m-w-95mm-t-20mm/1641709_BQ.prd,https://media.diy.com/is/image/Kingfisher/don-green-pine-deck-board-l-2-4m-w-95mm-t-20mm~3663602947875_01bq?wid=284&hei=284,"Classic softwood decking, Ideal for use in gardens, balconies or terraces.Fittings & fixings sold separatelyFixing type: To screwBefore installation the foundation must be levelled and hardened, create a decline of (1cm/2cm) and install with the grooved layer alongside to allow an easy out-flow of water. It is recommended to put a 15cm gravel layer, then a 5cm sand layer and cover it up with an anti-weed non-woven fabric. Use concrete blocks as the foundation. For the structural arrangement of the joists, the gap between them should not be bigger that 250mm (for 20x95mm) and 400mm (for 24x120mm). Allow a 10mm distance from the building to allow for expansion. The length of the screw should be twice the thickness of the board, stainless steel, and a min diameter of 4.5mm. Each board is screwed-in with the joists (in a line) the same distance from the board’s edges, for (20x95) 2 screws, (24x120) use 3 screws. To avoid cracks, 20mm from any edge and a drill a pilot hole. The space between the boards should be kept from 5 to 6mm both between side and top boards, especially if there are at least two boards in one line. Ensure that the cut boards and joists or drilled holes are protected by a wood preservative to extend the longevity.Features and benefitsThis decking should be laid onto treated deck joists on joist centres of no more than 400mm. If laying diagonally the maximum joist centres should be 300mm. It is important to seal the ends of trimmed boards before laying in order to protect fullyMade with slow grown wood for stability and precision finishedInstall with screwsLay wooden joist supports",BQ
1170,GoodHome Madeira Green Spruce Deck board (L)2.4m (W)120mm (T)24mm,9,Decking,https://www.diy.com/departments/goodhome-madeira-green-spruce-deck-board-l-2-4m-w-120mm-t-24mm/1636365_BQ.prd,https://media.diy.com/is/image/Kingfisher/don-green-pine-deck-board-l-2-4m-w-95mm-t-20mm~3663602947875_01bq?wid=284&hei=284,"Classic softwood decking, grooved on both sides giving you the option to frame your deck with different texturesFittings & fixings sold separatelyFixing type: To screwWe recommend you treat your timber decking annually with decking stain, varnish or paint to prolong its life. Lightly sand surfaces and ends to allow treatment to penetrate sufficiently through decking for maximum protection. Ensure surfaces and ends (especially cut ends) are completely sealed when staining to protect against the elements and this will ultimately extend the life of your deckingFeatures and benefitsThis decking should be laid onto treated deck joists on joist centres of no more than 400mm. If laying diagonally the maximum joist centres should be 300mm. It is important to seal the ends of trimmed boards before laying in order to protect fullyMade with slow grown wood for stability and precision finishedThese boards are reversible giving you a choice of profilesInstall with screwsLay wooden joist supports",BQ
1171,Good life Solid High-density polyethylene (HDPE) Finishing profile Anthracite Grey (L)2200mm,6,Decking,https://www.diy.com/departments/good-life-solid-high-density-polyethylene-hdpe-finishing-profile-anthracite-grey-l-2200mm/3700421810604_BQ.prd,https://media.diy.com/is/image/Kingfisher/goodhome-madeira-green-spruce-deck-board-l-2-4m-w-120mm-t-24mm~3663602994732_01bq?wid=284&hei=284,"Create an extremely durable, easy-to-maintain outdoor space with our composite decking boards for a modern design look.Fittings & fixings not includedCompatible with Compatible with Good Life deck boardsGuarantee - 15 yearsFeatures and benefitsThis combination of long lasting, quality materials limits the effects of UV as well as being rot-resistant and durableCo-extrusion reduces water absorption and dilatation, thereby enhancing the quality of this product and creating long lasting resistance, also against UVRequires less maintenance than wood. Easy to clean and stain resistant thanks to the protection capCoordination that brings a perfectly designed finishDesigned to imitate the knots of wood without the imperfections. This creates it a clear visual and a modern, homogeneous aspect15 years guarantee",BQ
1172,Value Green Spruce Deck board (L)1.8m (W)120mm (T)24mm,7,Decking,https://www.diy.com/departments/value-green-spruce-deck-board-l-1-8m-w-120mm-t-24mm/5059340248660_BQ.prd,https://media.diy.com/is/image/Kingfisher/good-life-solid-high-density-polyethylene-hdpe-finishing-profile-anthracite-grey-l-2200mm~3700421810604_01c_bq?wid=284&hei=284,Fittings & fixings sold separatelyGuarantee - StatutoryFeatures and benefitsSuitable for a variety of decking and landscaping projectsThis decking should be laid onto treated deck joists on joist centres of no more than 400mmRecommended to use a geotextile fabric to avoid the growth of weedsIf laying diagonally the maximum joist centres should be 300mmBoards are reversible giving you a choice of profilesEasy to install & maintain,BQ
1173,Value Brown Spruce Deck board (L)1.8m (W)120mm (T)24mm,7,Decking,https://www.diy.com/departments/value-brown-spruce-deck-board-l-1-8m-w-120mm-t-24mm/5059340355788_BQ.prd,https://media.diy.com/is/image/Kingfisher/value-green-spruce-deck-board-l-1-8m-w-120mm-t-24mm~5059340248660_01c_bq?wid=284&hei=284,"Our decking boards have been designed to meet all needs to ensure you have a great selection of quality wood.Fittings & fixings sold separatelyFixing type: To screwGuarantee - 5 yearsFull instructions for the fitting/usage of this product are provided in the included instruction manualFeatures and benefitsFind warm and authentic wood for your terrace.Treated against insects and rotting, this quality wood can be subjected to alternating humidity and drought, however, direct contact with the ground should be avoidedThe natural and traditional appearance of spruce brings both an authentic and premium design feel to your terraceChoose the perfect pattern for an authentic or contemporary design finish, reversible at any time",BQ
1174,Blooma Aldan Pine Deck joist (L)2.4m (W)38mm (T)62mm,11,Decking,https://www.diy.com/departments/blooma-aldan-pine-deck-joist-l-2-4m-w-38mm-t-62mm/1641705_BQ.prd,https://media.diy.com/is/image/Kingfisher/value-brown-spruce-deck-board-l-1-8m-w-120mm-t-24mm~3663602994763_01bq?wid=284&hei=284,"Features and benefitsSuitable for use with ground contactIdeal for use with Concrete joist block or adjustable riserMake sure to treat cut ends with preservativeThis product has a Class 4 treatment deep inside the wood, providing better protection and making it suitable for use with ground contact",BQ
1175,GoodHome Lemhi Pine Deck board (L)2.4m (W)144mm (T)27mm,14,Decking,https://www.diy.com/departments/goodhome-lemhi-pine-deck-board-l-2-4m-w-144mm-t-27mm/5059340053295_BQ.prd,https://media.diy.com/is/image/Kingfisher/blooma-aldan-pine-deck-joist-l-2-4m-w-38mm-t-62mm~3663602948421_01bq?wid=284&hei=284,"Classic softwood decking, grooved on both sides giving you the option to frame your deck with different textures.Fittings & fixings sold separatelyFixing type: To screwGuarantee - 10 yearsCan be cut to size easily using standard tools are fixed using screwsFeatures and benefitsThis decking should be laid onto treated deck joists on joist centres of no more than 400mm. If laying diagonally the maximum joist centres should be 300mm. It is important to seal the ends of trimmed boards before laying in order to protect fullyMade with slow grown wood for stability and precision finishedThese boards are treated to class 4 and are suitable for direct ground contactInstall with screwsLay wooden joist supports",BQ
1176,Richard Burbidge Decking Traditional Decorative panel Pressure treated Trellis panel (W)1.13m (H)0.76m,52,Decking,https://www.diy.com/departments/richard-burbidge-decking-traditional-decorative-panel-pressure-treated-trellis-panel-w-1-13m-h-0-76m/5000473045190_BQ.prd,https://media.diy.com/is/image/Kingfisher/goodhome-lemhi-pine-deck-board-l-2-4m-w-144mm-t-27mm~5059340053295_01c_bq?wid=284&hei=284,"Decorative panel that fits around the outer perimeter of a deck area to provide some added privacyGuarantee - 1 yearFeatures and benefitsMake your outdoor decking area even more stylish and contemporary with this decking panel, with its simple yet powerful sunburst design being the perfect visual embellishment to your decking spaceManufactured from responsibly sourced, forest friendly timberCan be stained to any colour with deck stainCompatible with either a traditional or modern design deck postIdeal to provide a screen or dividing section in a garden",BQ
1177,GoodHome Lemhi Green Pine Deck board (L)4.8m (W)144mm (T)27mm,24,Decking,https://www.diy.com/departments/goodhome-lemhi-green-pine-deck-board-l-4-8m-w-144mm-t-27mm/5036581094553_BQ.prd,https://media.diy.com/is/image/Kingfisher/richard-burbidge-decking-traditional-decorative-panel-pressure-treated-trellis-panel-w-1-13m-h-0-76m~5000473045190_01c_BQ?wid=284&hei=284,"Find warm and authentic wood for your terrace. Our decking boards have been designed to meet all needs to ensure you have a great selection of quality wood. The Lemhi wooden decking board is a long-lasting product that uses class 4 treatment.Fittings & fixings sold separatelyFixing type: To screwGuarantee - 10 yearsCan be cut to size easily using standard tools are fixed using screwsFeatures and benefitsTreated against insects and rotting, this quality wood can be in direct contact with the ground as well as subjected to frequent or permanent humidityThe slow growth of this long lasting, quality pine makes the wood especially robustCovers a larger area making it quick and easy to install, while also requiring fewer cutsRequires less cutting, therefore needing less fittings to bring depth. Creates a more contemporary look and finishChoose the perfect pattern for an authentic or contemporary design finish, reversible at any timeSuitable for outdoor use and for direct contact with the ground, e.g. decking joists and fence postsAffordableSustainableRot resistantPaintable",BQ
1178,"Richard Burbidge 1 piece Bullnose tread, (L)1.07m (W)235mm (T)40mm",22,Decking,https://www.diy.com/departments/richard-burbidge-1-piece-bullnose-tread-l-1-07m-w-235mm-t-40mm/5000473080320_BQ.prd,https://media.diy.com/is/image/Kingfisher/goodhome-lemhi-green-pine-deck-board-l-4-8m-w-144mm-t-27mm~5036581094553_01c_bq?wid=284&hei=284,"Can be stained to any colour with deck stainGuarantee - 1 yearComes with 1x treadFeatures and benefitsHelp create your perfect elevated garden space with this stair tread, with its outward facing bullnose edge making your step section safer and sleekerManufactured from responsibly sourced, forest friendly timberCan be used alongside the range of risers to create a safe steps section to an elevated decking areaBullnose design on the outward facing end of the tread",BQ
