ï»¿id,name,price,category,link,image,description,source,sub_category
2038,"Forest Garden Modular Square Pergola, (H)2045mm (W)1970mm",793.00,Garden arbours,https://www.diy.com/departments/forest-garden-modular-square-pergola-h-2045mm-w-1970mm/5013053183168_BQ.prd,https://media.diy.com/is/image/Kingfisher/forest-garden-modular-square-pergola-h-2045mm-w-1970mm~5013053183168_01c?wid=284&hei=284,"The Modular Pergola from Forest is perfect to create a flexible and contemporary outdoor seating area – whatever size your garden. At just under 2m square, it is ideal for those smaller spaces or unused corners. This model comes with two slatted roof panels that give some shade from the sun and two pairs of slatted side panels. These panels offer extra privacy and can be fixed together on any side depending on your preference.Assembly requiredComes with Two slatted roof panels and two pairs of slatted side panelsFeatures and benefitsYou can positioned this Pergola on a hard standing or soft ground but whatever surface you choose we recommend that it is anchored to the ground, using either an Easy-Fit Fencebase (FBEF65) or Easy-Fit Fencefast (FEF6575) – not included.Compact pergola ideal for smaller spacesA stylish contemporary structure that provides the perfect space to eat and entertainIncludes two slatted roof panels and two pairs of slatted side panels (to fit two sides)Panels can be fitted to any side depending on your preferenceManufactured from smooth-planed pressure treated timber, that comes with a 15 year guarantee against rot and fungal decayDelivered flat packed with step-by-step instructions for an easy build",BQ,garden_buildings_storage
2038,Forest Garden Modular Pergola No Sides,560.00,Garden arbours,https://www.homebase.co.uk/forest-garden-modular-pergola-no-sides/14013377.html,https://static.thcdn.com/images/xsmall/webp//productimg/original/14013377-9965004288878277.jpg,"The Modular Pergola from Forest is perfect to create a flexible and contemporary outdoor seating area – whatever size your garden. At just under 2m square, it is ideal for those smaller spaces or unused corners. This base model comes with two slatted roof panels that give some shade from the sun while the structure is open on all sides.The pergola is manufactured from smooth-planed pressure treated timber, which comes with a 15 year guarantee against rot and fungal decay.It can be positioned on a hard standing or soft ground but whatever surface you choose we recommend that it is anchored to the ground, using either an Easy-Fit Fencebase (FBEF65) or Easy-Fit Fencefast (FEF6575) – not included.Delivered flat packed with step-by-step instructions for an easy build. This item is delivered direct to you from one of our suppliers, please see our Terms & Conditions for details. Compact pergola ideal for smaller spaces A stylish contemporary structure that provides the perfect space to eat and entertain Includes two slatted roof panels Manufactured from smooth-planed pressure treated timber 15 year anti-rot guarantee",Homebase,garden_buildings_storage
2039,"Blooma Chiltern Round top Arbour, (H)1990mm (W)1340mm (D)800mm - Assembly required",295.00,Garden arbours,https://www.diy.com/departments/blooma-chiltern-round-top-arbour-h-1990mm-w-1340mm-d-800mm-assembly-required/260015_BQ.prd,https://media.diy.com/is/image/Kingfisher/forest-garden-modular-square-pergola-h-2045mm-w-1970mm~5013053183168_01c?wid=284&hei=284,"Assembly requiredOnly fixings includedFeatures and benefitsComes with - Lattice sides & open slatted roofFitting instructions - This arbour is supplied with comprehensive fitting instructions and fixings provided. A minimum of 2 people are required to build this arbourMade using responsibly sourced, Forest Friendly timberThis arbour is supplied with comprehensive fitting instructions and fixings provided. A minimum of 2 people are required to build this arbourComes with - Lattice sides & open slatted roof",BQ,garden_buildings_storage
2040,"Forest Garden Lyon Lattice Arbour, (H)2000mm (W)1560mm (D)670mm - Assembly required",293.00,Garden arbours,https://www.diy.com/departments/forest-garden-lyon-lattice-arbour-h-2000mm-w-1560mm-d-670mm-assembly-required/5013053154694_BQ.prd,https://media.diy.com/is/image/Kingfisher/blooma-chiltern-round-top-arbour-h-1990mm-w-1340mm-d-800mm-assembly-required~5397007055641_01i_bq?wid=284&hei=284,"The beautiful Lyon Arbour combines three lattice panels that are perfect for climbing plants and a seat that can comfortably fit two people. Create a little sanctuary to enjoy your garden from and enjoy the scent of summer flowers.Assembly requiredOnly fixings includedFeatures and benefitsThe arbour is manufactured from Pressure Treated timber to give it a 15 year guarantee against rot and fungal decay and has been smooth-planed for a splinter free finish. The solid timber roof offers shelter from unexpected rain showers and the sun.The Lyon Arbour is the perfect place to unwind and relaxManufactured from smooth-planed, Pressure Treated timber for a superior buildComfortable bench seat with a sloped backThe perfect spot to sit and enjoy your garden, seats up to 2 peopleSolid roof offers protection from the sun or unexpected showersDelivered flat packed for easy self-assemblyFixings and instructions are all included",BQ,garden_buildings_storage
2040,Forest Lyon Arbour 2000 x 1560 x 670mm Treated Timber,296.94,Garden arbours,https://www.bradfords.co.uk/forest-lyon-arbour-2000-x-1560-x-670mm-treated-timber,https://www.bradfords.co.uk/media/catalog/product/cache/f7c81111a4a19ad296e9f8fd0fc16840/8/2/8275312c05674fa8633997b32f3643f4_1.jpg,The beautiful Lyon Arbour combines three lattice panels that are perfect for climbing plants and a seat that can comfortably fit two people. Create a little sanctuary to enjoy your garden from and enjoy the scent of summer flowers.The arbour is manufactured from Pressure Treated timber to give it a 15 year guarantee against rot and fungal decay and has been smooth-planed for a splinter free finish. The solid timber roof offers shelter from unexpected rain showers and the sun.Delivered flat packed for easy self-assembly. Fixings and instructions are all included.,Bradfords,garden_buildings_storage
2040,Forest Lyon Arbour 2000 x 1560 x 670mm,354.00,Garden arbours,https://www.jewson.co.uk/p/forest-lyon-arbour-2000-x-1560-x-670mm-LSFG0381,"https://media.jewson.co.uk/f_auto,q_auto/t_Regular/global/product-images/LSFG0381_1","The beautiful Lyon Arbour combines three lattice panels that are perfect for climbing plants and a seat that can comfortably fit two people. Create a little sanctuary to enjoy your garden from and enjoy the scent of summer flowers. The arbour is manufactured from Pressure Treated timber to give it a 15 year guarantee against rot and fungal decay and has been smooth-planed for a splinter free finish. The solid timber roof offers shelter from unexpected rain showers and the sun. Delivered flat-packed for easy self-assembly. Fixings and instructions are all included.Features & benefitsThe Lyon Arbour is the perfect place to unwind and relax Manufactured from smooth-planed, Pressure Treated timber for a superior buildThe perfect spot to sit and enjoy your garden, seats up to 2 peopleSolid roof offers protection from the sun or unexpected showersLattice side and back panels are great for training climbing plants and creating a little more privacy around the arbour15 Year Anti-Rot Guarantee",Jewson,garden_buildings_storage
2041,"Forest Garden Dining Rectangular Pergola, (H)2400mm (W)3040mm",788.00,Garden arbours,https://www.diy.com/departments/forest-garden-dining-rectangular-pergola-h-2400mm-w-3040mm/5013053139998_BQ.prd,https://media.diy.com/is/image/Kingfisher/forest-garden-lyon-lattice-arbour-h-2000mm-w-1560mm-d-670mm-assembly-required~5013053154694_01i?wid=284&hei=284,"The Dining Pergola from Forest is a stylish, contemporary design that will create a stunning feature in your garden. It's the perfect spot to eat and entertain. The laddered side and roof panels add an extra dimension to the structure and are fantastic for training climbing plants and creating your own shade.Assembly requiredFeatures and benefitsThe pergola is manufactured using European softwood, which is slow growing, resulting in stronger and more robust timber. To improve the longevity of the timber it has been Pressure Treated to give it a 15-year manufacturer’s guarantee against rot and fungal damage.The Dining Pergola with panels is a beautiful, contemporary style structure that provides the perfect space to eat and entertainManufactured from smooth-planed, Pressure Treated timber for a superior buildModern design and strong linesOpen roof allows plenty of ventilation and light, and the slatted panels are perfect for climbing plantsCheck out our fantastic range of outdoor dining furniture to enhance the use of this pergolaDelivered flat packed for self-assembly, fixings and instructions all included",BQ,garden_buildings_storage
2042,"Blooma Chiltern Corner arbour, (H)2100mm (W)1580mm (D)1580mm",438.00,Garden arbours,https://www.diy.com/departments/blooma-chiltern-corner-arbour-h-2100mm-w-1580mm-d-1580mm/260220_BQ.prd,https://media.diy.com/is/image/Kingfisher/forest-garden-dining-rectangular-pergola-h-2400mm-w-3040mm~5013053139998_01c?wid=284&hei=284,"Assembly requiredOnly fixings includedFeatures and benefitsServes as an attractive garden feature and provides a nice place to relaxFitting instructions - This arbour is supplied with comprehensive fitting instructions and fixings provided. A minimum of 2 people are required to build this arbourResponsibly sourced forest friendly woodMade using responsibly sourced, Forest Friendly timberComes with - Lattice sides & open slatted roof",BQ,garden_buildings_storage
2043,"Forest Garden Modular Square Pergola, (H)2045mm (W)1970mm",782.00,Garden arbours,https://www.diy.com/departments/forest-garden-modular-square-pergola-h-2045mm-w-1970mm/5013053183151_BQ.prd,https://media.diy.com/is/image/Kingfisher/blooma-chiltern-corner-arbour-h-2100mm-w-1580mm-d-1580mm~5397007007718_18i_BQ?wid=284&hei=284,"The Modular Pergola from Forest is perfect to create a flexible and contemporary outdoor seating area – whatever size your garden. At just under 2m square, it is ideal for those smaller spaces or unused corners. This model comes with two slatted roof panels that give some shade from the sun and a pair of slatted side panels. These panels offer a degree of privacy and can be fixed together on any side depending on your preference.Assembly requiredComes with 1 pack of 2 screensFeatures and benefitsThe pergola is manufactured from smooth-planed pressure treated timber, which comes with a 15 year guarantee against rot and fungal decay. It can be positioned on a hard standing or soft ground but whatever surface you choose we recommend that it is anchored to the ground, using either an Easy-Fit Fencebase (FBEF65) or Easy-Fit Fencefast (FEF6575) – not included.Compact pergola ideal for smaller spacesA stylish contemporary structure that provides the perfect space to eat and entertainIncludes two slatted roof panels and one pair of slatted side panels (to fit one side)Panels can be fitted to any side depending on your preferenceManufactured from smooth-planed pressure treated timberDelivered flat packed with step-by-step instructions for an easy build",BQ,garden_buildings_storage
2043,Forest Garden Modular Pergola No Sides,560.00,Garden arbours,https://www.homebase.co.uk/forest-garden-modular-pergola-no-sides/14013377.html,https://static.thcdn.com/images/xsmall/webp//productimg/original/14013377-9965004288878277.jpg,"The Modular Pergola from Forest is perfect to create a flexible and contemporary outdoor seating area – whatever size your garden. At just under 2m square, it is ideal for those smaller spaces or unused corners. This base model comes with two slatted roof panels that give some shade from the sun while the structure is open on all sides.The pergola is manufactured from smooth-planed pressure treated timber, which comes with a 15 year guarantee against rot and fungal decay.It can be positioned on a hard standing or soft ground but whatever surface you choose we recommend that it is anchored to the ground, using either an Easy-Fit Fencebase (FBEF65) or Easy-Fit Fencefast (FEF6575) – not included.Delivered flat packed with step-by-step instructions for an easy build. This item is delivered direct to you from one of our suppliers, please see our Terms & Conditions for details. Compact pergola ideal for smaller spaces A stylish contemporary structure that provides the perfect space to eat and entertain Includes two slatted roof panels Manufactured from smooth-planed pressure treated timber 15 year anti-rot guarantee",Homebase,garden_buildings_storage
