id,name,price,category,link,image,description,source
3706,Outdoor Table With Wheels For A Pizza Oven Or Barbeque,89.99,Pizza ovens,https://www.diy.com/departments/outdoor-table-with-wheels-for-a-pizza-oven-or-barbeque/5060379012597_BQ.prd,https://media.diy.com/is/image/KingfisherDigital/outdoor-table-with-wheels-for-a-pizza-oven-or-barbeque~5060379012597_01c_MP?wid=284&hei=284,"Features and benefitsPLEASE NOTE: This listing is just for the trolley. BBQ or pizza oven or any utensils are NOT included.Our modular table with stainless steel top is ideal for all pizza ovens and includes integrated hooks for hanging accessories such as pizza peels. Also includes two height adjustable shelves and lockable castor wheels allowing you to move the table from one area to another with ease.We've created our modular table to ensure it's compatible with all model of pizza ovens including, ooni / uunii, Dellonda, Piccolo, Nero, Mi-Fire, Dada, Fresh Grills and many more.The frame of the table is made of robust powder-coated carbon steel and features two adjustable shelves - this table will not rust outdoors and the bottom shelf has been reinforced allowing you to store your butane gas or any other heavy equipment safely.The table have integrated castor wheels with locking mechanism allowing you to easily move the table from one area to another with ease.Technical Details: Dimensions: 80cm (L) X 60cm (W) X 90cm (H), Weight: 22kg, Maximum loading capacity: 50kg",BQ
3707,KuKoo Outdoor Pizza Oven & Pizza Peel,169.99,Pizza ovens,https://www.diy.com/departments/kukoo-outdoor-pizza-oven-pizza-peel/5055986121893_BQ.prd,https://media.diy.com/is/image/KingfisherDigital/outdoor-table-with-wheels-for-a-pizza-oven-or-barbeque~5060379012597_01c_MP?wid=284&hei=284,"Enjoy authentic stone baked pizzas - fun for all the family, and everyone can make it exactly how they like it whether it’s extra cheese, extra pepperoni or just extra everything! And remember if you don’t like pizza (which is very unlikely) this portable and versatile outdoor oven can be used as a BBQ or smoker too.
Great for baking bread, barbecuing meat, fish, veg  it will even work as a smoker for a tasty joint of pulled pork too!
Dust your pizza peel with semolina for a non stick surface and let it glide into the oven with ease!
Use your peel for perfect pizza!Features and benefitsDimensions: 156cm H x 64cm W x 43cm D
Internal Cooking Dimensions: 34.5cm x 48cm
Fuel: Charcoal
Materials: Steel
Pizza Peel Specifications:
Materials: Stainless Steel Peel & Wooden Handle
Dimensions: approx 83cm L x 22cm WIncludes 9"" pizza peel & pizza stoneStainless steel doors retain the heat as you BBQ, smoke & bakeFully portable outside oven with two wheels and handleRemovable ash draw for easy cleaning after cookingIncluded fuel shelf holds charcoal to cook your food to perfectionVents and chimney regulate the ovens heat for perfect cooking and smoking every timeTemperature gauge helps to monitor the internal temperature of this outdoor ovenBottom storage shelf can be used for storing cooking utensils, plates or safety equipment",BQ
3708,Tower Pizzazz Grill Top Pizza Oven w/ Paddle + Bag,99.99,Pizza ovens,https://www.diy.com/departments/tower-pizzazz-grill-top-pizza-oven-w-paddle-bag/5056032998445_BQ.prd,https://media.diy.com/is/image/KingfisherDigital/kukoo-outdoor-pizza-oven-pizza-peel~5055986121893_01c_MP?wid=284&hei=284,"Create homemade pizzas straight from your BBQ with Tower's Pizza Box with paddle by simply placing the box on top of the BBQ grill.Features and benefitsWith a cooking surface measuring at 30.5 x 30.5cm, it easily accommodates pizzas up to 10 and suitable for gas, charcoal, or kettle grills, making it perfect for summer parties when entertaining friends and family. Its powder coated steel body and lid is resilient against damage, avoiding warping for continued, long-lasting use. Featuring a double insulted cavity for a speedy heat-up time, while retaining and distributing heat evenly across the pizza stone to ensure consistent and thorough pizzas. Keep all of your pizza tools together by folding the paddle and placing inside the box, which can then be stored in the carry bag that's included and for added convenience, the stone is removable for a stress-free clean.Includes pizza box / paddle / carry bagHigh quality powder coated steel bodyLarge paddle folds when not in useEasy to clean removable pizza stoneThermometer for precise temp controlConvenient storage when not in useCarry bag to protect the pizza oven from damageCarry bag made from 420D Polyester",BQ
3709,Livingandhome Outdoor Freestanding Large Stainless Steel Pizza Oven with Wheels and Chimney,176.00,Pizza ovens,https://www.diy.com/departments/livingandhome-outdoor-freestanding-large-stainless-steel-pizza-oven-with-wheels-and-chimney/0735940288866_BQ.prd,https://media.diy.com/is/image/KingfisherDigital/tower-pizzazz-grill-top-pizza-oven-w-paddle-bag~5056032998445_01c_MP?wid=284&hei=284,"With our Livingandhome brilliant pizza oven, you can bake pizzas, bread, cakes, and pies in the comfort of your garden. While enjoying the sweet scent of your baked food, you can have some small talks with your guests. The pizza oven is constructed with a large chamber for your food, a firebox for charcoal and logs as well as a slide-out trash tray that allows you to clean up the ash easily. Enjoy fun and convenient baking now!Suitable for cooking Casseroles, fish, meat, pizza, poultry & vegetablesComes with 1 x Pizza Oven1. Use special cleaners and soft scrubbers to gently clean to remove stains.
2. Never make use of harsh chemicals to clean the stainless steel.Features and benefitsWith a side handle and 2 wheels, it is easy to move. Heat- and rust-resistant stainless steel cases are designed for a long life span. The lower shelf provides space to store seasoner and ingredients. It allows the food to be heated evenly and thoroughly.Overall Dimensions: 64.5cm W x 50cm D x 156cm HMaterials: Stainless steel, IronFinish: BlackBaking Chamber Height: 76 cmChimney Diameter: 9 cmFuel Type: Wood BurningNumber of Chambers: 1Whether it can put charcoal: Yes",BQ
3710,Livingandhome Stainless Steel Pizza Oven with Built In Temperature Gauge,65.00,Pizza ovens,https://www.diy.com/departments/livingandhome-stainless-steel-pizza-oven-with-built-in-temperature-gauge/0735940256339_BQ.prd,https://media.diy.com/is/image/KingfisherDigital/livingandhome-outdoor-freestanding-large-stainless-steel-pizza-oven-with-wheels-and-chimney~0735940288866_01c_MP?wid=284&hei=284,"With the Livingandhome stainless steel pizza maker, you get to enjoy homemade pizzas hot from the oven. There’s a temperature gauge on the oven that allows you to monitor the oven temperature easily while baking, which is the key to baking food that you are satisfied with. And pizza is not the only thing this oven is for, crisp pies, bread, just name it. Made of stainless steel, the oven is a piece of long-lasting cookware that will impress. What’s more, the coming cordierite pizza stone is perfect at retaining heat, which helps with making the perfect crust.Suitable for cooking Casseroles, fish, meat, pizza, poultry & vegetablesFeatures and benefitsThis pizza oven is mainly heated by gas or charcoal grill.Hidden handles on both sides for easy lifting.Internal temperature gauge on the oven for better monitoring.Cordierite pizza stone with excellent heat retaining.Dimensions: 40cm W x 35cm D x 16cm HMaterial: Stainless steel, EnamelFinish: Black, Silver, Stainless SteelPower Source: Propane, CharcoalBattery: No Battery UsedCare & Cleaning: Spot or Wipe CleanWeight: 5.7kgPackage Included： 1 x Pizza Oven",BQ
3711,"Garden Store Direct 13'' Wood Fired Pizza Oven, Free Pizza Peel Included with Every Oven",149.95,Pizza ovens,https://www.diy.com/departments/garden-store-direct-13-wood-fired-pizza-oven-free-pizza-peel-included-with-every-oven/5060761021978_BQ.prd,https://media.diy.com/is/image/KingfisherDigital/livingandhome-stainless-steel-pizza-oven-with-built-in-temperature-gauge~0735940256339_01c_MP?wid=284&hei=284,"Garden Store Direct Wood Fired Oven with FREE Pizza Peel Included In Every Oven!! Ooni Quality Pizza Ovens! Our portable wood fired oven has been designed with ceramic insulation to maintain temperature evenly throughout the cooking process. They heat up in as little as10 minutes and reaches temperatures of over 400°C. Perfect for pizzas, roasts, baking and searing. Guaranteed authentic wood fired flavour with every bite! Compact and easy to assemble, our ovens feature foldable legs, removable chimney (wood fired model) and a FREE12 inch pizza peel to get your pizzas safely from oven to table. It’s the ideal oven for outdoor events, camping, festivals and great days out with food. Our ovens are versatile, fun and really easy to use, making it ideal to transport to outdoor events such as camping, days out, festivals and parties. Features include: Aluminium pizza peel for loading dishes complete with rubber wood handle Ceramic insulation Cordierite stone tile (removable for cleaning) Assembly and instruction manual included. Size - L64cm x W37cm x H31cm WOOD FIRED OVEN - The oven is super easy to light. All you need is a natural firelighter and either kiln dried hardwood OR pizza oven pellets. Our user guide shows you how to get your oven safely and efficiently once lit. Size - L76cm x W35cm x H77cm Maintenance is really simple too. You can quickly clean your oven by removing the stone tile (once cooled) and clean with any household brush etc. Simply wipe down the exterior with oven cleaner or warm soapy water. Your oven comes with a step-by-step assembly guide, user manual and of course the peace of mind of our three-year warranty.Store in a dry place when not in use.You can quickly clean your oven by removing the stone tile (once cooled) and clean with any household brush etc. Simply wipe down the exterior with oven cleaner or warm soapy water.Features and benefitsPortable wood fired oven has been designed with ceramic insulation to maintain temperature evenly throughout the cooking process. They heat up in as little as 10 minutes and reaches temperatures of over 400°C. Perfect for pizzas, roasts, baking and searing. Guaranteed authentic wood fired flavour with every bite!Compact and easy to assemble, our ovens feature foldable legs, removable chimney (wood fired model) and a FREE12 inch pizza peel to get your pizzas safely from oven to table. It’s the ideal oven for outdoor events, camping, festivals and great days out with food.Our ovens are versatile, fun and really easy to use, making it ideal to transport to outdoor events such as camping, days out, festivals and parties.Key features: Aluminium pizza peel for loading dishes complete with rubber wood handle. Ceramic insulation. Cordierite stone tile (removable for cleaning). Assembly and instruction manualThe oven is super easy to light. All you need is a natural firelighter and either kiln dried hardwood OR pizza oven pellets. Our user guide shows you how to get your oven safely and efficiently once lit. Size - L76cm x W35cm x H77cmMaintenance is really simple too. You can quickly clean your oven by removing the stone tile (once cooled) and clean with any household brush etc. Simply wipe down the exterior with oven cleaner or warm soapy water.",BQ
3712,Livingandhome Black Portable Pizza Oven with Pizza Stone and Chimney,141.00,Pizza ovens,https://www.diy.com/departments/livingandhome-black-portable-pizza-oven-with-pizza-stone-and-chimney/0735940288873_BQ.prd,https://media.diy.com/is/image/KingfisherDigital/garden-store-direct-13-wood-fired-pizza-oven-free-pizza-peel-included-with-every-oven~5060761021978_01c_MP?wid=284&hei=284,"With this Livingandhome portable pizza oven, you can make your mouthwatering dishes outdoors. This outdoor oven can not only make pizzas, but also meat and vegetables. The pizza stone that comes along helps to pull outer moisture off the dough and promotes perfect crust, leaving the inside moist and fluffy. And the food tray with a wooden handle protects you from the high temperature. It can be placed at the table and moved to any place near you, which is convenient.Suitable for cooking Casseroles, fish, meat, pizza, poultry & vegetablesComes with 1 x Pizza Oven1. Use special cleaners and soft scrubbers to gently clean to remove stains.
2. Never make use of harsh chemicals to clean the stainless steel.Features and benefitsAfter cooking pizza, the ash can be easily cleaned up by removing the burner gate and burner tray. The pizza stone has super robust stability and can tolerate an implausible amount of heat. It is easy to operate and doesn’t have limits on time as well as place. It can reach a high temperature so that your dishes can be served sooner.Dimensions: 35cm W x 78cm D x 74cm HChimney Diameter: 72mmFinish: BlackPizza Stone Included: YesThis pizza oven is the best gift for any pizza loverMaterial: Stainless steel, IronMaximum Temperature: 350 Degrees CelsiusPizza Stone Size: 11 Inch W x 11 Inch D",BQ
3713,Livingandhome Outdoor Potable Freestanding Large Stainless Steel Pizza Oven with Square Cordierite Pizza Stone,190.00,Pizza ovens,https://www.diy.com/departments/livingandhome-outdoor-potable-freestanding-large-stainless-steel-pizza-oven-with-square-cordierite-pizza-stone/0735940263016_BQ.prd,https://media.diy.com/is/image/KingfisherDigital/livingandhome-black-portable-pizza-oven-with-pizza-stone-and-chimney~0735940288873_01c_MP?wid=284&hei=284,"With our Livingandhome brilliant pizza oven and the Livingandhome cordierite pizza stone, you can bake pizzas, bread, cakes, and pies in the comfort of your garden. While enjoying the sweet scent of your baked food, you can have some small talks with your guests. The pizza oven is constructed with a large chamber for your food, a firebox for charcoal and logs as well as a slide-out trash tray that allows you to clean up the ash easily. Enjoy fun and convenient baking now!Suitable for cooking Casseroles, fish, meat, pizza, poultry & vegetablesComes with 1 x Pizza Oven; 1 x Pizza Stone1. Use special cleaners and soft scrubbers to gently clean to remove stains.
2. Never make use of harsh chemicals to clean the stainless steel.
3. To maintain the cordierite stone, please wash with warm water, and please avoid scrubbingFeatures and benefitsWith a side handle and 2 wheels, this pizza oven is easy to move. Heat- and rust-resistant stainless steel cases are designed for a long life span. The lower shelf provides space to store seasoner and ingredients. It allows the food to be heated evenly and thoroughly. Pair with square cordierite pizza stone, performs well in maintaining a high temperature, so when you put the pizza atop, it can release heat and directly into the food, creating the perfect crust and soft filling.Pizza Oven Materials: Stainless steel, Iron;  Pizza Stone Material: CordieriteWhether this pizza ovan can put charcoal: YesPorous cordierite stone delivers heat evenly and has good heat retentionPizza Oven Chimney Diameter: 9 cmPizza Oven Baking Chamber Height: 76 cmPizza Oven Overall Dimensions: 64.5cm W x 50cm D x 156cm HPizza Stone Grill Type Compatibility: Charcoal; GasWhite Square Pizza Stone Dimensions: 30.5cm L x 30.5cm D; Thickness: 1cm; Pizza Stone",BQ
3714,Large Stainless Steel Outdoor Pizza Oven,999.00,Pizza ovens,https://www.diy.com/departments/large-stainless-steel-outdoor-pizza-oven/0646437602228_BQ.prd,https://media.diy.com/is/image/KingfisherDigital/livingandhome-outdoor-potable-freestanding-large-stainless-steel-pizza-oven-with-square-cordierite-pizza-stone~0735940263016_01c_MP?wid=284&hei=284,"Our Stainless Steel Wood Fired Pizza Oven is all you need for Outdoor Cooking. Incredibly stylish, the finest and best performing steel ovens available today - this oven will reach 350˚C within a few short minutes and will be ready to cook pizzas within 15 minutes.Features and benefitsDesigned for domestic use, the standard of manufacturing is very high, as are the materials used. Inside the oven is a fire brick floor to ensure you can cook the perfect dish. Italian pasta dishes, bread or pizza - BBQ is great too. The fire brick floor will instantly remove the moisture from your pizza base or bread - giving the world renowned crispy pizza base - only produced using stone floors and high temperature ovens. Supplied with an open fronted base on wheels, with two handy fold away shelves - at only 130kg the oven can easily be moved around your garden. A door and built in temperature gauge is supplied as standard, as is a chimney and flue extension in stainless steel, with cowl. 

Oozing quality, this outdoor pizza oven is wood fired and very easy to use - it will last a lifetime and look stunning in any outside space. Truly a standalone oven for cooking in any location. 

Supplied on a pallet, usually within 2 days, we will need to call you to discuss delivery arrangements and to ensure you will be in to accept your item so could you please supply a good contact number with your order.

Cooking area: 80cm x 55cm 
Dimensions (cm): 135.5 to top of oven x 112.8 (W) x 66 (D)Complete with an open fronted base with wheelsOnly weighs 130kgUnbeatable Performance - 350˚C in less than 10 Minutes - To a maximum 500˚CThe internal dome is made of thermal, light and robust stainless steelHuge 80 x 55cm Real Brick Floor for Perfect Stone Baking - 4 Pizzas at a time",BQ
3715,10kg Pizza Oven Wood Pellets for Ooni Dallonda Nero Fresh Grills Uuni Premium,19.99,Pizza ovens,https://www.diy.com/departments/10kg-pizza-oven-wood-pellets-for-ooni-dallonda-nero-fresh-grills-uuni-premium/5060318890019_BQ.prd,https://media.diy.com/is/image/KingfisherDigital/large-stainless-steel-outdoor-pizza-oven~0646437602228_01c_MP?wid=284&hei=284,"Features and benefitsDerived from 100% virgin soft wood from the United Kingdom Light easily, burn ultra-efficiently with very little ash making them perfect to get your pizza oven up to perfect temperature Produce so much energy, pizza fuel wood pellets are perfect for fast cooking to get the perfect stone baked oven taste 10kg bags for easy storage and keep for longer periods  Premium quality outdoor wood fired pizza oven pellets Tested with all premium brand pizza pellet ovens to ensure you get the perfect pizza Quick burning for ultra high temperature cooking Suitable for use with the following ovens: Ooni, Uuni, Dellonda, Piccolo, Nero, Mi-fire, Dada, Fresh Grills and more.",BQ
