id,name,price,category,link,image,description,source
4215,Primed White Pine Scotia Softwood Moulding (L)2.4m (W)12mm (T)12mm 0.14kg,6.97,Scotias & floor trims,https://www.diy.com/departments/primed-white-pine-scotia-softwood-moulding-l-2-4m-w-12mm-t-12mm-0-14kg/1821951_BQ.prd,https://media.diy.com/is/image/Kingfisher/primed-white-pine-scotia-softwood-moulding-l-2-4m-w-12mm-t-12mm-0-14kg~3663602872894_01bq?wid=284&hei=284,"Features and benefitsThe primed scotia moulding can be used between two interior surfaces to add decoration as well as hide imperfections or rough edges. The concave surface adds a style statement to expansion gapsThe product comes pre-primed for easy installationIt is easy to fix using pins or adhesive depending on the end useTo achieve a quality finish, apply undercoat and gloss or satin paint as appropriateGrab adhesive can be used as an alternative method of fixing this product",BQ
4216,"GoodHome DECOR 10 Scotia trim, 220cm",9,Scotias & floor trims,https://www.diy.com/departments/goodhome-decor-10-scotia-trim-220cm/3663602531142_BQ.prd,https://media.diy.com/is/image/Kingfisher/primed-white-pine-scotia-softwood-moulding-l-2-4m-w-12mm-t-12mm-0-14kg~3663602872894_01bq?wid=284&hei=284,"Perfect for covering the expansion gap between the edge of the laminate flooring and the skirting boards.Comes with 1x scotia trimTo fix to the wall, double-faced tape, nails or glue may be usedFeatures and benefitsThis MDF scotia trim provides a professional, smart and elegant finish to your flooring project.Made from responsibly sourced PEFC Medium Density Fibreboard (MDF), this scotia trim is highly duarable and resistant against every day impacts and shocksEasy to install, with three possible different fitting systems. It can be cut to size so you can get the perfect fit",BQ
4217,"GoodHome DECOR 145 Wood effect Scotia trim, 220cm",9,Scotias & floor trims,https://www.diy.com/departments/goodhome-decor-145-wood-effect-scotia-trim-220cm/3663602534013_BQ.prd,https://media.diy.com/is/image/Kingfisher/goodhome-decor-10-scotia-trim-220cm~3663602531142_01c_bq?wid=284&hei=284,"Perfect for covering the expansion gap between the edge of the laminate flooring and the skirting boards.Comes with 1x scotia trimTo fix to the wall, double-faced tape, nails or glue may be usedFeatures and benefitsThis MDF scotia trim provides a professional, smart and elegant finish to your flooring project.Made from responsibly sourced PEFC Medium Density Fibreboard (MDF), this scotia trim is highly duarable and resistant against every day impacts and shocksEasy to install, with three possible different fitting systems. It can be cut to size so you can get the perfect fitCovered with a decorative foil-faced paper, this scotia trim gives unity with your wooden flooring decor",BQ
4218,"GoodHome DECOR 170 Wood effect Scotia trim, 220cm",9,Scotias & floor trims,https://www.diy.com/departments/goodhome-decor-170-wood-effect-scotia-trim-220cm/3663602534099_BQ.prd,https://media.diy.com/is/image/Kingfisher/goodhome-decor-145-wood-effect-scotia-trim-220cm~3663602534013_01c_bq?wid=284&hei=284,"Perfect for covering the expansion gap between the edge of the laminate flooring and the skirting boards.Comes with 1x scotia trimTo fix to the wall, double-faced tape, nails or glue may be usedFeatures and benefitsThis MDF scotia trim provides a professional, smart and elegant finish to your flooring project.Made from responsibly sourced PEFC Medium Density Fibreboard (MDF), this scotia trim is highly duarable and resistant against every day impacts and shocksEasy to install, with three possible different fitting systems. It can be cut to size so you can get the perfect fitCovered with a decorative foil-faced paper, this scotia trim gives unity with your wooden flooring decor",BQ
4219,GoodHome DECOR 15 Silver effect Cover strip (L)93cm,8,Scotias & floor trims,https://www.diy.com/departments/goodhome-decor-15-silver-effect-cover-strip-l-93cm/3663602529279_BQ.prd,https://media.diy.com/is/image/Kingfisher/goodhome-decor-170-wood-effect-scotia-trim-220cm~3663602534099_01c_bq?wid=284&hei=284,For wide covering expansion gap between 2 any adjacent flooring of equal heightComes with Fittings & fixings includedSelf-adhesiveGuarantee - 5 yearsFeatures and benefitsProvide a professional and smart finish to your flooring project with this aluminium cover strip.The wide strip is perfect for creating a smooth transition between two equal level floor surfaces. It covers the expansion gap and protects the exposed raw edges of floor coveringsMade from anodised aluminium for durability and resistance from scratches and wearMatt silver effect for a decorative finish,BQ
4220,"GoodHome DECOR 210 Wood effect Scotia trim, 220cm",9,Scotias & floor trims,https://www.diy.com/departments/goodhome-decor-210-wood-effect-scotia-trim-220cm/3663602534143_BQ.prd,https://media.diy.com/is/image/Kingfisher/goodhome-decor-15-silver-effect-cover-strip-l-93cm~3663602529279_01c_bq?wid=284&hei=284,"Perfect for covering the expansion gap between the edge of the laminate flooring and the skirting boards.Comes with 1x scotia trimTo fix to the wall, double-faced tape, nails or glue may be usedFeatures and benefitsThis MDF scotia trim provides a professional, smart and elegant finish to your flooring project.Made from responsibly sourced PEFC Medium Density Fibreboard (MDF), this scotia trim is highly duarable and resistant against every day impacts and shocksEasy to install, with three possible different fitting systems. It can be cut to size so you can get the perfect fitCovered with a decorative foil-faced paper, this scotia trim gives unity with your wooden flooring decor",BQ
4221,GoodHome DECOR 10 Silver effect Vinyl flooring edging strip (L)93cm,5,Scotias & floor trims,https://www.diy.com/departments/goodhome-decor-10-silver-effect-vinyl-flooring-edging-strip-l-93cm/3663602529613_BQ.prd,https://media.diy.com/is/image/Kingfisher/goodhome-decor-210-wood-effect-scotia-trim-220cm~3663602534143_01c_bq?wid=284&hei=284,"For giving a neat transition between vinyl flooring up to 5mm thick and any other hard flooring and for protecting the vinyl flooring edgesComes with Fittings & fixings includedNon self-adhesiveFeatures and benefitsProvide a professional, neat and stylish finish to your vinyl flooring project with this aluminium angle edge trim.Made from anodised aluminium for durability and resistance from scratches and wearGloss silver effect for a decorative finishFixation screws and plugs are included with this flooring trim for a strong pullout resistance",BQ
4222,GoodHome DECOR 35 Gold effect Cover strip (L)93cm,8,Scotias & floor trims,https://www.diy.com/departments/goodhome-decor-35-gold-effect-cover-strip-l-93cm/3663602529293_BQ.prd,https://media.diy.com/is/image/Kingfisher/goodhome-decor-10-silver-effect-vinyl-flooring-edging-strip-l-93cm~3663602529613_01c_bq?wid=284&hei=284,For wide covering expansion gap between 2 any adjacent flooring of equal heightComes with Fittings & fixings includedNon self-adhesiveFeatures and benefitsProvide a professional and smart finish to your flooring project with this aluminium cover strip.The wide strip is perfect for creating a smooth transition between two equal level floor surfaces. It covers the expansion gap and protects the exposed raw edges of floor coveringsMade from anodised aluminium for durability and resistance from scratches and wear,BQ
4223,Primed White Pine Scotia Softwood Moulding (L)2.4m (W)23mm (T)23mm 0.53kg,12.97,Scotias & floor trims,https://www.diy.com/departments/primed-white-pine-scotia-softwood-moulding-l-2-4m-w-23mm-t-23mm-0-53kg/1821953_BQ.prd,https://media.diy.com/is/image/Kingfisher/goodhome-decor-35-gold-effect-cover-strip-l-93cm~3663602529293_01c_bq?wid=284&hei=284,"Features and benefitsThe primed scotia moulding can be used between two interior surfaces to add decoration as well as hide imperfections or rough edges. The concave surface adds a style statement to expansion gapsThe product comes pre-primed for easy installationIt is easy to fix using pins or adhesive depending on the end useTo achieve a quality finish, apply undercoat and gloss or satin paint as appropriateGrab adhesive can be used as an alternative method of fixing this product",BQ
4224,"GoodHome DECOR 10 Silver effect Step protector, 180cm",10,Scotias & floor trims,https://www.diy.com/departments/goodhome-decor-10-silver-effect-step-protector-180cm/3663602528746_BQ.prd,https://media.diy.com/is/image/Kingfisher/primed-white-pine-scotia-softwood-moulding-l-2-4m-w-23mm-t-23mm-0-53kg~3663602872887_01bq?wid=284&hei=284,"Features and benefitsProvide a professional, smart and elegant finish to your flooring project with this aluminium step protector.Made from anodised aluminium for durability and resistance against scratches and general wearMade from anodised aluminium for durability and resistance against scratches and general wearStrong and resistant screw fixing, ideal for heavy traffic areasWith gloss silver effect for decorative finish",BQ
4225,"GoodHome DECOR 35 Wood effect Scotia trim, 220cm",9,Scotias & floor trims,https://www.diy.com/departments/goodhome-decor-35-wood-effect-scotia-trim-220cm/3663602533948_BQ.prd,https://media.diy.com/is/image/Kingfisher/goodhome-decor-10-silver-effect-step-protector-180cm~3663602528746_01c_bq?wid=284&hei=284,"Perfect for covering the expansion gap between the edge of the laminate flooring and the skirting boards.Comes with 1x scotia trimTo fix to the wall, double-faced tape, nails or glue may be usedFeatures and benefitsThis MDF scotia trim provides a professional, smart and elegant finish to your flooring project.The trim is perfect for covering the expansion gap between the edge of the flooring and the skirting boardsMade from responsibly sourced PEFC Medium Density Fibreboard (MDF), this scotia trim is highly duarable and resistant against every day impacts and shocksEasy to install, with three possible different fitting systems. It can be cut to size so you can get the perfect fitCovered with a decorative foil-faced paper, this scotia trim gives unity with your wooden flooring decor",BQ
4226,"GoodHome DECOR 90 Wood effect Scotia trim, 220cm",9,Scotias & floor trims,https://www.diy.com/departments/goodhome-decor-90-wood-effect-scotia-trim-220cm/3663602534051_BQ.prd,https://media.diy.com/is/image/Kingfisher/goodhome-decor-35-wood-effect-scotia-trim-220cm~3663602533948_01c_bq?wid=284&hei=284,"Perfect for covering the expansion gap between the edge of the laminate flooring and the skirting boards.Comes with 1x scotia trimTo fix to the wall, double-faced tape, nails or glue may be usedFeatures and benefitsThis MDF scotia trim provides a professional, smart and elegant finish to your flooring project.Made from responsibly sourced PEFC Medium Density Fibreboard (MDF), this scotia trim is highly duarable and resistant against every day impacts and shocksEasy to install, with three possible different fitting systems. It can be cut to size so you can get the perfect fitCovered with a decorative foil-faced paper, this scotia trim gives unity with your wooden flooring decor",BQ
4227,Natural Oak Scotia Moulding (L)2.4m (W)18mm (T)18mm,16.97,Scotias & floor trims,https://www.diy.com/departments/natural-oak-scotia-moulding-l-2-4m-w-18mm-t-18mm/1821961_BQ.prd,https://media.diy.com/is/image/Kingfisher/goodhome-decor-90-wood-effect-scotia-trim-220cm~3663602534051_01c_bq?wid=284&hei=284,"Not CE markedGuarantee - StatutoryReady to oil or varnishFeatures and benefitsThis oak scotia moulding can be used between two surfaces to add decoration as well as hide imperfections or rough edges. The concave surface adds a style statement to expansion gapsA scotia is a great solution to add decoration to corners, edges or where two surfaces meetIt is easy to fix using pins or adhesive depending on the end useThe product can be painted, varnished or stained to add a polished look to the overall décor and to bring out the natural grain of the woodIt is manufactured from premium quality oak. This makes the product strong, durable and adds an aesthetic finish to it",BQ
4228,"GoodHome DECOR 385 Wood effect Scotia trim, 220cm",11,Scotias & floor trims,https://www.diy.com/departments/goodhome-decor-385-wood-effect-scotia-trim-220cm/3663602534266_BQ.prd,https://media.diy.com/is/image/Kingfisher/natural-oak-scotia-moulding-l-2-4m-w-18mm-t-18mm~3663602872900_01bq?wid=284&hei=284,"Perfect for covering the expansion gap between the edge of the laminate flooring and the skirting boards.Comes with 1x scotia trimTo fix to the wall, double-faced tape, nails or glue may be usedFeatures and benefitsThis water resistant scotia trim provides a professional, smart and elegant finish to your flooring project.The trim is perfect for covering the expansion gap between the edge of the flooring and the skirting boardsMade from a water resistant material, this trim is ideal for bathrooms, kitchens, laundry and wet roomsEasy to install, with three possible different fitting systems. It can be cut to size so you can get the perfect fitCovered with a decorative foil-faced paper, this scotia trim gives unity with your wooden flooring decor",BQ
4229,"GoodHome DECOR 25 Brass effect Step protector, 180cm",10.2,Scotias & floor trims,https://www.diy.com/departments/goodhome-decor-25-brass-effect-step-protector-180cm/3663602528760_BQ.prd,https://media.diy.com/is/image/Kingfisher/goodhome-decor-385-wood-effect-scotia-trim-220cm~3663602534266_01c_bq?wid=284&hei=284,"Features and benefitsProvide a professional, smart and elegant finish to your flooring project with this aluminium step protector.Made from anodised aluminium for durability and resistance against scratches and general wearMade from anodised aluminium for durability and resistance against scratches and general wearStrong and resistant screw fixing, ideal for heavy traffic areasWith gloss brass effect for decorative finish",BQ
4230,"GoodHome DECOR 105 Wood effect Scotia trim, 220cm",9,Scotias & floor trims,https://www.diy.com/departments/goodhome-decor-105-wood-effect-scotia-trim-220cm/3663602533986_BQ.prd,https://media.diy.com/is/image/Kingfisher/goodhome-decor-25-brass-effect-step-protector-180cm~3663602528760_01c_bq?wid=284&hei=284,"Perfect for covering the expansion gap between the edge of the laminate flooring and the skirting boards.Comes with 1x scotia trimTo fix to the wall, double-faced tape, nails or glue may be usedFeatures and benefitsThis MDF scotia trim provides a professional, smart and elegant finish to your flooring project.Made from responsibly sourced PEFC Medium Density Fibreboard (MDF), this scotia trim is highly duarable and resistant against every day impacts and shocksEasy to install, with three possible different fitting systems. It can be cut to size so you can get the perfect fitCovered with a decorative foil-faced paper, this scotia trim gives unity with your wooden flooring decor",BQ
