id,name,price,category,link,image,description,source,sub_category
731,20 x Carpet Tiles 5m2  Anthracite,59.99,Carpet,https://www.diy.com/departments/20-x-carpet-tiles-5m2-anthracite/5055986119029_BQ.prd,https://media.diy.com/is/image/KingfisherDigital/20-x-carpet-tiles-5m2-anthracite~5055986119029_01c_MP?wid=284&hei=284,"Transform any room with MonsterShop’s heavy duty carpet tiles!

Easily apply these carpet tiles by either laying them loosely on the floor or using an adhesive to secure them in place. The carpets come in packs of 20 tiles which cover an area of 5 square metres, so you will be able to save time and money compared to a fitted carpet!

There’s no need to worry about spillages or damage, as you can simply replace one tile instead of the whole floor, making them a practical, hard wearing solution.

Product Features:

    Excellent quality, bitumen backed tiles ideal for businesses, homes, offices, workshops and much more
    Each pack contains 20 tiles (50cm x 50cm each) and covers a total floor space of 5m²
    They are hard wearing so you can even use bleach on them to keep them looking pristine.

Specifications

    Brand: MonsterShop
    Colour: Anthracite
    Quantity Per Pack: 20
    Floor Coverage Per Pack: 5m2
    Dimensions Per Tile: ​​​​​​​​​​​​​​50cm (L) x 50cm (W)Guarantee - 1 yearFeatures and benefits£9.99 per Square MetreEasy installation and transportationAnthraciteCovers 5m²Well Woven carpet",BQ,flooring
732,"Colours Flint Loop Carpet tile, (L)500mm",5,Carpet,https://www.diy.com/departments/colours-flint-loop-carpet-tile-l-500mm/37949_BQ.prd,https://media.diy.com/is/image/KingfisherDigital/20-x-carpet-tiles-5m2-anthracite~5055986119029_01c_MP?wid=284&hei=284,"Perfect for busy living areas, this flint carpet tile will transform your room, making it an alluring, welcoming space. It is non fraying stain resistant, bleach resistant & bacteria resistant so it will stay looking new for longer. It's durable, comfortable under foot and will help provide warmth for your home.Guarantee - 4 years",BQ,flooring
733,"Colours Coriander Carpet tile, (L)500mm",4,Carpet,https://www.diy.com/departments/colours-coriander-carpet-tile-l-500mm/195462_BQ.prd,https://media.diy.com/is/image/Kingfisher/colours-flint-loop-carpet-tile-l-500mm~5021318098515_36c?wid=284&hei=284,"Perfect for busy living areas, this coriander carpet tile will transform your room, making it an alluring, welcoming space. It is non fraying stain resistant, bleach resistant & bacteria resistant so it will stay looking new for longer. It's durable, comfortable under foot and will help provide warmth for your home.Guarantee - 3 years",BQ,flooring
734,"Colours Caraway Carpet tile, (L)500mm",4,Carpet,https://www.diy.com/departments/colours-caraway-carpet-tile-l-500mm/81106_BQ.prd,https://media.diy.com/is/image/Kingfisher/colours-coriander-carpet-tile-l-500mm~5014957098510_36c?wid=284&hei=284,"This caraway carpet tile is non fraying stain resistant, bleach resistant & bacteria resistant, making it great for busy living areas. It's modern colour will suit most colour schemes and will give a sophisticated, stylish look in any room of the house. It's durable, comfortable under foot and will help provide warmth for your home.Guarantee - 3 years",BQ,flooring
735,"Colours Pebble Carpet tile, (L)500mm",6,Carpet,https://www.diy.com/departments/colours-pebble-carpet-tile-l-500mm/172571_BQ.prd,https://media.diy.com/is/image/Kingfisher/colours-caraway-carpet-tile-l-500mm~5014957098480_02c_bq?wid=284&hei=284,"This pebble carpet tile is non fraying stain resistant, bleach resistant & bacteria resistant, making it great for busy living areas. It's durable, comfortable under foot and will help provide warmth for your home. It's natural colour is warm and inviting and will look great with most décor styles.Guarantee - 4 years",BQ,flooring
736,"Colours Grey Loop Carpet tile, (L)500mm, Pack of 10",35,Carpet,https://www.diy.com/departments/colours-grey-loop-carpet-tile-l-500mm-pack-of-10/37940_BQ.prd,https://media.diy.com/is/image/Kingfisher/colours-pebble-carpet-tile-l-500mm~03426623_36c?wid=284&hei=284,"These grey carpet tiles are non fraying stain resistant, bleach resistant & bacteria resistant, making them great for busy living areas. Their modern colour will suit most colour schemes and will give a sophisticated, stylish look in any room of the house. They're durable, comfortable under foot and will help provide warmth for your home.Resistant to bacteriaFeatures and benefitsStain, bleach and bacteria resistantA durable tile suitable for high traffic areasCan be cut to fit required shape",BQ,flooring
737,20 x Carpet Tiles 5m2  Platinum Grey,69.99,Carpet,https://www.diy.com/departments/20-x-carpet-tiles-5m2-platinum-grey/5055986119050_BQ.prd,https://media.diy.com/is/image/Kingfisher/colours-grey-loop-carpet-tile-l-500mm-pack-of-10~03346907_36c?wid=284&hei=284,"Transform any room with MonsterShop’s heavy duty carpet tiles! 
Easily apply these carpet tiles by either laying them loosely on the floor or using an adhesive to secure them in place. The carpets come in packs of 20 tiles which cover an area of 5 square metres, so you will be able to save time and money compared to a fitted carpet!

There’s no need to worry about spillages or damage, as you can simply replace one tile instead of the whole floor, making them a practical, hard wearing solution.

Product Features:

    Excellent quality, bitumen backed tiles ideal for businesses, homes, offices, workshops and much more
    They are hard wearing so you can even use bleach on them to keep them looking pristine

Specifications
    Brand: MonsterShop
    Colour: Platinum Grey
    Quantity Per Pack: 20
    Floor Coverage Per Pack: 5m2
    Dimensions Per Tile: ​​​​​​​​​​​​​​50cm (L) x 50cm (W)Guarantee - 1 yearFeatures and benefits£9.99 per Square MetreEasy installation and transportationPlatinum GreyCovers 5m²Hard wearing, well woven carpet",BQ,flooring
738,"Colours Clove Carpet tile, (L)500mm",4,Carpet,https://www.diy.com/departments/colours-clove-carpet-tile-l-500mm/109033_BQ.prd,https://media.diy.com/is/image/KingfisherDigital/20-x-carpet-tiles-5m2-platinum-grey~5055986119050_01c_MP?wid=284&hei=284,"This clove carpet tile is non fraying stain resistant, bleach resistant & bacteria resistant, making it great for busy living areas. It's durable, comfortable under foot and will help provide warmth for your home. It's natural colour is warm and inviting and will look great with most décor styles.Guarantee - 3 years",BQ,flooring
739,Livingandhome 14Pcs Anti Slip Adhesive Stair Carpet Treads,26,Carpet,https://www.diy.com/departments/livingandhome-14pcs-anti-slip-adhesive-stair-carpet-treads/0735940289849_BQ.prd,https://media.diy.com/is/image/Kingfisher/colours-clove-carpet-tile-l-500mm~5014957098503_02c_bq?wid=284&hei=284,"These stair mats protect your high traffic stairs from scratches and extend their service life while offering a contemporary look. Featuring a soft surface and a self-adhesive back, the treads have excellent performance in helping you go up and down the stairs safely and silently. What’s more, it is long-wearing thanks to the adoption of quality non-woven fabric.Recommended for your Any room, excluding wet-roomsGuarantee - 1 monthFeatures and benefitsThese carpet stair treads will not only make a striking decorative addition to your home decor, but also provides you with comfortable treading. Meanwhile, they also keep your stairs from being scuffed. Self-adhesive back, easy to paste and doesn’t leave marks.Size: 55cm W x 20cm D x 0.2cm HSound-dampeningShape: RectangularMaterial: Non-woven FabricColour: Light Grey",BQ,flooring
740,"Colours Blue Loop Carpet tile, (L)500mm, Pack of 10",35,Carpet,https://www.diy.com/departments/colours-blue-loop-carpet-tile-l-500mm-pack-of-10/37941_BQ.prd,https://media.diy.com/is/image/KingfisherDigital/livingandhome-14pcs-anti-slip-adhesive-stair-carpet-treads~0735940289849_01c_MP?wid=284&hei=284,"Perfect for busy living areas, these blue carpet tiles will transform your room, making it an alluring, welcoming space. They are non fraying stain resistant, bleach resistant & bacteria resistant so they will stay looking new for longer. They're durable, comfortable under foot and will help provide warmth for your home.",BQ,flooring
