id,name,price,category,link,image,description,source
3364,Magnusson 4 piece Spirit level set,55,Measures & levels,https://www.diy.com/departments/magnusson-4-piece-spirit-level-set/1763742_BQ.prd,https://media.diy.com/is/image/Kingfisher/magnusson-4-piece-spirit-level-set~3663602815723_01bq?wid=284&hei=284,"Lifetime GuaranteeIncluded: Includes 250m, 600mm, 1200mm, 1800mm box levels and a padded carry case.Features and benefitsLightweight and extruded aluminium body ensuring durability and strength. End caps on long length levels (600, 1200 & 1800mm) to withstand shock and impact from fall.Features a continuous magnetic edge for holding power and hands free measuring. Perfect for use on steel studs and other magnetic surfaces.V-grooved edge that helps in keeping the level in the required position on round surfaces like pipes or conduits2 Solid block vials for finding true horizontal and vertical. 1x 90° and 1x 180°Vial provides a measuring accuracy of 0.5mm/1000mmAnodised coating which helps maintain the appearance of the product through impact resistant properties and making it easy to clean.Ergonomic design providing comfortable hand grip on long length levels (600, 1200 & 1800mm)Includes 250m, 600mm, 1200mm, 1800mm box levels and a padded carry case.",BQ
3364,Magnusson  Level Set 4 Pieces,54.99,Measures & levels,https://www.screwfix.com/p/magnusson-level-set-4-pieces/868fg,https://media.screwfix.com/is/image/ae235/868FG_P?$autoprodblock$=&wid=136&hei=136&dpr=on,"Lightweight and extruded aluminium body ensures durability and strength. End caps on long length levels (600, 1200 and 1800mm) to withstand shock and impact from fall. Features a continuous magnetic edge for holding power and hands-free measuring.Extruded Aluminium BodyV-Groove Magnetic Base1 x 45°, 1 x 90° & 1 x 180° Vials1 Year Guarantee",Screwfix
3365,Bosch Cross line lasers 12m Self-levelling Laser level,125,Measures & levels,https://www.diy.com/departments/bosch-cross-line-lasers-12m-self-levelling-laser-level/4059952513027_BQ.prd,https://media.diy.com/is/image/Kingfisher/magnusson-4-piece-spirit-level-set~3663602815723_01bq?wid=284&hei=284,"Providing excellent visibility for high-precision alignment across the entire room, the UniversalLevel 360 is what happens when accuracy, versatility, and convenience are fused in a line laser. Self-levelled projection of a 360° horizontal and a 120° vertical laser line makes for convenient and quick aligning, while green laser technology provides significantly improved visibility, ensuring convenient working even under bright lighting.Comes with 1x UniversalLevel 360, 1x 1.5m aluminium tripod, 1x universal clamp MM3, 1x pouch and 4x 1.5V AA batteriesIncludes Carry pouchFeatures and benefitsInstalling lowered ceilings or curtain rails at the same height? Aligning items like shelves and pictures at a specific reference? Or creative tiling tasks? Go ahead and let your creativity run free, as the incline function helps you by also enabling work with diagonal lines.360° horizontal line for accurate alignment in the entire roomPerfectly levelled vertical line for even more flexibilityGreen laser lines: up to four times better visibility despite bright lighting conditionsPrecise, clearly visible laser lines with +/- 0.4 mm/m of accuracy, self-levelling rangePerfect for installing curtain rails, sockets, and suspended ceilings",BQ
3365,Laser Level,118.8,Measures & levels,https://www.bradfords.co.uk/laser-level,https://www.bradfords.co.uk/media/catalog/product/cache/f7c81111a4a19ad296e9f8fd0fc16840/9/1/91b9d143a77a963e09d5892449140e9c.jpg,"Fast, self levelling system with high quality 3 axis electronic sensor for accurate measurements. Features & Benefits:   Automatic and manual modes.  Supplied with tripod, staff, detector, clamp, wall mount and rechargeable battery pack.  3 axis electronic sensor.  Safety items required whilst operating this equipment: Eye Protection. Please Note:  A refundable deposit, minus any additional charges such as fuel or late returns is payable - the deposit amount is shown in the cart. (Deposits will not be charged when paying on a credit account). Insurance covering theft, accidental damage and loss is added to tool hire orders, details are shown in the cart.",Bradfords
3365,OX  Green Self-Levelling Multi-Line Laser Level,144.99,Measures & levels,https://www.screwfix.com/p/ox-green-self-levelling-multi-line-laser-level/968ph,https://media.screwfix.com/is/image/ae235/968PH_P?$autoprodblock$=&wid=136&hei=136&dpr=on,"Heavy duty laser level features a crystal-clear green beam line laser with automatic level stabilisation. Offers tough shock-proof rubber casing which protects against any accidental knocks or drops on site. Comes complete with a protective zipped foam-padded case for convenient storage and protection.30m Working Range Without ReceiverAccurate to ± 0.2mm/mGenerates 2 LinesHorizontal, Vertical & Cross LinesIP65 For Indoor & Outdoor UseRubber Construction",Screwfix
3366,1m Aluminium Metal Spirit Level Long Ruler with Handle DIY Measuring Tool Rule,12.99,Measures & levels,https://www.diy.com/departments/1m-aluminium-metal-spirit-level-long-ruler-with-handle-diy-measuring-tool-rule/5055143902723_BQ.prd,https://media.diy.com/is/image/Kingfisher/bosch-cross-line-lasers-12m-self-levelling-laser-level~4059952513027_07c_bq?wid=284&hei=284,"Guarantee - StatutoryFeatures and benefits1m (40"") Aluminium Ruler.Integrated handle with horizontal and vertical spirit level.Made from a strong yet lightweight aluminum making it easier to hold steady against walls.Measurement markings in metric and imperial (mm, cm, inch)Size: 100cm x 6cm.",BQ
3367,Magnusson Combination square,6.07,Measures & levels,https://www.diy.com/departments/magnusson-combination-square/1801895_BQ.prd,https://media.diy.com/is/image/KingfisherDigital/1m-aluminium-metal-spirit-level-long-ruler-with-handle-diy-measuring-tool-rule~5055143902723_01c_MP?wid=284&hei=284,This Magnusson combination square is made from hard wearing steel. It's perfect for detailed DIY tasks that need to be accurately measured.Lifetime GuaranteeFeatures and benefitsStamped graduations in mm and 1/16 for accuracy and easy readingEtched graduation for getting correct read,BQ
3367,"Magnusson Combination Square 12"" (300mm)",4.99,Measures & levels,https://www.screwfix.com/p/magnusson-combination-square-12-300mm-/1219v,https://media.screwfix.com/is/image/ae235/1219V_P?$autoprodblock$=&wid=136&hei=136&dpr=on,"High quality stainless steel with clear and accurate metric/ imperial graduations and adjustable head with built-in level bubble. Can be used as an outside try square, depth gauge or scriber at 90° and 45° level.Stainless Steel BladeStainless Steel BodyMetric & Imperial ScalesDepth AdjustmentMetal Scriber & Built-In Bubble LevelAluminium Handle",Screwfix
3367,Ram 300mm Combination Square Level RAM0120,5.94,Measures & levels,https://www.travisperkins.co.uk/spirit-levels/ram-300mm-combination-square-level-ram0120/p/935418,https://dam-assets.apps.travisperkins.group/wmn6N/GPID_1000624164_IMG_00.jpg?width=300&height=300,300mm Combination Square LevelCan mark at 90° and 45°Metric and imperial marking and built-in level bubble,TP
3368,"Box Spirit level, (L)0.4m",6.11,Measures & levels,https://www.diy.com/departments/box-spirit-level-l-0-4m/1775653_BQ.prd,https://media.diy.com/is/image/Kingfisher/magnusson-combination-square~3663602815938_04bq?wid=284&hei=284,1 year GuaranteeFeatures and benefitsPowder-coated finish for durability,BQ
