id,name,price,category,link,image,description,source
121,Ryobi ONE+ 18V One+ 115mm Brushed Cordless Angle grinder R18AG-0 - Bare unit,83.00,Angle grinders,https://www.diy.com/departments/ryobi-one-18v-one-115mm-brushed-cordless-angle-grinder-r18ag-0-bare-unit/4892210184702_BQ.prd,https://media.diy.com/is/image/Kingfisher/ryobi-one-18v-one-115mm-brushed-cordless-angle-grinder-r18ag-0-bare-unit~4892210184702_01c?wid=284&hei=284,"The Ryobi R18AG-0 cordless Angle Grinder is ideal for grinding and cutting metal, masonry, tiles and concrete. Its cordless design means you're free from plug sockets and long cablesGuarantee - 3 yearsComes with Auxiliary handle, wrench, wheel guard and 1x grinding discBattery not includedFeatures and benefitsThe three-position handle allows for flexibility when working for both left and right-handed users. The two-stage, non-lockable switch enhances user protection, preventing accidental start upThe GripZone+ overmould handle increases user comfort and control. The M14 spindle and 22 mm bore size mean that the R18AG-0 is compatible with a range of Angle Grinder discsDiscs can be easily changed using the tool-less wheel guard and nut. The tool includes an auxiliary handle, wrench, wheel guard and metal grinding discThis item is a 'bare' tool (without battery or charger) which is a great value way to expand your ONE+ collection",BQ
122,Black+Decker 710W 230V 115mm Corded Angle grinder BEG010A5,36.00,Angle grinders,https://www.diy.com/departments/black-decker-710w-230v-115mm-corded-angle-grinder-beg010a5/5035048712955_BQ.prd,https://media.diy.com/is/image/Kingfisher/ryobi-one-18v-one-115mm-brushed-cordless-angle-grinder-r18ag-0-bare-unit~4892210184702_01c?wid=284&hei=284,"The powerful Black+Decker 710W Angle Grinder makes easy work of cutting through metal pipes, stone slabs and ceramic floor tiles, as well as rust and paint removal.Guarantee - 2 yearsComes with 710W 115mm grinder, 4x metal cutting discs, 1x stone cutting disc, cutting guard, grinding guardFeatures and benefitsThe compact diameter makes for comfortable gripping and allows you to access those confined areas at home. With even more control due to the soft start engine, that reduces movement of the tool on start up.Lock on switch and 2 handle positions, you can feel at-ease completing any cutting or grinding projectMains-powered angle grinder with a 3 m cable115 mm disc diameter-great for smaller everyday tasksProtective guard for added safety5 accessories included",BQ
123,Mac Allister 750W 240V 115mm Corded Angle grinder 2525,28.00,Angle grinders,https://www.diy.com/departments/mac-allister-750w-240v-115mm-corded-angle-grinder-2525/5059340251967_BQ.prd,https://media.diy.com/is/image/Kingfisher/black-decker-710w-230v-115mm-corded-angle-grinder-beg010a5~5035048712955_01c_bq?wid=284&hei=284,"Compact and powerful 750W Mac Allister Angle Grinder with tool-free adjustable guard. Extremely versatile, suitable for cutting tiles and metals, mortar raking and other tasks.Guarantee - 2 yearsComes with 2pcs guard, 1pcs spanner, 1pcs side handleFeatures and benefitsTwo position side handle provides increased user comfort and controlTool-free guard adjustment ensures quick and easy guard changeUnique, ergomonic soft grip handle for comfort whilst workingSpindle lock allows fast and easy disc replacementReplacable carbon brushesSupplied with grinding guard, cutting guard, 1 spanner and 1 side handle",BQ
124,Bosch 18V Power for all 125mm Brushless Cordless Angle grinder 06033D9002 - Bare unit,100.00,Angle grinders,https://www.diy.com/departments/bosch-18v-power-for-all-125mm-brushless-cordless-angle-grinder-06033d9002-bare-unit/4053423225037_BQ.prd,https://media.diy.com/is/image/Kingfisher/mac-allister-750w-240v-115mm-corded-angle-grinder-2525~5059340251967_01c_bq?wid=284&hei=284,"Handle a range of DIY jobs on metal and stone while taking advantage of cordless freedom with the AdvancedGrind 18 angle grinder.Guarantee - 3 yearsComes with Collar, quick-change system cover, handle, boxBatteries not includedFeatures and benefitsThe powerful motor and 18V battery are ready to tackle a variety of tasks. With electronic speed preselection, the tool speed can be adjusted perfectly to meet the needs of each job and material. Enjoy smooth tool operation thanks to the soft start, brake function, and quick adjust guard. It is designed for grinding, cutting, brushing, and polishing jobs on metal, stone, concrete blocks, and tiles. Simple, tool-free disc changes take less than 12 seconds.Powerful motor with 18V battery to tackle a range of DIY jobsElectronic speed preselection enables the perfect speed for the job and materialSoft start, brake function and quick adjust guard for smooth workingQuick and easy, tool-free disc changes in less than 12 secondsIdeal for grinding, cutting, brushing and polishing metal, stone, concrete & tile",BQ
125,DeWalt 800W 230V 115mm Corded Angle grinder DWE4056-GB,67.00,Angle grinders,https://www.diy.com/departments/dewalt-800w-230v-115mm-corded-angle-grinder-dwe4056-gb/5035048634455_BQ.prd,https://media.diy.com/is/image/Kingfisher/bosch-18v-power-for-all-125mm-brushless-cordless-angle-grinder-06033d9002-bare-unit~4053423225037_01c_bq?wid=284&hei=284,Guarantee - 2 yearsComes with Side handle & wrenchFeatures and benefitsEquipped with abrasion protected motor for increased durabilityNo-volt release switch prevents the unit from starting unintentionally when locked onFully leaded stator windings offers increased motor durabilitySoft start reduces movement of the tool on start up increasing user controlTop positioned spindle lock allows maximum depth of cutPop off brushes protect the armature from damage at the end of brush life resulting in greater motor durabilityIndependent box and spring brush holder design increases brush lifeSmall girth allows comfortable gripping resulting in superior ergonomics100% ball bearing design increases efficiency and durabilityThe low profile gear case allows access in confined areas,BQ
126,Erbauer EXT 18V 4Ah Li-ion 115mm Cordless Angle grinder 1 battery EAG18-Li,160.00,Angle grinders,https://www.diy.com/departments/erbauer-ext-18v-4ah-li-ion-115mm-cordless-angle-grinder-1-battery-eag18-li/3663602795551_BQ.prd,https://media.diy.com/is/image/Kingfisher/dewalt-800w-230v-115mm-corded-angle-grinder-dwe4056-gb~5035048634455_01bq?wid=284&hei=284,"The Erbauer 18V Cordless angle grinder comes with a brushless motor and features a spindle lock for easy disc change and a 2 in 1 guard.Guarantee - 2 yearsComes with Spanner, auxiliary handle, 2 in 1 guard, 4.0Ah Li-ion battery and instruction manualIncludes Carry caseBatteries includedFeatures and benefitsPart of the EXT one battery system. One battery runs multiple tools, giving you the power and flexibility to get it done. Grow your collection by adding bare tools and batteries as you go.Advanced brushless motor technology delivers revolutionary performance: giving more power, higher torque, longer runtime and motor lifeKeep Cool battery technology actively manages temperature, keeping cells cool so they do not overheat: giving more power, longer runtime and battery life. Erbauer 4.0Ah keep cool battery delivers 25% more runtime than a standard Erbauer battery without keep coolBattery charges to 100% in 50 minsSoft start and overload protection ensures safer and reliable controlCompatible with all Erbauer EXT 18V batteries and chargersPlease note, this EXT Erbauer product is not compatible with the previous generation Erbauer power tools or batteries",BQ
127,DeWalt XR 18V XR 125mm Cordless Angle grinder DCG412N - Bare unit,120.00,Angle grinders,https://www.diy.com/departments/dewalt-xr-18v-xr-125mm-cordless-angle-grinder-dcg412n-bare-unit/154528_BQ.prd,https://media.diy.com/is/image/Kingfisher/erbauer-ext-18v-4ah-li-ion-115mm-cordless-angle-grinder-1-battery-eag18-li~3663602795551_01bq?wid=284&hei=284,"Powerful Grinder with 7000rpm motor and high torque for heavy duty cutting and grinding applications. Includes low profile gear case. Compatible with DeWalt XR Li-ion batteries.Guarantee - 3 yearsComes with DCG412N, keyless protective guard, 2-position side handle, spanner.Batteries sold separatelyFeatures and benefitsIntelligent trigger & lock-off switch for enhanced work safety & controlLow profile jam pot gear case improves gear durability and ergonomicsSteel cut spiral bevel gears provide highest level of durability and low vibration, increasing user productivityKeyless guard for enhanced application versatilityQuick change wheel release allows quick and easy wheel removalTakes 125mm diameter x 22.2mm bore cutting discsLock-Off SwitchBatteries not included",BQ
128,Bosch DIY 750W 240V 115mm Corded Angle grinder 3 603 CA2,44.00,Angle grinders,https://www.diy.com/departments/bosch-diy-750w-240v-115mm-corded-angle-grinder-3-603-ca2/4053423223668_BQ.prd,https://media.diy.com/is/image/Kingfisher/dewalt-xr-18v-xr-125mm-cordless-angle-grinder-dcg412n-bare-unit~5035048356180_01c_BQ?wid=284&hei=284,"Guarantee - 3 yearsComes with Hand gripFeatures and benefitsThe PWS 750-115 angle grinder offers manageability and quick progress on medium-sized DIY jobs. Enjoy a longer tool lifetime thanks to the patented Bosch Dust Protection System. The grinder also features a quick adjust guard to control sparks.750 W motor ideal for handling medium-sized DIY jobsErgonomic design, a slimmer housing, and low vibration for comfortable workDust Protection System prevents internal wear and prolongs the tool lifetime180° rotatable housing offers accessibility for right- or left-handed useIdeal for grinding, cutting, and brushing metal, stone, concrete, and tile",BQ
129,Black+Decker 2.0Ah Li-ion 125mm Cordless Angle grinder BCG720D13-GB,65.00,Angle grinders,https://www.diy.com/departments/black-decker-2-0ah-li-ion-125mm-cordless-angle-grinder-bcg720d13-gb/5035048738665_BQ.prd,https://media.diy.com/is/image/Kingfisher/bosch-diy-750w-240v-115mm-corded-angle-grinder-3-603-ca2~4053423223668_02c_BQ?wid=284&hei=284,"This Black+Decker angle grinder has been designed for medium duty cutting and grinding tasks to be completed effortlessly. The cordless angle grinder is ideal for completing small to medium cutting applications quickly and conveniently giving the power of a corded machine without the cable. The powerful motor is perfect for cutting thicker material and faster material removal. The multi position side handle offers greater comfort and safer control.Comes with 1x 2.0Ah battery pack, charger, side handle and 3 discsBattery includedFeatures and benefitsPart of the 18V POWERCONNECT™ battery system, the interchangeable cordless battery system that works with all Black+Decker 18V cordless products. Ideal applications - Perfect for cutting metal pipes, brick, stone and concrete paving slabs, ceramic floor tiles, grinding rust and paint removal from metal work, removing excess weld and mortar removal.Powerful high-performance motor for tougher applications125mm disc size provides a good balance between depth of cut and accessibilityAdjustable 3-position handle provides user with flexibility to work in confined spacesThe power of a corded machine without the cablePOWERCONNECT™ battery system powers every product across our extended cordless 18V range",BQ
130,Makita 720W 240V 115mm Corded Angle grinder GA4530R,54.00,Angle grinders,https://www.diy.com/departments/makita-720w-240v-115mm-corded-angle-grinder-ga4530r/0088381808507_BQ.prd,https://media.diy.com/is/image/Kingfisher/black-decker-2-0ah-li-ion-125mm-cordless-angle-grinder-bcg720d13-gb~5035048738665_01c_bq?wid=284&hei=284,"The Makita GA4530R 115mm angle grinder features an ergonomically designed handle, providing best possible grip for the user.Comes with Side handle, guard and spannerFeatures and benefitsIt's dust proof ball bearings reduce machine maintenance requirementsFeatures a high quality Makita motor that provides excellent heat resistanceThis product has an ultra slim body design at only 179mm in circumferenceM14 Spindle threadReplaceable Carbon Brushes",BQ
