id,name,price,category,link,image,description,source
1480,"3M Disposable dust mask 8812, Pack of 3",6,Dust masks & filters,https://www.diy.com/departments/3m-disposable-dust-mask-8812-pack-of-3/5902658102028_BQ.prd,https://media.diy.com/is/image/Kingfisher/3m-disposable-dust-mask-8812-pack-of-3~5902658102028_01c?wid=284&hei=284,"3M™ Hand Sanding Respirator 8812 is our valved filtering facepiece respirator with a robust collapse-resistant shell, adjustable nose clip, colour-coded headbands and 3M™ Cool Flow™ Valve for comfortable wear. Rated FFP1 and available in a pack of three.Cool-flow valveFeatures and benefitsRobust collapse-resistant shell that moulds easily to most face shapes and sizes3M™ Cool Flow™ Valve reduces heat build-up inside the respirator by removing exhaled air for a cooler wearAdjustable nose clip helps to form a seal across the nose and cheeksFFP1 (Filtering Face Piece - Class 1) provides protection against low level, non-hazardous dusts and oil or water based mists, typically found during hand sanding and basic DIY activitiesUsers must have read all user instructions before use. Misuse may cause injury, severe or life threatening illness",BQ
1481,"3M Disposable dust mask 8822, Pack of 3",8,Dust masks & filters,https://www.diy.com/departments/3m-disposable-dust-mask-8822-pack-of-3/5902658102059_BQ.prd,https://media.diy.com/is/image/Kingfisher/3m-disposable-dust-mask-8812-pack-of-3~5902658102028_01c?wid=284&hei=284,"3M™ Hand Sanding and Power Tool Respirator 8822 is a valved filtering facepiece respirator with a robust collapse-resistant shell, adjustable nose clip, colour-coded headbands and 3M™ Cool Flow™ Valve for comfortable wear. Rated FFP2, it’s available in a pack of three.Cool-flow valveFeatures and benefitsRobust collapse-resistant shell that moulds easily to most face shapes and sizes3M™ Cool Flow™ Valve reduces heat build-up inside the respirator giving cooler and more comfortable wearAdjustable nose clip helps to form a seal across the nose and cheeksCompatible with 3M Eyewear and Hearing ProtectionFFP2 (Filtering Face Piece - Class 2) provides protection against medium level fine dusts and oil or water based mists, typically found during power sanding, grinding, drilling and cutting paints, varnish, cement, wood and steelUsers must have read all user instructions before use. Misuse may cause injury, severe or life threatening illness",BQ
1482,"Site P2 Valved Disposable dust mask SRE436, Pack of 2",3,Dust masks & filters,https://www.diy.com/departments/site-p2-valved-disposable-dust-mask-sre436-pack-of-2/5059340013688_BQ.prd,https://media.diy.com/is/image/Kingfisher/3m-disposable-dust-mask-8822-pack-of-3~5902658102059_07c?wid=284&hei=284,"Low breathing resistance valveFeatures and benefitsDisposable Fold Flat Masks with Valve class FFP2 protects against moderate levels of fine dust and water based mists typically found during softwood hand sanding and water based painting.Meets industry safety standard EN149:2001 and requirements of Regulation (EU) 2016/425Flexible nose piece to aid better fitting and protect the user's faceFold flat design to maximise storage - easy to pack away or fit in a pocketFor a secure, comfortable fit",BQ
1483,GVS Reusable respiratory mask SPR501,27,Dust masks & filters,https://www.diy.com/departments/gvs-reusable-respiratory-mask-spr501/5060233800735_BQ.prd,https://media.diy.com/is/image/Kingfisher/site-p2-valved-disposable-dust-mask-sre436-pack-of-2~5059340013688_01c?wid=284&hei=284,"Guarantee - StatutoryFully adjustable 4-point harnessExhalation valve for heat & moisture removal & low breathing resistanceFeatures and benefitsProvides protection against dust particles, metal fumes (smoke), asbestos, oil and water mists, vapours, bacteria and virusesLatex and silicone freeComfortable to wear for long periods of timeUltra-compact and lightFor DIY & commercial useLow profile twin filters for unobstructed field of vision",BQ
1484,JSP Reusable respiratory mask,12,Dust masks & filters,https://www.diy.com/departments/jsp-reusable-respiratory-mask/1388990_BQ.prd,https://media.diy.com/is/image/Kingfisher/gvs-reusable-respiratory-mask-spr501~5060233800735_01c_bq?wid=284&hei=284,Recommended for - For use with JSP range of respiratory filtersFeatures and benefitsDurable thermoplastic rubber mask for superior fit to most face shapesFully adjustable 4-point cradle harness with quick-releaseWeather-resistant design,BQ
1485,Site SRE455 Reusable Half respiratory mask,15,Dust masks & filters,https://www.diy.com/departments/site-sre455-reusable-half-respiratory-mask/5059340013879_BQ.prd,https://media.diy.com/is/image/Kingfisher/jsp-reusable-respiratory-mask~5038428030762_01bq?wid=284&hei=284,"Low breathing resistance valveGuarantee - StatutoryFeatures and benefitsMaintenance free 28 day disposable mask, A1P2 filters' type. Filters are saturated for a maximum of 28 days after opening packaging.Protection against organic vapours and moderate level of dust particles. Ideal for gluing, water and solvent brush painting and white spiritMeets industry safety standard EN405 and requirements of Regulation (EU) 2016/425Re-usable for 28 day period once openedFor better fit and comfortIncreased comfort for longer use",BQ
1486,"Grande FFP1 Unvalved Disposable dust mask CDN3S-P1, Pack of 2",2,Dust masks & filters,https://www.diy.com/departments/grande-ffp1-unvalved-disposable-dust-mask-cdn3s-p1-pack-of-2/5057741316766_BQ.prd,https://media.diy.com/is/image/Kingfisher/site-sre455-reusable-half-respiratory-mask~5059340013879_01c_bq?wid=284&hei=284,"UnvalvedFeatures and benefitsDisposable moulded FFP1 face mask, designed to protect the wearer against low levels of general dust or water based mist.Features nose clip for improved fitSingle useThis mask is not for medical use",BQ
1487,JSP Reusable eye & respiratory combi kit Filterspec® Pro with FFP3 Mask,28,Dust masks & filters,https://www.diy.com/departments/jsp-reusable-eye-respiratory-combi-kit-filterspec-pro-with-ffp3-mask/1388980_BQ.prd,https://media.diy.com/is/image/Kingfisher/grande-ffp1-unvalved-disposable-dust-mask-cdn3s-p1-pack-of-2~5057741316766_01c?wid=284&hei=284,"Recommended for - High risk hazards such as power tool sanding, cutting of fibre glass, concrete, plaster and hard/soft woodsGuarantee - 1 year99.98% filter efficiencyLow breathing resistance valveFeatures and benefitsIntegrated eye and respiratory protection FFP3 NR particulate protectionModern valve design allows for lower breathing resistanceWeather-resistant design with anti-mist and anti-scratch coatingCan be worn over glassesGrade B frame impact protectionComes with - Lens cleaning cloth & 3 spare respiratory filters",BQ
1488,JSP 4201 Reusable eye & respiratory combi kit,23,Dust masks & filters,https://www.diy.com/departments/jsp-4201-reusable-eye-respiratory-combi-kit/213741_BQ.prd,https://media.diy.com/is/image/Kingfisher/jsp-reusable-eye-respiratory-combi-kit-filterspec-pro-with-ffp3-mask~5038428186780_01bq?wid=284&hei=284,"Recommended for - Combined eye and respiratory protection ideal for medium risk hazards such as cutting of MDF, softwood and resinsComes with - Lens cleaning cloth & 3 spare respiratory filtersFeatures and benefitsThis one-piece lens offers optimal coverage, moulding to face shape for an excellent sealIntegrated eye and respiratory protection FFP3 NR particulate protectionModern valve design allows for lower breathing resistanceAnti-mist and anti-scratch coatingWeather-resistant designCan be worn over glasses",BQ
1489,3M Reusable respiratory mask 4279,35,Dust masks & filters,https://www.diy.com/departments/3m-reusable-respiratory-mask-4279/5902658117336_BQ.prd,https://media.diy.com/is/image/Kingfisher/jsp-4201-reusable-eye-respiratory-combi-kit~5038428124416_03bq?wid=284&hei=284,"3M™ Chemical Respirator 4279 is a half-mask hybrid respirator that can be used until damaged, clogged or saturated. It features twin inhalation valves, bonded carbon filters and a low resistance exhalation valve to make breathing more comfortable.Exhalation valve for heat & moisture removal & low breathing resistanceFeatures and benefitsMaintenance-free respirator for use with weedkillers or pesticides, cleaning with chemicals, or using solvent based paintsABEK1 protection against organic vapours inorganic vapours, acid gases, ammonia and its derivatives*P3 protection against high level fine dusts and oil or water based mists*Enhanced breathability and reduced resistance provided by twin inhalation valves and large bonded carbon filters, compared to single filter masks. Breathe comfortably with low resistance exhalation valveCompatible with 3M Eyewear and Hearing Protection*This product helps protect against certain organic gases and vapours (bp > 65 °C), acid gases and vapours, ammonia and organic ammonia derivatives in concentrations up to 10 x WEL or 1000 ppm (whichever is the lower) and particles in concentrations up to 20 x WELUsers must have read all user instructions before use. Misuse may cause injury, severe or life threatening illness",BQ
