ï»¿id,name,price,category,link,image,description,source,sub_category
52,Hyundai Silent 230V 24L Corded Compressor HY7524,150.00,Air compressors,https://www.diy.com/departments/hyundai-silent-230v-24l-corded-compressor-hy7524/5056275722722_BQ.prd,https://media.diy.com/is/image/Kingfisher/hyundai-silent-230v-24l-corded-compressor-hy7524~5056275722722_01c_bq?wid=284&hei=284,"The HY7524 is a powerful yet compact 750w direct-drive oil-free low noise air compressor from Hyundai. Designed for DIY and trade applications the HY7524 silenced oil-free air compressor is ideal for spray-painting, blowing away dirt and dust, nailing, inflating tyres or operating air tools.Guarantee - 2 yearsComes with HY7524 electric air compressor, user manual, warranty cardFeatures and benefitsWeighing only 22kg the HY7524 whisper compressor is lighter than your conventional piston type air compressor and is completely oil-free, so there is no risk of oil contamination in the air supply.Low noise air compressorOil free - maintenance free and no oil contaminationHyundai 750w / 230v direct drive electric motor with UK 3-pin 13amp plug.24 litre tank capacity provides an air displacement of 5.2CFM / 150 litres per minute and a maximum pressure of 100psi / 7barPressure regulator with twin pressure gauges and twin quick release ‘Euro’ type air connectors and water / condensation trap. Includes automatic cut out switch, safety valve and pressure regulator.",BQ,equipment
53,Hyundai Silent 230V 8L Corded Compressor HY5508,120.00,Air compressors,https://www.diy.com/departments/hyundai-silent-230v-8l-corded-compressor-hy5508/5056275722715_BQ.prd,https://media.diy.com/is/image/Kingfisher/hyundai-silent-230v-24l-corded-compressor-hy7524~5056275722722_01c_bq?wid=284&hei=284,"The HY5508 is a powerful yet compact 550w direct-drive oil-free low noise air compressor from Hyundai. Designed for DIY and light applications the HY5508 silenced oil-free air compressor is ideal for air brushing, blowing away dirt and dust, nailing, inflating tyres & inflatables or operating air tools.Guarantee - 2 yearsComes with HY5508 electric air compressor, user manual, warranty cardFeatures and benefitsWeighing only 15kg the HY5508 whisper compressor is lighter than your conventional piston type air compressor and is completely oil-free, so there is no risk of oil contamination in the air supply. The HY5508 features 4 robust rubber mounted feet and a carry handle for easy manoeuvrability. Powered by a 550w motor directly connected to the oil-less air compressor pump and rubber mounted for low vibration, makes it ideal for the home, light workshop or garage use and is powered by standard mains 230v supply. This maintenance-free compressor uses an oil-free diaphragm pump to produce a clean air supply and considerably reduce noise compared to conventional piston compressors.Hyundai's Silent 8 Litre Small Air Compressor- OIL Free Operation & Duty cycle of 25%.Powered By: 550 Watt, 230V Electric-Direct Drive Motor, Coupled With A UK 3-Pin, 13 Amp Plug , Suitable for Home or Workshop Use.Hyundai's HY5508 Silent Air Compressor Provides an Air Displacement of 4 CFM or 120 Litres / Minute at 100 PSI. Ideal For Air Brush Spraying And Home UseSuperior Design: Fitted with An Automatic Cut Out Switch, Air Release and Euro Quick-Release Air Connections For All User RequirementsUltra Lightweight & Manoeuvrable: The Air Compressor Weights Just 15KG - Coupled With 4 Robust Rubber Feet & Carry Handle It's Hyundai's Alternative for a Portable Yet Powerful Compressor",BQ,equipment
54,Stanley DST 100/8/6/SI 6L Silent Air Compressor,159.00,Air compressors,https://www.diy.com/departments/stanley-dst-100-8-6-si-6l-silent-air-compressor/8016738772418_BQ.prd,https://media.diy.com/is/image/Kingfisher/hyundai-silent-230v-8l-corded-compressor-hy5508~5056275722715_01c_bq?wid=284&hei=284,"The Stanley compressor Silent DST 100/8/6 has a 6 liter tank with a working pressure of 8 bar. The biggest advantage of the compressor is that it produces a maximum of 59 dB. As a result, it is always whisper quiet. Use the Stanley compressor in combination with all the different pneumatic tools from Stanley.Guarantee - 1 yearFeatures and benefitsTank capacity: 6 liters
Intended Use:Inflatable Item, Paint Gun, Grease Gun, Tires, Fluid Gun, Tacker, Caulking Gun, Sandblaster
Power source: Mains voltageUltra-silent compressor for home and professional usePortable and compact, it can be used and stored even in small spacesHeavy-duty plastic shrouds protect the internal mechanical parts",BQ,equipment
55,Scheppach HC51V 1500W 50 LTR Air Compressor - Oil Free,199.98,Air compressors,https://www.diy.com/departments/scheppach-hc51v-1500w-50-ltr-air-compressor-oil-free/4046664063674_BQ.prd,https://media.diy.com/is/image/KingfisherDigital/stanley-dst-100-8-6-si-6l-silent-air-compressor~8016738772418_01c_MP?wid=284&hei=284,"Guarantee - 1 yearComes with Supplied with HC51V compressor : 1 x carry handle, wheel set (pair), rubber feet x 1, fixing bolts, instructionsFeatures and benefitsCompact and portable, the HC51V is a verticle air compressor that offers a perfect combination of performance and mobility in the one unit. It features a powerful 2.0 hp motor, 24 litre tank capacity, and with a maximum 10 bar operating pressure. It also features two quick release couplings to supply air to 2 x air tools at the same time. The ideal machine for operating such air tools as staplers, nailers, ratchets, impact wrench, air hammer, paint spraying, tyre inflation, and blow cleaning. A perfect partner for maintenance jobs in the workshop, garage, garden, and around the home.Powerful 1500 W motor50 Litre capacity air tank10 bar / 145 psi max. operating pressure180 L/min air intake capacityLong life oil free air pumpBuilt-in remote pressure regulator2 x quick release couplerLong life oil-free air pump - Maintenance free",BQ,equipment
56,Black + Decker 195/6 NK Air Compressor,125.00,Air compressors,https://www.diy.com/departments/black-decker-195-6-nk-air-compressor/8016738766950_BQ.prd,https://media.diy.com/is/image/KingfisherDigital/scheppach-hc51v-1500w-50-ltr-air-compressor-oil-free~4046664063674_01c_MP?wid=284&hei=284,"This compressor sucks in enough air to perform the necessary work. Think of inflating an air mattress or bicycle tire, or using a tacker. But this model also inflates your car and/or motorcycle tires in no time. It is a handy and beautifully designed compressor that stands its ground.Guarantee - 1 yearFeatures and benefitsTank capacity: 6 liters
Intended Use: Inflatable Item, Paint Sprayer, Liquid Sprayer, Sandblaster
Power source: Mains voltage
Pump capacity: 180 L/minVersatile and easy to use, ideal for all hobby and semi-professional applicationsCompact machineExternal pump for better coolingCompact ON/OFF KnobEasy to handle thanks to built-in metal handle",BQ,equipment
57,BOSCH EasyPump Cordless Pneumatic Air Pump (0603947000),89.95,Air compressors,https://www.diy.com/departments/bosch-easypump-cordless-pneumatic-air-pump-0603947000-/3165140997010_BQ.prd,https://media.diy.com/is/image/KingfisherDigital/black-decker-195-6-nk-air-compressor~8016738766950_01c_MP?wid=284&hei=284,"BOSCH EasyPump Cordless Pneumatic Air Pump (0603947000)Guarantee - 1 monthFeatures and benefitsBOSCH EasyPump Cordless Pneumatic Air Pump (0603947000)Inflation of up to 10.3 bar with real-time measurement and pre-select functionIdeal for inflating tyres (car, motorcycle, bike), balls, and smaller water sports equipmentEverything ready at hand: various adapters are neatly stored in the tool handle, Intuitive and practical: easy-to-use, ergonomic, and small design with big displayIntegrated battery and USB-C charging, brightly illuminated by LED lightMax. pressure: 150 PSI / 10.3 bar / 1050 kPa",BQ,equipment
58,2HP 50 Litre 10 Bar Oil Free Compressor,230.00,Air compressors,https://www.diy.com/departments/2hp-50-litre-10-bar-oil-free-compressor/4006825597295_BQ.prd,https://media.diy.com/is/image/KingfisherDigital/bosch-easypump-cordless-pneumatic-air-pump-0603947000-~3165140997010_01c_MP?wid=284&hei=284,"The TC-AC 240/50/10 OF is a versatile compressor which, with its space-saving design, no workshed or garage should be without.Guarantee - 2 yearsFeatures and benefitsThe TC-AC 240/50/10 OF is a versatile compressor which, with its space-saving design, no workshed or garage should be without. It has a pressure reducer for working pressure adjustment up to 10 bar and provides excellent service in a large number of compressed air jobs. Its oil-free pump works without lubrication and therefore requires very little maintenance. This means that the compressor can be transported in any position. The controlled working pressure of the compressor is indicated by a pressure gauge and tapped through a quick-lock coupling. For mobility and easy transportation there is a holding bar and large wheels. The condensate is drained from the tank through the drain plug, making maintenance user-friendly. Vibration-absorbing feet prevent mechanical shocks and reduce noise generation. For the best possible user safety there is a non-return valve and a safety valve. A holder also ensures that the accessories can be tidily stored at all times. The solid, long-lasting 50 litre tank holds generous reserves for long work sessions and comes with a 10-year warranty against perforation corrosion of the tank.Oil-free, service-free motor for little maintenanceThe 50 litre tank offers plenty of air reservesCompact, space-saving designApplications up to 10 bar can be set using the pressure reducerPressure gauge & quick-release coupling for regulated pressureLarge wheels and holding bar for easy transportConvenient storage of accessories thanks to the holderVibration-absorbing feet ensure stability",BQ,equipment
59,"Hyundai 150 Litre Air Compressor, 14CFM/145psi, Twin Cylinder, Belt Drive 3hp HY3150S",530.99,Air compressors,https://www.diy.com/departments/hyundai-150-litre-air-compressor-14cfm-145psi-twin-cylinder-belt-drive-3hp-hy3150s/5056275722753_BQ.prd,https://media.diy.com/is/image/KingfisherDigital/2hp-50-litre-10-bar-oil-free-compressor~4006825597295_01c_MP?wid=284&hei=284,"Electric Air Compressor
The HY3150S is an electric air compressor from Hyundai. Designed for professional workshops and trade applications, the HY3150S air compressor is perfect for workshops and commercial garages for use for spray-painting, operating air tools and inflating tyres.

Professional Use Compressor
Weighing 117kg, the HY30150S features four anti-vibration rubber feet. The 3hp electric motor can be powered by a standard 13amp UK 3-pin plug, making it ideal for a professional workshop or home garage use.

150 Litre Air Compressor
The large 150-litre tank capacity provides a constant 14cfm supply of air. Twin Q/R ‘Euro’ type air outlets on the compressor increase versatility and allow two air-lines or tools to be connected at the same time.

Low Noise
Operating at a maximum of 75dB and standing on anti-vibration mounts, this product is ideal for the home, workshop or garage use, or anywhere where there are conventional residential power sockets available.Guarantee - 2 yearsComes with a User ManualFeatures and benefitsAutomatic Cut Out
The automatic pressure cut-out switch provides user safety with a built-in safety valve and pressure regulator with twin gauges, giving the user-controlled variable air pressure.

This air compressor provides a fantastic combination of performance and durability ideal for professional applications in any workshop.

Note on compressor care: Pressure safety valves on Hyundai air compressors have been updated in compliance with the latest CE certification standards. The pressure release pull ring has been removed from the safety valve to prevent it from being misused to drain the air from the compressor tank, causing excessive wear to the valve.

Air and moisture should always be released daily using the drain valve located on the bottom of the tank.

Check the belt tension and condition weekly and ensure there are no air leaks from hoses and fittings, as this will greatly increase the electricity used to maintain constant air pressure.

This air compressor provides a fantastic combination of performance and durability ideal for professional applications in any workshop.

2.2kW/3hp Single Phase
The HY3200S compressors have a 2.2kw/2200w/3hp single phase, 230v 50hz electric motor. They are supplied with a 13amp 3 pin plug. The 13 amp plug will be fine for normal DIY use. However, if the air compressor is being used for more than a 50% duty cycle (motor running for more than half the time) it may be advisable to use a blue 16 amp plug.Strong performance: The HY3150S is a powerful 3hp twin cylinder cast iron belt drive electric air compressor which has been designed for professional workshop and garage use, offering a massive 2200W of power.Low noise: This Hyundai low-speed electric air compressor runs at a low decibel (75dB) and sits on anti-vibration mounts, so is perfect for use in any size space.Superior design: The twin-cylinder, slow-running pump with cast iron cylinders promotes longevity and the aluminium cylinder head encourages improved cooling - together, these produce a maximum working pressure of 145psi/10bar.Multi-use: This electric air compressor is ideal for DIY and commercial use for spray-painting, blowing away dirt and dust, nailing, inflating tyres or operating air tools.Invest in the best: Hyundai is a brand you can trust, For your peace of mind, this Hyundai air compressor is also covered by a 2 year Hyundai warranty, as well as full UK service and parts to maintain it for years to come.",BQ,equipment
60,Scheppach HC26 1500W 24 LTR Air Compressor,144.99,Air compressors,https://www.diy.com/departments/scheppach-hc26-1500w-24-ltr-air-compressor/4046664072980_BQ.prd,https://media.diy.com/is/image/KingfisherDigital/hyundai-150-litre-air-compressor-14cfm-145psi-twin-cylinder-belt-drive-3hp-hy3150s~5056275722753_01c_MP?wid=284&hei=284,"Guarantee - 1 yearComes with Supplied with HC26 compressor : 1 x wheel set (pair), rubber feet x 1, fixing bolts, 1 x air filter, 1 x 280 ml sae 5W-40 compressor oil, instructionsFeatures and benefitsDesigned for the home user for light and light occasional use, the HC26 is an affordable air compressor that combines performance and safety in the one unit .  It features a powerful 2.0 hp motor, 24 litre air receiver, 8 bar maximum operating pressure, and has a 220 L/min air flow intake with sufficient power to opperate a variety of tools. This Scheppach compressor is the perfect partner for occasional paint spraying, tyre inflation, blow cleaning, stapling and all those maintenance jobs in the garage, garden and around the home. Supplied with ultra performance long life SAE 5W-40 compressor oil (280 ml).Powerful 1500 W motor24 Litre capacity air tank8 bar / 115 psi max. operating pressure220 L/min air intake capacityOil lubricated - low maintenance pumpBuilt-in remote pressure regulator1 x quick release couplerIntegrated carry handle",BQ,equipment
61,Goodyear 12V Portable Car Tyre Inflator Compressor 3M Cigarette Lighter Cord,14.99,Air compressors,https://www.diy.com/departments/goodyear-12v-portable-car-tyre-inflator-compressor-3m-cigarette-lighter-cord/5054242005076_BQ.prd,https://media.diy.com/is/image/KingfisherDigital/scheppach-hc26-1500w-24-ltr-air-compressor~4046664072980_01c_MP?wid=284&hei=284,"Includes an integrated 3 metre cord with cigarette lighter plug allowing you to inflate tyres on most carsGuarantee - 1 yearFeatures and benefitsEasy to read gauge with both PSI and BAR measurements, making this UK and EU compliantPowered by a standard12v car cigarette lighter socketIncludes an integrated 3 metre cord with cigarette lighter plug allowing you to inflate tyres on most cars33cm premium quality leak-free air hose3 X Inflation accessories allowing you to fill  air in inflatable toys / inflatable swimming pools / Footballs etc...Lightweight and compact, allowing you to stowaway in the boot of your car or under the seatOn/off switchPlease note: This product is designed to be used as an emergency tyre inflator, you may top up tyres regularly or fill up one tyre which is completely flat, you should not use this product to fill up more than one tyre that's completely flat as it will overheat and shut down automatically.",BQ,equipment
