id,name,image,description,category,sub_category,main_category,top_seller,price
1,"MyWorktop 20mm Aurora Satin White Marble effect Kitchen Worktop, (L)2200mm",/images/products/myworktop-20mm-aurora-satin-white-marble-effect-kitchen-worktop-l-2200mm.png,The Aurora worktop has a beautiful white marble effect and is ideal for creating a modern kitchen. Combine with the Aurora white upstand to complete the look. Easy to maintain with a scratch and UV resistant surface. Wipe spills with a damp cloth.,Kitchen worktops,kitchen,kitchen_bathroom,0,597.00
2,"HI-MACS 20mm Matt Chamomile Stone effect Acrylic Square edge Kitchen Worktop, (L)2200mm",/images/products/hi-macs-20mm-matt-chamomile-stone-effect-acrylic-square-edge-kitchen-worktop-l-2200mm.png,"This new product allows for design freedom and takes away the need for templating and factory fabrication, which also has the additional benefit of saving time and cost. This chamomile cream stone effect worktop from HI-MACS® is designed to be functional and easy to maintain. Home doors and accessories that are available, making it easier than ever to create your own individual space. This HI-MACS® worktop has a luxurious feel and can be easily installed and maintained.",Kitchen worktops,kitchen,kitchen_bathroom,0,548.00
3,"HI-MACS 20mm Matt Diamond white Stone effect Acrylic Square edge Kitchen Worktop, (L)2200mm",/images/products/hi-macs-20mm-matt-diamond-white-stone-effect-acrylic-square-edge-kitchen-worktop-l-2200mm.png,"This new product allows for design freedom and takes away the need for templating and factory fabrication, which also has the additional benefit of saving time and cost. This diamond white stone effect worktop from HI-MACS® is designed to be functional and easy to maintain. Home doors and accessories that are available, making it easier than ever to create your own individual space. This HI-MACS® worktop has a luxurious feel and can be easily installed and maintained.",Kitchen worktops,kitchen,kitchen_bathroom,0,548.00
4,"Wintaplas Smart adhesives Orange Frostproofer, 5L Plastic jerry can",/images/products/wintaplas-smart-adhesives-orange-frostproofer-5l-plastic-jerry-can.png,"Bostik Frostproofer & Accelerator accelerates the setting of mortar mixes year round but particularly in cold weather and during the winter months. It also plasticises the mix to improve workability and is ideal for bricklaying, rendering, blockwork and mortars containing embedded metal. Chloride free, ideal for mortars with embedded metal. Plasticises and accelerates setting time of mortar mixes.",Additives & chemicals,building_supplies,building_hardware,0,8.45
5,"Sika Latex SBR White Specialist building primer, 5L, 5.2kg",/images/products/sika-latex-sbr-white-specialist-building-primer-5l-5-2kg.png,"Uses include: As an admixture for mortar/screeds/renders, as a bonding agent for screeds/renders, as a primer/sealer in tiling applications & as a flexibiliser for cementitious-based tile adhesive when tiling on wooden/asphalt floors. This latex-based, water resistant bonding agent & admixture from Sika is suitable for use in areas which will be subject to high levels of humidity, dampness and continuous water contact. Improves water resistance of cement mixtures by forming a reinforcing polymer that increases long term durability and flexibility of the mix on renderings and floor screeds. Excellent resistance to water and water vapourA high level of resistance to salt permeation.",Additives & chemicals,building_supplies,building_hardware,0,35.00
6,"Blue Circle Hydrated lime, 25kg Bag",/images/products/blue-circle-hydrated-lime-25kg-bag.png,"Hydralime can be used for traditional nominal mixes for mortars and renders in conjunction with standard Portland based cements or in lime-washes without cement. Fine, white, dry powder which lightens and brightens mortarsA high calcium, non hydraulic, hydrated lime. Preparation: 1 part Portland cement, 1 part hydralime & 5 to 6 parts sand. Blue Circle Hydralime is a hydrated lime used for increased plasticity & cohesiveness in cement, mortars & renders.",Additives & chemicals,building_supplies,building_hardware,1,17.42
7,"Sika Clear Masonry waterproofer, 5L Jerry can",/images/products/sika-clear-masonry-waterproofer-5l-jerry-can.png,"Sikagard Facade makes walls and facades water repellent and provides long lasting protection against water ingress. Improves resistance to dirt pick up, and reduces fungal, algal and lichens growth. Can be applied on mortar, masonry, fibre-cement & stone. It is vapour permeable and allows the substrate to breathe.",Additives & chemicals,building_supplies,building_hardware,0,22.00
8,Sika Sikacem White PVA primer & sealer 5L,/images/products/sika-sikacem-white-pva-primer-sealer-5l.png,"Cem® PVA is a water based, multi purpose, economic adhesive, sealer and mortar admixture. It adheres to most common building materials (except PVC and rubber). Improves flexibility of mortars and screeds. Easy to use.",Additives & chemicals,building_supplies,building_hardware,0,45.00
9,"Bostik Smart adhesives Dark brown Mortar plasticiser, 5L Plastic jerry can",/images/products/bostik-smart-adhesives-dark-brown-mortar-plasticiser-5l-plastic-jerry-can.png,It helps reduce grittiness to provide a smooth mortar with improved durability and protection against frost. Bostik Mortar Plasticiser improves the workability of mortar without the addition of lime. It also reduces the water content of the mortar. Improves workability and durability of mortar.,Additives & chemicals,building_supplies,building_hardware,0,6.50
10,"Bostik Frostproofer, 1L Jerry can",/images/products/bostik-frostproofer-1l-jerry-can.png,"Accelerates setting times in cold conditions, making it particularly effective at improving the workability concrete and mortar. Chloride-free.",Additives & chemicals,building_supplies,building_hardware,0,4.82
