product,price,category,link,image,description
End Banded Timber Scaffold Boards BS2482 38mm x 225mm x 3.9m,£60.89,Scaffold Boards,https://www.travisperkins.co.uk/scaffold-boards/end-banded-timber-scaffold-boards-bs2482-38mm-x-225mm-x-3-9m/p/861911,https://dam-assets.apps.travisperkins.group/NmDL6/GPID_1000261093_IMG_00.jpg?width=300&height=300,"Our scaffold boards are graded in accordance with the industry standard BS2482. As well as scaffolding they are often used on site for a variety of other uses, walkways across muddy ground and other kneeling boards etc.Graded in accordance with BS2482All of our softwoods are responsibly sourcedEnd banded to reduce splittingProduced from Imported, Slow Grown timber giving excellent stabilityView more"
End Banded Timber Scaffold Boards BS2482 38mm x 225mm x 3.0m,£48.78,Scaffold Boards,https://www.travisperkins.co.uk/scaffold-boards/end-banded-timber-scaffold-boards-bs2482-38mm-x-225mm-x-3-0m/p/861914,https://dam-assets.apps.travisperkins.group/v6wpz9w/GPID_1000261094_IMG_00.jpg?width=300&height=300,"Our scaffold boards are graded in accordance with the industry standard BS2482Graded in accordance with BS2482All of our softwoods are responsibly sourcedEnd banded to reduce splittingProduced from Imported, Slow Grown timber giving excellent stability"
Pointed Timber Peg Sawn and Treated 47mm x 50mm x 600mm,£3.83,Site Pegs,https://www.travisperkins.co.uk/site-pegs/pointed-timber-peg-sawn-and-treated-47mm-x-50mm-x-600mm/p/104015,https://dam-assets.apps.travisperkins.group/dXpOL/GPID_1000260877_IMG_00.jpeg?width=300&height=300,"Pointed peg for site layoutHigh Pressure treated with Tanalith 'E' (or similar)All of our softwoods are responsibly sourcedOther lengths available to orderRange of lengths normally available: 450mm, 600mm and 1200mmSold individuallyView more"
Bsw Green Treated Pointed Pegs 50 x 50mm x 0.6m,£5.62,Site Pegs,https://www.travisperkins.co.uk/site-pegs/bsw-green-treated-pointed-pegs-50-x-50mm-x-0-6m/p/944170,https://dam-assets.apps.travisperkins.group/om533g4/GPID_1100870325_IMG_00.jpeg?width=300&height=300,"High pressure treated pointed site pegsHigh pressure treated to UC3 in an attractive green finish for improved durabilityHigh Pressure treated with Tanalith 'E' (or similar)All of our softwoods are responsibly sourcedOther lengths available to orderRange of lengths normally available: 450mm, 600mm and 1200mmSold individuallyView more"
Bsw Green Treated Pointed Pegs 50 x 50mm x 1.2m,£7.92,Site Pegs,https://www.travisperkins.co.uk/site-pegs/bsw-green-treated-pointed-pegs-50-x-50mm-x-1-2m/p/944347,https://dam-assets.apps.travisperkins.group/oj0mn73/GPID_1100870322_IMG_00.jpg?width=300&height=300,"High pressure treated pointed site pegsHigh pressure treated to UC3 in an attractive green finish for improved durabilityHigh Pressure treated with Tanalith 'E' (or similar)All of our softwoods are responsibly sourcedOther lengths available to orderRange of lengths normally available: 450mm, 600mm and 1200mmView more"
Bsw Green Treated Pointed Pegs 50 x 50mm x 0.45m,£6.78,Site Pegs,https://www.travisperkins.co.uk/site-pegs/bsw-green-treated-pointed-pegs-50-x-50mm-x-0-45m/p/944606,https://dam-assets.apps.travisperkins.group/oyy13gy/GPID_1100870324_IMG_00.jpg?width=300&height=300,"High pressure treated pointed site pegsHigh pressure treated to UC3 in an attractive green finish for improved durabilityHigh Pressure treated with Tanalith 'E' (or similar)All of our softwoods are responsibly sourcedOther lengths available to orderRange of lengths normally available: 450mm, 600mm and 1200mmView more"
Treated Roofing Batten 25 x 50MM 4.8M BS5534,£7.84,Roofing Batten,https://www.travisperkins.co.uk/roofing-batten/treated-roofing-batten-25-x-50mm-4-8m-bs5534/p/233475,https://dam-assets.apps.travisperkins.group/ygqw2/GPID_1000687331_IMG_00.png?width=300&height=300,Roofing battens suitable to provide the fixing point for roofing materials such as shingles or tiles.Calibrated spruce and pine roofing battens with coloured VAC-VAC treatment
Bsw Green Treated BS5534 Roofing Batten 25 x 50mm x 4.8m,£7.79,Roofing Batten,https://www.travisperkins.co.uk/roofing-batten/bsw-green-treated-bs5534-roofing-batten-25-x-50mm-x-4-8m/p/944372,https://dam-assets.apps.travisperkins.group/orm660r/GPID_1100870315_IMG_00.png?width=300&height=300,"Pressure treated BS5534 graded roofing battenHigh pressure treated to UC2 in an attractive green finish for improved durabilityCalibrated spruce and pine roofing battens with coloured VAC-VAC treatmentCertified, meaning that the timber is sourced from sustainable forestsMade from slow grown European softwood"
John Brash BS5534 Red Graded Treated Timber Roofing Batten 25mm x 50mm,£5.93,Roofing Batten,https://www.travisperkins.co.uk/roofing-batten/john-brash-bs5534-red-graded-treated-timber-roofing-batten-25mm-x-50mm/p/9000044441,https://dam-assets.apps.travisperkins.group/J5QLZ/GPID_1000773649_IMG_00.jpeg?width=300&height=300,"For fixing roof tiles, slates and sheetsGraded to BS5534Pressure treated to enhance resistance to rot and insect attack.All of our softwoods are responsibly sourced"
Treated Roofing Batten 25 x 50MM 4.2M BS5534,£10.49,Roofing Batten,https://www.travisperkins.co.uk/roofing-batten/treated-roofing-batten-25-x-50mm-4-2m-bs5534/p/621610,https://dam-assets.apps.travisperkins.group/n8043/GPID_1000687508_IMG_00.png?width=300&height=300,Roofing battens suitable to provide the fixing point for roofing materials such as shingles or tiles.Calibrated spruce and pine roofing battens with coloured VAC-VAC treatment
