product,price,category,link,image,description
Celcon Standard Block 3.6N/sqmm 440 x 215 x 100mm,£22.74,Aerated,https://ehsmith.co.uk/product/100mm-celcon-standard-3-6n-block/,https://ehsmith.co.uk/wp-content/uploads/2022/05/00038536-1-600x600.jpg,Manufacturer Code: SRC100/100
100mm Thermalite 3.6n Shield Block,£22.74,Aerated,https://ehsmith.co.uk/product/100mm-thermalite-3-6n-shield-block/,https://ehsmith.co.uk/wp-content/uploads/00050963-1-600x600.jpg,Manufacturer Code: SXAA100A
Cure It GRP 12sqm Roofing Kit,£210.24,GRP Roofing,https://ehsmith.co.uk/product/cure-it-grp-12m2-roofing-kit/,https://ehsmith.co.uk/wp-content/uploads/00042485-2-600x600.jpg,
Grade 85/25 Block Bitumen 18kg,£45.54,GRP Roofing,https://ehsmith.co.uk/product/grade-85-25-block-bitumen-18kg/,https://ehsmith.co.uk/wp-content/uploads/00062868-2.jpg,Manufacturer: 95/25
Keylite Timber Loft Ladder 1200 x 2800mm x 600mm,£189.54,Access Panels,https://ehsmith.co.uk/product/keylite-timber-loft-ladder-1200-x-2800mm-x-600mm/,https://ehsmith.co.uk/wp-content/uploads/00033625-1-600x600.jpg,Simple & fast one-person installation.
Keylite Timber Loft Ladder 1200 x 2800mm x 550mm,£189.54,Access Panels,https://ehsmith.co.uk/product/keylite-timber-loft-ladder-1200-x-2800mm-x-550mm/,https://ehsmith.co.uk/wp-content/uploads/2022/05/00033625-1-600x600.jpg,Simple & fast one-person installation.
Loft Door Drop Down 562mm x 726mm,£56.16,Access Panels,https://ehsmith.co.uk/product/loft-door-drop-down-562mm-x-726mm/,https://ehsmith.co.uk/wp-content/uploads/00062126-2.jpg,
Werner Leansafe X3 Professional 3-in-1  Multi-Purpose Fibreglass Ladder,£202.80,Access Panels,https://ehsmith.co.uk/product/werner-leansafe-x3-professional-3in1-multipurpose-fibreglass-ladder,https://ehsmith.co.uk/wp-content/uploads/2022/07/00102752-600x600.jpg,N/A
GTEC Standard Square Edge Plasterboard 2400 x 1200 x 12.5mm,£11.10,Standard Plasterboard,https://ehsmith.co.uk/product/square-edge-plasterboard-2400-x-1200-x-12-5mm/,https://ehsmith.co.uk/wp-content/uploads/00037027-2-600x600.jpg,Manufacturer Code: 90578
GTEC Square Edge Wallboard 2400 x 1200 x 9.5mm,£11.10,Standard Plasterboard,https://ehsmith.co.uk/product/gtec-square-edge-wallboard-2400-x-1200-x-9-5mm/,https://ehsmith.co.uk/wp-content/uploads/2022/05/00037031-600x600.jpg,Manufacturer Code: 90582
GTEC Tapered Edge Wallboard 2400 x 1200 x 12.5mm,£11.10,Standard Plasterboard,https://ehsmith.co.uk/product/gtec-tapered-edge-wallboard/,https://ehsmith.co.uk/wp-content/uploads/2022/05/00037028-600x600.jpg,"GTEC Standard Board is a gypsum board for partitions, linings and ceilings where normal fire, structural and acoustic levels are specified. It is available with square or tapered edges in a variety of sizes. Tapered edge boards for taping and jointing to achieve a flush finish or for a single coat gypsum plaster finish. Square edge boards for textured finishes or undecorated applications as well as being suitable to receive gypsum plaster."
100mm Consolite 100mm 7n Solid Block,£18.48,Aggregate,https://ehsmith.co.uk/product/100mm-consolite-100mm-7n-solid-block/,https://ehsmith.co.uk/wp-content/uploads/Blocks.00020038-1-600x600.jpg,Manufacturer Code: 351410
100mm Hemlite 3.6n 1360 Solid Block,£18.48,Aggregate,https://ehsmith.co.uk/product/100mm-hemlite-3-6n-1360-solid-block/,https://ehsmith.co.uk/wp-content/uploads/00020970_01-1-600x600.jpg,Manufacturer Code: BH100SSB000X
100mm Masterlite 3.6n Solid Block,£17.58,Aggregate,https://ehsmith.co.uk/product/100mm-masterlite-3-6n-solid-block/,https://ehsmith.co.uk/wp-content/uploads/00062668_01-1-600x600.jpg,Manufacturer Code: 1857
100mm Masterlite Ultra 3.6n Solid Block,£18.00,Aggregate,https://ehsmith.co.uk/product/100mm-masterlite-ultra-3-6n-solid-block/,https://ehsmith.co.uk/wp-content/uploads/00062670_01-1-600x600.jpg,Manufacturer Code: 34691
Growtivation Weedtex Weed Control 15sqm,£9.60,Geotextiles,https://ehsmith.co.uk/product/growtivation-weedtex-weed-control-15m2/,https://ehsmith.co.uk/wp-content/uploads/2022/05/00080024-600x600.jpg,N/A
Principal 14sqm 720gsm Weedcheck Ultra Geotextile,£13.08,Geotextiles,https://ehsmith.co.uk/product/principal-14m2-720gsm-weedcheck-ultra-geotextile/,https://ehsmith.co.uk/wp-content/uploads/00056686-1-600x600.jpg,N/A
Wrekin 4.5 x 100m Fastrack 609 Woven Geotextile Black,£165.36,Geotextiles,https://ehsmith.co.uk/product/wrekin-4-5-x-100m-fastrack-609-woven-geotextile-black/,https://ehsmith.co.uk/wp-content/uploads/00049011-1.jpg,N/A
Wrekin Multitrak 1000 Non-Woven Geotextile Membrane White 4.5 x 100m,£312.18,Geotextiles,https://ehsmith.co.uk/product/wrekin-4-5-x-100m-multitrack-1000-non-woven-geotextile-white/,https://ehsmith.co.uk/wp-content/uploads/2022/05/00049017_1-1-600x600.jpg,N/A
Wrekin Multitrak 1000 Non-Woven Geotextile Membrane White 4.5 x 10m,£78.06,Geotextiles,https://ehsmith.co.uk/product/wrekin-multitrak-1000-non-woven-geotextile-membrane-white-4-5-x-10m/,https://ehsmith.co.uk/wp-content/uploads/2022/05/00062717-01-600x600.jpg,N/A
20mm Ballast 25kg Bag,£2.94,Aggregates,https://ehsmith.co.uk/product/20mm-ballast-25kg/,https://ehsmith.co.uk/wp-content/uploads/00037137-1-600x600.jpg,Available in Bulk Bag
6mm Granite To Dust 25kg Bag,£6.54,Aggregates,https://ehsmith.co.uk/product/6mm-granite-to-dust-25kg/,https://ehsmith.co.uk/wp-content/uploads/00037174-1-600x600.jpg,Available in Bulk Bag
MOT Type 1 Sub Base 25kg Bag,£3.60,Aggregates,https://ehsmith.co.uk/product/bag-mot-type-1-sub-base/,https://ehsmith.co.uk/wp-content/uploads/00037199-1-600x600.jpg,N/A
Hanson Maxipack Repair Macadam 25kg,£10.26,Aggregates,https://ehsmith.co.uk/product/hanson-maxipack-repair-macadam-25kg/,https://ehsmith.co.uk/wp-content/uploads/00060402-1-600x600.jpg,Manufacturers Code: SSMAC
Keystone Solid Wall Lintel 1200mm Sw/K,£91.62,Solid Wall Lintel,https://ehsmith.co.uk/product/solid-wall-lintel-1200mm-sw-k/,https://ehsmith.co.uk/wp-content/uploads/00023702-1-600x600.jpg,Manufacturer Code: SWK
Keystone Solid Wall Lintel 1500mm Sw/K,£115.14,Solid Wall Lintel,https://ehsmith.co.uk/product/solid-wall-lintel-1500mm-sw-k/,https://ehsmith.co.uk/wp-content/uploads/00023704-1-600x600.jpg,Manufacturer Code: SWK
Keystone Solid Wall Lintel 1800mm Sw/K,£143.76,Solid Wall Lintel,https://ehsmith.co.uk/product/solid-wall-lintel-1800mm-sw-k/,https://ehsmith.co.uk/wp-content/uploads/00023706-1-600x600.jpg,Manufacturer Code: SWK
Keystone Solid Wall Lintel 2100mm Sw/K,£176.88,Solid Wall Lintel,https://ehsmith.co.uk/product/solid-wall-lintel-2100mm-sw-k/,https://ehsmith.co.uk/wp-content/uploads/00023708-1-600x600.jpg,Manufacturer Code: SWK
Keystone Solid Wall Lintel 2700mm Sw/K,£226.92,Solid Wall Lintel,https://ehsmith.co.uk/product/solid-wall-lintel-2700mm-sw-k/,https://ehsmith.co.uk/wp-content/uploads/00023712-1-600x600.jpg,Manufacturer Code: SWK
Expamet Speedy Joist Hanger Long Leg 150mm,£16.92,Joist Hangers,https://ehsmith.co.uk/product/expamet-speedy-joist-hanger-long-leg-150mm/,https://ehsmith.co.uk/wp-content/uploads/00003202-1-600x600.jpg,Manufacturer Code: LLS150
Expamet Speedy Joist Hanger Long Leg 47mm,£5.94,Joist Hangers,https://ehsmith.co.uk/product/expamet-speedy-joist-hanger-long-leg-47mm/,https://ehsmith.co.uk/wp-content/uploads/00003195-1-600x600.jpg,Manufacturer Code: LLS47
Expamet Speedy Joist Hanger Standard 100mm,£2.70,Joist Hangers,https://ehsmith.co.uk/product/expamet-speedy-joist-hanger-standard-100mm/,https://ehsmith.co.uk/wp-content/uploads/00003191-1-600x600.jpg,Manufacturer Code: ST100
Expamet Speedy Joist Hanger Standard 47mm,£2.58,Joist Hangers,https://ehsmith.co.uk/product/expamet-speedy-joist-hanger-standard-47mm/,https://ehsmith.co.uk/wp-content/uploads/00003186-1-600x600.jpg,Manufacturer Code: ST47
Sika Latex Self Levelling Compound 25kg,£21.66,Flooring Compounds,https://ehsmith.co.uk/product/sikalevel-25-latex-self-levelling-25kg/,https://ehsmith.co.uk/wp-content/uploads/2018/09/00007662-21-600x600.jpg,Manufacturer Code: SKLEV25LAT25
Tilemaster Levelflex Self Levelling Floor Compound 20kg,£21.00,Flooring Compounds,https://ehsmith.co.uk/product/tilemaster-levelflex-self-levelling-floor-compound-20kg/,https://ehsmith.co.uk/wp-content/uploads/2022/05/00019935-600x600.jpg,Manufacturer Code: LVF-20
Tilemaster Primeplus 5L,£28.32,Flooring Compounds,https://ehsmith.co.uk/product/tilemaster-primeplus-5l/,https://ehsmith.co.uk/wp-content/uploads/00019831-3-600x600.jpg,Manufacturer Code: F-5
Tilemaster Standard Set Setaflex Grey 20kg,£14.46,Flooring Compounds,https://ehsmith.co.uk/product/tilemaster-standard-set-setaflex-grey-20kg/,https://ehsmith.co.uk/wp-content/uploads/2022/05/00019986-600x600.jpg,Manufacturer Code: SSG-20
Tilemaster Standard Set Setaflex White 20kg,£15.96,Flooring Compounds,https://ehsmith.co.uk/product/tilemaster-standard-set-setaflex-white-20kg/,https://ehsmith.co.uk/wp-content/uploads/2022/05/00019989-600x600.jpg,Manufacturer Code: SSW-20
Redwood 5ths Rebated Shiplap B 19 x 125mm FSC®,£3.84,Cladding,https://ehsmith.co.uk/product/redwood-5ths-rebated-shiplap-b-fsc-19-x-125mm/,https://ehsmith.co.uk/wp-content/uploads/00058564-600x600.jpg,N/A
Redwood Single 5ths Matchboarding Cladding 16 x 100mm FSC®,£3.00,Cladding,https://ehsmith.co.uk/product/redwood-single-5ths-matchboarding-cladding-fsc-16-x-100mm/,https://ehsmith.co.uk/wp-content/uploads/00058559-2-600x600.jpg,N/A
Redwood Single 5ths Matchboarding Cladding 19 x 125mm FSC®,£3.84,Cladding,https://ehsmith.co.uk/product/redwood-single-5ths-matchboarding-cladding-fsc-19-x-125mm/,https://ehsmith.co.uk/wp-content/uploads/00058561-2-600x600.jpg,N/A
Redwood Treated Green 5ths Rebated Shiplap B 19 x 125mm FSC®,£4.02,Cladding,https://ehsmith.co.uk/product/redwood-treated-green-5ths-rebated-shiplap-b-fsc-19-x-125mm/,https://ehsmith.co.uk/wp-content/uploads/00058565-2-600x600.jpg,N/A
Woodpecker Basic 20 Underlay 3 x 1000 x 15000mm,£25.98,Underlay,https://ehsmith.co.uk/product/woodpecker-basic-20-underlay-3-x-1000-x-15000mm/,https://ehsmith.co.uk/wp-content/uploads/00027682-2-600x600.jpg,15sqm/Roll
3.66m Primed MDF Windowboard 25 x 219mm FSC®,£39.42,Windowboard,https://ehsmith.co.uk/product/3-66m-primed-mdf-windowboard-fsc-25-x-219mm/,https://ehsmith.co.uk/wp-content/uploads/00062491-2-600x600.jpg,N/A
3.66m Primed MDF Windowboard 25 x 244mm FSC®,£42.72,Windowboard,https://ehsmith.co.uk/product/3-66m-primed-mdf-windowboard-fsc-25-x-244mm/,https://ehsmith.co.uk/wp-content/uploads/00062493-2-600x600.jpg,N/A
3.66m Primed MDF Windowboard 25 x 294mm FSC®,£51.48,Windowboard,https://ehsmith.co.uk/product/3-66m-primed-mdf-windowboard-fsc-25-x-294mm/,https://ehsmith.co.uk/wp-content/uploads/00062497-2-600x600.jpg,N/A
Everbuild Surveyline Spray Paint Black 700ml,£9.30,Line Marking,https://ehsmith.co.uk/product/everbuild-surveyline-spray-paint-black-700ml/,https://ehsmith.co.uk/wp-content/uploads/00007127-1-600x600.jpg,Manufacturer Code: SURVEYBK
Everbuild Surveyline Spray Paint Blue 700ml,£9.30,Line Marking,https://ehsmith.co.uk/product/everbuild-surveyline-spray-paint-blue-700ml/,https://ehsmith.co.uk/wp-content/uploads/00007128-1-600x600.jpg,Manufacturer Code: SURVEYBLUE
Everbuild Surveyline Spray Paint Green 700ml,£9.30,Line Marking,https://ehsmith.co.uk/product/everbuild-surveyline-spray-paint-green-700ml/,https://ehsmith.co.uk/wp-content/uploads/00007129-1-600x600.jpg,Manufacturer Code: SURVEYGREEN
Everbuild Surveyline Spray Paint Orange 700ml,£9.30,Line Marking,https://ehsmith.co.uk/product/everbuild-surveyline-spray-paint-orange-700ml/,https://ehsmith.co.uk/wp-content/uploads/00007130-1-600x600.jpg,Manufacturer Code: SURVEYOG
Everbuild Surveyline Spray Paint Red 700ml,£9.30,Line Marking,https://ehsmith.co.uk/product/everbuild-surveyline-spray-paint-red-700ml/,https://ehsmith.co.uk/wp-content/uploads/00007131-1-600x600.jpg,Manufacturer Code: SURVEYRED
Everbuild Surveyline Spray Paint White 700ml,£9.30,Line Marking,https://ehsmith.co.uk/product/everbuild-surveyline-spray-paint-white-700ml/,https://ehsmith.co.uk/wp-content/uploads/00007132-1-600x600.jpg,Manufacturer Code: SURVEYWE
Treated Premium Batten 25 x 38mm x 4.8m FSC®,£5.10,Roofing Battern,https://ehsmith.co.uk/product/25-x-38mm-x-4-8m-treated-premium-batten-fsc/,https://ehsmith.co.uk/wp-content/uploads/00037808-2-600x600.jpg,Fully graded and stamped to Bs5534
Treated Premium Batten 25 x 50mm x 4.8m FSC®,£6.72,Roofing Battern,https://ehsmith.co.uk/product/25-x-50mm-x-4-8m-treated-premium-batten-fsc/,https://ehsmith.co.uk/wp-content/uploads/00037812-2-600x600.jpg,FSC® Fully Graded And Stamped To Bs5534
Everbuild Surveyline Spray Paint Yellow 700ml,£9.30,Line Marking,https://ehsmith.co.uk/product/everbuild-surveyline-spray-paint-yellow-700ml/,https://ehsmith.co.uk/wp-content/uploads/00007133-1-600x600.jpg,Manufacturer Code: SURVEYYELL
Treated Premium Batten Fully Graded BS5534 25 x 38mm 4.8m,£5.10,Roofing Battern,https://ehsmith.co.uk/product/treated-premium-batten-fully-graded-bs5534-25-x-38mm-4-8m/,https://ehsmith.co.uk/wp-content/uploads/2022/05/Treated-Premium-Batten-1-600x600.jpg,PEFC
Treated Premium Batten Fully Graded BS5534 25 x 50mm 4.8m,£6.72,Roofing Battern,https://ehsmith.co.uk/product/treated-premium-batten-fully-graded-bs5534-25-x-50mm-4-8m/,https://ehsmith.co.uk/wp-content/uploads/2022/05/Treated-Premium-Batten-600x600.jpg,PEFC
50 x 100mm x 2.4m Kiln Dried CLS C16+ Whitewood Studding Timber,£4.74,CLS Studwork,https://ehsmith.co.uk/product/50-x-100mm-x-2-4m-kiln-dried-cls-c16-whitewood-studding-timber/,https://ehsmith.co.uk/wp-content/uploads/00037702-2-600x600.jpg,• Finishes 38x89mm• PEFC
50 x 100mm x 3.0m Kiln Dried CLS C16+ Whitewood Studding Timber,£5.88,CLS Studwork,https://ehsmith.co.uk/product/50-x-100mm-x-3-0m-kiln-dried-cls-c16-whitewood-studding-timber/,https://ehsmith.co.uk/wp-content/uploads/2022/05/00037695-1-600x600.jpg,N/A
50 x 100mm x 4.8m Kiln Dried CLS C16+ Whitewood Studding Timber,£9.42,CLS Studwork,https://ehsmith.co.uk/product/50-x-100mm-x-4-8m-kiln-dried-cls-c16-whitewood-studding-timber/,https://ehsmith.co.uk/wp-content/uploads/2022/05/00037699-600x600.jpg,N/A
50 x 75mm x 2.4m Kiln Dried CLS C16+ Whitewood Studding Timber,£3.54,CLS Studwork,https://ehsmith.co.uk/product/50-x-75mm-x-2-4m-kiln-dried-cls-c16-whitewood-studding-timber/,https://ehsmith.co.uk/wp-content/uploads/00037695-2-600x600.jpg,PEFC (Finishes 38x63mm)
50 x 75mm x 3.0m Kiln Dried CLS C16+ Whitewood Studding Timber,£4.44,CLS Studwork,https://ehsmith.co.uk/product/50-x-75mm-x-3-0m-kiln-dried-cls-c16-whitewood-studding-timber/,https://ehsmith.co.uk/wp-content/uploads/2022/05/00037695-600x600.jpg,N/A
50 x 75mm x 4.8m Kiln Dried CLS C16+ Whitewood Studding Timber,£7.08,CLS Studwork,https://ehsmith.co.uk/product/50-x-75mm-x-4-8m-kiln-dried-cls-c16-whitewood-studding-timber/,https://ehsmith.co.uk/wp-content/uploads/00037699-2-600x600.jpg,PEFC (Finishes 38x63mm)
Structural  Conditioned  OSB3 Square Edge 2440 x 1220 x 18mm,£37.50,OSB,https://ehsmith.co.uk/product/structural-conditioned-osb3-square-edge-2440-x-1220-x-18mm/,https://ehsmith.co.uk/wp-content/uploads/2022/12/00062697-600x600.jpg,N/A
Structural Conditioned OSB3 TG4 Loft Board FSC 2400 x 18 x 590mm,£23.70,OSB,https://ehsmith.co.uk/product/structural-conditioned-osb3-tg4-loft-board-fsc-2400-x-18-x-590mm/,https://ehsmith.co.uk/wp-content/uploads/2022/11/00062698-600x600.jpg,N/A
Structural Conditioned OSB3 TG4 Loft Board FSC 2400 x 18 x 625mm,£21,OSB,https://ehsmith.co.uk/product/structural-conditioned-osb3-tg4-loft-board-fsc-2400-x-18-x-625mm/,https://ehsmith.co.uk/wp-content/uploads/2022/11/00103230-600x600.jpg,N/A
Everbuild 901 Black Bitumen Paint 2.5L,£21.54,Roofing Chemicals,https://ehsmith.co.uk/product/everbuild-901-black-bitumen-paint-2-5l/,https://ehsmith.co.uk/wp-content/uploads/2022/05/00007164-600x600.jpg,Manufacturer Code: 90102
Everbuild 901 Black Bitumen Paint 1L,£11.70,Roofing Chemicals,https://ehsmith.co.uk/product/everbuild-901-black-bitumen-paint-1l/,https://ehsmith.co.uk/wp-content/uploads/2022/05/00007164-5-600x600.jpg,N/A
Everbuild 901 Black Bitumen Paint 5L,£32.88,Roofing Chemicals,https://ehsmith.co.uk/product/everbuild-901-black-bitumen-paint-5l/,https://ehsmith.co.uk/wp-content/uploads/2022/05/00007164-1-600x600.jpg,Manufacturer Code: 90105
Everbuild 902 Bitumen & Flashing Primer 1L,£12.12,Roofing Chemicals,https://ehsmith.co.uk/product/everbuild-902-bitumen-flashing-primer-1l/,https://ehsmith.co.uk/wp-content/uploads/2022/05/00007164-2-600x600.jpg,Manufacturer Code: 90201
Everbuild 903 Bitumen Trowel Mastic 2.5L,£23.22,Roofing Chemicals,https://ehsmith.co.uk/product/everbuild-903-bitumen-trowel-mastic-2-5l/,https://ehsmith.co.uk/wp-content/uploads/2022/05/00007164-3-600x600.jpg,Manufacturer Code: 90302
Everbuild 904 Bitumen Roof Felt Adhesive 2.5L,£22.62,Roofing Chemicals,https://ehsmith.co.uk/product/everbuild-904-bitumen-roof-felt-adhesive-2-5l/,https://ehsmith.co.uk/wp-content/uploads/2022/05/00007164-4-600x600.jpg,Manufacturer Code: 90402
Everbuild Evercryl One Coat Black 5kg,£57.90,Roofing Chemicals,https://ehsmith.co.uk/product/everbuild-evercryl-one-coat-black-5kg/,https://ehsmith.co.uk/wp-content/uploads/2022/05/00007143-600x600.jpg,Manufacturer Code: EVCBK5
Everbuild Evercryl One Coat Grey 5kg,£57.48,Roofing Chemicals,https://ehsmith.co.uk/product/everbuild-evercryl-one-coat-grey-5kg/,https://ehsmith.co.uk/wp-content/uploads/2022/05/00007138-600x600.jpg,Manufacturer Code: EVCRYL5GY
Isover Spacesaver Insulation 100mm,£47.94,Loft Insulation,https://ehsmith.co.uk/product/isover-spacesaver-insulation-100mm/,https://ehsmith.co.uk/wp-content/uploads/2022/05/00087451-1-600x600.jpg,Manufacturer Code: 520085452014.13m²/pack
Isover Spacesaver Insulation 150mm,£49.56,Loft Insulation,https://ehsmith.co.uk/product/isover-spacesaver-insulation-150mm/,https://ehsmith.co.uk/wp-content/uploads/00011024-1-600x600.jpg,Manufacturer Code: 52008545299.34m²/pack
Isover Spacesaver Insulation 200mm,£42.54,Loft Insulation,https://ehsmith.co.uk/product/isover-spacesaver-insulation-200mm/,https://ehsmith.co.uk/wp-content/uploads/2018/12/00087454-600x600.jpg,Manufacturer Code: 52008401546.03m²/pack
Isover Spacesaver Insulation 170mm,£54.84,Loft Insulation,https://ehsmith.co.uk/product/isover-spacesaver-insulation-170mm/,https://ehsmith.co.uk/wp-content/uploads/2022/05/00011025-1-600x600.jpg,Manufacturer Code: 52008545498.15sqm/pack
ROCKWOOL RWA45 Slab 100 x 600mm,£42.84,Loft Insulation,https://ehsmith.co.uk/product/rockwool-rwa45-slab/,https://ehsmith.co.uk/wp-content/uploads/2018/09/00052693-2-600x600.jpg,"ROCKWOOL RWA45 is a robust insulation solution for a range of general building projects as well as specialist specifications such as commercial, leisure, industrial and more. The insulation provides excellent acoustic, thermal and fire performance."
ROCKWOOL Thermal Insulation Roll,£65.22,Loft Insulation,https://ehsmith.co.uk/product/rockwool-thermal-insulation-roll/,https://ehsmith.co.uk/wp-content/uploads/00052692-2-600x600.jpg,ROCKWOOL Thermal Insulation Slab is a medium density mineral wool insulation developed specifically for thermal performance in loft spaces.
Everbuild 501 PVA Bond 1L,£5.88,PVA,https://ehsmith.co.uk/product/everbuild-501-pva-bond-1l/,https://ehsmith.co.uk/wp-content/uploads/00007007-1-600x600.jpg,
Everbuild 501 PVA Bond 25L,£115.68,PVA,https://ehsmith.co.uk/product/everbuild-501-pva-bond-25l/,https://ehsmith.co.uk/wp-content/uploads/2022/05/00007010-600x600.jpg,
Everbuild 501 PVA Bond 2L,£11.34,PVA,https://ehsmith.co.uk/product/everbuild-501-pva-bond-2l/,https://ehsmith.co.uk/wp-content/uploads/00007008-1-600x600.jpg,
Everbuild 501 PVA Bond 5L,£21.12,PVA,https://ehsmith.co.uk/product/everbuild-501-pva-bond-5l/,https://ehsmith.co.uk/wp-content/uploads/2022/05/00007009-600x600.jpg,
Everbuild 506 Contractors PVA 25L,£87.12,PVA,https://ehsmith.co.uk/product/everbuild-506-contractors-pva-25l/,https://ehsmith.co.uk/wp-content/uploads/2022/05/00007017-600x600.jpg,
Everbuild 506 Contractors PVA 5L,£15.48,PVA,https://ehsmith.co.uk/product/everbuild-506-contractors-pva-5l/,https://ehsmith.co.uk/wp-content/uploads/2022/05/00007016-600x600.jpg,
SikaBond PVA+ 2.5L,£11.34,PVA,https://ehsmith.co.uk/product/sikabond-pva-2-5l/,https://ehsmith.co.uk/wp-content/uploads/2022/05/00007562-600x600.jpg,
Sika SikaBond PVA+ 5L,£21.12,PVA,https://ehsmith.co.uk/product/sikabond-pva-5l/,https://ehsmith.co.uk/wp-content/uploads/00007563-2-600x600.jpg,
IKO Adesso App Green Cap 8 x 1m,£51.48,Roofing Felt,https://ehsmith.co.uk/product/iko-adesso-app-green-cap-8-x-1m/,https://ehsmith.co.uk/wp-content/uploads/00007808-1-600x600.jpg,Manufacturer Code: 62200108
IKO Glass Universal Underlay 16 x 1m,£51.00,Roofing Felt,https://ehsmith.co.uk/product/iko-glass-universal-underlay-16-x-1m/,https://ehsmith.co.uk/wp-content/uploads/00007804-1-600x600.jpg,Manufacturer Code: 61020216
IKO TGX Torch-On Cap Sheet Black 8 x 1m,£58.26,Roofing Felt,https://ehsmith.co.uk/product/iko-tgx-torch-on-cap-sheet-black-8-x-1m/,https://ehsmith.co.uk/wp-content/uploads/00007817-1-600x600.jpg,Manufacturer Code: MW170703
IKO TGX Torch-On Cap Sheet Green 8 x 1m,£58.26,Roofing Felt,https://ehsmith.co.uk/product/iko-tgx-torch-on-cap-sheet-green-8-x-1m/,https://ehsmith.co.uk/wp-content/uploads/00007816-1-600x600.jpg,Manufacturer Code: MW170702
IKO Trade Top Sheet Green 10 x 1m,£49.86,Roofing Felt,https://ehsmith.co.uk/product/iko-trade-top-sheet-green-10-x-1m/,https://ehsmith.co.uk/wp-content/uploads/00007790-1-600x600.jpg,Manufacturer Code: 56060000
IKO Undertile Felt 1F 15 x 1m,£38.64,Roofing Felt,https://ehsmith.co.uk/product/iko-undertile-felt-1f-15-x-1m/,https://ehsmith.co.uk/wp-content/uploads/00007783-1-600x600.jpg,Manufacturer Code: 56150000
Damp Course Slate 16 x 10″,£159.00,DPC,https://ehsmith.co.uk/product/damp-course-slate-16-x-10/,https://ehsmith.co.uk/wp-content/uploads/2022/05/00063019-600x600.jpg,An alternative to plastic DPC
DPC (BBA) Polythene 100mm x 30m 500mu,£4.14,DPC,https://ehsmith.co.uk/product/dpc-bba-polythene-100mm-x-30m-500mu/,https://ehsmith.co.uk/wp-content/uploads/00061293-1-600x600.jpg,Manufacturer Code: RS052158
