product,price,category,link,image,description
18mm Phenolic Film Faced Shuttering Grade Plywood 2440mm x 1220mm (8' x 4'),£46.62,Phenolic Plywood,https://www.builderdepot.co.uk/18mm-phenolic-film-faced-shuttering-grade-plywood-2440mm-x-1220mm-8ft-x-4ft,"https://www.builderdepot.co.uk/media/catalog/product/S/0/S000037_s_01_a9b1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=400&width=400&canvas=400:400","Phenolic Film Faced Plywood is used for concrete shuttering where a smooth face to the concrete, when set, is also required. A sheet of 120gm/m2 phenol impregnated paper is hot pressed on to each surface of the plywood to provide a very smooth and non-absorbent panel. After pressing the edges are also sealed to prevent moisture ingress. If cutting is required the exposed edges should be sealed with a rubber based paint in order to prevent any swelling.Key FeaturesUltra smooth phenolic film faced surface (as pictured) for concrete shutteringMulti strike with careful handling up to 20 strikes are possibleHigh resistance to water and chemicalsCan be cut with hand or machine toolsApplicationPrimarily designed to enable multi strike smooth faced concrete sections Phenol Film Faced Plywood has a high resistance to chemicals and water, as such it could also be used for furniture in chemical laboratories.For more information to help with your purchase please see our what is plywood guide page."
18mm Phenolic Film Faced Shuttering Grade Plywood 2440mm x 1220mm (8' x 4') Pack of 50,"£1,878.41",Phenolic Plywood,https://www.builderdepot.co.uk/18mm-phenolic-film-faced-shuttering-grade-plywood-2440mm-x-1220mm-8ft-x-4ft-pack-of-50,"https://www.builderdepot.co.uk/media/catalog/product/S/0/S000191__s_01_bc50.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=400&width=400&canvas=400:400","Fork lift or adequate manual labour is required to unload. If in delivery zone 1 and onsite mechanical offload is required, please contact us on 0208 362 8100 and we can quote you for this additional service, you must also advise of any width or height restrictions and time restrictions and provide a site mobile number.Phenolic Film Faced Plywood is used for concrete shuttering where a smooth face to the concrete, when set, is also required. A sheet of 120gm/m2 phenol impregnated paper is hot pressed on to each surface of the plywood to provide a very smooth and non-absorbent panel. After pressing the edges are also sealed to prevent moisture ingress. If cutting is required the exposed edges should be sealed with a rubber based paint in order to prevent any swelling.Key FeaturesUltra smooth phenolic film faced surface (as pictured) for concrete shutteringMulti strike with careful handling up to 20 strikes are possibleHigh resistance to water and chemicalsCan be cut with hand or machine toolsApplicationPrimarily designed to enable multi strike smooth faced concrete sections Phenol Film Faced Plywood has a high resistance to chemicals and water, as such it could also be used for furniture in chemical laboratories.For more information to help with your purchase please see our what is plywood guide page."
18mm Paged Mesh Plywood 2440mm x 1220mm (8' x 4') Pallet of 35,"£2,502.10",Phenolic Plywood,https://www.builderdepot.co.uk/18mm-paged-mesh-plywood-2440mm-x-1220mm-8-x-4-pallet-of-35,"https://www.builderdepot.co.uk/media/catalog/product/S/0/S000228_s_01_5131.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=400&width=400&canvas=400:400","Paged Mesh Plywood is covered with a phenolic film, resulting in optimised wear resistance and moisture resistance. Key Features Overlaid with phenolic film Application areas include flooring and panelling of trailers and commercial vehicles, container flooring, scene and tent flooring, scaffolding, warehouse shelving Anti-slip Highly durable Crack-resistant Sourced from responsibly managed forests in Poland High wear resistance Easy to clean Resistant to most commonly used chemicals Technical Information Panel length: 2440mm Panel width: 1220mm Thickness: 18mm Number of plies: 13pcs Weight: 12.6kg/m² Pallet of 35 Approvals Complies with EN717-1 Complies with EN314-2    Mesh Faced Plywood Spec Sheet (PDF) Declaration of Performance (PDF)"
18mm Birch Throughout Plywood BB/BB 2440mm x 1220mm (8' x 4'),£149.94,Birch Plywood,https://www.builderdepot.co.uk/18mm-birch-throughout-wbp-plywood-bb-bb-2440mm-x-1220mm-8ft-x-4ft,"https://www.builderdepot.co.uk/media/catalog/product/S/0/S000111_s_01_9d7e.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=400&width=400&canvas=400:400","Birch Throughout Plywood is made from birch veneers of the same thickness, glued and laid up in alternating directions to the required thickness. It thus provides a superbly consistent strong panel with known engineering characteristics. At the same time the aesthetically pleasing, fine tight grain of the BB face is suitable for all types of surface finish ( or none ) as required. Please be advised that some suppliers offer a Birch-faced product made up of alternating veneers of other species – sometimes known as twin ply – this will not have the same consistent strength/engineering characteristics, stability or longevity of our Birch throughout product. Key Features Strong, consistent and measurable engineering performance High quality aesthetically pleasing BB faces Excellent cutting and machining properties Technical Information Length: 2440mm Width: 1220mm Thickness: 18mm ApplicationThe ability to calculate the engineering performance of Birch throughout plywood renders it suitable for various uses. It is used in the high-end packaging industry for boxing scientific and musical instruments. In the engineering sector, it is used for pattern making. Grading InformationThis product is graded BB/BB which is most commonly used in applications where aesthetics aren't a priority. A BB face may have small knots and imperfections that may require slight repairs.  It should also be noted that, due to the wood's natural properties, slight colour variations may occur. For more information to help with your purchase please see our what is birch plywood guide page."
12mm Birch Throughout Plywood BB/BB 2440mm x 1220mm (8' x 4'),£103.14,Birch Plywood,https://www.builderdepot.co.uk/12mm-birch-throughout-wbp-plywood-bb-bb-2440mm-x-1220mm-8ft-x-4ft,"https://www.builderdepot.co.uk/media/catalog/product/S/0/S000112_s_01_80c3.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=400&width=400&canvas=400:400","Birch Throughout Plywood is made from birch veneers of the same thickness, glued and laid up in alternating directions to the required thickness. It thus provides a consistently strong panel with known engineering characteristics. At the same time the aesthetically pleasing, fine tight grain of the BB face is suitable for all types of surface finish ( or none ) as required. Please be advised that some suppliers offer a Birch-faced product made up of alternating veneers of other species – sometimes known as twin ply – this will not have the same consistent strength/engineering characteristics, stability or longevity of our Birch throughout product. Key Features Strong, consistent and measurable engineering performance High quality aesthetically pleasing BB faces Excellent cutting and machining properties Technical Information Length: 2440mm Width: 1220mm Thickness: 12mm ApplicationThe ability to calculate the engineering performance of Birch throughout plywood renders it suitable for various uses. It is used in the high-end packaging industry for boxing scientific and musical instruments. In the engineering sector, it is used for pattern making. Grading InformationThis product is graded BB/BB which is most commonly used in applications where aesthetics aren't a priority. A BB face may have small knots and imperfections that may require slight repairs.  It should also be noted that, due to the wood's natural properties, slight colour variations may occur. For more information to help with your purchase please see our what is birch plywood guide page."
18mm P5 Moisture Resistant Tongue & Groove Chipboard Flooring 2400mm x 600mm (8' x 2'),£15.54,Chipboard Sheets,https://www.builderdepot.co.uk/18mm-p5-moisture-resistant-tongue-groove-chipboard-flooring-2400mm-x-600mm-8ft-x-2ft,"https://www.builderdepot.co.uk/media/catalog/product/S/0/S000085_s_01_83bd.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=400&width=400&canvas=400:400","T & G Flooring Grade Chipboard or P5 is a moisture resistant structural grade flooring board. It is used generally in flooring applications as the construction of the board adds strength when boards are slotted together and screwed or nailed down to floor joists. It can be used in all general flooring applications, kitchens and bathrooms included. It is suitable for domestic applications and has a sanded smooth surface and will accept all types of floor covering. Also because of the density of the product it helps with insulation when used with a suitable acoustic or thermal slab type insulation. The narrow sheet size enables the product to be handled easily particularly in tight spaces such as lofts.Key featuresT&G profile edgesSmooth surface Easily cutMoisture resistantStructural applicationAccepts most coveringsEasily veneered or decoratedTechnical dataP5 Moisture resistant manufactured to EN312-5.Please note the previous colour of moisture resistant boards used to be green. These boards are no longer being dyed and are now supplied brown as shown in the images."
22mm P5 Moisture Resistant Tongue & Groove Chipboard Flooring 2400mm x 600mm (8' x 2'),£17.94,Chipboard Sheets,https://www.builderdepot.co.uk/22mm-p5-moisture-resistant-tongue-groove-chipboard-flooring-2400mm-x-600mm-8ft-x-2ft,"https://www.builderdepot.co.uk/media/catalog/product/S/0/S000086_s_01_6dbc.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=400&width=400&canvas=400:400","T & G Flooring Grade Chipboard or P5 is a moisture resistant structural grade flooring grade board. It is used generally in flooring applications as the construction of the board adds strength when boards are slotted together and screwed or nailed down to floor joists. It can be used in all general flooring applications, kitchens and bathrooms included. It is suitable for domestic applications and has a sanded smooth surface and will accept all types of floor covering. Also because of the density of the product it helps with insulation when used with a suitable acoustic or thermal slab type insulation. The narrow sheet size enables the product to be handled easily particularly in tight spaces such as lofts.Key featuresT&G profile edgesSmooth surface Easily cutMoisture resistantStructural applicationAccepts most coveringsEasily veneered or decoratedTechnical dataP5 Moisture resistant manufactured to EN312-5.Please note the previous colour of moisture resistant boards used to be green. These boards are no longer being dyed and are now supplied brown as shown in the images."
18mm P5 Moisture Resistant Tongue & Groove Chipboard Flooring 2400mm x 600mm (8' x 2') Pack of 100,"£1,530.00",Chipboard Sheets,https://www.builderdepot.co.uk/18mm-p5-moisture-resistant-tongue-groove-chipboard-flooring-2400mm-x-600mm-8ft-x-2ft-pack-of-80,"https://www.builderdepot.co.uk/media/catalog/product/S/0/S000156_s_01_51eb.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=400&width=400&canvas=400:400","Fork lift or adequate manual labour is required to unload. If in delivery zone 1 and onsite mechanical offload is required, please contact us on 0208 362 8100 and we can quote you for this additional service, you must also advise of any width or height restrictions and time restrictions and provide a site mobile number.T & G Flooring Grade Chipboard or P5 is a moisture resistant structural grade flooring grade board. It is used generally in flooring applications as the construction of the board adds strength when boards are slotted together and screwed or nailed down to floor joists. It can be used in all general flooring applications, kitchens and bathrooms included. It is suitable for domestic applications and has a sanded smooth surface and will accept all types of floor covering. Also because of the density of the product it helps with insulation when used with a suitable acoustic or thermal slab type insulation. The narrow sheet size enables the product to be handled easily particularly in tight spaces such as lofts.Key featuresT&G profile edgesSmooth surface Easily cutMoisture resistantStructural applicationAccepts most coveringsEasily veneered or decoratedApplicationA generous amount of Adhesive should be applied directly into the groove of the board. Position board and close joints tightly. Ensure a small bead of Adhesive is forced out of the joint on both the top and bottom of the board along the entire length of the joint. Any excess adhesive can be wiped away using a damp cloth. You are now left with a sealed joint. Panels are glued to the joists and noggins using the adhesive and fixed using 10 gauge annular ring-shank nails of length 2.5 times the thickness of the panel, nails should be positioned 25 mm from each corner and edge of the board and then at equidistant points in between at a rate of four nails per joist. Nails should be hammered flush with the surface of the panel. All nail runs and exposed edges around the perimeter should be immediately painted with adhesive, this operation must be carried out in dry conditions.Technical dataP5 Moisture resistant manufactured to EN312-5.Please note the previous colour of moisture resistant boards used to be green. These boards are no longer being dyed and are now supplied brown as shown in the images."
22mm P5 Moisture Resistant Tongue & Groove Chipboard Flooring 2400mm x 600mm (8' x 2') Pack of 82,"£1,461.24",Chipboard Sheets,https://www.builderdepot.co.uk/22mm-p5-moisture-resistant-tongue-groove-chipboard-flooring-2400mm-x-600mm-8ft-x-2ft-pack-of-66,"https://www.builderdepot.co.uk/media/catalog/product/S/0/S000157_s_01_6bdb.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=400&width=400&canvas=400:400","Fork lift or adequate manual labour is required to unload. If in delivery zone 1 and onsite mechanical offload is required, please contact us on 0208 362 8100 and we can quote you for this additional service, you must also advise of any width or height restrictions and time restrictions and provide a site mobile number.T & G Flooring Grade Chipboard or P5 is a moisture resistant structural grade flooring grade board. It is used generally in flooring applications as the construction of the board adds strength when boards are slotted together and screwed or nailed down to floor joists. It can be used in all general flooring applications, kitchens and bathrooms included. It is suitable for domestic applications and has a sanded smooth surface and will accept all types of floor covering. Also because of the density of the product it helps with insulation when used with a suitable acoustic or thermal slab type insulation. The narrow sheet size enables the product to be handled easily particularly in tight spaces such as lofts.Key featuresT & G Profile edgesSmooth surfaceEasily cutMoisture resistantStructural applicationAccepts most coveringsEasily veneered or decoratedApplicationA generous amount of Adhesive should be applied directly into the groove of the board. Position board and close joints tightly. Ensure a small bead of Adhesive is forced out of the joint on both the top and bottom of the board along the entire length of the joint. Any excess adhesive can be wiped away using a damp cloth. You are now left with a sealed joint. Panels are glued to the joists and noggins using the adhesive and fixed using 10 gauge annular ring-shank nails of length 2.5 times the thickness of the panel, nails should be positioned 25 mm from each corner and edge of the board and then at equidistant points in between at a rate of four nails per joist. Nails should be hammered flush with the surface of the panel. All nail runs and exposed edges around the perimeter should be immediately painted with adhesive, this operation must be carried out in dry conditions.Technical dataP5 Moisture resistant manufactured to EN312-5.Please note the previous colour of moisture resistant boards used to be green. These boards are no longer being dyed and are now supplied brown as shown in the images."
18mm Far Eastern Marine Grade Plywood 2440mm x 1220mm (8' x 4'),£77.94,Marine Plywood,https://www.builderdepot.co.uk/18mm-far-eastern-marine-grade-plywood-2440mm-x-1220mm-8ft-x-4ft,"https://www.builderdepot.co.uk/media/catalog/product/S/0/S000029_s_01_c5cb.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=400&width=400&canvas=400:400","Compliance with BS1088 says it all really - This is the standard which is specified by Marine Insurers and Marine Plywood is widely used within the Ship and Boat Building industries. Whilst naturally resistant to decay and the ingress of moisture, it is still important to ensure that once in situ both the edges and faces of the plywood are well sealed in order to increase service life.Key featuresBS 1088 compliant and certifiedEach full 2440 x 1220 board is stamped accordinglyOnly durable or very durable species usedIdeal for marine / external use when properly protectedSpecificationBoth the quality of the veneers used, and the lay-up of these veneers ( avoiding and core voids) make Marine Plywood an exceptional product which must conform to the demanding requirements of BS 1088.For more information to help with your purchase please see our what is marine plywood guide page."
12mm Far Eastern Marine Grade Plywood 2440mm x 1220mm (8' x 4'),£50.34,Marine Plywood,https://www.builderdepot.co.uk/12mm-far-eastern-marine-grade-plywood-2440mm-x-1220mm-8ft-x-4ft,"https://www.builderdepot.co.uk/media/catalog/product/S/0/S000028_s_01_bed1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=400&width=400&canvas=400:400","Compliance with BS1088 says it all really - This is the standard which is specified by Marine Insurers and Marine Plywood is widely used within the Ship and Boat Building industries. Whilst naturally resistant to decay and the ingress of moisture, it is still important to ensure that once in situ both the edges and faces of the plywood are well sealed in order to increase service life.Key featuresBS 1088 compliant and certifiedEach full 2440 x 1220 board is stamped accordinglyOnly durable or very durable species usedIdeal for marine / external use when properly protectedSpecificationBoth the quality of the veneers used, and the lay-up of these veneers ( avoiding and core voids) make Marine Plywood an exceptional product which must conform to the demanding requirements of BS 1088.For more information to help with your purchase please see our what is marine plywood guide page."
25mm Far Eastern Marine Grade Plywood 2440mm x 1220mm (8' x 4'),£105.18,Marine Plywood,https://www.builderdepot.co.uk/25mm-far-eastern-marine-grade-plywood-2440mm-x-1220mm-8ft-x-4ft,"https://www.builderdepot.co.uk/media/catalog/product/S/0/S000030_s_01_0cd9.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=400&width=400&canvas=400:400","Compliance with BS1088 says it all really - This is the standard which is specified by Marine Insurers and Marine Plywood is widely used within the Ship and Boat Building industries. Whilst naturally resistant to decay and the ingress of moisture, it is still important to ensure that once in situ both the edges and faces of the plywood are well sealed in order to increase service life.Key featuresBS 1088 compliant and certifiedEach full 2440 x 1220 board is stamped accordinglyOnly durable or very durable species usedIdeal for marine / external use when properly protectedSpecificationBoth the quality of the veneers used, and the lay-up of these veneers ( avoiding and core voids) make Marine Plywood an exceptional product which must conform to the demanding requirements of BS 1088.For more information to help with your purchase please see our what is marine plywood guide page."
18mm Far Eastern Marine Grade Plywood 2440mm x 1220mm (8' x 4') Pack of 50,"£3,749.57",Marine Plywood,https://www.builderdepot.co.uk/18mm-far-eastern-marine-grade-plywood-2440mm-x-1220mm-8ft-x-4ft-pack-of-50,"https://www.builderdepot.co.uk/media/catalog/product/S/0/S000144_s_01_cb97.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=400&width=400&canvas=400:400","Fork lift or adequate manual labour is required to unload. If in delivery zone 1 and onsite mechanical offload is required, please contact us on 0208 362 8100 and we can quote you for this additional service, you must also advise of any width or height restrictions and time restrictions and provide a site mobile number.Compliance with BS1088 says it all really - This is the standard which is specified by Marine Insurers and Marine Plywood is widely used within the Ship and Boat Building industries. Whilst naturally resistant to decay and the ingress of moisture, it is still important to ensure that once in situ both the edges and faces of the plywood are well sealed in order to increase service life.Key featuresBS 1088 compliant and certifiedEach full 2440 x 1220 board is stamped accordinglyOnly durable or very durable species usedIdeal for marine / external use when properly protectedSpecificationBoth the quality of the veneers used, and the lay-up of these veneers ( avoiding and core voids) make Marine Plywood an exceptional product which must conform to the demanding requirements of BS 1088.For more information to help with your purchase please see our what is marine plywood guide page."
12mm Far Eastern Marine Grade Plywood 2440mm x 1220mm (8' x 4') Pack of 75,"£3,736.48",Marine Plywood,https://www.builderdepot.co.uk/12mm-far-eastern-marine-grade-plywood-2440mm-x-1220mm-8ft-x-4ft-pack-of-75,"https://www.builderdepot.co.uk/media/catalog/product/S/0/S000143_s_01_28db.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=400&width=400&canvas=400:400","Fork lift or adequate manual labour is required to unload. If in delivery zone 1 and onsite mechanical offload is required, please contact us on 0208 362 8100 and we can quote you for this additional service, you must also advise of any width or height restrictions and time restrictions and provide a site mobile number.Compliance with BS1088 says it all really - This is the standard which is specified by Marine Insurers and Marine Plywood is widely used within the Ship and Boat Building industries. Whilst naturally resistant to decay and the ingress of moisture, it is still important to ensure that once in situ both the edges and faces of the plywood are well sealed in order to increase service life.Key features:BS 1088 compliant and certifiedEach full 2440 x 1220 board is stamped accordinglyOnly durable or very durable species usedIdeal for marine / external use when properly protectedSpecificationBoth the quality of the veneers used, and the lay-up of these veneers ( avoiding and core voids) make Marine Plywood an exceptional product which must conform to the demanding requirements of BS 1088.For more information to help with your purchase please see our what is marine plywood guide page."
