product,price,category,link,image
SupaGrow Peat Free Organic Garden Compost - 50L,£5.00,Lawn & Plant Care Deals,https://www.homebase.co.uk/supagrow-peat-free-organic-garden-compost-50l/12906252.html,https://static.thcdn.com/images/xsmall/webp//productimg/original/12906252-6824925414474274.jpg
Homebase Top Soil - 25L,£4.00,Lawn & Plant Care Deals,https://www.homebase.co.uk/homebase-top-soil-25l/12834306.html,https://static.thcdn.com/images/xsmall/webp//productimg/original/12834306-1544941052622667.jpg
Landscape Bark - 90L Bag,£12.00,Lawn & Plant Care Deals,https://www.homebase.co.uk/landscape-bark-90l-bag/12891200.html,https://static.thcdn.com/images/xsmall/webp//productimg/original/12891200-2044871080774824.jpg
Homebase Peat Free Multi-Purpose Compost - 50L,£7.00,Lawn & Plant Care Deals,https://www.homebase.co.uk/homebase-peat-free-multi-purpose-compost-50l/12834297.html,https://static.thcdn.com/images/xsmall/webp//productimg/original/12834297-3164926272010279.jpg
SupaGrow Farmyard Manure - 50L,£5.00,Lawn & Plant Care Deals,https://www.homebase.co.uk/supagrow-farmyard-manure-50l/13308230.html,https://static.thcdn.com/images/xsmall/webp//productimg/original/13308230-1184918742042727.jpg
Seed And Cutting Tray - 40 Pots,£7.00,Lawn & Plant Care Deals,https://www.homebase.co.uk/seed-and-cutting-tray-40-pots/12813210.html,https://static.thcdn.com/images/xsmall/webp//productimg/original/12813210-1784955474645157.jpg
Homebase Bark Chips - 50L,£7.00,Lawn & Plant Care Deals,https://www.homebase.co.uk/homebase-bark-chips-50l/12834302.html,https://static.thcdn.com/images/xsmall/webp//productimg/original/12834302-1274938895162173.jpg
Plantpak 40 Cell Seed Tray Insert (Pack of 4),£4.00,Lawn & Plant Care Deals,https://www.homebase.co.uk/plantpak-40-cell-seed-tray-insert-pack-of-4/12813078.html,https://static.thcdn.com/images/xsmall/webp//productimg/original/12813078-7414955477342391.jpg
Seed Trays (Pack of 5),£4.00,Lawn & Plant Care Deals,https://www.homebase.co.uk/seed-trays-pack-of-5/12813215.html,https://static.thcdn.com/images/xsmall/webp//productimg/original/12813215-6874955307925215.jpg
Gro-Sure Farmyard Manure - 50L,£8.00,Lawn & Plant Care Deals,https://www.homebase.co.uk/gro-sure-farmyard-manure-50l/12807364.html,https://static.thcdn.com/images/xsmall/webp//productimg/original/12807364-7014869971285772.jpg
