product,price,category,link,image,description
H+H Celcon Block Standard Block 3.6N 440 x 215 x 100mm,£2.65,Aerated Blocks,https://www.jewson.co.uk/p/celcon-block-standard-grade-3-6n-440-x-215-x-100mm-BLCLN721,"https://media.jewson.co.uk/f_auto,q_auto/t_Regular/global/product-images/60920","The H+H Celcon Block Standard Blocks 3.6N 440 x 215 x 100mm are lightweight and have a compressive strength of 3.6N/mm2. Offering fantastic thermal performance, the Celcon blocks are popular with builders and homeowners alike. They are also fire and moisture resistant.Features & benefitsLightweight and easy to handleExcellent thermal performanceWater resistance inhibits the growth of algae, fungi and mouldMoisture resistantCan be used as infill for beam and block floorsIdeal for both external and internal cavity wallsCan be used in cold weather due to its resilience to frost"
Tarmac Toplite Standard Block 3.6N 440 x 215 x 100mm,£2.30,Aerated Blocks,https://www.jewson.co.uk/p/tarmac-toplite-standard-concrete-block-440-x-215-x-100mm-BLTMC401,"https://media.jewson.co.uk/f_auto,q_auto/t_Regular/global/product-images/BLTMC401","The Tarmac Toplite Standard Concrete Block 3.6N 440 x 215 x 100mm (L x H x W) like all aerated blocks, offers fantastic thermal efficiency and strength. Light enough to be lifted with one hand, it can be laid faster whilst reducing the risk of injury to the builder. It can be used in various applications; internal and external walls, suspended block and beam walls and below ground in foundation walls.Features & benefitsLight and easy to handle, decreasing build timeCutting is straight forward and quick to achieve using standard toolsOffers a high level of thermal insulation contributing to low U-valuesCertified by BS EN 771 - 4Does not degrade under normal climate conditions, hence life is extendedHas Euroclass A1 fire ratingHas an E rating in sound insulation to perform to a standard of 40Rw Db"
Thermalite Block Shield 3.6N 440 x 215 x 100mm,£2.82,Aerated Blocks,https://www.jewson.co.uk/p/thermalite-block-shield-3-6n-440-x-215-x-100mm-BLTLE267,"https://media.jewson.co.uk/f_auto,q_auto/t_Regular/global/product-images/BLTLE267",The Thermalite Block Shield 3.6N 440 x 215 x 100mm is made from aerated concrete which provides thermal and acoustic performance in a variety of building projects. They also offer high moisture resistance and contain 80% recycled content. The lightweight nature allows them to be lifted easily and laid quickly on site.Features & benefitsHigh thermal and acoustic performance80% recycled content making it eco-friendlyExtremely high moisture resistanceProtects against pattern stainingQuick and easy to install which saves time
Thermalite Trench Block 3.6N T&G 440 x 215 x 300mm,£19.57,Aerated Blocks,https://www.jewson.co.uk/p/thermalite-trench-block-tandg-400-x-215-x-300mm-JD102180,"https://media.jewson.co.uk/f_auto,q_auto/t_Regular/global/product-images/61781","The Thermalite Trench Block T&G 440 x 215 x 300mm is an alternative to the construction of cavity walls with concrete infill, engineering bricks or heavy aggregate blocks for foundations. It is manufactured with tongue and groove joints and handholds for easy handling and laying.Features & benefitsGroove handholds for ease of layingMoisture and frost resistant Eliminates the need to mortar perpendsCan be used in thin joint masonry, saving time and money"
Thermalite Coursing Brick 2.9N 215 x 100 x 65mm,£1.67,Aerated Blocks,https://www.jewson.co.uk/p/thermalite-coursing-brick-2-9n-215-x-100-x-65mm-BLTLE341,"https://media.jewson.co.uk/f_auto,q_auto/t_Regular/global/product-images/4760",The Thermalite Coursing Brick 2.9N 215 x 100 x 65mm is an aerated unit produced in standard brick sizes for use in bonding and infill. This ensures that a uniform thermal performance is achieved throughout the wall.Features & benefitsHigh thermal and acoustic performance80% recycled content making it eco-friendlyExtremely high moisture resistanceProtects against pattern stainingQuick and easy to install which saves time
Thermalite Hi-Strength 7N Block 440 x 215 x 100mm,£5.84,Aerated Blocks,https://www.jewson.co.uk/p/thermalite-hi-strength-7n-block-440-x-215-x-100mm-BLTLE374,"https://media.jewson.co.uk/f_auto,q_auto/t_Regular/global/product-images/4755","The Thermalite Hi-Strength 7N Block 440 x 215 x 100mm has been specifically designed for applications such as flats of three storeys and above, offices, supermarkets and retail parks, where loading conditions require a 7.3N building block. As with the other Thermalite blocks we sell, they are made from aerated concrete, meaning they offer outstanding thermal performanceFeatures & benefitsHigh thermal and acoustic performance80% recycled content making it eco-friendlyExtremely high moisture resistanceProtects against pattern stainingQuick and easy to install which saves time"
Thermalite Block Turbo 2.9N 440 x 215 x 100mm,£2.95,Aerated Blocks,https://www.jewson.co.uk/p/thermalite-block-turbo-440-x-215-x-100mm-BLTLE321,"https://media.jewson.co.uk/f_auto,q_auto/t_Regular/global/product-images/4750","The Thermalite Turbo Block 2.9N 100mm is manufactured from aerated concrete, which means it offers fantastic thermal properties in applications where low U-values are required. They are slightly lighter than the Thermalite Shield blocks, so can be laid quicker and easier on site.Features & benefitsHigh thermal performance owing to its make80 per cent recycled content making it eco-friendlyExtremely high moisture resistanceProtects against pattern stainingQuick and easy to install which saves time"
Tarmac Toplite Standard Foundation Block 3.6N 440 x 215 x 300mm,£12.66,Aerated Blocks,https://www.jewson.co.uk/p/tarmac-toplite-foundation-block-3-6n-BLTMC475,"https://media.jewson.co.uk/f_auto,q_auto/t_Regular/global/product-images/66176","Tarmac Toplite Standard Foundation Blocks 3.6N 440 x 215 x 300mm are produced specifically for use below DPC to replace the inner and outer leaf, wall ties and concrete fill associated with traditional build methods. They help to achieve lower U-values in ground floors as it provides a degree of vertical perimeter insulation. It also lowers the heat loss from thermal bridging and gives better ‘psi’ values in energy calculations.Features & benefitsLight and easy to handle, decreasing build timeFrost resistant, and they have exceptionally good resistance to freeze/thaw conditionsOffers a high level of thermal insulation contributing to low U-values"
Thermalite Hi-Strength Block 7N 440 x 215 x 140mm,£8.23,Aerated Blocks,https://www.jewson.co.uk/p/thermalite-trench-hi-strength-7-block-215-x-440-x-140mm-grey-JD102125,"https://media.jewson.co.uk/f_auto,q_auto/t_Regular/global/product-images/4755","The Thermalite Hi-Strength 7N Block 440 x 215 x 140mm has been specifically designed for applications such as flats of three storeys and above, offices, supermarkets and retail parks, where loading conditions require a 7.3N building block. As with the other Thermalite blocks we sell, they are made from aerated concrete, meaning they offer outstanding thermal performanceFeatures & benefitsHigh thermal and acoustic performance80% recycled content making it eco-friendlyExtremely high moisture resistanceProtects against pattern stainingQuick and easy to install which saves time"
Tarmac Toplite Coursing Bricks 3.6N 215 x 100 x 65mm,£1.51,Aerated Blocks,https://www.jewson.co.uk/p/tarmac-toplite-coursing-brick-3-6n-100mm-BLTMC492,"https://media.jewson.co.uk/f_auto,q_auto/t_Regular/global/product-images/66175","The Tarmac Toplite Coursing Bricks 3.6N 215 x 100 x 65mm are designed to be used in conjunction with other Toplite blocks, to minimise wastage and reduce thermal bridging. They can be used as infilling over lintels and between floor joints.Features & benefitsOffers a high level of thermal insulation contributing to low U-values"
