main_name,category,bq_name,tp_name,bradfords_name,builderdepot_name,homebase_name,jewson_name,screwfix_name,toolstation_name,wickes_name
"MyWorktop 20mm Aurora Satin White Marble effect Kitchen Worktop, (L)2200mm",Acrylic Worktops,"MyWorktop 20mm Aurora Satin White Marble effect Kitchen Worktop, (L)2200mm",,,,,,,,
"HI-MACS 20mm Matt Chamomile Stone effect Acrylic Square edge Kitchen Worktop, (L)2200mm",Acrylic Worktops,"HI-MACS 20mm Matt Chamomile Stone effect Acrylic Square edge Kitchen Worktop, (L)2200mm",,,,,,,,
"HI-MACS 20mm Matt Diamond white Stone effect Acrylic Square edge Kitchen Worktop, (L)2200mm",Acrylic Worktops,"HI-MACS 20mm Matt Chamomile Stone effect Acrylic Square edge Kitchen Worktop, (L)2200mm",,,,,,,,
"Wintaplas Smart adhesives Orange Frostproofer, 5L Plastic jerry can",Additives & chemicals,"Wintaplas Smart adhesives Orange Frostproofer, 5L Plastic jerry can",,,,,,,,
"Sika Latex SBR White Specialist building primer, 5L, 5.2kg",Additives & chemicals,"Sika Latex SBR White Specialist building primer, 5L, 5.2kg",,,,,,,,
"Blue Circle Hydrated lime, 25kg Bag",Additives & chemicals,"Blue Circle Hydrated lime, 25kg Bag",,Blue Circle Hydralime Hydrated Lime (25kg),,,,,,
"Sika Clear Masonry waterproofer, 5L Jerry can",Additives & chemicals,"Sika Clear Masonry waterproofer, 5L Jerry can",,,,,,,,
Sika Sikacem White PVA primer & sealer 5L,Additives & chemicals,Sika Sikacem White PVA primer & sealer 5L,,,,,,Sika SikaCem PVA Primer White 5Ltr,,
"Bostik Smart adhesives Dark brown Mortar plasticiser, 5L Plastic jerry can",Additives & chemicals,"Bostik Smart adhesives Dark brown Mortar plasticiser, 5L Plastic jerry can",,,,,,Bostik Cemplas Mortar Plasticiser Dark Brown 5Ltr,,
"Bostik Frostproofer, 1L Jerry can",Additives & chemicals,"Bostik Frostproofer, 1L Jerry can",,,,,,,,
"Sandtex Stabilising solution, 2.5L Tub",Additives & chemicals,"Sandtex Stabilising solution, 2.5L Tub",Sandtex Quick Dry Stabilising Solution 2.5L Clear,,,Sandtex Quick Dry Masonry Stabilising Solution - 2.5L,,,,
"Bostik Cementone Yellow Waterproofing & air entraining admixture, 5L Plastic jerry can 5.59kg",Additives & chemicals,"Bostik Cementone Yellow Waterproofing & air entraining admixture, 5L Plastic jerry can 5.59kg",,,,,,,,
"Bostik Smart adhesives Orange Waterproofing & air entraining admixture, 5L Plastic jerry can",Additives & chemicals,"Bostik Smart adhesives Orange Waterproofing & air entraining admixture, 5L Plastic jerry can",,,,,,,,
"One Coat Damp Seal White Waterproofer, 2.5L Tin, 2.5L",Additives & chemicals,"One Coat Damp Seal White Waterproofer, 2.5L Tin, 2.5L",,,,,,,,
