id,product,price,category,link,image,description
1,"20mm Gravel, Bulk Bag",£70,Aggregates & sand,https://www.diy.com/departments/20mm-gravel-bulk-bag/35693_BQ.prd,https://media.diy.com/is/image/Kingfisher/20mm-gravel-bulk-bag~5030349002675_02c?wid=284&hei=284,"Features and benefitsCoverage will be dependent on depth laid, ground conditions etcUse to create higher strength concrete mixesExcellent drainage propertiesIdeal for pathways and drivesPlease note that product supplied comes from a natural source and may vary in colour, size and textureNot for decorative use"
2,"10mm Gravel, Bulk Bag",£70,Aggregates & sand,https://www.diy.com/departments/10mm-gravel-bulk-bag/35699_BQ.prd,https://media.diy.com/is/image/Kingfisher/20mm-gravel-bulk-bag~5030349002675_02c?wid=284&hei=284,"Features and benefitsCoverage will be dependent on depth laid, ground conditions etcUse to create finer concrete mixes and bed pipesNot for decorative usePlease note that product supplied comes from a natural source and may vary in colour, size and texture"
3,"All-in Ballast, Bulk Bag",£70,Aggregates & sand,https://www.diy.com/departments/all-in-ballast-bulk-bag/35692_BQ.prd,https://media.diy.com/is/image/Kingfisher/10mm-gravel-bulk-bag~5030349002613_02c?wid=284&hei=284,"Features and benefitsCoverage will be dependent on depth laid, ground conditions etcPlease note that product supplied comes from a natural source and may vary in colour, size and texture"
4,"20mm Limestone Chippings, Bulk Bag",£70,Aggregates & sand,https://www.diy.com/departments/20mm-limestone-chippings-bulk-bag/35695_BQ.prd,https://media.diy.com/is/image/Kingfisher/all-in-ballast-bulk-bag~5030349002651_02c?wid=284&hei=284,"Please note that product supplied comes from a natural source and may vary in colour, size and texture.CE markedFeatures and benefitsCoverage will be dependent on depth laid, ground conditions etcFor use in concreting applicationsUse to create high strength concrete mixesIdeal for pathways and drivesNot for decorative useExcellent drainage properties"
5,"MOT type 1 Subbase, Bulk Bag",£70,Aggregates & sand,https://www.diy.com/departments/mot-type-1-subbase-bulk-bag/35698_BQ.prd,https://media.diy.com/is/image/Kingfisher/20mm-limestone-chippings-bulk-bag~5030349002699_03c_bq?wid=284&hei=284,"Features and benefitsCoverage will be dependent on depth laid, ground conditions etcCrushed aggregate from 40mm to dustIdeal as a sub-base for driveways and paths when compacted, with excellent load bearing propertiesPlease note that product supplied comes from a natural source and may vary in colour, size and texture"
6,"Tarmac Subbase, Large Bag",£4.95,Aggregates & sand,https://www.diy.com/departments/tarmac-subbase-large-bag/5030349012414_BQ.prd,https://media.diy.com/is/image/Kingfisher/mot-type-1-subbase-bulk-bag~5030349002750_02c?wid=284&hei=284,"This MOT sub base is ideal for use in ground levelling prior to landscaping or building projects.Features and benefitsPlease note that product supplied comes from a natural source and may vary in colour, size and texture"
7,"Tarmac 20mm Gravel, Large Bag",£3.70,Aggregates & sand,https://www.diy.com/departments/tarmac-20mm-gravel-large-bag/5030349012360_BQ.prd,https://media.diy.com/is/image/Kingfisher/tarmac-subbase-large-bag~5030349012414_01c?wid=284&hei=284,"Features and benefitsCoverage will be dependent on depth laid, ground conditions etcUse to create higher strength concrete mixesExcellent drainage propertiesPlease note that product supplied comes from a natural source and may vary in colour, size and textureIdeal for pathways and drivesNot for decorative use"
8,"Tarmac Sharp sand, Large Bag, 22.5kg",£3.23,Aggregates & sand,https://www.diy.com/departments/tarmac-sharp-sand-large-bag-22-5kg/5030349012445_BQ.prd,https://media.diy.com/is/image/Kingfisher/tarmac-20mm-gravel-large-bag~5030349012360_01c_BQ?wid=284&hei=284,"Ideal for screeding, paths, blocks & slabs and concrete mixing.Ready for useMix 4 parts gravel, 2 parts sharp sand and 1 part cement to make medium strength concrete.Features and benefitsMix with other materials to make lime mortar for pointing in general masonry"
9,"Tarmac All-in Ballast, Large Bag",£3.68,Aggregates & sand,https://www.diy.com/departments/tarmac-all-in-ballast-large-bag/5030349012391_BQ.prd,https://media.diy.com/is/image/Kingfisher/tarmac-sharp-sand-large-bag-22-5kg~5030349012445_01c_BQ?wid=284&hei=284,Features and benefitsPre blended aggregates for use in concrete mixes with cement and waterCan be used to fill voids in construction projectsThis is a natural product and colour may vary
10,"Building sand, Bulk Bag",£70,Aggregates & sand,https://www.diy.com/departments/building-sand-bulk-bag/35696_BQ.prd,https://media.diy.com/is/image/Kingfisher/tarmac-all-in-ballast-large-bag~5030349012391_01c_BQ?wid=284&hei=284,"Features and benefitsCoverage will be dependent on depth laid, ground conditions etcSuitable for laying slab and block pavingPlease note that product supplied comes from a natural source and may vary in colour, size and texture"
11,Blooma Play sand 22.5kg,£8.38,Aggregates & sand,https://www.diy.com/departments/blooma-play-sand-22-5kg/5030349012162_BQ.prd,https://media.diy.com/is/image/Kingfisher/building-sand-bulk-bag~5030349002705_02c_bq?wid=284&hei=284,Keep your children busy for hours and enjoying the outdoors with this bag of play-sand. Bring the beach to your outdoor space and create fun all Summer long.Ready for useFeatures and benefitsSuitable for use in children's sand pits.Non-toxic
12,"Tarmac Kiln dried Paving sand, Large Bag",£6.80,Aggregates & sand,https://www.diy.com/departments/tarmac-kiln-dried-paving-sand-large-bag/535484_BQ.prd,https://media.diy.com/is/image/Kingfisher/blooma-play-sand-22-5kg~5030349012162_01c_bq?wid=284&hei=284,"Features and benefitsPlease note that product supplied comes from a natural source and may vary in colour, size and textureFine gradeReady to use straight from the bagShower resistant packaging, suitable for outdoor storage"
13,"Tarmac Grano dust, Bulk Bag",£64,Aggregates & sand,https://www.diy.com/departments/tarmac-grano-dust-bulk-bag/165422_BQ.prd,https://media.diy.com/is/image/Kingfisher/tarmac-kiln-dried-paving-sand-large-bag~5030349011363_02c?wid=284&hei=284,"Mix this bag of grano dust with cement to make a fine concrete, ideal for outdoor building and construction applicationsCE marked"
