id,name,price,category,link,image,description,source
1,"20mm Gravel, Bulk Bag",£70,Aggregates & sand,https://www.diy.com/departments/20mm-gravel-bulk-bag/35693_BQ.prd,https://media.diy.com/is/image/Kingfisher/20mm-gravel-bulk-bag~5030349002675_02c?wid=284&hei=284,"Features and benefitsCoverage will be dependent on depth laid, ground conditions etcUse to create higher strength concrete mixesExcellent drainage propertiesIdeal for pathways and drivesPlease note that product supplied comes from a natural source and may vary in colour, size and textureNot for decorative use",bqProducts.csv
1,Bradfords 20mm Gravel Bulk Bag,£62.38,Aggregates & sand,https://www.bradfords.co.uk/20mm-gravel-abb044,https://www.bradfords.co.uk/media/catalog/product/cache/f7c81111a4a19ad296e9f8fd0fc16840/c/8/c8d6945c26b44ba4e466a35a95f2c5ac_1.jpg,"20mm gravel is suitable for general building and landscaping projects. Supplied in strong bulk bags, which can be recycled - just return the empty bag to any one of our branches and we will recycle it for you!This gravel is locally sourced and may vary in colour and texture depending on location. If you require an exact match, please call in to your local branch. Features & Benefits:   Ideal for drainage & pipe bedding.  Locally sourced.  Recyclable bulk bag.  800kg min packaged weight (+/-5%).  Size: 20mm",bradfordsProducts.csv
1,Decorative Aggregates Solent Gold Chippings 20mm Bulk Bag,£197.81,Aggregates & sand,https://www.jewson.co.uk/p/solent-gold-bulk-bag-800kg-AGPPJ110,"https://media.jewson.co.uk/f_auto,q_auto/t_Regular/global/product-images/65990","The Solent Gold Decorative Stone Chippings are suitable for all types of landscaping projects. High quality, and made from natural stone or slate, our coloured slate chipping is a popular decorative landscaping material. This product may differ in appearance and texture as it is a nature product.Features & benefitsIdeal for decorative landscapingEasy to maintain",jewsonProducts.csv
1,Golden Gravel Bulk Bag 20mm,£151.18,Aggregates & sand,https://www.travisperkins.co.uk/decorative-stones-and-gravel/golden-gravel-bulk-bag-20mm/p/639230,https://dam-assets.apps.travisperkins.group/v44d3jd/GPID_1000388203_IMG_00.jpg?width=300&height=300,"Warm flinty chips of sandy gold, soft grey and cream give this mix a summery, beachy feel that adds lightness wherever you use it. A little paler than our Autumn Gold Blend, it’s bright in the sun and shiny in the rain. Stunning garden gravel.
Suitable for ground cover, borders, paths and drivewaysSuitable for use on drivewaysIdeal as decorative plant pot toppers, helping to retain soil moistureCan be used on flower beds and garden bordersPerfect for patios and pathways, or areas to be walked onView more",tpProducts.csv
1,Tarmac 20mm Gravel - Jumbo Bag,£68.50,Aggregates & sand,https://www.wickes.co.uk/Tarmac-20mm-Gravel---Jumbo-Bag/p/131894,https://media.wickes.co.uk/is/image/wickes/R1478_131894_00?$normal$,"Tarmac 20mm Gravel is suitable for all general building use.Combine with cement, sand and water to make concrete Can be used for ground drainage and bedding underground pipes Ideal for landscaping projects Can be used as a top coat dressing for paths and driveways This is a natural product and colour may vary Actual bag weights may vary due to the level of moisture within the product Unsuitable for use in ponds or water features containing fish or other aquatic animals ",wickesProducts.csv
2,"10mm Gravel, Bulk Bag",£70,Aggregates & sand,https://www.diy.com/departments/10mm-gravel-bulk-bag/35699_BQ.prd,https://media.diy.com/is/image/Kingfisher/20mm-gravel-bulk-bag~5030349002675_02c?wid=284&hei=284,"Features and benefitsCoverage will be dependent on depth laid, ground conditions etcUse to create finer concrete mixes and bed pipesNot for decorative usePlease note that product supplied comes from a natural source and may vary in colour, size and texture",bqProducts.csv
2,Bradfords 10mm Gravel Bulk Bag,£62.38,Aggregates & sand,https://www.bradfords.co.uk/10mm-gravel-abb036,https://www.bradfords.co.uk/media/catalog/product/cache/f7c81111a4a19ad296e9f8fd0fc16840/b/e/be7a0560c5afc3e69bb31974ac9641a2_1.jpg,"10mm gravel is suitable for general building and landscaping projects. The sand is supplied in strong bulk bags, which can be recycled - just return the empty bag to any one of our branches and we will recycle it for you!This gravel is locally sourced and may vary in colour and texture depending on location. If you require an exact match please call in to your local branch. Features & Benefits:   Ideal for drainage & pipe bedding.  Locally sourced.  Recyclable bulk bag.  800kg min packaged weight (+/-5%).  Size: 10mm",bradfordsProducts.csv
2,Tarmac 10mm Gravel Pea Shingle - Jumbo Bag,£68.50,Aggregates & sand,https://www.wickes.co.uk/Tarmac-10mm-Gravel-Pea-Shingle---Jumbo-Bag/p/131897,https://media.wickes.co.uk/is/image/wickes/R1478_131897_00?$normal$,Tarmac 10mm Gravel is suitable for all general building use.Suitable for use in fine concrete Can be used for ground drainage and bedding underground pipes Acts as a weed suppressant This is a natural product and colour may vary Actual bag weights may vary due to the level of moisture within the product Unsuitable for use in ponds or water features containing fish or other aquatic animals ,wickesProducts.csv
4,"20mm Limestone Chippings, Bulk Bag",£70,Aggregates & sand,https://www.diy.com/departments/20mm-limestone-chippings-bulk-bag/35695_BQ.prd,https://media.diy.com/is/image/Kingfisher/all-in-ballast-bulk-bag~5030349002651_02c?wid=284&hei=284,"Please note that product supplied comes from a natural source and may vary in colour, size and texture.CE markedFeatures and benefitsCoverage will be dependent on depth laid, ground conditions etcFor use in concreting applicationsUse to create high strength concrete mixesIdeal for pathways and drivesNot for decorative useExcellent drainage properties",bqProducts.csv
4,Polar White Chippings 20mm - Poly Bag,£15.95,Aggregates & sand,https://www.bradfords.co.uk/dap212,https://www.bradfords.co.uk/media/catalog/product/cache/f7c81111a4a19ad296e9f8fd0fc16840/1/e/1ec90ba283d6554130aabe6c29b128d5_1.jpg,"These 20mm Polar White Chippings are a pure white dolomite that glistens when wet. Giving a bright finish to any landscape project. Features & Benefits:   Ideal for driveways, rockeries and borders.  Hardwearing and suitable for driveways.  Particle Size: 20mm (Also available in 8-11mm)  Pack Size: Poly Bag (Also available in a Bulk Bag)  Coverage: 1 polybag covers 0.25m2 at a depth of 50mm  Part of the Platinum Collection.",bradfordsProducts.csv
