id,name,price,category,link,image,description,source
217,"Chipboard Loft panel (L)1.22m (W)0.33m (T)18mm , Pack of 3 4900g",£15.97,Loft boards,https://www.diy.com/departments/chipboard-loft-panel-l-1-22m-w-0-33m-t-18mm-pack-of-3-4900g/1673191_BQ.prd,https://media.diy.com/is/image/Kingfisher/chipboard-loft-panel-l-1-22m-w-0-33m-t-18mm-pack-of-3-4900g~3663602840985_01bq?wid=284&hei=284,CE markedFeatures and benefitsNon-structural flooring boards for creating a new floor over existing flooringThe long sides should be laid at 90 degrees to the joists & the ends should always meet on a joist. Floor board joints should be staggered for greater strengthFix panels in place with screws. Each screw should be countersunk & a pilot hole drilled as this makes fixing the boards easier & takes the heads of the screws below the level of the floorDo not be tempted to join boards between joists as they will soon sag & cause a weak spot in the floor. We recommend using screws rather than nails as excessive hammering could disrupt plasterboard below,bqProducts.csv
218,"OSB 3 Tongue & groove Floorboard (L)1.22m (W)300mm (T)18mm, Pack of 3",£14.97,Loft boards,https://www.diy.com/departments/osb-3-tongue-groove-floorboard-l-1-22m-w-300mm-t-18mm-pack-of-3/5902115300639_BQ.prd,https://media.diy.com/is/image/Kingfisher/chipboard-loft-panel-l-1-22m-w-0-33m-t-18mm-pack-of-3-4900g~3663602840985_01bq?wid=284&hei=284,"CE markedGraphic instructions provided in each packCan be used for flooring, walls and ceilingsFeatures and benefitsEasy to handleMultiple installation possibilities2-sided tongue & grooveSuitable for floor, wall and ceiling",bqProducts.csv
219,Sawn Softwood Scaffold board (L)2.4m (W)0.23m (T)38mm,£29.97,Scaffold board,https://www.diy.com/departments/sawn-softwood-scaffold-board-l-2-4m-w-0-23m-t-38mm/1798379_BQ.prd,https://media.diy.com/is/image/Kingfisher/sawn-softwood-scaffold-board-l-2-4m-w-0-23m-t-38mm~3663602860822_01bq?wid=284&hei=284,"Warning: Wear gloves to avoid splinters. When sanding or cutting, it is advised that customers use breathing and eye protection. Avoid inhalation of sawdust. Do not use in contact with drinking water or food. Do not use for animal bedding or in fish ponds. Dispose of treated wood responsibly. Industrial waste should be disposed of through an authorised waste contractor.Features and benefitsThis is good for Scaffolding applicationsEdge banded and slow grown for greater strength",bqProducts.csv
220,Sawn Softwood Scaffold board (L)3.9m (W)0.23m (T)38mm,£34.97,Scaffold board,https://www.diy.com/departments/sawn-softwood-scaffold-board-l-3-9m-w-0-23m-t-38mm/1798380_BQ.prd,https://media.diy.com/is/image/Kingfisher/sawn-softwood-scaffold-board-l-2-4m-w-0-23m-t-38mm~3663602860822_01bq?wid=284&hei=284,"Warning: Wear gloves to avoid splinters. When sanding or cutting, it is advised that customers use breathing and eye protection. Avoid inhalation of sawdust. Do not use in contact with drinking water or food. Do not use for animal bedding or in fish ponds. Dispose of treated wood responsibly. Industrial waste should be disposed of through an authorised waste contractor.Features and benefitsThis is good for Scaffolding applicationsEdge banded and slow grown for greater strength",bqProducts.csv
221,Sawn Softwood Scaffold board (L)1.8m (W)0.23m (T)38mm,£24.97,Scaffold board,https://www.diy.com/departments/sawn-softwood-scaffold-board-l-1-8m-w-0-23m-t-38mm/1798378_BQ.prd,https://media.diy.com/is/image/Kingfisher/sawn-softwood-scaffold-board-l-3-9m-w-0-23m-t-38mm~3663602860839_01bq?wid=284&hei=284,"Warning: Wear gloves to avoid splinters. When sanding or cutting, it is advised that customers use breathing and eye protection. Avoid inhalation of sawdust. Do not use in contact with drinking water or food. Do not use for animal bedding or in fish ponds. Dispose of treated wood responsibly. Industrial waste should be disposed of through an authorised waste contractor.Features and benefitsThis is good for Scaffolding applicationsEdge banded and slow grown for greater strength",bqProducts.csv
222,"Sawn Softwood Scaffold board (L)2.4m (W)0.23m (T)38mm , Pack of 3 30780g",£89.91,Scaffold board,https://www.diy.com/departments/sawn-softwood-scaffold-board-l-2-4m-w-0-23m-t-38mm-pack-of-3-30780g/5022652847289_BQ.prd,https://media.diy.com/is/image/Kingfisher/sawn-softwood-scaffold-board-l-1-8m-w-0-23m-t-38mm~3663602860815_01bq?wid=284&hei=284,"Features and benefitsScandinavian spruce scaffold board. Suitable for general purpose applications such as trestle tables, tread boards & decorating planksEdge bandedSlow grown for greater strength",bqProducts.csv
223,"Sawn Softwood Scaffold board (L)1.8m (W)0.23m (T)38mm , Pack of 3 23090g",£74.86,Scaffold board,https://www.diy.com/departments/sawn-softwood-scaffold-board-l-1-8m-w-0-23m-t-38mm-pack-of-3-23090g/5022652847272_BQ.prd,https://media.diy.com/is/image/Kingfisher/sawn-softwood-scaffold-board-l-2-4m-w-0-23m-t-38mm-pack-of-3-30780g~5022652847289_01c_bq?wid=284&hei=284,"Features and benefitsScandinavian spruce scaffold board. Suitable for general purpose applications such as trestle tables, tread boards & decorating planksEdge bandedSlow grown for greater strength",bqProducts.csv
97,Decorative Natural Pine Moulding (L)2.4m (W)15mm (T)7.5mm,£4.97,Decorative timber,https://www.diy.com/departments/decorative-natural-pine-moulding-l-2-4m-w-15mm-t-7-5mm/3663602430063_BQ.prd,https://media.diy.com/is/image/Kingfisher/decorative-natural-pine-moulding-l-2-4m-w-15mm-t-7-5mm~3663602430063_02c_bq?wid=284&hei=284,"Not CE markedGuarantee - StatutoryInstall using common wood working toolsGeneral purposeReady to paint, stain or varnishFeatures and benefitsThis decorative pine moulding is an easy way to add traditional decoration throughout your house. It is easy to install and is a cost effective solution.Can be varnished or lacquered to bring out the natural grain of the woodEasy to fix using pins or adhesive depending on the desired finishMade from high quality Scandinavian pineFinger jointed for additional strength",bqProducts.csv
98,Cheshire Mouldings MDF Wall panelling kit (H)1200mm (W)97mm (T)9mm,£17.97,Decorative timber,https://www.diy.com/departments/cheshire-mouldings-mdf-wall-panelling-kit-h-1200mm-w-97mm-t-9mm/5055170395482_BQ.prd,https://media.diy.com/is/image/Kingfisher/decorative-natural-pine-moulding-l-2-4m-w-15mm-t-7-5mm~3663602430063_02c_bq?wid=284&hei=284,"Get a more up-to-date take on shaker panelling with the MDF wall kit. The slightly thicker MDF strips create a bold statement on any wall. MDF is a hardwearing and stable material when sealed and can remain in place for years. It's smooth surfaces are easy to paint the colour of your choice.Guarantee - 1 yearFeatures and benefitsContains 6x 1.2m MDF strips (97mmx9mm)One kit covers approximately 1.2msq, add multiple kits together to cover your required area.Easy to fix to your wall with glue, nails or screwPerfect for adding depth and texture to any wall featureCut to size and fit directly to the wall",bqProducts.csv
99,Cheshire Mouldings MDF Shaker Wall panelling kit (H)1200mm (W)63mm (T)9mm,£14.97,Decorative timber,https://www.diy.com/departments/cheshire-mouldings-mdf-shaker-wall-panelling-kit-h-1200mm-w-63mm-t-9mm/5055170395499_BQ.prd,https://media.diy.com/is/image/Kingfisher/cheshire-mouldings-mdf-wall-panelling-kit-h-1200mm-w-97mm-t-9mm~5055170395482_01i?wid=284&hei=284,"Shaker style paneling is a rustic classic. Perfect for adding some character to any room. MDF is a hardwearing and stable material when sealed and can remain in place for years. It's smooth surfaces are easy to paint the colour of your choice.Guarantee - 1 yearFeatures and benefitsContains 6x 1.2m MDF strips (63mmx9mm)One kit covers approximately 1.2msq, add multiple kits together to cover your required area.Easy to fix to your wall with glue, nails or screwPerfect for adding depth and texture to any wall featureCut to size and fit directly to the wall",bqProducts.csv
