product,price,category,link,image,description
Brickfill Joint Filler 10m x 150 x 10mm,41.94,Expansion Jointing,https://www.jewson.co.uk/p/slipcretebrickfill-10m-x-150-x-10mm-cream-FNEXJT91,"https://media.jewson.co.uk/f_auto,q_auto/t_Regular/global/product-images/62921","Slipcrete Brickfill 10m x 150 x 10mm (L x W x T) Cream is ideal for movement joints in brick and blockwork. Manufactured from closed cell polyethylene, it is a low resistance joint filler. It has been specifically designed and developed for all clay fired brickwork, calcium silicate brickwork and blockwork.Features & benefitsMoisture resistantStrip for use as a low friction slip membrane"
Incizo 5in1 Profile Natural Oak U3577 13 x 48 x 2150mm,36.12,Scotia & Trims,https://www.jewson.co.uk/p/incizo-5-in-1-profile-natural-oak-u3577-13x48x2150mm-QSFA1788,"https://media.jewson.co.uk/f_auto,q_auto/t_Regular/global/product-images/66049","Quick-Step Uniclic Incizo 5in1 Profile Natural Oak 13 x 48 x 2150mm is intended for use with Swiss Touch Natural Oak Laminate Flooring. The Quick-Step Uniclic Natural Oak Veneer Incizo profile with patented Incizo technology is extremely handy to give your floor that perfect finish. You can use one and the same profile for all finishing situations: between two floors of the same height or with difference in height, as a transition to a wall, window or carpet. Simply cut the basic Incizo profile to the shape required using the supplied slitter, screws and plugs included.Features & benefitsConnects two floors of the same height or with difference in height, as a transition to a wall, window or carpetCo-ordinates with Swiss Touch Natural Oak Laminate Flooring"
Royal Oak 4142 Scotia 2400 x 17 x 17mm,6.77,Scotia & Trims,https://www.jewson.co.uk/p/royal-oak-4142-scotia-17x17x2400mm-QSF06269,"https://media.jewson.co.uk/f_auto,q_auto/t_Regular/global/product-images/68198",Quick-Step Scotia provides a discreet finish to your floor. Can also be used as a finish in combination with existing skirting boards.Features & benefitsUsed as a finish in combination with existing skirting boards
Royal Oak 4142 Incizo 2150 x 48 x 13mm,42.61,Scotia & Trims,https://www.jewson.co.uk/p/royal-oak-4142-incizo-13x48x2150mm-QSF06226,"https://media.jewson.co.uk/f_auto,q_auto/t_Regular/global/product-images/68197","Quick-Step Uniclic Incizo 5 in 1 Profile, with patented Incizo technology, is extremely handy to give your floor that perfect finish. You can use one and the same profile for all finishing situations: between two floors of the same height or with a difference in height, as a transition to a wall, window or carpet. Simply cut the basic Incizo profile to the shape required using the supplied slitter. Screws and plugs included.Features & benefitsFlexible – 5 profiles in 1Suitable for linking a wide variety of flooring"
SureCav Cavity Spacer System 1200 x 450 x 50mm,34.68,Block Accessories,https://www.jewson.co.uk/p/surecav-cavity-spacer-system-1200-x-450-x-25mm-INSSCV01,"https://media.jewson.co.uk/f_auto,q_auto/t_Regular/global/product-images/SureCav50_image","SureCav 50 Cavity Spacer System 1200 x 450 x 50mm (L x W x T) is a polypropylene panel that is moulded and recycled, with spacer protrusions that form a 50mm clear cavity. This enables the construction of a slate, stone, flint and brick outer skin without the requirement of an additional block leaf. Clean and moisture free cavities are ensured by using this cavity protection system, making it ideal for use with traditional and timber frame construction.Mechanical offload should be used wherever possible. Individually packed in packs of 10, each pack weighing approx.. 13.5kg each. Please be advised that most orders over 100 sheets will normally come on a pallet for easy offload, these will be wrapped together.Features & benefitsSustainable, lightweight alternative made from 100% recycled polypropyleneCheaper than backing blocks by 2.5 timesFaster to installEssential air gap is maintained6 x lower CO2 footprint compared to concrete backing blocksForklift required"
SureCav Cavity Spacer System 1200 x 450 x 25mm,34.68,Block Accessories,https://www.jewson.co.uk/p/surecav-rubber-washer-with-baz-washer-included-INSSCV03,"https://media.jewson.co.uk/f_auto,q_auto/t_Regular/global/product-images/SureCav25_image","SureCav 25 Cavity Spacer System 1200 x 450 x 25mm (L x W x T) is a polypropylene panel that is moulded and recycled, with spacer protrusions that form a 25mm clear cavity. This enables the construction of a slate, stone, flint and brick outer skin without the requirement of an additional block leaf. Clean and moisture free cavities are ensured by using this cavity protection system, making it ideal for use with traditional and timber frame construction. Mechanical offload should be used wherever possible. Individually packed in packs of 10, each pack weighing approx.. 13.5kg each. Please be advised that most orders over 100 sheets will normally come on a pallet for easy offload, these will be wrapped together.Features & benefitsSustainable, lightweight alternative made from 100% recycled polypropyleneCheaper than backing blocks by 2.5 timesFaster to installEssential air gap is maintained6 x lower CO2 footprint compared to concrete backing blocksForklift required"
SureCav Rubber Washer with Baz Washer Included,0.55,Block Accessories,https://www.jewson.co.uk/p/surecav-cavity-spacer-system-1200-x-450-x-50mm-INSSCV02,"https://media.jewson.co.uk/f_auto,q_auto/t_Regular/global/product-images/Washers_image","SureCav Rubber Washers with Baz Washer (Bag of 50) used in conjunction with the use of SureCav, allows an installer ahead of constructing the outer leaf, to fix the whole wall to the timber frame. An additional tie can be fixed using the washer if extra wall ties are required to support random stonework. It is advised that 5 washers are used to fix each panel. Features & benefitsProvides a watertight sealDesigned for timber frameEnables fixing before masons startFast and easy to useSupplied in bags of 50"
"Vistalux Eaves Filler 3"" Profile 680mm L Pack of 6",12.30,Pitched Roofing,https://www.jewson.co.uk/p/vistalux-eaves-filler-3-profile-680mm-l-pack-of-6-RFSHA676,"https://media.jewson.co.uk/f_auto,q_auto/t_Regular/global/product-images/54816","Vistalux Eaves Filler 3"" Profile 680mm L Pack of 6 is a tough, lightweight roofing and cladding material. This product is manufactured from polyethylene for use with coroline bituminous roofing sheets. It is used with coroline bitumen sheet to support it when fixed. This fillers help to seal the corrugations at the eaves and help prevent the ingress of water, dust as well draughts.Features & benefitsWaterproofSolvents and grease resistant"
Coroline Corrugated Roofing Ridge 900 x 1000mm (L x W) Black,15.48,Pitched Roofing,https://www.jewson.co.uk/p/coroline-corrugated-roofing-ridge-900-x-1000mm-l-x-w-black-RFSHA486,"https://media.jewson.co.uk/f_auto,q_auto/t_Regular/global/product-images/54809","The Coroline Corrugated Roofing Ridge 900 x 1000mm (L x W) Black manufactured from high quality bitumen saturated organic fibres is an environmentally friendly roofing options. It is available in range of four colours black, red, green, and brown. The corrugated roofing ridge is suitable to use with coroline bitumen sheet. It is flexible and easily adjusted to suit varying roof angles. The preformed end lap grooves make installation straight-forward. This ridge is free from asbestos and is non-toxic. This sheet has a green roofing option and is resistant to environmental factors such as aggressive vapours. It is best suitable for garden sheds, garages, stables, agricultural buildings. The product is compatible with most commercially available construction materials. The lightweight ridge offers excellent heat insulation and good sound absorption features.Features & benefitsHigh quality bituminous saturated organic fibres ensures durabilityHardwearing owing to its makeUV light and acid rain resistant"
"Vistalux Wall Flashing 3"" Profile 695mm L Clear",19.70,Pitched Roofing,https://www.jewson.co.uk/p/vistalux-wall-flashing-3-profile-695mm-l-clear-RFSHA680,"https://media.jewson.co.uk/f_auto,q_auto/t_Regular/global/product-images/54817","Vistalux Wall Flashing 3"" Profile 695mm L Clear is a preformed flashing which fits perfectly over the corrugated sheet. It provides a fine optical clarity. Made from PVC which is a self extinguishing material that melts away from the flames. The product is suitable for canopies, car ports, covered walkways, porches, splash barriers, side cladding and cold frames.Features & benefitsCan withstand intense force or shockWaterproofCorrosion resistant"
