product,price,category,link,image,description
Rock Salt Traditional Colour 20kg Trade Bag,10.30,Rock Salt,https://www.travisperkins.co.uk/bagged-aggregates/rock-salt-traditional-colour-20kg-trade-bag/p/896366,https://dam-assets.apps.travisperkins.group/KRwPr/GPID_1000002887_IMG_00.jpeg?width=300&height=300,"An ideal salt for de-icing as well preventing ice and snow build-up on roads, driveways, and paths. It can be mixed with sand to improve vehicle traction in slippery conditions.Clears snow and ice fastEffective weed killerCan be mixed with sandImprove vehicle traction in slippery conditionsActual weight may vary depending on moisture contentNot suitable for water softenersLocally sourcedContains no hazardous ingredientsView more"
Rock Salt Traditional Colour Bulk Bag,224.26,Rock Salt,https://www.travisperkins.co.uk/bagged-aggregates/rock-salt-traditional-colour-bulk-bag/p/898558,https://dam-assets.apps.travisperkins.group/KO2vj/GPID_1000002935_IMG_00.jpg?width=300&height=300,"Ideal for de-icing roads, driveways, and paths. Minimum packed weight of 810kg +/- 5%Actual weight will vary depending on moisture contentActual weight will vary based on moisture contentThe photo is for illustration purposes and the product is locally sourcedMinimum packed weight of 810kg +/- 5%."
Rock Salt White 20kg Trade Bag,10.30,Rock Salt,https://www.travisperkins.co.uk/rock-salt/rock-salt-white-20kg-trade-bag/p/949527,https://dam-assets.apps.travisperkins.group/8N4Q5/GPID_1000195923_IMG_00.jpeg?width=300&height=300,"An ideal salt for de-icing as well preventing ice and snow build-up on roads, driveways, and paths. It can be mixed with sand to improve vehicle traction in slippery conditions.Clears snow and ice fastEffective weed killerCan be mixed with sandImprove vehicle traction in slippery conditionsActual weight may vary depending on moisture contentNot suitable for water softenersLocally sourcedContains no hazardous ingredientsView more"
Pipe Cap Plastic Coated Wire 4in,8.50,Guttering Accessories,https://www.travisperkins.co.uk/guttering-accessories/pipe-cap-plastic-coated-wire-4in/p/802333,https://dam-assets.apps.travisperkins.group/xp88qrn/GPID_1000078568_IMG_00.jpeg?width=300&height=300,"Prevents blockages from leaves, debris and birds nesting in chimneys and down pipes.Wire guardKeeps Birds and rodents outPrevents leaves from Blocking outletsPlastic coated for more durability"
Defender Plastic 8 Bird Spike 337x112mm,4.15,Guttering Accessories,https://www.travisperkins.co.uk/guttering-accessories/defender-plastic-8-bird-spike-337x112mm/p/931290,https://dam-assets.apps.travisperkins.group/14Zg8/GPID_1000091897_IMG_00.jpeg?width=300&height=300,"The Defender¨ 8 Wide Plastic Pigeon Spike is the perfect solution to get rid of pigeons from wide ledges, window sills, beams and other areas of your property. This anti-roosting pigeon spike will protect ledges up to a depth of 20 cm (8 inches) from the heaviest pigeon infestations. All Defender¨ Plastic Pigeon Spikes are easy and quick to install, with no need for professional pest control equipment. As they are made of high quality clear plastic, the pigeon spikes are unobtrusive once in place.8"" plastic bird spikeSuper tough durolon UV stabilised polycarbonate base8"" ledge protection10 year product warrantyIdeal for TV aerials or satellite dishesStop problem birds like pigeons roosting on your propertyBird spikes can be nailed, screwed down or fixed using high tack fixing siliconeView more"
Snow Guard Domestic Galvanised Lightweight 2m x 6”,52.81,Guttering Accessories,https://www.travisperkins.co.uk/guttering-accessories/snow-guard-domestic-galvanised-lightweight-2m-x-6/p/891758,https://dam-assets.apps.travisperkins.group/70Dy5/GPID_1000389209_IMG_00.jpg?width=300&height=300,Snow Guards are normally used to stop snow falling during melting and also control any loose debris.Suitable for use with domestic gutter systemsGalvanised for longer lifeLightweight and easy to fit without need for an additional support battenSuitable for new build & refurbishment projects
Snow Guard Bracket Galvanised Lightweight 6”,6.84,Guttering Accessories,https://www.travisperkins.co.uk/guttering-accessories/snow-guard-bracket-galvanised-lightweight-6/p/891759,https://dam-assets.apps.travisperkins.group/KRB5z/GPID_1000389210_IMG_00.jpg?width=300&height=300,Galvanised Snowguard Brackets enable snowguard to be fixed to the rafter ends. The use of one bracket per metre is recommended.Suitable for use with domestic gutter systemsGalvanised for longer lifeLightweight and easy to fit without need for an additional support battenSuitable for new build & refurbishment projects
Pointed Timber Peg Sawn and Treated 47mm x 50mm x 600mm,3.83,Site Pegs,https://www.travisperkins.co.uk/site-pegs/pointed-timber-peg-sawn-and-treated-47mm-x-50mm-x-600mm/p/104015,https://dam-assets.apps.travisperkins.group/dXpOL/GPID_1000260877_IMG_00.jpeg?width=300&height=300,"Pointed peg for site layoutHigh Pressure treated with Tanalith 'E' (or similar)All of our softwoods are responsibly sourcedOther lengths available to orderRange of lengths normally available: 450mm, 600mm and 1200mmSold individuallyView more"
Bsw Green Treated Pointed Pegs 50 x 50mm x 0.6m,5.62,Site Pegs,https://www.travisperkins.co.uk/site-pegs/bsw-green-treated-pointed-pegs-50-x-50mm-x-0-6m/p/944170,https://dam-assets.apps.travisperkins.group/om533g4/GPID_1100870325_IMG_00.jpeg?width=300&height=300,"High pressure treated pointed site pegsHigh pressure treated to UC3 in an attractive green finish for improved durabilityHigh Pressure treated with Tanalith 'E' (or similar)All of our softwoods are responsibly sourcedOther lengths available to orderRange of lengths normally available: 450mm, 600mm and 1200mmSold individuallyView more"
Bsw Green Treated Pointed Pegs 50 x 50mm x 0.45m,6.78,Site Pegs,https://www.travisperkins.co.uk/site-pegs/bsw-green-treated-pointed-pegs-50-x-50mm-x-0-45m/p/944606,https://dam-assets.apps.travisperkins.group/oyy13gy/GPID_1100870324_IMG_00.jpg?width=300&height=300,"High pressure treated pointed site pegsHigh pressure treated to UC3 in an attractive green finish for improved durabilityHigh Pressure treated with Tanalith 'E' (or similar)All of our softwoods are responsibly sourcedOther lengths available to orderRange of lengths normally available: 450mm, 600mm and 1200mmView more"
