product,price,category,link,image,description
DeWalt DCD778P2T-SFGB 18V 2 x 5.0Ah Li-Ion XR Brushless Cordless Combi Drill,£149.99,Drills,https://www.screwfix.com/p/dewalt-dcd778p2t-sfgb-18v-2-x-5-0ah-li-ion-xr-brushless-cordless-combi-drill/906kv,https://media.screwfix.com/is/image/ae235/906KV_P?$autoprodblock$,"Ergonomic combi drill with brushless motor and XR technology. Features 13mm metal chuck, spindle lock, rubber overmould grip and LED light for workplace illumination. Suitable for consistent screwdriving into a variety of materials with different screw sizes.2 x 5.0Ah Li-Ion Batteries 75min Charge Time Max. Torque: 65Nm 15 Torque Settings + Drill + Hammer Drill 13mm Keyless Chuck 2-Speed All-Metal Gearing Electronic Brake Work Light Spindle Lock "
Milwaukee M18 BPDN-402C 18V 2 x 4.0Ah Li-Ion RedLithium  Cordless Combi Drill,£149.99,Drills,https://www.screwfix.com/p/milwaukee-m18-bpdn-402c-18v-2-x-4-0ah-li-ion-redlithium-cordless-combi-drill/451gf,https://media.screwfix.com/is/image/ae235/451GF_P?$autoprodblock$,Features a high performance 4-pole motor to deliver maximum power whilst maximising the power to weight ratio. RedLink overload protection electronics and battery pack deliver system durability as well as a full-metal chuck to deliver maximum performance. Batteries compatible with all M18 tools in the range.2 x 4.0Ah Li-Ion Batteries 80min Charge Time Max. Torque: 60Nm 16 Torque Settings + Drill + Hammer Drill 13mm Keyless Chuck 2-Speed Variable & Reverse All-Metal Gearing Motor Brake LED Work Light Spindle Lock 
Erbauer ERH750 3.4kg  Electric SDS Plus Drill 220-240V,£54.98,Drills,https://www.screwfix.com/p/erbauer-erh750-3-4kg-electric-sds-plus-drill-220-240v/232fv,https://media.screwfix.com/is/image/ae235/232FV_P?$autoprodblock$,"Powerful 750W motor. Features hammer, drill and chisel modes with 3 drill bits and a dust cover to protect machinery. 4-in-1 multi-function ensures quick and easy mode change between rotary drill, rotary drill with hammer, hammer (chisel) and chisel rotation. SDS plus chuck for tool-free drill bit change. Anti-vibration auxiliary handle for comfort and control. Includes an adjustable depth stop ruler for precise drilling depths. Supplied with carry case.750W Drill, Hammer, Hammer Drill & Chisel Max. Impact Energy: 3J Anti-Vibration System Safety Clutch Nylon Gearbox No Brake Lock-On Switch Variable Speed Replaceable Carbon Brushes "
Milwaukee M18 CHD-402C FUEL 3.5kg 18V 2 x 4.0Ah Li-Ion RedLithium Brushless Cordless SDS Plus Drill,£239.99,Drills,https://www.screwfix.com/p/milwaukee-m18-chd-402c-fuel-3-5kg-18v-2-x-4-0ah-li-ion-redlithium-brushless-cordless-sds-plus-drill/215hy,https://media.screwfix.com/is/image/ae235/215HY_P?$autoprodblock$,"High performance 4-mode D-handle SDS Plus hammer drill incorporating a Powerstate brushless motor for more power and longer motor life. RedLink Plus intelligence system delivers advanced digital overload protection and enhances performance under load. In-line ergonomics provide extended reach for overhead and downward drilling applications. RedLithium-Ion battery pack with fade-free performance to deliver more run time and work over pack life. Flexible battery system emans the M18 batteries work with all M18 tools in the range. Supplied with blow-moulded case.2 x 4.0Ah Li-Ion Batteries 80min Charge Time Drill, Hammer Drill, Chisel & Variolock Max. Impact Energy: 2.3J Low Vibration Electronic Clutch All-Metal Gearbox Electronic Brake Trigger Switch Single-Speed & Reverse "
Makita DHP453F001 18V 2 x 3.0Ah Li-Ion LXT  Cordless Combi Drill,£139.99,Drills,https://www.screwfix.com/p/makita-dhp453f001-18v-2-x-3-0ah-li-ion-lxt-cordless-combi-drill/842fv,https://media.screwfix.com/is/image/ae235/842FV_P?$autoprodblock$,"Powerful cordless combi drill with 2 mechanical gears and all-metal gear construction to ensure high transmission durability. Variable speed trigger covers a wide range of drilling, driving and hammer applications. Other features include 16 adjustable torque settings plus drill mode, single sleeve keyless chuck to enable easy bit removal and soft-grip ergonomic handle. Supplied in a moulded plastic case.2 x 3.0Ah Li-Ion Batteries 85min Charge Time Max. Torque: 42Nm 16 Torque Settings + Drill 13mm Keyless Chuck 2-Speed Variable & Reverse All-Metal Gearing Electronic Brake Without Work Light Without Spindle Lock "
Bosch GSB 18 V-55 18V 2 x 4.0Ah Li-Ion Coolpack Brushless Cordless Combi Drill,£139.99,Drills,https://www.screwfix.com/p/bosch-gsb-18-v-55-18v-2-x-4-0ah-li-ion-coolpack-brushless-cordless-combi-drill/506jf,https://media.screwfix.com/is/image/ae235/506JF_P?$autoprodblock$,High performance combi drill with rubber-coated grip and work light. Full-metal chuck and brushless motor. Supplied with L-Case.2 x 4.0Ah Li-Ion Batteries 125min Charge Time Max. Torque: 55Nm 15 Torque Settings + Drill + Hammer Drill 13mm Keyless Chuck 2-Speed Variable & Reverse All-Metal Gearbox Motor Brake LED Work Light Without Spindle Lock 
Makita HR2470WX/2 3.3kg  Electric SDS Plus Drill 240V,£119.99,Drills,https://www.screwfix.com/p/makita-hr2470wx-2-3-3kg-electric-sds-plus-drill-240v/29604,https://media.screwfix.com/is/image/ae235/29604_P?$autoprodblock$,"Both versatile and powerful, this special edition Makita HR2470WX/2 SDS Plus drill is able to tackle tough tasks with ease. The drill, hammer drill, and chisel functions mean that it can be used for a variety of jobs, from light demolition to drilling brickwork. A 780W motor delivers 2.4J of impact energy and all-metal gearing means it is built to last. The tool comes complete with eight 5.5mm-15mm drill bits, a bull-point bit, a chisel bit and a carry case.780W Drill, Hammer Drill & Chisel Max. Impact Energy: 2.4J No Anti-Vibration System Mechanical Safety Clutch All-Metal Gearing No Brake Lock-On Switch Single-Speed Variable & Reverse Replaceable Carbon Brushes "
Erbauer ECD18-Li-2 18V 2 x 4.0Ah Li-Ion EXT Brushless Cordless Combi Drill,£119.99,Drills,https://www.screwfix.com/p/erbauer-ecd18-li-2-18v-2-x-4-0ah-li-ion-ext-brushless-cordless-combi-drill/609fv,https://media.screwfix.com/is/image/ae235/609FV_P?$autoprodblock$,"Compact and lightweight combi ideal for hard-to-reach areas. Equipped with a brushless motor for extra power, higher torque, longer life and run time. Keep Cool battery technology actively manages temperature, so cells do not overheat, giving more power, longer run time and battery life. Part of the Erbauer EXT and EXT EliteCell, one battery system, running multiple tools for increased flexibility. Compatible with all Erbauer 18V EXT and EXT EliteCell batteries and chargers. Supplied with charger and carry case.2 x 4.0Ah Li-Ion Batteries 50min Charge Time Max. Torque: 50Nm 17 Torque Settings + Drill + Hammer Drill 13mm Keyless Chuck 2-Speed ABS Gearbox Electronic Brake LED Work Light Spindle Lock "
DeWalt DCD796E2T-GB 18V 2 x 1.7Ah Li-Ion PowerStack Brushless Cordless Combi Drill,£249.99,Drills,https://www.screwfix.com/p/dewalt-dcd796e2t-gb-18v-2-x-1-7ah-li-ion-powerstack-brushless-cordless-combi-drill/576fv,https://media.screwfix.com/is/image/ae235/576FV_P?$autoprodblock$,"Compact and lightweight for working in tight spaces for extended periods of time. Equipped with a high-speed transmission and 2 speed settings to match the speed to the application. Powerstack batteries deliver 50% more power, with a 25% smaller footprint than a DCB183 battery and works with all 18V XR tools.2 x 1.7Ah Li-Ion Batteries 50min Charge Time Max. Torque: 70Nm 15 Torque Settings + Drill + Hammer Drill 13mm Keyless Chuck 2-Speed Variable & Reverse All-Metal Gearing Electronic Brake LED Work Light Automatic Spindle Lock "
DeWalt DCH033 3kg 18V 2 x 4.0Ah Li-Ion XR Brushless Cordless SDS Plus Drill,£224.99,Drills,https://www.screwfix.com/p/dewalt-dch033-3kg-18v-2-x-4-0ah-li-ion-xr-brushless-cordless-sds-plus-drill/675fj,https://media.screwfix.com/is/image/ae235/675FJ_P?$autoprodblock$,"SDS plus drill with rotation stop mode for light chiselling in plaster, tiles and render. Impact stop mode for rotary only drilling in wood and metal. Ideal for drilling anchor and fixing holes into concrete, brick and masonry from 4-22mm. Compact, lightweight and ergonomic design for comfort and support during extended operating periods. Features brushless motor with thermal overload protection.2 x 4.0Ah Li-Ion Batteries 60min Charge Time Drill, Hammer Drill & Chisel Max. Impact Energy: 2J No Anti-Vibration System Electronic Clutch All-Metal Gearbox Electronic Brake Trigger Switch Single-Speed Variable "
