product,price,category,link,image,description
Helical Bar 6mm x 1m,£4.52,Helical Bars,https://www.tippers.com//products/helical-bar-6mm-x-1m.html?filter_set,https://s3-eu-west-1.amazonaws.com/webshop/data/thumbs/5c/5c0985a284fa9637713b797100baeb098c895991.jpg,"Ancon's 6mm x 1000mm  Helical Bars are stainless steel bars that are chemically bonded into bed joints to stitch cracks, redistribute tensile forces and stabilise structures."
Helical Cementitious Grout 3L,£66.80,Helical Bars,https://www.tippers.com//products/helical-cementitious-grout-3l.html?filter_set,https://s3-eu-west-1.amazonaws.com/webshop/data/thumbs/40/40a3f425779952e91ee8cb4ff86941e6ef39aced.jpg,"WHO 6- grout is a polymer modified cement-based mortar designed for bonding metal bars and anchors into brick, block and stone. The high performance grout has enhanced compressive, tensile and flexural strength."
Square Hole Airbrick Red 215x140mm,£8.62,Brickwork Ventilation,https://www.tippers.com//products/square-hole-airbrick-red-215x140mm.html?filter_set,https://s3-eu-west-1.amazonaws.com/webshop/data/thumbs/03/039da3c7b4b0b9332f4e3b05d962b4d9c0f93613.jpg,Free Air Space(mm2): 2900Increase air flowInstalled quickly and easilyReduce risk of dampSquare holedRedbank Square Hole Air Brick Red from Forterra
Forterra Redbank Square Hole Air Brick 215x65mm Red 350RE2207,£4.88,Brickwork Ventilation,https://www.tippers.com//products/forterra-redbank-square-hole-air-brick-215x65mm-red-350re2207.html?filter_set,https://s3-eu-west-1.amazonaws.com/webshop/data/thumbs/85/85957822a3a0354535513d0316ab3ccf12b17697.jpg,Free Air Space(mm2): 1290Increase air flowInstalled quickly and easilyReduce risk of dampSquare holed The Forterra Redbank Square Hole Air Brick 215x65mm Red 350RE2207.
Square Hole Airbrick Red 215x215mm,£17.82,Brickwork Ventilation,https://www.tippers.com//products/square-hole-airbrick-red-215x215mm.html?filter_set,https://s3-eu-west-1.amazonaws.com/webshop/data/thumbs/70/707b11fdf749677d11fb8e4a163445fb020564d9.jpg,Free Air Space(mm2): 4500Increase air flowInstalled quickly and easilyReduce risk of dampSquare holedSquare Hole Air Brick 215 (l) x 50 (w) x 215mm (h). Weight: 4.5kg.
Ecorend 15mm Corner Bead White 2.5m,£8.14,Brackets & Fixing Bands,https://www.tippers.com//products/ecorend-15mm-corner-bead-white-2-5m-bp0ercb15.html?filter_set,https://s3-eu-west-1.amazonaws.com/webshop/data/thumbs/8e/8ec290862ff15f9164cbfd9e565d539c05f66699.jpg,Designed for use on all rendered and plastered corners and reveals to produce a straight edge and provide protection against impact.
Ecorend 15mm Render Stop Bead White 2.5mt,£7.06,Brackets & Fixing Bands,https://www.tippers.com//products/ecorend-15mm-render-stop-bead-white-2-5mt-bp0ers15.html?filter_set,https://s3-eu-west-1.amazonaws.com/webshop/data/thumbs/8e/8e4c7432a739c641756326e2c7f8774482737a6c.jpg,Designed to provide a stop to the render at window and door frames and at changes to the facade to produce a straight finish and protection against impact.
Catnic Light Duty Angle Bracket 90x90x60mm,£1.76,Brackets & Fixing Bands,https://www.tippers.com//products/light-duty-angle-bracket-90x90x60mm.html?filter_set,https://s3-eu-west-1.amazonaws.com/webshop/data/thumbs/63/63e1e7d1e5b4fe0279d426f56bb98ebdcb225dce.jpg,"60mm wide reinforced bracketDurableEasily secured using nail, screw bolt or coach screws.High QualityManufactured from 2.5mm thick pre-galvanised steel to BS EN 10346:2009, + G275Used in 90 degree connectionsThis Light Duty Angle Bracket is used in 90 degree connections."
Catnic Light Duty Angle Bracket 150x150x60mm,£6.89,Brackets & Fixing Bands,https://www.tippers.com//products/light-duty-angle-bracket-150x150x60mm.html?filter_set,https://s3-eu-west-1.amazonaws.com/webshop/data/thumbs/5d/5d3921d02dd02993161d8718df1bd4b806c1e321.jpg,"60mm wide reinforced bracketDurableEasily secured using nail, screw bolt or coach screws.High QualityManufactured from 2.5mm thick pre-galvanised steel to BS EN 10346:2009, + G275Used in 90 degree connectionsThis Light Duty Angle Bracket is used in 90 degree connections."
Catnic Light Duty Angle Bracket 150x90x60mm,£2.08,Brackets & Fixing Bands,https://www.tippers.com//products/light-duty-angle-bracket-150x90x60mm.html?filter_set,https://s3-eu-west-1.amazonaws.com/webshop/data/thumbs/f3/f39005c9b9c833c8f281015463e9082da436c3fb.jpg,"60mm wide reinforced bracketDurableEasily secured using nail, screw bolt or coach screws.High QualityManufactured from 2.5mm thick pre-galvanised steel to BS EN 10346:2009, + G275Used in 90 degree connectionsThis Light Duty Angle Bracket is used in 90 degree connections."
