product,price,category,link,image,description
End Banded Timber Scaffold Boards BS2482 38mm x 225mm x 3.9m,£60.89,Scaffold Boards,https://www.travisperkins.co.uk/scaffold-boards/end-banded-timber-scaffold-boards-bs2482-38mm-x-225mm-x-3-9m/p/861911,https://dam-assets.apps.travisperkins.group/NmDL6/GPID_1000261093_IMG_00.jpg?width=300&height=300,"Our scaffold boards are graded in accordance with the industry standard BS2482. As well as scaffolding they are often used on site for a variety of other uses, walkways across muddy ground and other kneeling boards etc.Graded in accordance with BS2482All of our softwoods are responsibly sourcedEnd banded to reduce splittingProduced from Imported, Slow Grown timber giving excellent stabilityView more"
End Banded Timber Scaffold Boards BS2482 38mm x 225mm x 3.0m,£48.78,Scaffold Boards,https://www.travisperkins.co.uk/scaffold-boards/end-banded-timber-scaffold-boards-bs2482-38mm-x-225mm-x-3-0m/p/861914,https://dam-assets.apps.travisperkins.group/v6wpz9w/GPID_1000261094_IMG_00.jpg?width=300&height=300,"Our scaffold boards are graded in accordance with the industry standard BS2482Graded in accordance with BS2482All of our softwoods are responsibly sourcedEnd banded to reduce splittingProduced from Imported, Slow Grown timber giving excellent stability"
Rock Salt Traditional Colour 20kg Trade Bag,£10.30,Rock Salt,https://www.travisperkins.co.uk/bagged-aggregates/rock-salt-traditional-colour-20kg-trade-bag/p/896366,https://dam-assets.apps.travisperkins.group/KRwPr/GPID_1000002887_IMG_00.jpeg?width=300&height=300,"An ideal salt for de-icing as well preventing ice and snow build-up on roads, driveways, and paths. It can be mixed with sand to improve vehicle traction in slippery conditions.Clears snow and ice fastEffective weed killerCan be mixed with sandImprove vehicle traction in slippery conditionsActual weight may vary depending on moisture contentNot suitable for water softenersLocally sourcedContains no hazardous ingredientsView more"
Rock Salt Traditional Colour Bulk Bag,£224.26,Rock Salt,https://www.travisperkins.co.uk/bagged-aggregates/rock-salt-traditional-colour-bulk-bag/p/898558,https://dam-assets.apps.travisperkins.group/KO2vj/GPID_1000002935_IMG_00.jpg?width=300&height=300,"Ideal for de-icing roads, driveways, and paths. Minimum packed weight of 810kg +/- 5%Actual weight will vary depending on moisture contentActual weight will vary based on moisture contentThe photo is for illustration purposes and the product is locally sourcedMinimum packed weight of 810kg +/- 5%."
Rock Salt White 20kg Trade Bag,£10.30,Rock Salt,https://www.travisperkins.co.uk/rock-salt/rock-salt-white-20kg-trade-bag/p/949527,https://dam-assets.apps.travisperkins.group/8N4Q5/GPID_1000195923_IMG_00.jpeg?width=300&height=300,"An ideal salt for de-icing as well preventing ice and snow build-up on roads, driveways, and paths. It can be mixed with sand to improve vehicle traction in slippery conditions.Clears snow and ice fastEffective weed killerCan be mixed with sandImprove vehicle traction in slippery conditionsActual weight may vary depending on moisture contentNot suitable for water softenersLocally sourcedContains no hazardous ingredientsView more"
Woodpecker - Style T47 Solid Oak Flooring Brushed and Oiled 18x150mm 1.98m2 p...,£172.33,Solid Wood Flooring,https://www.travisperkins.co.uk/solid-wood-flooring/woodpecker-style-t47-solid-oak-flooring-brushed-and-oiled-18x150mm-1-98m2-per-pack/p/575244,https://dam-assets.apps.travisperkins.group/ykYo2/GPID_1000219907_IMG_00.jpg?width=300&height=300,A solid wood floor not only offers strength and durability but also the tactile sensation of its natural wood texture.Each board is precision engineered from a single piece of timber and finished with a robust tongue and groove joint system and bevels on all sidesAs with all timber flooring the product should be acclimatised before installation and provisions must be made for expansion. The flooring can be glued or nailed into position.Suitable for use in all living area's excluding bathrooms and utility rooms. This flooring is not suitable for underfloor heatingFinished with 5 coats of high-wear UV cured OilEasy ongoing maintenanceTongue and groove joint systemView more
Woodpecker - Style T41 Solid Oak Flooring Lacquered 18x125mm 2.2m2  per pack,£167.35,Solid Wood Flooring,https://www.travisperkins.co.uk/solid-wood-flooring/woodpecker-style-t41-solid-oak-flooring-lacquered-18x125mm-2-2m2-per-pack/p/963375,https://dam-assets.apps.travisperkins.group/3XLPG/GPID_1000788721_IMG_00.jpg?width=300&height=300,N/A
Elka Solid Wood Rustic Lacquered Oak Flooring - Pack Size 2.184m2,£137.41,Solid Wood Flooring,https://www.travisperkins.co.uk/solid-wood-flooring/elka-solid-wood-rustic-lacquered-oak-flooring-pack-size-2-184m2/p/336161,https://dam-assets.apps.travisperkins.group/rq6jD/GPID_1000245407_IMG_00.jpg?width=300&height=300,Our solid wood flooring is manufactured from the finest quality timber – it is supplied in random lengths for fixing via secret nails or glue.Random LengthsSquare Edge Profile1 StripRustic Look
Elka Solid Wood Rustic Brushed and Oiled Oak Flooring - Pack Size 2.184m2,£186.31,Solid Wood Flooring,https://www.travisperkins.co.uk/solid-wood-flooring/elka-solid-wood-rustic-brushed-and-oiled-oak-flooring-pack-size-2-184m2/p/336162,https://dam-assets.apps.travisperkins.group/5VDRA/GPID_1000245408_IMG_00.jpg?width=300&height=300,Our solid wood flooring is manufactured from the finest quality timber – it is supplied in random lengths for fixing via secret nails or glue.Random LengthsSquare Edge Profile1 StripRustic Look
Glass Beading Hardwood 2400 mm x 15 mm x 9 mm,£5.96,Beading,https://www.travisperkins.co.uk/window-boards/glass-beading-hardwood-2400-mm-x-15-mm-x-9-mm/p/278892,https://dam-assets.apps.travisperkins.group/gR4en/GPID_1100517943_IMG_00.jpg?width=300&height=300,"Glass beads and window beading are an ideal solution to add a decorated finish while helping glass panels be held in place.Traditional convedesign provides classic finishing touchInstall your glass bead using adhesive or pinsOur range of glass beads and window beading is available in hardwood, oak, pine and light hardwoodOur timber glass beads and window beading goes well if your existing window frames are made of similar timber or have a timber effectThis product is made to the highest quality and comes with a 2 year guaranteeInternal and external use. End user must ensure to add treatment to the timber before using it externally.Our Pine products are made using a lightweight, straight grained softwood which is easy to work with. Due to its strength, elasticity and relatively low cost, pine is a popular choice to be used in a variety of projects.To finish off pine, lightly sand before applying wood stain, varnish or a lacquerView more"
