id,name,price,category,link,image,description,source
1,"MyWorktop 20mm Aurora Satin White Marble effect Kitchen Worktop, (L)2200mm",597,Acrylic Worktops,https://www.diy.com/departments/myworktop-20mm-aurora-satin-white-marble-effect-kitchen-worktop-l-2200mm/8801000500000_BQ.prd,https://media.diy.com/is/image/Kingfisher/myworktop-20mm-aurora-satin-white-marble-effect-kitchen-worktop-l-2200mm~8801000500000_01c_bq?wid=284&hei=284,The Aurora worktop has a beautiful white marble effect and is ideal for creating a modern kitchen. Combine with the Aurora white upstand to complete the look. Easy to maintain with a scratch and UV resistant surface. Wipe spills with a damp cloth.,bqProducts.csv
2,"HI-MACS 20mm Matt Chamomile Stone effect Acrylic Square edge Kitchen Worktop, (L)2200mm",548,Acrylic Worktops,https://www.diy.com/departments/hi-macs-20mm-matt-chamomile-stone-effect-acrylic-square-edge-kitchen-worktop-l-2200mm/8801000042999_BQ.prd,https://media.diy.com/is/image/Kingfisher/myworktop-20mm-aurora-satin-white-marble-effect-kitchen-worktop-l-2200mm~8801000500000_01c_bq?wid=284&hei=284,"This new product allows for design freedom and takes away the need for templating and factory fabrication, which also has the additional benefit of saving time and cost. This chamomile cream stone effect worktop from HI-MACS® is designed to be functional and easy to maintain. Home doors and accessories that are available, making it easier than ever to create your own individual space. This HI-MACS® worktop has a luxurious feel and can be easily installed and maintained.",bqProducts.csv
3,"HI-MACS 20mm Matt Diamond white Stone effect Acrylic Square edge Kitchen Worktop, (L)2200mm",548,Acrylic Worktops,https://www.diy.com/departments/hi-macs-20mm-matt-diamond-white-stone-effect-acrylic-square-edge-kitchen-worktop-l-2200mm/8801000042982_BQ.prd,https://media.diy.com/is/image/Kingfisher/hi-macs-20mm-matt-chamomile-stone-effect-acrylic-square-edge-kitchen-worktop-l-2200mm~8801000042999_01c_BQ?wid=284&hei=284,"This new product allows for design freedom and takes away the need for templating and factory fabrication, which also has the additional benefit of saving time and cost. This diamond white stone effect worktop from HI-MACS® is designed to be functional and easy to maintain. Home doors and accessories that are available, making it easier than ever to create your own individual space. This HI-MACS® worktop has a luxurious feel and can be easily installed and maintained.",bqProducts.csv
4,"Wintaplas Smart adhesives Orange Frostproofer, 5L Plastic jerry can",8.45,Additives & chemicals,https://www.diy.com/departments/wintaplas-smart-adhesives-orange-frostproofer-5l-plastic-jerry-can/255944_BQ.prd,https://media.diy.com/is/image/Kingfisher/wintaplas-smart-adhesives-orange-frostproofer-5l-plastic-jerry-can~5011734010628_01c_bq?wid=284&hei=284,"It also plasticises the mix to improve workability and is ideal for bricklaying, rendering, blockwork and mortars containing embedded metal. Bostik Frostproofer & Accelerator accelerates the setting of mortar mixes year round but particularly in cold weather and during the winter months. Chloride free, ideal for mortars with embedded metal. Plasticises and accelerates setting time of mortar mixes.",bqProducts.csv
5,"Sika Latex SBR White Specialist building primer, 5L, 5.2kg",35,Additives & chemicals,https://www.diy.com/departments/sika-latex-sbr-white-specialist-building-primer-5l-5-2kg/5055492703040_BQ.prd,https://media.diy.com/is/image/Kingfisher/wintaplas-smart-adhesives-orange-frostproofer-5l-plastic-jerry-can~5011734010628_01c_bq?wid=284&hei=284,"Uses include: As an admixture for mortar/screeds/renders, as a bonding agent for screeds/renders, as a primer/sealer in tiling applications & as a flexibiliser for cementitious-based tile adhesive when tiling on wooden/asphalt floors. Improves water resistance of cement mixtures by forming a reinforcing polymer that increases long term durability and flexibility of the mix on renderings and floor screeds. This latex-based, water resistant bonding agent & admixture from Sika is suitable for use in areas which will be subject to high levels of humidity, dampness and continuous water contact. Excellent resistance to water and water vapourA high level of resistance to salt permeation.",bqProducts.csv
6,"Blue Circle Hydrated lime, 25kg Bag",17.42,Additives & chemicals,https://www.diy.com/departments/blue-circle-hydrated-lime-25kg-bag/35712_BQ.prd,https://media.diy.com/is/image/Kingfisher/sika-latex-sbr-white-specialist-building-primer-5l-5-2kg~5055492703040_02c?wid=284&hei=284,"Hydralime can be used for traditional nominal mixes for mortars and renders in conjunction with standard Portland based cements or in lime-washes without cement. Fine, white, dry powder which lightens and brightens mortarsA high calcium, non hydraulic, hydrated lime. Preparation: 1 part Portland cement, 1 part hydralime & 5 to 6 parts sand. Blue Circle Hydralime is a hydrated lime used for increased plasticity & cohesiveness in cement, mortars & renders.",bqProducts.csv
6,Blue Circle Hydralime Hydrated Lime (25kg),20.64,Additives & chemicals,https://www.bradfords.co.uk/blue-circle-hydralime-hydrated-lime-25kg-hdl025,https://www.bradfords.co.uk/media/catalog/product/cache/f7c81111a4a19ad296e9f8fd0fc16840/0/7/07497f8a508a56a238def91e12c6ee43.jpg,"Improves the water retention of Portland cement mortars and renders (not generally compatible with waterproofing admixtures or for use without Portland cement).  . Blue Circle Hydralime Hydrated Lime is used for increased plasticity and cohesiveness in cement, mortars and renders. Must be mixed with sand and cement for mortars and renders.  . Easily mixed to form a putty.  .",bradfordsProducts.csv
6,Breedon Hydrated Lime 25Kg,15.54,Additives & chemicals,https://www.builderdepot.co.uk/breedon-hydrated-lime-25kg,"https://www.builderdepot.co.uk/media/catalog/product/H/0/H004814_s_01_5e9f.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=400&width=400&canvas=400:400",Trial mixes are advised before commencement of work.,builderdepotProducts.csv
6,Hanson Hydrated Lime Paper Handy Bag 25kg,20.9,Additives & chemicals,https://www.jewson.co.uk/p/hanson-hydrated-lime-25kg-paper-bag-CCASTLIM,"https://media.jewson.co.uk/f_auto,q_auto/t_Regular/global/product-images/65296",It is not suitable for use in mortars and renders without Portland cement as it is a non-hydraulic product. A traditional lime that offers excellent workability and good water retention. Supplied in paper bag – store in a dry place. Not suitable for use in mortars and renders without Portland cement.,jewsonProducts.csv
7,"Sika Clear Masonry waterproofer, 5L Jerry can",22,Additives & chemicals,https://www.diy.com/departments/sika-clear-masonry-waterproofer-5l-jerry-can/5055492702975_BQ.prd,https://media.diy.com/is/image/Kingfisher/blue-circle-hydrated-lime-25kg-bag~5018719500099_08c?wid=284&hei=284,"Sikagard Facade makes walls and facades water repellent and provides long lasting protection against water ingress. Improves resistance to dirt pick up, and reduces fungal, algal and lichens growth. Can be applied on mortar, masonry, fibre-cement & stone. It is vapour permeable and allows the substrate to breathe.",bqProducts.csv
8,Sika Sikacem White PVA primer & sealer 5L,45,Additives & chemicals,https://www.diy.com/departments/sika-sikacem-white-pva-primer-sealer-5l/5055492703033_BQ.prd,https://media.diy.com/is/image/Kingfisher/sika-clear-masonry-waterproofer-5l-jerry-can~5055492702975_02c?wid=284&hei=284,"Cem® PVA is a water based, multi purpose, economic adhesive, sealer and mortar admixture. It adheres to most common building materials (except PVC and rubber). Improves flexibility of mortars and screeds. Easy to use.",bqProducts.csv
